"Date","Price","Open","High","Low","Vol.","Change %"
"12/11/2023","44.52","46.20","46.50","43.00","16.27K","-3.53%"
"12/10/2023","46.15","49.01","50.00","46.02","14.86K","-5.85%"
"12/07/2023","49.02","50.00","50.00","48.00","13.90K","-2.33%"
"12/06/2023","50.19","52.23","52.23","50.00","18.86K","-3.91%"
"12/05/2023","52.23","52.54","53.50","51.02","19.81K","-0.21%"
"12/04/2023","52.34","52.99","53.90","52.00","26.38K","-0.87%"
"12/03/2023","52.80","53.59","54.60","52.56","20.21K","0.32%"
"11/30/2023","52.63","52.18","55.00","52.05","29.47K","0.86%"
"11/29/2023","52.18","54.80","54.80","51.50","30.02K","-2.94%"
"11/28/2023","53.76","52.95","56.00","52.95","72.47K","3.90%"
"11/27/2023","51.74","53.25","54.25","51.41","28.69K","-2.76%"
"11/26/2023","53.21","52.00","56.39","51.10","95.01K","3.34%"
"11/23/2023","51.49","53.30","53.89","51.14","37.21K","-1.76%"
"11/22/2023","52.41","48.03","54.98","48.03","85.35K","7.77%"
"11/21/2023","48.63","49.41","51.00","48.00","7.40K","-1.58%"
"11/20/2023","49.41","50.99","51.71","48.02","23.77K","-3.04%"
"11/19/2023","50.96","52.99","52.99","50.50","23.54K","-1.39%"
"11/16/2023","51.68","52.32","53.99","51.10","23.18K","0.72%"
"11/15/2023","51.31","52.00","52.89","51.02","12.55K","-1.93%"
"11/14/2023","52.32","51.50","54.01","51.50","17.95K","0.44%"
"11/13/2023","52.09","53.60","55.00","51.00","31.90K","-1.03%"
"11/12/2023","52.63","53.25","56.98","52.10","36.70K","-0.19%"
"11/09/2023","52.73","51.01","58.00","50.18","123.97K","3.27%"
"11/08/2023","51.06","53.90","54.55","50.70","39.35K","-1.90%"
"11/07/2023","52.05","54.88","54.99","51.13","44.92K","-1.59%"
"11/06/2023","52.89","58.01","58.01","52.17","85.94K","-7.34%"
"11/05/2023","57.08","61.70","65.00","56.20","151.72K","-1.02%"
"11/02/2023","57.67","48.51","57.67","46.00","143.65K","20.00%"
"11/01/2023","48.06","54.00","56.00","43.00","69.06K","-9.86%"
"10/31/2023","53.32","54.49","58.50","53.00","92.30K","1.08%"
"10/30/2023","52.75","58.05","62.97","51.00","148.61K","-9.80%"
"10/29/2023","58.48","73.27","79.75","58.48","214.04K","-19.99%"
"10/26/2023","73.09","62.04","73.09","62.00","315.81K","20.00%"
"10/25/2023","60.91","51.30","61.00","51.30","168.32K","19.36%"
"10/24/2023","51.03","49.00","51.10","37.00","243.12K","18.92%"
"10/23/2023","42.91","40.75","42.91","40.01","149.27K","19.99%"
"10/22/2023","35.76","33.53","35.76","33.53","51.73K","20.00%"
"10/19/2023","29.80","28.70","32.00","28.70","41.78K","-1.88%"
"10/18/2023","30.37","26.00","30.90","26.00","34.39K","10.08%"
"10/17/2023","27.59","26.00","26.89","26.00","0.88K","0.00%"
"10/16/2023","27.59","26.98","27.24","25.56","5.49K","0.00%"
"10/15/2023","27.59","25.50","27.15","25.02","6.15K","0.00%"
"10/12/2023","27.59","26.00","26.00","25.50","1.75K","0.00%"
"10/11/2023","27.59","25.60","26.50","25.51","0.77K","0.00%"
"10/10/2023","27.59","25.80","26.00","25.80","0.50K","0.00%"
"10/09/2023","27.59","24.10","25.80","24.03","3.74K","0.00%"
"10/08/2023","27.59","25.82","25.82","24.30","3.41K","0.00%"
"10/04/2023","27.59","25.75","26.75","25.65","0.91K","0.00%"
"10/03/2023","27.59","25.90","27.00","25.90","4.30K","0.00%"
"10/02/2023","27.59","26.20","26.55","26.11","0.65K","0.00%"
"10/01/2023","27.59","27.19","27.19","26.01","5.11K","0.00%"
"09/27/2023","27.59","26.15","27.35","26.05","3.30K","0.00%"
"09/26/2023","27.59","27.00","27.40","26.79","2.21K","0.00%"
"09/25/2023","27.59","27.60","27.60","27.00","3.31K","0.00%"
"09/24/2023","27.59","28.00","28.49","27.03","4.21K","0.00%"
"09/21/2023","27.59","26.75","28.00","25.75","27.22K","-2.47%"
"09/20/2023","28.29","27.35","27.35","26.62","5.83K","0.00%"
"09/19/2023","28.29","27.51","27.51","27.25","9.04K","0.00%"
"09/18/2023","28.29","27.50","28.90","27.11","8.40K","0.00%"
"09/17/2023","28.29","27.50","28.90","27.50","3.07K","0.00%"
"09/14/2023","28.29","28.05","28.85","27.61","0.99K","0.00%"
"09/13/2023","28.29","27.00","29.85","27.00","27.86K","-7.31%"
"09/12/2023","30.52","27.30","27.30","26.50","2.93K","0.00%"
"09/11/2023","30.52","26.80","27.84","26.80","3.63K","0.00%"
"09/10/2023","30.52","28.00","28.00","26.70","5.26K","0.00%"
"09/07/2023","30.52","26.65","28.00","26.65","3.37K","0.00%"
"09/06/2023","30.52","28.20","28.20","27.00","8.25K","0.00%"
"09/05/2023","30.52","27.65","28.95","27.65","2.11K","0.00%"
"09/04/2023","30.52","29.40","29.89","27.60","6.29K","0.00%"
"09/03/2023","30.52","28.90","30.50","27.58","9.31K","0.00%"
"08/31/2023","30.52","29.00","29.45","27.12","10.26K","0.00%"
"08/30/2023","30.52","29.70","30.00","28.50","7.41K","0.00%"
"08/29/2023","30.52","28.95","30.85","28.40","13.66K","13.63%"
"08/28/2023","26.86","28.70","29.00","25.50","19.32K","-6.38%"
"08/27/2023","28.69","28.50","29.23","28.50","2.94K","0.00%"
"08/24/2023","28.69","29.98","29.99","28.00","6.85K","0.00%"
"08/23/2023","28.69","28.64","31.50","27.35","27.32K","8.51%"
"08/22/2023","26.44","28.25","28.25","25.05","15.94K","-8.51%"
"08/21/2023","28.90","28.25","32.00","27.50","10.59K","1.08%"
"08/20/2023","28.59","29.00","29.86","26.03","12.23K","-1.85%"
"08/17/2023","29.13","25.50","29.87","25.02","40.98K","16.43%"
"08/16/2023","25.02","24.78","25.50","24.67","4.07K","0.00%"
"08/15/2023","25.02","24.76","25.50","24.74","2.73K","0.00%"
"08/14/2023","25.02","25.50","25.50","24.71","22.38K","-4.14%"
"08/13/2023","26.10","25.02","25.93","25.02","3.88K","0.00%"
"08/10/2023","26.10","25.50","25.73","24.66","0.91K","0.00%"
