Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,0.912,0.951,0.965,0.902,6.16M,-4.10%
2023-12-10,0.951,0.997,1.012,0.95,9.82M,-4.33%
2023-12-07,0.994,0.995,1.0,0.971,3.54M,-0.40%
2023-12-06,0.998,1.034,1.041,0.994,20.40M,-4.86%
2023-12-05,1.049,1.055,1.1,1.031,13.76M,-6.34%
2023-12-04,1.12,1.012,1.12,0.981,16.93M,10.67%
2023-12-03,1.012,1.007,1.03,1.006,6.86M,1.00%
2023-11-30,1.002,1.035,1.048,0.831,39.40M,-3.38%
2023-11-29,1.037,1.04,1.084,1.02,51.88M,0.68%
2023-11-28,1.03,1.014,1.045,0.997,51.66M,2.49%
2023-11-27,1.005,0.994,1.019,0.986,31.43M,1.72%
2023-11-26,0.988,1.025,1.038,0.985,21.33M,-1.10%
2023-11-23,0.999,0.979,1.03,0.979,38.33M,2.25%
2023-11-22,0.977,0.95,0.979,0.94,13.34M,3.50%
2023-11-21,0.944,0.94,0.949,0.93,5.10M,0.75%
2023-11-20,0.937,0.948,0.956,0.926,8.52M,-0.43%
2023-11-19,0.941,0.926,0.97,0.924,11.36M,1.84%
2023-11-16,0.924,0.923,0.931,0.919,5.35M,0.87%
2023-11-15,0.916,0.97,0.97,0.909,6.52M,-0.43%
2023-11-14,0.92,0.95,0.971,0.92,13.86M,-2.95%
2023-11-13,0.948,0.935,0.958,0.917,10.94M,2.05%
2023-11-12,0.929,0.91,0.95,0.902,19.36M,3.11%
2023-11-09,0.901,0.94,0.94,0.89,5.91M,-3.33%
2023-11-08,0.932,0.916,0.97,0.916,14.06M,2.08%
2023-11-07,0.913,0.9,0.917,0.887,9.84M,3.16%
2023-11-06,0.885,0.92,0.929,0.884,19.28M,-2.10%
2023-11-05,0.904,0.85,0.91,0.84,30.18M,7.62%
2023-11-02,0.84,0.81,0.847,0.785,21.65M,5.00%
2023-11-01,0.8,0.82,0.85,0.753,38.15M,-2.56%
2023-10-31,0.821,0.9,0.918,0.82,24.00M,-8.78%
2023-10-30,0.9,0.94,0.965,0.872,36.94M,-3.23%
2023-10-29,0.93,0.91,0.98,0.854,46.35M,0.00%
2023-10-26,0.93,1.011,1.049,0.881,64.56M,-6.63%
2023-10-25,0.996,0.83,0.996,0.81,88.23M,20.00%
2023-10-22,0.83,0.715,0.83,0.715,43.95M,16.74%
2023-10-19,0.711,0.655,0.76,0.65,47.79M,9.05%
2023-10-18,0.652,0.629,0.652,0.623,13.24M,3.33%
2023-10-17,0.631,0.635,0.641,0.627,12.17M,-1.41%
2023-10-16,0.64,0.621,0.642,0.621,29.64M,0.00%
2023-10-15,0.64,0.629,0.642,0.617,23.35M,1.75%
2023-10-12,0.629,0.605,0.648,0.604,40.28M,3.11%
2023-10-11,0.61,0.573,0.61,0.567,21.73M,7.39%
2023-10-10,0.568,0.546,0.574,0.543,11.81M,4.03%
2023-10-09,0.546,0.506,0.55,0.506,5.58M,7.48%
2023-10-08,0.508,0.549,0.549,0.481,7.62M,-7.64%
2023-10-04,0.55,0.559,0.559,0.547,2.96M,-1.61%
2023-10-03,0.559,0.55,0.563,0.538,7.55M,2.19%
2023-10-02,0.547,0.56,0.562,0.545,3.61M,-2.32%
2023-10-01,0.56,0.569,0.569,0.556,2.11M,-1.41%
2023-09-27,0.568,0.585,0.585,0.565,5.84M,-1.22%
2023-09-26,0.575,0.579,0.6,0.573,16.45M,0.35%
2023-09-25,0.573,0.585,0.585,0.57,3.82M,-1.21%
2023-09-24,0.58,0.598,0.6,0.576,6.97M,-2.52%
2023-09-21,0.595,0.596,0.596,0.576,3.12M,0.85%
2023-09-20,0.59,0.605,0.608,0.588,4.51M,-2.32%
2023-09-19,0.604,0.612,0.616,0.602,5.24M,-0.82%
2023-09-18,0.609,0.6,0.615,0.599,7.67M,2.35%
2023-09-17,0.595,0.602,0.605,0.583,4.51M,-0.83%
2023-09-14,0.6,0.588,0.605,0.582,3.41M,2.21%
2023-09-13,0.587,0.595,0.596,0.581,2.47M,-0.51%
2023-09-12,0.59,0.6,0.605,0.585,2.34M,-1.83%
2023-09-11,0.601,0.608,0.61,0.6,2.94M,-1.15%
2023-09-10,0.608,0.608,0.61,0.602,4.40M,0.66%
2023-09-07,0.604,0.605,0.61,0.601,4.28M,0.67%
2023-09-06,0.6,0.605,0.608,0.599,4.79M,-0.50%
2023-09-05,0.603,0.609,0.615,0.601,4.22M,-0.33%
2023-09-04,0.605,0.607,0.61,0.6,3.76M,0.17%
2023-09-03,0.604,0.621,0.621,0.603,3.42M,-1.47%
2023-08-31,0.613,0.615,0.62,0.612,6.17M,-0.33%
2023-08-30,0.615,0.611,0.63,0.611,7.62M,0.82%
2023-08-29,0.61,0.609,0.62,0.603,4.71M,0.16%
2023-08-28,0.609,0.611,0.625,0.606,3.80M,-0.65%
2023-08-27,0.613,0.613,0.622,0.609,2.13M,0.16%
2023-08-24,0.612,0.62,0.623,0.607,4.31M,-0.81%
2023-08-23,0.617,0.639,0.64,0.616,8.90M,-2.37%
2023-08-22,0.632,0.624,0.65,0.621,15.61M,1.44%
2023-08-21,0.623,0.621,0.632,0.619,3.73M,0.48%
2023-08-20,0.62,0.614,0.628,0.614,2.60M,0.81%
2023-08-17,0.615,0.624,0.625,0.613,4.36M,-0.49%
2023-08-16,0.618,0.631,0.647,0.617,10.12M,-1.75%
2023-08-15,0.629,0.607,0.645,0.607,14.66M,2.44%
2023-08-14,0.614,0.615,0.623,0.613,2.76M,0.49%
2023-08-13,0.611,0.616,0.623,0.609,3.65M,-0.81%
2023-08-10,0.616,0.619,0.625,0.611,2.99M,-0.48%
2023-08-09,0.619,0.62,0.633,0.617,4.07M,-1.43%
2023-08-08,0.628,0.631,0.638,0.625,3.07M,-0.32%
2023-08-07,0.63,0.63,0.634,0.624,5.61M,0.96%
2023-08-06,0.624,0.632,0.634,0.612,4.82M,-0.32%
2023-08-03,0.626,0.629,0.639,0.624,4.05M,0.00%
2023-08-02,0.626,0.639,0.64,0.624,3.09M,-1.11%
2023-08-01,0.633,0.64,0.645,0.632,2.78M,-0.78%
2023-07-31,0.638,0.63,0.641,0.63,7.66M,2.24%
2023-07-30,0.624,0.632,0.638,0.624,3.73M,-1.11%
2023-07-27,0.631,0.627,0.638,0.616,5.46M,2.44%
2023-07-26,0.616,0.615,0.622,0.613,2.92M,0.33%
2023-07-25,0.614,0.625,0.631,0.611,3.30M,-2.54%
2023-07-24,0.63,0.64,0.644,0.627,2.98M,-1.41%
2023-07-19,0.639,0.643,0.643,0.631,6.91M,0.79%
2023-07-18,0.634,0.63,0.635,0.623,5.00M,1.28%
2023-07-17,0.626,0.641,0.641,0.623,8.26M,-1.73%
2023-07-16,0.637,0.673,0.685,0.634,18.97M,-2.90%
2023-07-12,0.656,0.618,0.658,0.611,22.74M,5.81%
2023-07-11,0.62,0.61,0.625,0.6,17.91M,2.65%
2023-07-10,0.604,0.605,0.608,0.563,8.54M,0.67%
2023-07-09,0.6,0.641,0.641,0.6,10.52M,-6.25%
2023-07-06,0.64,0.668,0.668,0.638,9.37M,-3.61%
2023-07-05,0.664,0.645,0.667,0.64,15.69M,2.31%
2023-07-04,0.649,0.64,0.654,0.64,9.19M,1.72%
2023-06-26,0.638,0.64,0.645,0.631,6.57M,-0.31%
2023-06-25,0.64,0.639,0.644,0.633,8.47M,1.43%
2023-06-22,0.631,0.633,0.636,0.621,4.78M,-0.32%
2023-06-21,0.633,0.653,0.656,0.631,7.26M,-2.47%
2023-06-20,0.649,0.65,0.66,0.647,5.49M,1.25%
2023-06-19,0.641,0.651,0.656,0.638,10.47M,-1.54%
2023-06-18,0.651,0.65,0.656,0.646,5.37M,0.93%
2023-06-15,0.645,0.65,0.665,0.642,10.06M,-0.46%
2023-06-14,0.648,0.646,0.656,0.645,6.03M,0.00%
2023-06-13,0.648,0.66,0.663,0.645,13.53M,-1.52%
2023-06-12,0.658,0.67,0.673,0.656,10.49M,-1.79%
2023-06-11,0.67,0.671,0.687,0.665,41.47M,0.30%
2023-06-08,0.668,0.67,0.674,0.656,23.41M,0.30%
2023-06-07,0.666,0.656,0.681,0.654,56.92M,3.26%
2023-06-06,0.645,0.644,0.657,0.635,27.06M,0.62%
2023-06-05,0.641,0.656,0.662,0.634,23.67M,-1.84%
2023-06-04,0.653,0.658,0.665,0.648,28.27M,-0.46%
2023-06-01,0.656,0.642,0.672,0.642,42.29M,2.34%
2023-05-31,0.641,0.657,0.662,0.64,23.46M,-2.44%
2023-05-30,0.657,0.655,0.665,0.648,24.20M,0.31%
2023-05-29,0.655,0.635,0.665,0.625,63.23M,2.99%
2023-05-28,0.636,0.606,0.636,0.6,40.64M,5.65%
2023-05-25,0.602,0.609,0.613,0.6,14.83M,-0.50%
2023-05-24,0.605,0.619,0.623,0.601,38.18M,-1.47%
2023-05-23,0.614,0.585,0.614,0.576,46.49M,5.50%
2023-05-22,0.582,0.591,0.597,0.577,32.24M,-1.19%
2023-05-21,0.589,0.577,0.591,0.565,20.17M,3.33%
2023-05-18,0.57,0.575,0.575,0.56,12.26M,0.00%
2023-05-17,0.57,0.595,0.597,0.563,19.26M,-3.23%
2023-05-16,0.589,0.586,0.594,0.581,11.74M,-1.17%
2023-05-15,0.596,0.603,0.603,0.581,15.83M,-0.50%
2023-05-14,0.599,0.609,0.614,0.595,26.77M,-0.66%
2023-05-11,0.603,0.62,0.62,0.6,28.35M,-2.58%
2023-05-10,0.619,0.595,0.62,0.586,10.93M,3.00%
2023-05-09,0.601,0.629,0.63,0.6,19.99M,-3.53%
2023-05-08,0.623,0.609,0.639,0.606,37.31M,3.32%
2023-05-07,0.603,0.593,0.609,0.567,19.58M,2.03%
2023-05-03,0.591,0.595,0.618,0.583,42.54M,0.00%
2023-05-02,0.591,0.58,0.594,0.569,17.11M,3.14%
2023-05-01,0.573,0.583,0.597,0.57,16.75M,-1.55%
2023-04-30,0.582,0.59,0.604,0.58,23.71M,-0.34%
2023-04-27,0.584,0.575,0.59,0.57,14.39M,2.64%
2023-04-26,0.569,0.557,0.578,0.551,10.86M,2.52%
2023-04-19,0.555,0.55,0.56,0.55,12.43M,0.91%
2023-04-18,0.55,0.561,0.565,0.549,16.56M,-1.79%
2023-04-13,0.56,0.559,0.565,0.55,14.60M,0.54%
2023-04-12,0.557,0.578,0.58,0.55,17.22M,-2.96%
2023-04-11,0.574,0.559,0.579,0.552,19.91M,2.68%
2023-04-10,0.559,0.554,0.566,0.55,6.60M,0.18%
2023-04-09,0.558,0.563,0.565,0.549,6.45M,-0.71%
2023-04-06,0.562,0.566,0.571,0.557,5.48M,-0.88%
2023-04-05,0.567,0.574,0.576,0.566,12.40M,-1.22%
2023-04-04,0.574,0.581,0.581,0.56,31.51M,-1.37%
2023-04-03,0.582,0.569,0.59,0.566,21.86M,2.28%
2023-04-02,0.569,0.583,0.583,0.551,6.73M,0.71%
2023-03-30,0.565,0.584,0.604,0.557,34.79M,-3.25%
2023-03-29,0.584,0.555,0.608,0.555,10.63M,5.04%
2023-03-28,0.556,0.555,0.569,0.55,7.71M,-0.54%
2023-03-27,0.559,0.578,0.578,0.556,5.47M,-2.44%
2023-03-26,0.573,0.561,0.577,0.56,6.87M,3.06%
2023-03-23,0.556,0.564,0.572,0.55,3.38M,-1.94%
