Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,0.58,0.589,0.589,0.572,5.01M,-0.34%
2023-12-10,0.582,0.589,0.595,0.575,3.83M,1.39%
2023-12-07,0.574,0.592,0.607,0.56,9.78M,-4.01%
2023-12-06,0.598,0.615,0.615,0.594,5.93M,-2.29%
2023-12-05,0.612,0.609,0.62,0.6,5.57M,1.83%
2023-12-04,0.601,0.6,0.615,0.582,5.62M,-0.33%
2023-12-03,0.603,0.585,0.607,0.574,11.72M,3.25%
2023-11-30,0.584,0.581,0.597,0.575,6.90M,0.69%
2023-11-29,0.58,0.572,0.584,0.571,6.72M,1.40%
2023-11-28,0.572,0.579,0.595,0.564,3.64M,0.18%
2023-11-27,0.571,0.534,0.58,0.528,7.80M,7.53%
2023-11-26,0.531,0.532,0.535,0.523,4.82M,0.57%
2023-11-23,0.528,0.518,0.53,0.518,13.36M,2.13%
2023-11-22,0.517,0.516,0.532,0.51,11.94M,0.78%
2023-11-21,0.513,0.509,0.536,0.509,16.40M,2.60%
2023-11-20,0.5,0.5,0.508,0.492,17.93M,0.40%
2023-11-19,0.498,0.488,0.5,0.486,10.09M,3.75%
2023-11-16,0.48,0.47,0.491,0.465,9.67M,2.56%
2023-11-15,0.468,0.475,0.485,0.461,1.58M,-0.85%
2023-11-14,0.472,0.486,0.497,0.47,8.46M,-0.84%
2023-11-13,0.476,0.48,0.487,0.47,4.37M,-0.83%
2023-11-12,0.48,0.47,0.489,0.466,8.16M,3.67%
2023-11-09,0.463,0.45,0.47,0.445,5.35M,2.89%
2023-11-08,0.45,0.45,0.464,0.444,7.13M,0.90%
2023-11-07,0.446,0.451,0.465,0.44,4.52M,-0.45%
2023-11-06,0.448,0.415,0.454,0.415,16.78M,7.43%
2023-11-05,0.417,0.384,0.425,0.383,10.51M,7.75%
2023-11-02,0.387,0.399,0.399,0.374,1.50M,1.57%
2023-11-01,0.381,0.382,0.41,0.375,7.09M,-1.80%
2023-10-31,0.388,0.393,0.4,0.385,4.56M,0.00%
2023-10-30,0.388,0.386,0.39,0.381,3.12M,1.04%
2023-10-29,0.384,0.38,0.39,0.38,1.82M,0.52%
2023-10-26,0.382,0.369,0.399,0.369,8.49M,2.69%
2023-10-25,0.372,0.357,0.376,0.354,2.01M,4.49%
2023-10-24,0.356,0.357,0.367,0.352,1.11M,-1.39%
2023-10-23,0.361,0.372,0.372,0.359,2.84M,-1.10%
2023-10-22,0.365,0.35,0.376,0.346,7.44M,4.29%
2023-10-19,0.35,0.349,0.352,0.342,6.61M,0.00%
2023-10-18,0.35,0.349,0.35,0.346,3.39M,0.29%
2023-10-17,0.349,0.35,0.353,0.345,1.86M,-0.29%
2023-10-16,0.35,0.35,0.355,0.347,2.46M,1.16%
2023-10-15,0.346,0.345,0.354,0.34,8.88M,0.00%
2023-10-12,0.346,0.35,0.35,0.34,3.25M,-1.14%
2023-10-11,0.35,0.349,0.356,0.349,3.91M,-0.85%
2023-10-10,0.353,0.35,0.358,0.348,5.20M,0.86%
2023-10-09,0.35,0.353,0.355,0.341,5.51M,0.00%
2023-10-08,0.35,0.356,0.356,0.32,13.95M,-0.28%
2023-10-04,0.351,0.348,0.367,0.34,12.12M,0.57%
2023-10-03,0.349,0.315,0.352,0.3,24.56M,14.05%
2023-10-02,0.306,0.31,0.319,0.305,2.62M,-0.65%
2023-10-01,0.308,0.308,0.313,0.307,1.21M,0.65%
2023-09-27,0.306,0.318,0.318,0.3,2.93M,-3.77%
2023-09-26,0.318,0.33,0.334,0.313,10.33M,-1.55%
2023-09-25,0.323,0.335,0.335,0.32,2.66M,-2.12%
2023-09-24,0.33,0.336,0.339,0.328,2.27M,-0.30%
