Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,5.01,4.96,5.07,4.91,1.17M,1.01%
2023-12-10,4.96,5.09,5.14,4.93,1.29M,-0.80%
2023-12-07,5.0,5.08,5.08,4.94,1.53M,-0.99%
2023-12-06,5.05,5.24,5.33,5.04,5.35M,-2.13%
2023-12-05,5.16,4.95,5.17,4.94,3.85M,4.45%
2023-12-04,4.94,4.91,4.97,4.86,779.11K,1.02%
2023-12-03,4.89,4.86,4.92,4.84,218.33K,1.24%
2023-11-30,4.83,4.9,4.93,4.8,525.86K,-1.43%
2023-11-29,4.9,5.02,5.02,4.88,534.84K,-1.41%
2023-11-28,4.97,5.03,5.05,4.94,1.25M,0.20%
2023-11-27,4.96,4.93,5.0,4.9,1.19M,1.22%
2023-11-26,4.9,5.07,5.1,4.9,1.71M,-0.81%
2023-11-23,4.94,4.89,5.07,4.89,2.23M,1.44%
2023-11-22,4.87,4.87,4.87,4.8,505.81K,1.67%
2023-11-21,4.79,4.82,4.87,4.77,518.05K,-0.62%
2023-11-20,4.82,4.88,4.94,4.8,803.87K,-0.82%
2023-11-19,4.86,4.81,4.89,4.77,1.05M,1.89%
2023-11-16,4.77,4.76,4.8,4.7,814.84K,0.21%
2023-11-15,4.76,4.77,4.8,4.74,227.99K,0.42%
2023-11-14,4.74,4.78,4.84,4.72,742.44K,-0.84%
2023-11-13,4.78,4.88,4.88,4.77,618.33K,-0.42%
2023-11-12,4.8,4.79,4.9,4.68,1.36M,0.84%
2023-11-09,4.76,4.83,4.9,4.76,651.68K,-1.24%
2023-11-08,4.82,4.87,4.95,4.8,1.47M,-0.41%
2023-11-07,4.84,4.92,4.95,4.82,1.07M,-1.22%
2023-11-06,4.9,4.95,5.02,4.89,1.82M,-0.61%
2023-11-05,4.93,4.95,5.16,4.85,1.69M,1.02%
2023-11-02,4.88,4.79,4.93,4.7,1.52M,2.95%
2023-11-01,4.74,4.8,4.85,4.58,459.40K,-0.42%
2023-10-31,4.76,4.91,4.98,4.74,1.32M,-2.86%
2023-10-30,4.9,4.81,4.9,4.81,606.43K,2.30%
2023-10-29,4.79,4.97,4.97,4.78,1.02M,-1.84%
2023-10-26,4.88,5.07,5.11,4.86,2.45M,-3.37%
2023-10-25,5.05,5.23,5.27,5.01,2.47M,-1.56%
