Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,49.77,50.49,50.49,49.0,7.19K,-0.46%
2023-12-10,50.0,51.2,52.99,50.0,7.41K,-2.13%
2023-12-07,51.09,52.39,52.39,49.01,9.40K,-1.54%
2023-12-06,51.89,53.4,54.43,51.5,23.88K,-1.76%
2023-12-05,52.82,51.0,54.0,50.23,49.34K,5.22%
2023-12-04,50.2,50.89,52.99,48.61,33.99K,-0.02%
2023-12-03,50.21,56.0,56.0,49.01,24.52K,-7.53%
2023-11-30,54.3,56.49,58.8,50.26,70.43K,-0.29%
2023-11-29,54.46,46.0,54.46,46.0,111.76K,19.98%
2023-11-28,45.39,46.3,46.3,43.51,6.72K,0.00%
2023-11-27,45.39,46.45,47.78,45.0,12.79K,-3.86%
2023-11-26,47.21,47.45,48.0,46.42,6.48K,-0.19%
2023-11-23,47.3,48.85,48.85,47.11,19.68K,-0.02%
2023-11-22,47.31,46.29,48.98,45.5,23.14K,4.16%
2023-11-21,45.42,45.71,46.5,45.05,8.52K,-1.37%
2023-11-20,46.05,46.0,47.7,45.71,12.51K,0.26%
2023-11-19,45.93,45.5,47.0,45.5,8.30K,0.95%
2023-11-16,45.5,45.51,46.75,45.11,11.58K,-2.21%
2023-11-15,46.53,47.75,47.75,45.06,7.94K,-0.51%
2023-11-14,46.77,48.0,48.39,45.6,27.67K,3.27%
2023-11-13,45.29,44.01,46.49,43.95,13.25K,5.15%
2023-11-12,43.07,45.5,45.5,42.33,23.75K,-5.01%
2023-11-09,45.34,44.99,48.5,44.0,29.02K,1.75%
2023-11-08,44.56,44.25,46.0,44.02,20.15K,0.52%
2023-11-07,44.33,45.4,46.59,44.03,25.73K,-2.14%
2023-11-06,45.3,46.42,46.97,44.65,41.62K,-2.31%
2023-11-05,46.37,47.7,49.5,45.33,29.91K,-0.98%
2023-11-02,46.83,46.5,48.98,44.35,51.04K,2.38%
2023-11-01,45.74,49.5,51.43,43.36,86.30K,-6.86%
2023-10-31,49.11,54.0,58.89,46.1,98.74K,-9.26%
2023-10-30,54.12,53.0,54.12,51.16,131.15K,20.00%
2023-10-29,45.1,37.5,45.1,34.69,121.25K,19.98%
2023-10-26,37.59,34.99,39.89,34.99,52.38K,10.59%
2023-10-25,33.99,31.5,34.03,31.05,29.64K,8.94%
2023-10-24,31.2,31.3,32.0,30.5,16.82K,-2.77%
2023-10-23,32.09,30.9,32.9,30.11,25.99K,6.12%
2023-10-22,30.24,29.06,30.99,29.06,1.89K,0.00%
2023-10-19,30.24,31.19,31.19,29.55,3.87K,0.00%
2023-10-18,30.24,30.27,31.4,30.27,5.35K,0.00%
2023-10-17,30.24,30.5,30.89,30.07,21.73K,-2.86%
2023-10-16,31.13,30.65,31.91,30.07,9.45K,0.00%
2023-10-15,31.13,33.4,33.4,30.65,12.68K,-2.90%
2023-10-12,32.06,32.11,32.69,31.51,7.70K,0.00%
2023-10-11,32.06,33.3,34.29,32.0,25.47K,-4.55%
2023-10-10,33.59,34.94,34.94,32.6,11.70K,-2.64%
2023-10-09,34.5,32.0,35.45,32.0,22.97K,6.65%
2023-10-08,32.35,34.14,36.87,30.3,23.88K,-12.71%
2023-10-04,37.06,33.0,37.98,31.0,42.01K,11.76%
2023-10-03,33.16,32.01,33.5,31.01,51.64K,3.75%
2023-10-02,31.96,26.0,31.96,26.0,47.73K,19.97%
2023-10-01,26.64,26.65,26.65,26.0,0.75K,0.00%
2023-09-27,26.64,26.01,26.01,26.0,3.30K,0.00%
2023-09-26,26.64,26.01,26.01,26.0,3.32K,0.00%
2023-09-24,26.64,26.85,26.85,26.85,0.00K,0.00%
2023-09-20,26.64,26.0,26.13,25.91,5.11K,0.00%
2023-09-19,26.64,25.9,25.9,25.86,1.73K,0.00%
2023-09-18,26.64,25.81,26.0,25.81,1.61K,0.00%
2023-09-17,26.64,26.4,26.4,26.33,3.70K,0.00%
2023-09-14,26.64,26.9,26.9,26.31,1.31K,0.00%
2023-09-12,26.64,26.0,27.0,25.16,14.04K,2.50%
2023-09-11,25.99,25.11,26.15,25.11,1.77K,0.00%
2023-09-07,25.99,26.94,26.95,24.21,6.61K,0.00%
2023-09-06,25.99,25.86,26.01,25.86,11.11K,0.00%
2023-09-04,25.99,27.35,27.35,25.9,3.61K,0.00%
2023-09-03,25.99,26.5,26.87,25.78,24.23K,0.15%
2023-08-31,25.95,26.9,26.9,25.62,3.49K,0.00%
2023-08-30,25.95,25.5,27.35,25.32,8.19K,0.00%
2023-08-29,25.95,24.49,27.0,24.49,16.17K,7.05%
2023-08-27,24.24,25.2,25.23,23.7,1.36K,0.00%
2023-08-24,24.24,23.37,23.7,23.36,2.20K,0.00%
2023-08-23,24.24,23.79,23.8,23.78,1.50K,0.00%
2023-08-22,24.24,24.71,24.72,23.3,2.80K,0.00%
2023-08-20,24.24,24.32,24.32,23.24,1.27K,0.00%
2023-08-17,24.24,25.36,25.37,24.27,3.35K,0.00%
2023-08-16,24.24,24.0,25.52,24.0,27.07K,5.25%
2023-08-15,23.03,23.37,23.37,23.1,0.71K,0.00%
2023-08-14,23.03,23.38,24.79,23.07,0.49K,0.00%
2023-08-13,23.03,23.32,23.32,23.32,0.16K,0.00%
2023-08-10,23.03,23.27,23.3,23.27,0.62K,0.00%
2023-08-09,23.03,23.17,23.23,23.17,0.04K,0.00%
2023-08-08,23.03,23.18,23.22,23.18,0.02K,0.00%
2023-08-07,23.03,24.99,24.99,24.0,1.90K,0.00%
2023-08-06,23.03,25.78,25.78,23.06,3.61K,0.00%
2023-08-03,23.03,23.5,23.99,23.0,1.59K,0.00%
2023-08-02,23.03,23.12,24.0,23.12,2.76K,0.00%
2023-08-01,23.03,23.04,24.85,23.04,1.46K,0.00%
2023-07-31,23.03,24.33,24.94,22.7,2.63K,0.00%
2023-07-30,23.03,22.01,26.98,22.01,11.57K,0.00%
2023-07-27,23.03,21.03,22.01,21.03,2.09K,0.00%
2023-07-26,23.03,21.0,21.5,20.2,0.64K,0.00%
2023-07-25,23.03,20.11,20.11,20.1,0.10K,0.00%
2023-07-24,23.03,20.16,22.48,20.1,0.50K,0.00%
2023-07-19,23.03,20.1,22.48,20.1,0.05K,0.00%
2023-07-18,23.03,22.49,22.49,22.49,0.02K,0.00%
2023-07-17,23.03,20.05,22.49,20.05,0.46K,0.00%
2023-07-13,23.03,20.06,21.5,20.06,0.45K,0.00%
2023-07-12,23.03,21.49,21.49,21.49,0.15K,0.00%
2023-07-11,23.03,20.5,21.49,20.5,1.07K,0.00%
2023-07-10,23.03,20.67,21.0,20.0,1.85K,0.00%
2023-07-09,23.03,20.61,20.61,20.61,0.00K,0.00%
2023-07-06,23.03,20.54,20.54,20.53,1.16K,0.00%
2023-07-05,23.03,21.5,21.5,20.52,0.83K,0.00%
2023-07-04,23.03,21.02,21.5,21.02,0.81K,0.00%
2023-06-26,23.03,21.0,21.5,21.0,2.11K,0.00%
2023-06-25,23.03,21.94,21.94,21.94,0.00K,0.00%
2023-06-22,23.03,21.02,21.5,21.02,1.42K,0.00%
2023-06-21,23.03,21.25,21.25,21.01,1.50K,0.00%
2023-06-20,23.03,21.02,22.0,21.02,0.34K,0.00%
2023-06-19,23.03,22.0,22.0,21.04,1.01K,0.00%
2023-06-18,23.03,21.18,21.18,21.0,2.00K,0.00%
2023-06-15,23.03,22.67,22.68,22.67,0.50K,0.00%
2023-06-14,23.03,21.3,22.69,21.3,0.01K,0.00%
2023-06-13,23.03,21.2,21.2,21.2,0.02K,0.00%
2023-06-08,23.03,21.55,22.9,21.17,1.93K,0.00%
2023-06-07,23.03,21.36,21.77,21.36,2.28K,0.00%
2023-06-06,23.03,22.5,22.5,21.16,0.44K,0.00%
2023-06-05,23.03,23.0,23.0,23.0,0.00K,0.00%
2023-06-04,23.03,22.5,23.15,22.5,1.75K,0.00%
2023-06-01,23.03,23.23,23.23,22.35,0.09K,0.00%
2023-05-31,23.03,23.36,23.36,22.25,0.02K,0.00%
2023-05-30,23.03,22.66,23.16,22.66,2.50K,0.00%
2023-05-29,23.03,22.66,22.66,22.25,0.52K,0.00%
2023-05-28,23.03,22.7,22.7,21.56,0.11K,0.00%
2023-05-25,23.03,21.5,22.7,21.36,0.68K,0.00%
2023-05-24,23.03,22.74,22.74,22.71,0.11K,0.00%
2023-05-23,23.03,22.97,22.99,21.31,2.35K,0.00%
2023-05-22,23.03,22.78,22.78,22.08,0.33K,0.00%
2023-05-21,23.03,22.73,22.73,22.08,0.04K,0.00%
2023-05-18,23.03,22.73,22.73,22.02,0.50K,0.00%
2023-05-17,23.03,22.73,22.73,22.02,0.74K,0.00%
2023-05-16,23.03,22.75,22.75,22.02,1.70K,0.00%
2023-05-15,23.03,22.5,22.9,22.01,3.23K,0.00%
2023-05-14,23.03,22.03,22.97,22.0,10.00K,0.00%
2023-05-11,23.03,22.73,23.0,22.25,9.05K,0.00%
2023-05-10,23.03,22.7,22.7,22.69,0.61K,0.00%
2023-05-09,23.03,22.95,23.39,22.73,2.00K,0.00%
2023-05-08,23.03,22.69,22.69,22.69,0.05K,0.00%
2023-05-07,23.03,22.78,23.26,22.68,3.90K,0.00%
2023-05-03,23.03,22.75,23.49,22.75,1.34K,0.00%
