Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,69.63,71.0,71.0,70.0,0.05K,-1.93%
2023-12-10,71.0,71.0,71.0,71.0,0.02K,1.97%
2023-12-07,69.63,70.0,72.0,68.0,0.41K,0.00%
2023-12-06,69.63,71.0,71.0,69.1,0.22K,0.00%
2023-12-05,69.63,72.0,72.0,69.01,0.04K,0.00%
2023-12-04,69.63,69.0,69.0,68.71,0.15K,0.00%
2023-12-03,69.63,74.49,74.49,69.15,10.15K,-3.61%
2023-11-30,72.24,71.5,74.49,70.01,3.13K,0.00%
2023-11-29,72.24,74.79,74.79,68.0,0.35K,0.00%
2023-11-28,72.24,73.45,74.5,73.45,1.01K,0.00%
2023-11-27,72.24,74.1,74.1,69.05,2.44K,0.00%
2023-11-26,72.24,71.0,74.0,71.0,4.42K,2.69%
2023-11-23,70.35,71.7,71.7,68.65,0.32K,0.00%
2023-11-22,70.35,67.44,71.0,67.03,14.89K,4.92%
2023-11-21,67.05,64.02,67.5,64.02,5.13K,1.88%
2023-11-20,65.81,65.0,67.0,64.62,2.85K,0.00%
2023-11-19,65.81,63.2,66.0,63.2,1.03K,0.00%
2023-11-16,65.81,63.01,66.0,63.0,0.36K,0.00%
2023-11-15,65.81,63.0,66.0,63.0,3.10K,0.00%
2023-11-14,65.81,60.05,65.0,60.05,1.24K,0.00%
2023-11-13,65.81,60.02,64.98,60.02,2.38K,0.00%
2023-11-12,65.81,61.35,62.0,60.0,1.82K,0.00%
2023-11-09,65.81,60.5,62.65,60.5,1.19K,0.00%
2023-11-08,65.81,59.85,62.15,59.85,1.81K,0.00%
2023-11-07,65.81,59.0,61.01,58.56,4.68K,0.00%
2023-11-06,65.81,59.99,59.99,58.0,0.53K,0.00%
2023-11-05,65.81,58.34,61.5,56.0,3.45K,0.00%
2023-11-02,65.81,62.5,62.5,56.0,3.90K,0.00%
2023-11-01,65.81,63.29,65.88,63.25,1.53K,0.00%
2023-10-31,65.81,64.49,68.0,63.51,5.84K,5.31%
2023-10-30,62.49,63.0,64.48,62.52,1.94K,0.00%
2023-10-29,62.49,64.49,64.49,62.65,0.61K,0.00%
2023-10-26,62.49,64.48,64.49,63.9,1.13K,0.00%
2023-10-25,62.49,62.5,63.0,62.0,1.92K,0.00%
2023-10-24,62.49,62.45,62.8,61.52,5.07K,3.92%
2023-10-23,60.13,61.0,62.47,60.57,0.69K,0.00%
2023-10-22,60.13,61.78,61.78,61.0,1.65K,0.00%
2023-10-19,60.13,61.5,61.78,61.0,3.11K,0.00%
2023-10-18,60.13,60.99,61.48,60.99,1.11K,0.00%
2023-10-17,60.13,60.01,60.01,60.0,0.06K,0.00%
2023-10-16,60.13,61.72,61.72,60.01,0.04K,0.00%
2023-10-15,60.13,59.6,59.6,59.6,0.00K,0.00%
2023-10-12,60.13,59.63,59.63,59.62,0.15K,0.00%
2023-10-11,60.13,59.63,59.63,59.62,0.34K,0.00%
2023-10-10,60.13,60.01,60.01,59.6,0.33K,0.00%
2023-10-09,60.13,60.1,60.1,60.01,0.31K,0.00%
2023-10-08,60.13,60.98,62.48,60.01,3.40K,0.00%
2023-10-04,60.13,60.97,60.97,59.55,0.20K,0.00%
2023-10-03,60.13,60.13,60.13,59.14,0.30K,0.00%
2023-10-02,60.13,59.06,59.06,59.06,0.01K,0.00%
2023-10-01,60.13,60.01,61.0,60.01,0.01K,0.00%
2023-09-27,60.13,59.82,59.82,59.82,0.03K,0.00%
2023-09-26,60.13,61.98,61.98,61.98,0.00K,0.00%
2023-09-25,60.13,60.8,61.5,60.0,0.83K,0.00%
2023-09-24,60.13,60.1,60.16,60.1,0.52K,0.00%
2023-09-21,60.13,61.81,61.99,60.13,3.05K,0.00%
2023-09-20,60.13,61.02,61.02,61.02,0.01K,0.00%
2023-09-19,60.13,60.13,60.13,60.0,0.07K,0.00%
2023-09-18,60.13,61.84,61.84,59.82,0.01K,0.00%
2023-09-17,60.13,59.61,61.84,59.61,0.09K,0.00%
2023-09-14,60.13,60.0,60.0,59.59,2.19K,0.00%
2023-09-13,60.13,61.84,61.84,61.84,0.00K,0.00%
2023-09-12,60.13,59.25,59.25,59.25,0.01K,0.00%
2023-09-11,60.13,60.01,60.01,60.0,0.49K,0.00%
2023-09-10,60.13,60.39,60.39,60.0,2.28K,0.00%
2023-09-06,60.13,62.39,62.39,62.39,0.01K,0.00%
2023-09-04,60.13,60.36,60.36,60.36,0.00K,0.00%
2023-09-03,60.13,60.36,60.36,60.36,0.06K,0.00%
2023-08-31,60.13,61.0,61.0,60.53,0.77K,0.00%
2023-08-30,60.13,60.5,61.0,59.14,0.50K,0.00%
2023-08-29,60.13,60.42,61.0,60.42,0.74K,0.00%
2023-08-28,60.13,60.42,61.0,60.42,0.01K,0.00%
2023-08-27,60.13,60.42,60.44,60.42,0.08K,0.00%
2023-08-24,60.13,61.0,61.0,61.0,1.33K,0.00%
2023-08-23,60.13,60.55,60.72,60.55,1.03K,0.00%
2023-08-22,60.13,61.0,61.0,61.0,0.05K,0.00%
2023-08-21,60.13,62.3,62.3,62.3,0.10K,0.00%
2023-08-20,60.13,60.14,60.14,60.14,0.01K,0.00%
