Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,1.751,1.81,1.82,1.75,2.87M,-3.26%
2023-12-10,1.81,1.84,1.856,1.81,2.03M,-1.20%
2023-12-07,1.832,1.866,1.87,1.8,3.04M,-1.82%
2023-12-06,1.866,1.879,1.885,1.86,2.71M,-0.27%
2023-12-05,1.871,1.855,1.897,1.853,3.19M,1.14%
2023-12-04,1.85,1.891,1.9,1.846,4.23M,-0.75%
2023-12-03,1.864,1.869,1.87,1.846,1.86M,0.43%
2023-11-30,1.856,1.871,1.918,1.84,3.20M,-0.80%
2023-11-29,1.871,1.895,1.945,1.83,6.17M,-1.27%
2023-11-28,1.895,1.878,1.899,1.834,3.76M,1.07%
2023-11-27,1.875,1.86,1.903,1.84,5.28M,1.19%
2023-11-26,1.853,1.841,1.866,1.838,3.36M,0.98%
2023-11-23,1.835,1.889,1.89,1.825,6.18M,-1.34%
2023-11-22,1.86,1.779,1.877,1.77,14.63M,6.16%
2023-11-21,1.752,1.695,1.759,1.682,2.75M,3.00%
2023-11-20,1.701,1.73,1.735,1.69,3.25M,-0.76%
2023-11-19,1.714,1.739,1.747,1.71,2.41M,-0.41%
2023-11-16,1.721,1.741,1.75,1.71,3.09M,-0.64%
2023-11-15,1.732,1.735,1.765,1.725,4.29M,0.06%
2023-11-14,1.731,1.696,1.793,1.68,10.71M,3.84%
2023-11-13,1.667,1.634,1.69,1.62,3.26M,2.52%
2023-11-12,1.626,1.659,1.667,1.611,1.89M,-0.67%
2023-11-09,1.637,1.691,1.691,1.602,2.97M,-2.03%
2023-11-08,1.671,1.691,1.71,1.633,3.72M,-0.59%
2023-11-07,1.681,1.625,1.69,1.62,7.04M,3.96%
2023-11-06,1.617,1.62,1.647,1.613,3.16M,0.50%
2023-11-05,1.609,1.6,1.612,1.586,2.62M,1.32%
2023-11-02,1.588,1.589,1.607,1.558,1.90M,1.73%
2023-11-01,1.561,1.59,1.608,1.552,3.33M,-1.08%
2023-10-31,1.578,1.625,1.644,1.57,3.29M,-2.41%
2023-10-30,1.617,1.648,1.682,1.615,10.20M,-0.43%
2023-10-29,1.624,1.589,1.638,1.589,5.86M,2.46%
2023-10-26,1.585,1.579,1.619,1.567,3.70M,1.21%
2023-10-25,1.566,1.56,1.584,1.556,2.07M,0.58%
2023-10-24,1.557,1.588,1.6,1.544,1.68M,-0.76%
2023-10-23,1.569,1.575,1.6,1.566,1.66M,-0.13%
2023-10-22,1.571,1.57,1.58,1.551,1.69M,-0.25%
2023-10-19,1.575,1.58,1.609,1.57,2.39M,-0.19%
2023-10-18,1.578,1.605,1.647,1.573,2.58M,-1.38%
2023-10-17,1.6,1.56,1.61,1.56,2.83M,2.17%
2023-10-16,1.566,1.534,1.6,1.515,3.66M,2.69%
2023-10-15,1.525,1.52,1.547,1.517,1.63M,0.66%
2023-10-12,1.515,1.514,1.538,1.51,1.56M,0.73%
2023-10-11,1.504,1.54,1.544,1.503,1.72M,-2.08%
2023-10-10,1.536,1.521,1.544,1.5,1.48M,0.46%
2023-10-09,1.529,1.492,1.538,1.49,1.93M,2.14%
2023-10-08,1.497,1.557,1.569,1.471,5.63M,-5.25%
2023-10-04,1.58,1.492,1.585,1.49,7.48M,5.90%
2023-10-03,1.492,1.491,1.52,1.49,2.40M,-0.13%
2023-10-02,1.494,1.547,1.547,1.47,4.32M,-3.36%
2023-10-01,1.546,1.47,1.546,1.452,5.29M,5.17%
2023-09-27,1.47,1.498,1.498,1.46,3.09M,-1.87%
2023-09-26,1.498,1.5,1.519,1.495,1.84M,0.33%
2023-09-25,1.493,1.517,1.538,1.49,2.47M,-1.52%
