Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,0.946,0.855,0.946,0.848,8.12M,10.90%
2023-12-10,0.853,0.85,0.88,0.85,292.38K,0.35%
2023-12-07,0.85,0.885,0.885,0.812,617.09K,-2.86%
2023-12-06,0.875,0.905,0.909,0.866,715.28K,-2.23%
2023-12-05,0.895,0.88,0.915,0.87,1.41M,2.64%
2023-12-04,0.872,0.87,0.888,0.862,442.76K,2.11%
2023-12-03,0.854,0.845,0.874,0.845,257.21K,0.12%
2023-11-30,0.853,0.865,0.868,0.85,600.90K,0.12%
2023-11-29,0.852,0.849,0.865,0.82,547.93K,0.12%
2023-11-28,0.851,0.86,0.877,0.843,527.28K,-0.23%
2023-11-27,0.853,0.859,0.87,0.848,670.66K,-0.93%
2023-11-26,0.861,0.884,0.884,0.861,567.48K,-1.82%
2023-11-23,0.877,0.878,0.889,0.865,602.92K,1.39%
2023-11-22,0.865,0.839,0.889,0.835,826.63K,3.97%
2023-11-21,0.832,0.834,0.848,0.82,266.85K,2.09%
2023-11-20,0.815,0.828,0.848,0.809,456.35K,-1.45%
2023-11-19,0.827,0.859,0.859,0.812,246.97K,-0.84%
2023-11-16,0.834,0.859,0.859,0.837,125.99K,0.00%
2023-11-15,0.834,0.872,0.872,0.83,1.48M,-3.81%
2023-11-14,0.867,0.871,0.886,0.852,959.24K,0.00%
2023-11-13,0.867,0.889,0.889,0.86,381.27K,0.46%
2023-11-12,0.863,0.879,0.899,0.851,472.56K,0.47%
2023-11-09,0.859,0.93,0.934,0.852,1.16M,-5.08%
2023-11-08,0.905,0.928,0.945,0.9,1.22M,-2.16%
2023-11-07,0.925,0.868,0.933,0.844,4.00M,7.81%
2023-11-06,0.858,0.85,0.869,0.84,2.01M,0.94%
2023-11-05,0.85,0.811,0.855,0.8,3.67M,3.28%
2023-11-02,0.823,0.809,0.842,0.779,1.57M,2.62%
2023-11-01,0.802,0.78,0.82,0.775,566.41K,1.52%
2023-10-31,0.79,0.775,0.801,0.77,1.77M,2.60%
2023-10-30,0.77,0.783,0.815,0.751,1.93M,-3.51%
2023-10-29,0.798,0.8,0.815,0.78,873.76K,-0.13%
2023-10-26,0.799,0.774,0.807,0.746,1.33M,3.23%
2023-10-25,0.774,0.69,0.774,0.69,1.87M,9.94%
2023-10-24,0.704,0.706,0.706,0.683,204.40K,0.00%
2023-10-23,0.704,0.7,0.71,0.69,725.53K,0.72%
2023-10-22,0.699,0.681,0.705,0.675,634.19K,1.30%
2023-10-19,0.69,0.695,0.7,0.681,626.05K,-0.72%
2023-10-18,0.695,0.693,0.709,0.645,1.04M,-2.93%
2023-10-17,0.716,0.694,0.713,0.692,176.50K,0.00%
2023-10-16,0.716,0.71,0.721,0.688,979.25K,0.85%
2023-10-15,0.71,0.66,0.71,0.65,1.45M,9.91%
2023-10-12,0.646,0.659,0.659,0.648,161.98K,0.00%
2023-10-11,0.646,0.67,0.67,0.625,337.33K,-1.52%
2023-10-10,0.656,0.679,0.679,0.65,308.21K,-0.15%
2023-10-09,0.657,0.655,0.685,0.65,609.50K,0.46%
2023-10-08,0.654,0.689,0.72,0.64,536.68K,-7.23%
2023-10-04,0.705,0.69,0.709,0.687,67.78K,0.00%
2023-10-03,0.705,0.683,0.71,0.683,417.65K,2.47%
2023-10-02,0.688,0.718,0.718,0.679,444.34K,-1.29%
2023-10-01,0.697,0.704,0.725,0.703,181.32K,0.00%
2023-09-27,0.697,0.71,0.728,0.69,853.86K,-3.86%
2023-09-26,0.725,0.726,0.729,0.71,453.11K,-0.41%
2023-09-25,0.728,0.722,0.74,0.722,391.21K,-0.41%
2023-09-24,0.731,0.75,0.75,0.723,307.89K,0.69%
2023-09-21,0.726,0.746,0.755,0.721,691.43K,-2.68%
2023-09-20,0.746,0.77,0.77,0.732,552.66K,-3.62%
2023-09-19,0.774,0.778,0.785,0.77,760.34K,-0.39%
2023-09-18,0.777,0.773,0.788,0.772,583.74K,0.52%
2023-09-17,0.773,0.785,0.796,0.77,598.61K,-0.90%
2023-09-14,0.78,0.803,0.803,0.778,1.51M,-6.14%
2023-09-13,0.831,0.828,0.837,0.82,1.22M,0.61%
2023-09-12,0.826,0.836,0.857,0.825,929.11K,-0.60%
2023-09-11,0.831,0.86,0.86,0.825,973.30K,-2.46%
2023-09-10,0.852,0.84,0.866,0.836,1.23M,3.02%
2023-09-07,0.827,0.84,0.85,0.82,2.02M,-1.08%
2023-09-06,0.836,0.89,0.911,0.832,4.16M,-5.00%
2023-09-05,0.88,0.801,0.88,0.789,8.45M,10.00%
2023-09-04,0.8,0.775,0.8,0.775,994.27K,1.01%
2023-09-03,0.792,0.76,0.814,0.76,464.69K,0.13%
2023-08-31,0.791,0.808,0.826,0.782,2.39M,0.51%
2023-08-30,0.787,0.745,0.8,0.744,2.21M,6.50%
2023-08-29,0.739,0.731,0.749,0.731,574.68K,1.09%
2023-08-28,0.731,0.74,0.747,0.727,523.35K,-0.95%
2023-08-27,0.738,0.748,0.749,0.735,295.40K,1.37%
2023-08-24,0.728,0.737,0.75,0.725,287.23K,-0.82%
2023-08-23,0.734,0.759,0.764,0.732,749.67K,-0.94%
2023-08-22,0.741,0.755,0.774,0.74,775.53K,-0.27%
2023-08-21,0.743,0.742,0.757,0.736,410.41K,-0.27%
2023-08-20,0.745,0.733,0.769,0.733,257.52K,1.09%
2023-08-17,0.737,0.774,0.775,0.725,552.46K,-3.28%
2023-08-16,0.762,0.771,0.78,0.76,476.16K,-1.04%
2023-08-15,0.77,0.783,0.783,0.762,103.28K,0.00%
2023-08-14,0.77,0.785,0.785,0.76,526.56K,-0.39%
2023-08-13,0.773,0.782,0.783,0.765,194.76K,-0.26%
2023-08-10,0.775,0.778,0.785,0.77,300.40K,-0.90%
2023-08-09,0.782,0.776,0.795,0.776,333.95K,-0.26%
2023-08-08,0.784,0.795,0.799,0.768,529.03K,-1.26%
2023-08-07,0.794,0.803,0.81,0.791,393.66K,-0.87%
2023-08-06,0.801,0.802,0.81,0.798,602.67K,0.12%
2023-08-03,0.8,0.782,0.829,0.782,3.85M,2.43%
2023-08-02,0.781,0.775,0.805,0.758,1.40M,2.23%
2023-08-01,0.764,0.778,0.779,0.762,122.32K,0.00%
2023-07-31,0.764,0.769,0.778,0.757,340.31K,-0.65%
2023-07-30,0.769,0.772,0.784,0.764,480.89K,0.52%
2023-07-27,0.765,0.77,0.775,0.753,616.11K,-0.39%
2023-07-26,0.768,0.786,0.79,0.762,785.02K,-1.41%
