Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,24.71,25.55,26.0,24.01,27.28K,-5.18%
2023-12-10,26.06,25.5,26.93,25.5,132.10K,1.01%
2023-12-07,25.8,26.95,26.95,23.11,44.24K,-3.26%
2023-12-06,26.67,27.0,27.5,26.5,12.96K,-1.15%
2023-12-05,26.98,27.35,28.5,26.62,76.56K,0.15%
2023-12-04,26.94,24.5,27.3,24.4,93.33K,7.42%
2023-12-03,25.08,26.48,26.48,24.36,28.55K,-1.65%
2023-11-30,25.5,25.81,26.7,21.46,64.11K,-1.39%
2023-11-29,25.86,26.6,27.1,25.5,35.54K,-3.58%
2023-11-28,26.82,27.9,27.94,26.2,77.66K,-1.69%
2023-11-27,27.28,26.61,28.4,26.46,105.43K,5.00%
2023-11-26,25.98,26.0,27.3,25.0,61.80K,3.88%
2023-11-23,25.01,22.77,26.0,22.77,77.51K,9.84%
2023-11-22,22.77,23.99,23.99,22.5,65.99K,0.00%
2023-11-21,22.77,22.6,24.44,22.51,66.74K,1.16%
2023-11-20,22.51,22.9,23.6,22.02,53.47K,-0.18%
2023-11-19,22.55,21.0,22.99,20.61,51.86K,8.52%
2023-11-16,20.78,21.0,21.4,20.32,20.36K,-0.67%
2023-11-15,20.92,20.44,21.4,20.05,59.08K,2.50%
2023-11-14,20.41,20.15,20.5,20.0,12.28K,0.00%
2023-11-13,20.41,20.0,20.98,19.77,24.11K,3.13%
2023-11-12,19.79,19.95,20.0,19.67,15.96K,-1.79%
2023-11-09,20.15,20.42,20.6,19.95,27.99K,-1.32%
2023-11-08,20.42,20.2,20.5,20.1,35.69K,0.89%
2023-11-07,20.24,20.49,20.49,20.0,32.49K,1.15%
2023-11-06,20.01,20.27,20.65,19.71,22.12K,-1.62%
2023-11-05,20.34,20.45,20.85,20.06,33.70K,0.59%
2023-11-02,20.22,20.2,20.7,20.0,29.60K,0.65%
2023-11-01,20.09,20.8,21.16,19.61,54.90K,-2.71%
2023-10-31,20.65,21.49,22.3,20.0,53.52K,-2.91%
2023-10-30,21.27,23.25,23.74,21.0,59.24K,-7.84%
2023-10-29,23.08,22.9,23.9,22.6,39.23K,4.53%
2023-10-26,22.08,20.42,23.3,20.42,136.50K,7.97%
2023-10-25,20.45,20.5,20.84,20.03,50.82K,1.89%
2023-10-24,20.07,21.45,21.45,19.51,44.28K,-2.34%
2023-10-23,20.55,21.8,21.9,20.15,35.35K,-2.51%
2023-10-22,21.08,21.5,22.5,20.7,28.91K,-0.66%
2023-10-19,21.22,20.15,21.99,20.05,95.88K,6.31%
2023-10-18,19.96,20.5,20.9,19.8,64.45K,-0.40%
2023-10-17,20.04,18.99,20.43,18.99,82.75K,5.47%
2023-10-16,19.0,18.35,19.59,18.0,86.79K,4.86%
2023-10-15,18.12,17.93,18.38,17.9,28.32K,1.34%
2023-10-12,17.88,17.98,18.59,17.66,28.92K,-0.78%
2023-10-11,18.02,17.83,18.89,17.7,103.55K,2.33%
2023-10-10,17.61,17.11,17.9,17.11,17.10K,-2.76%
2023-10-09,18.11,17.2,18.11,16.66,12.42K,0.00%
2023-10-08,18.11,17.43,18.11,16.61,7.22K,0.00%
2023-10-04,18.11,16.6,17.4,16.6,3.84K,0.00%
2023-10-03,18.11,17.4,17.4,17.0,11.35K,0.00%
2023-10-02,18.11,17.5,17.5,16.9,6.56K,0.00%
2023-10-01,18.11,17.85,17.85,17.21,9.15K,0.00%
2023-09-27,18.11,17.75,18.1,17.57,14.18K,0.00%
2023-09-26,18.11,18.1,18.44,17.76,4.68K,0.00%
2023-09-25,18.11,18.0,18.44,18.0,21.35K,0.00%
2023-09-24,18.11,17.85,18.3,17.84,21.27K,0.44%
2023-09-21,18.03,18.0,18.35,17.6,23.71K,1.75%
2023-09-20,17.72,17.99,18.19,17.41,22.52K,-1.66%
2023-09-19,18.02,17.8,18.29,17.65,22.95K,1.12%
2023-09-18,17.82,17.65,18.5,17.44,106.48K,0.96%
2023-09-17,17.65,17.45,17.8,17.0,40.19K,0.51%
2023-09-14,17.56,17.4,17.78,17.07,12.41K,0.00%
2023-09-13,17.56,17.27,17.39,17.0,7.63K,0.00%
2023-09-12,17.56,16.76,17.39,16.6,7.46K,0.00%
2023-09-11,17.56,17.75,17.75,17.0,3.07K,0.00%
2023-09-10,17.56,17.0,17.86,17.0,5.18K,0.00%
2023-09-07,17.56,17.15,17.34,17.1,2.96K,0.00%
2023-09-06,17.56,17.97,18.1,17.22,26.77K,-2.06%
2023-09-05,17.93,17.25,18.0,16.87,44.57K,2.81%
2023-09-04,17.44,17.7,17.7,17.12,47.94K,-0.46%
2023-09-03,17.52,16.99,17.67,16.62,70.62K,3.91%
2023-08-31,16.86,16.82,17.25,16.77,24.43K,-1.06%
2023-08-30,17.04,16.08,17.18,16.08,66.82K,3.97%
2023-08-29,16.39,16.3,16.3,16.01,13.62K,0.00%
2023-08-28,16.39,16.45,16.45,16.0,10.81K,0.00%
2023-08-27,16.39,16.5,16.5,16.1,10.71K,0.00%
2023-08-24,16.39,16.69,16.69,16.25,11.57K,0.00%
2023-08-23,16.39,16.67,16.98,16.3,31.25K,-0.67%
2023-08-22,16.5,16.75,16.75,16.2,18.02K,0.00%
2023-08-21,16.5,16.65,16.9,16.2,22.57K,0.18%
2023-08-20,16.47,16.89,16.89,16.13,13.30K,0.00%
2023-08-17,16.47,16.88,16.88,16.4,22.11K,-0.84%
2023-08-16,16.61,16.7,17.0,16.5,22.55K,-1.37%
2023-08-15,16.84,17.0,17.1,16.59,34.96K,-0.18%
2023-08-14,16.87,17.08,17.1,16.6,10.44K,0.00%
2023-08-13,16.87,17.16,17.16,16.67,13.80K,0.00%
2023-08-10,16.87,17.0,17.0,16.59,11.37K,0.00%
2023-08-09,16.87,17.28,17.28,16.6,32.85K,-2.09%
2023-08-08,17.23,17.31,17.4,17.0,40.01K,0.00%
2023-08-07,17.23,17.26,17.46,17.2,39.96K,-0.86%
2023-08-06,17.38,17.59,17.59,17.2,35.60K,-0.29%
2023-08-03,17.43,17.21,17.7,17.21,199.69K,1.34%
2023-08-02,17.2,17.3,17.74,17.01,210.78K,1.06%
2023-08-01,17.02,17.18,17.5,16.8,43.20K,-0.70%
2023-07-31,17.14,17.32,17.6,16.9,61.81K,0.71%
2023-07-30,17.02,17.3,17.49,16.8,25.31K,-2.91%
2023-07-27,17.53,17.2,17.53,16.12,10.79K,0.00%
2023-07-26,17.53,17.0,17.4,15.83,12.61K,0.00%
2023-07-25,17.53,17.2,17.46,17.0,2.37K,0.00%
2023-07-24,17.53,17.5,17.5,17.2,8.88K,0.00%
2023-07-19,17.53,17.45,17.87,17.4,20.41K,0.29%
2023-07-18,17.48,17.51,17.6,17.42,14.17K,0.00%
2023-07-17,17.48,17.56,18.0,17.39,30.77K,-1.24%
2023-07-16,17.7,17.6,18.17,17.4,13.43K,0.00%
2023-07-13,17.7,17.63,18.2,17.6,17.03K,-2.05%
2023-07-12,18.07,18.58,18.58,17.63,14.50K,0.00%
2023-07-11,18.07,17.58,18.6,17.58,48.64K,2.79%
2023-07-10,17.58,17.27,18.18,17.27,31.84K,-1.73%
2023-07-09,17.89,17.84,18.7,17.42,57.36K,-3.24%
2023-07-06,18.49,18.35,18.99,18.2,83.20K,1.65%
2023-07-05,18.19,18.1,18.36,17.89,37.43K,-0.44%
2023-07-04,18.27,17.72,18.69,17.72,33.29K,4.22%
2023-06-26,17.53,17.7,18.24,17.51,5.38K,0.00%
2023-06-25,17.53,17.43,18.27,17.43,14.63K,0.00%
2023-06-22,17.53,17.65,18.3,17.42,65.28K,-1.68%
2023-06-21,17.83,18.0,18.09,17.67,23.03K,-1.16%
2023-06-20,18.04,18.05,18.5,17.8,9.19K,0.00%
2023-06-19,18.04,18.25,18.77,17.8,106.96K,-1.15%
2023-06-18,18.25,18.43,18.93,17.95,122.07K,-0.98%
2023-06-15,18.43,18.6,18.94,18.16,114.24K,2.16%
2023-06-14,18.04,17.7,18.6,17.3,161.05K,4.34%
2023-06-13,17.29,17.4,17.84,17.16,69.11K,1.41%
2023-06-12,17.05,16.5,17.48,16.5,94.40K,3.02%
2023-06-11,16.55,15.98,17.0,15.98,72.12K,3.12%
2023-06-08,16.05,15.9,16.49,15.8,24.83K,-0.74%
2023-06-07,16.17,17.15,17.15,16.0,104.94K,-4.09%
2023-06-06,16.86,16.78,17.49,16.77,68.64K,-1.06%
2023-06-05,17.04,17.27,17.7,16.96,123.39K,0.35%
2023-06-04,16.98,18.8,19.8,16.9,234.54K,-8.22%
2023-06-01,18.5,17.71,18.8,17.09,159.33K,7.25%
2023-05-31,17.25,17.8,17.9,17.01,113.48K,-1.88%
2023-05-30,17.58,16.1,17.77,16.05,264.44K,11.20%
2023-05-29,15.81,16.25,16.5,15.6,201.58K,-3.24%
2023-05-28,16.34,15.47,16.49,14.71,236.18K,8.00%
2023-05-25,15.13,15.68,15.69,14.91,91.99K,-1.30%
2023-05-24,15.33,15.2,15.99,15.07,211.61K,1.39%
2023-05-23,15.12,14.65,15.5,14.11,305.56K,3.14%
2023-05-22,14.66,15.2,15.23,14.62,213.64K,-2.27%
2023-05-21,15.0,14.75,15.3,14.62,378.47K,3.16%
2023-05-18,14.54,14.66,15.37,14.23,458.65K,1.96%
2023-05-17,14.26,14.11,14.99,14.01,75.50K,0.56%
2023-05-16,14.18,14.12,14.4,14.0,87.29K,0.57%
2023-05-15,14.1,14.02,14.57,14.0,138.81K,-1.54%
2023-05-14,14.32,14.22,14.4,13.92,45.11K,2.36%
2023-05-11,13.99,14.0,14.3,13.82,57.62K,-0.07%
2023-05-10,14.0,13.98,14.13,13.8,59.13K,0.14%
2023-05-09,13.98,13.75,14.18,13.66,105.25K,1.23%
2023-05-08,13.81,13.8,13.87,13.61,35.42K,0.51%
2023-05-07,13.74,13.3,13.8,13.03,40.40K,2.92%
2023-05-03,13.35,13.68,13.68,13.25,32.71K,-0.07%
2023-05-02,13.36,13.36,13.79,13.16,14.35K,0.00%
2023-05-01,13.36,13.58,13.74,13.25,23.10K,-1.62%
2023-04-30,13.58,13.95,14.14,13.5,114.30K,-1.81%
2023-04-27,13.83,14.11,14.7,13.48,62.33K,-1.36%
2023-04-26,14.02,13.2,14.69,13.02,112.83K,10.22%
2023-04-19,12.72,12.61,13.0,12.6,24.68K,2.00%
2023-04-18,12.47,12.5,12.85,12.5,15.00K,0.00%
2023-04-13,12.47,12.52,12.8,12.5,10.75K,0.00%
2023-04-12,12.47,12.52,12.65,12.24,5.45K,0.00%
2023-04-11,12.47,12.4,12.61,12.4,1.81K,0.00%
2023-04-10,12.47,12.6,12.8,12.11,9.27K,0.00%
2023-04-09,12.47,12.61,12.61,12.38,6.00K,0.00%
2023-04-06,12.47,12.5,12.7,12.2,4.58K,0.00%
2023-04-05,12.47,12.62,13.0,12.36,33.50K,4.26%
2023-04-04,11.96,12.71,12.71,12.29,7.69K,0.00%
2023-04-03,11.96,12.23,12.91,12.23,3.32K,0.00%
2023-04-02,11.96,11.86,12.35,11.86,4.01K,0.00%
2023-03-30,11.96,11.8,12.25,11.8,9.99K,0.00%
2023-03-29,11.96,12.35,12.35,12.0,1.22K,0.00%
2023-03-28,11.96,12.4,12.4,11.7,8.09K,0.00%
2023-03-27,11.96,12.2,12.4,11.96,4.55K,0.00%
2023-03-26,11.96,12.0,12.47,11.83,13.04K,0.00%
2023-03-23,11.96,11.96,12.46,11.81,4.98K,0.00%
2023-03-22,11.96,12.5,12.89,11.9,25.98K,-3.78%
2023-03-21,12.43,12.34,12.5,11.9,25.10K,8.75%
2023-03-20,11.43,11.93,12.09,11.55,11.39K,0.00%
2023-03-19,11.43,11.93,11.93,11.01,17.47K,0.00%
2023-03-16,11.43,11.0,11.8,10.75,26.38K,3.81%
2023-03-15,11.01,12.37,12.49,10.7,49.03K,-8.86%
2023-03-14,12.08,12.4,12.65,12.08,14.54K,0.00%
2023-03-13,12.08,13.01,13.3,12.02,46.32K,-7.72%
2023-03-12,13.09,13.52,13.6,13.0,43.42K,-1.73%
2023-03-09,13.32,13.61,13.8,13.3,20.84K,0.00%
2023-03-08,13.32,13.55,14.0,13.12,57.06K,-3.76%
2023-03-07,13.84,13.85,14.39,13.55,27.31K,-0.65%
2023-03-06,13.93,14.13,14.59,13.91,22.35K,-0.50%
2023-03-05,14.0,14.77,14.9,13.91,73.49K,-3.45%
2023-03-02,14.5,13.57,14.7,13.57,105.13K,4.17%
2023-03-01,13.92,14.29,14.29,13.52,40.73K,-2.59%
2023-02-28,14.29,13.5,14.6,13.2,314.88K,9.42%
2023-02-27,13.06,13.26,13.6,12.82,28.09K,-2.83%
2023-02-26,13.44,13.88,13.88,13.01,5.02K,0.00%
2023-02-23,13.44,13.87,13.87,12.95,61.28K,0.22%
2023-02-22,13.41,14.0,14.0,13.3,32.05K,-2.83%
2023-02-21,13.8,13.85,14.39,13.74,51.75K,-0.93%
2023-02-20,13.93,13.47,14.54,12.75,300.37K,5.29%
2023-02-19,13.23,13.09,13.7,13.09,128.77K,1.85%
2023-02-16,12.99,12.32,13.1,12.25,80.37K,10.84%
2023-02-15,11.72,11.99,12.0,11.73,3.63K,0.00%
2023-02-14,11.72,11.73,11.91,11.57,3.28K,0.00%
2023-02-13,11.72,12.4,12.4,11.7,15.05K,0.00%
2023-02-12,11.72,12.0,12.15,10.8,16.84K,0.00%
2023-02-09,11.72,11.72,12.1,11.72,4.40K,0.00%
2023-02-08,11.72,11.7,12.2,11.69,6.99K,0.00%
2023-02-07,11.72,11.8,12.0,11.31,12.68K,0.00%
2023-02-06,11.72,11.95,11.99,11.7,11.03K,0.00%
2023-02-05,11.72,11.73,11.95,11.11,10.25K,0.00%
2023-02-02,11.72,12.57,12.6,11.7,55.74K,-6.91%
2023-02-01,12.59,12.05,12.59,12.0,4.20K,0.00%
2023-01-31,12.59,12.41,12.83,12.2,16.84K,0.00%
2023-01-30,12.59,12.94,13.18,12.21,31.86K,-2.93%
2023-01-29,12.97,13.0,13.07,12.91,18.89K,0.00%
2023-01-25,12.97,13.3,13.3,12.92,27.36K,0.15%
2023-01-24,12.95,13.15,13.23,12.91,33.33K,-0.54%
2023-01-23,13.02,13.7,13.7,13.0,48.41K,-3.98%
2023-01-22,13.56,13.14,14.0,13.14,92.44K,2.81%
2023-01-19,13.19,13.38,13.38,13.12,38.95K,1.15%
2023-01-18,13.04,13.0,13.5,13.0,108.57K,2.35%
2023-01-17,12.74,13.08,13.08,12.51,31.18K,0.79%
2023-01-16,12.64,12.54,12.99,12.5,43.99K,1.69%
2023-01-15,12.43,12.67,12.67,12.2,16.78K,0.00%
2023-01-12,12.43,12.89,12.89,12.2,33.32K,-0.80%
2023-01-11,12.53,12.86,13.13,12.25,58.47K,-5.15%
2023-01-10,13.21,13.16,13.2,12.84,22.76K,0.00%
2023-01-09,13.21,13.01,13.89,13.01,79.03K,1.46%
2023-01-05,13.02,13.07,13.15,13.02,17.52K,0.00%
2023-01-04,13.02,13.25,13.39,12.9,26.31K,-0.31%
2023-01-03,13.06,13.16,13.45,13.0,28.36K,1.48%
2023-01-02,12.87,13.4,13.4,13.0,3.60K,0.00%
2022-12-29,12.87,13.13,13.19,12.93,3.69K,0.00%
2022-12-28,12.87,13.13,13.2,12.9,5.60K,0.00%
2022-12-27,12.87,13.0,13.3,12.84,7.42K,0.00%
2022-12-26,12.87,12.55,13.4,12.55,14.49K,0.00%
2022-12-25,12.87,12.7,13.12,12.7,27.73K,-0.39%
2022-12-22,12.92,13.39,13.7,12.85,25.34K,-3.37%
2022-12-21,13.37,12.99,13.5,12.88,43.50K,3.00%
2022-12-20,12.98,12.98,13.28,12.68,42.51K,0.23%
2022-12-19,12.95,13.13,13.13,12.66,18.98K,0.00%
2022-12-18,12.95,12.84,13.5,12.84,36.46K,0.00%
2022-12-15,12.95,13.28,13.6,12.91,79.33K,-0.38%
2022-12-14,13.0,13.68,13.86,12.93,105.55K,-3.49%
2022-12-13,13.47,12.72,13.99,12.72,190.07K,7.42%
2022-12-12,12.54,12.65,12.65,12.02,29.07K,-0.87%
2022-12-11,12.65,12.68,13.19,12.5,63.27K,-0.55%
2022-12-08,12.72,12.8,12.95,12.61,10.12K,0.00%
2022-12-07,12.72,12.99,13.3,12.61,126.02K,-1.40%
2022-12-06,12.9,12.52,13.0,12.5,117.61K,3.45%
2022-12-05,12.47,12.17,12.83,11.9,306.32K,3.83%
2022-12-04,12.01,12.32,12.32,11.9,43.29K,0.25%
2022-12-01,11.98,11.93,12.36,11.93,62.03K,0.42%
2022-11-30,11.93,12.14,12.4,11.84,108.66K,-0.91%
2022-11-29,12.04,12.1,12.38,11.8,112.61K,-0.58%
2022-11-28,12.11,11.39,12.3,11.2,291.44K,7.36%
2022-11-27,11.28,11.11,11.43,11.0,100.87K,2.55%
2022-11-24,11.0,10.8,11.2,10.7,100.41K,2.04%
2022-11-23,10.78,10.99,10.99,10.73,12.11K,0.00%
2022-11-22,10.78,10.77,10.98,10.65,7.93K,0.00%
2022-11-21,10.78,10.73,11.1,10.73,38.07K,-0.09%
2022-11-20,10.79,11.07,11.3,10.75,64.27K,-2.88%
2022-11-17,11.11,11.2,11.59,10.91,170.46K,5.11%
2022-11-16,10.57,10.4,10.65,10.22,112.58K,0.67%
2022-11-15,10.5,10.74,10.8,10.41,32.53K,-2.42%
2022-11-14,10.76,10.85,10.85,10.61,22.24K,0.00%
2022-11-13,10.76,10.31,10.97,10.31,24.22K,0.00%
2022-11-10,10.76,10.2,10.85,10.2,69.96K,4.67%
2022-11-09,10.28,10.4,10.4,10.14,20.91K,0.00%
2022-11-08,10.28,10.49,10.49,10.29,4.37K,0.00%
2022-11-07,10.28,10.25,10.4,10.2,9.78K,0.00%
2022-11-06,10.28,10.2,10.4,10.2,17.16K,0.00%
2022-11-03,10.28,10.3,10.46,10.16,19.03K,0.00%
2022-11-02,10.28,10.54,10.54,10.15,13.85K,0.00%
2022-11-01,10.28,10.46,10.6,10.28,15.06K,0.00%
2022-10-31,10.28,10.26,10.45,10.2,11.48K,0.00%
2022-10-30,10.28,10.46,10.87,10.25,91.26K,1.78%
2022-10-27,10.1,10.03,10.43,10.03,57.39K,0.50%
2022-10-26,10.05,10.49,10.49,10.0,73.80K,-4.38%
2022-10-25,10.51,10.5,10.5,10.18,5.08K,0.00%
2022-10-24,10.51,10.45,10.5,10.2,5.52K,0.00%
2022-10-23,10.51,10.44,10.5,10.16,9.02K,0.00%
2022-10-20,10.51,10.4,10.43,10.2,15.86K,0.00%
2022-10-19,10.51,10.4,10.45,10.18,14.80K,0.00%
2022-10-18,10.51,10.12,10.4,10.12,8.46K,0.00%
2022-10-17,10.51,10.1,10.37,10.05,14.39K,0.00%
2022-10-16,10.51,10.2,10.45,10.14,4.63K,0.00%
2022-10-13,10.51,10.0,10.19,9.94,13.49K,0.00%
2022-10-12,10.51,10.05,10.12,9.9,22.71K,0.00%
2022-10-11,10.51,10.26,10.35,10.0,24.69K,0.00%
2022-10-10,10.51,10.25,10.25,10.12,6.57K,0.00%
2022-10-09,10.51,10.36,10.65,10.2,15.40K,0.00%
2022-10-05,10.51,10.91,10.91,10.35,25.48K,0.00%
2022-10-04,10.51,10.6,10.86,10.43,12.97K,0.00%
2022-10-03,10.51,10.55,10.59,10.48,13.67K,0.00%
2022-10-02,10.51,10.69,10.95,10.41,24.14K,0.00%
2022-09-29,10.51,10.5,10.78,10.45,33.32K,-3.49%
2022-09-28,10.89,10.47,10.51,10.47,3.65K,0.00%
2022-09-27,10.89,10.76,11.0,10.62,20.09K,0.00%
2022-09-26,10.89,10.5,11.06,10.35,83.02K,4.11%
2022-09-25,10.46,10.35,10.66,10.1,26.39K,0.00%
2022-09-22,10.46,10.33,10.8,10.15,59.76K,0.00%
2022-09-21,10.46,10.4,10.66,10.4,46.09K,-0.19%
2022-09-20,10.48,10.4,10.77,10.03,98.66K,3.05%
2022-09-19,10.17,10.85,10.85,10.0,25.50K,0.00%
