Date,Price,Open,High,Low,Vol.,Change %
2021-07-14,0.19,0.2,0.2,0.19,117.79K,-5.00%
2021-07-12,0.2,0.21,0.21,0.2,7.66K,5.26%
2021-07-05,0.19,0.19,0.19,0.19,4.59K,0.00%
2021-06-30,0.19,0.19,0.19,0.19,6.00K,0.00%
2021-06-28,0.19,0.19,0.19,0.19,0.15K,0.00%
2021-06-23,0.19,0.19,0.19,0.19,2.50K,-5.00%
2021-06-21,0.2,0.2,0.2,0.2,0.18K,0.00%
2021-06-16,0.2,0.19,0.2,0.19,13.57K,0.00%
2021-06-02,0.2,0.17,0.2,0.17,83.33K,25.00%
2021-05-26,0.16,0.16,0.18,0.16,4.04K,0.00%
2021-05-24,0.16,0.15,0.16,0.15,3.68K,0.00%
2021-04-28,0.16,0.16,0.16,0.16,0.20K,-15.79%
2021-04-26,0.19,0.19,0.2,0.19,30.00K,26.67%
2021-04-19,0.15,0.15,0.15,0.15,3.17K,0.00%
2021-04-12,0.15,0.15,0.15,0.14,4.00K,-16.67%
2021-03-31,0.18,0.18,0.18,0.18,3.73K,0.00%
2021-03-22,0.18,0.18,0.18,0.18,0.13K,-5.26%
2021-03-17,0.19,0.19,0.19,0.19,5.50K,0.00%
2021-03-15,0.19,0.19,0.19,0.18,2.28K,-5.00%
2021-03-10,0.2,0.2,0.2,0.18,0.89K,0.00%
2021-03-03,0.2,0.2,0.21,0.2,7.90K,-4.76%
2021-03-01,0.21,0.22,0.22,0.21,10.58K,5.00%
2021-02-24,0.2,0.2,0.2,0.2,0.20K,-4.76%
2021-02-22,0.21,0.2,0.21,0.2,5.50K,10.53%
2021-02-15,0.19,0.19,0.19,0.19,0.50K,0.00%
2021-02-10,0.19,0.19,0.19,0.19,0.42K,-5.00%
2021-02-03,0.2,0.2,0.2,0.2,5.00K,0.00%
2021-01-25,0.2,0.2,0.2,0.2,5.00K,0.00%
2021-01-18,0.2,0.2,0.2,0.2,0.30K,11.11%
2021-01-11,0.18,0.18,0.18,0.18,0.50K,-5.26%
2021-01-06,0.19,0.19,0.19,0.18,1.03K,-9.52%
2020-12-30,0.21,0.21,0.21,0.21,0.95K,10.53%
2020-12-21,0.19,0.19,0.19,0.19,1.87K,0.00%
2020-12-14,0.19,0.19,0.2,0.19,1.05K,5.56%
2020-12-09,0.18,0.18,0.18,0.18,0.50K,-10.00%
2020-12-02,0.2,0.2,0.2,0.2,8.92K,-9.09%
2020-11-25,0.22,0.2,0.23,0.2,2.78K,22.22%
2020-11-02,0.18,0.18,0.18,0.18,0.70K,-5.26%
2020-10-21,0.19,0.19,0.22,0.19,3.00K,0.00%
2020-10-19,0.19,0.19,0.19,0.18,3.10K,0.00%
2020-10-12,0.19,0.19,0.19,0.19,1.00K,0.00%
2020-10-07,0.19,0.19,0.19,0.19,0.80K,0.00%
2020-09-30,0.19,0.19,0.19,0.19,1.20K,-9.52%
2020-09-28,0.21,0.21,0.22,0.21,1.20K,16.67%
2020-09-23,0.18,0.18,0.18,0.18,1.00K,-10.00%
2020-08-31,0.2,0.2,0.2,0.19,2.00K,0.00%
2020-08-19,0.2,0.2,0.2,0.2,5.80K,11.11%
2020-07-29,0.18,0.18,0.18,0.18,0.12K,-5.26%
2020-07-27,0.19,0.2,0.2,0.18,6.00K,0.00%
2020-07-22,0.19,0.2,0.2,0.19,2.39K,-5.00%
2020-07-20,0.2,0.2,0.2,0.2,0.50K,-9.09%
2020-07-15,0.22,0.22,0.22,0.22,0.37K,10.00%
2020-06-10,0.2,0.19,0.19,0.19,0.02K,0.00%
2020-06-08,0.2,0.2,0.2,0.2,4.40K,5.26%
2020-05-13,0.19,0.19,0.19,0.18,6.00K,5.56%
2020-05-06,0.18,0.16,0.19,0.16,5.00K,0.00%
2020-05-04,0.18,0.18,0.18,0.18,2.00K,-10.00%
2020-04-29,0.2,0.2,0.2,0.2,7.55K,5.26%
2020-04-22,0.19,0.2,0.2,0.19,22.05K,0.00%
2020-04-15,0.19,0.19,0.19,0.19,20.00K,-5.00%
2020-04-13,0.2,0.19,0.2,0.19,50.68K,11.11%
2020-03-09,0.18,0.18,0.18,0.18,15.00K,-18.18%
2020-02-26,0.22,0.22,0.22,0.21,0.68K,-4.35%
2020-02-12,0.23,0.24,0.24,0.22,2.00K,-23.33%
2020-01-08,0.3,0.23,0.23,0.23,0.09K,0.00%
2019-12-23,0.3,0.22,0.22,0.22,0.02K,0.00%
