Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,0.509,0.49,0.518,0.479,117.36M,2.21%
2023-12-10,0.498,0.477,0.54,0.462,238.34M,8.26%
2023-12-07,0.46,0.385,0.46,0.366,135.37M,19.79%
2023-12-06,0.384,0.399,0.4,0.382,14.87M,-3.03%
2023-12-05,0.396,0.401,0.415,0.394,11.08M,-1.00%
2023-12-04,0.4,0.4,0.41,0.389,23.28M,0.50%
2023-12-03,0.398,0.413,0.413,0.387,27.99M,-1.97%
2023-11-30,0.406,0.405,0.413,0.4,14.10M,-0.73%
2023-11-29,0.409,0.411,0.416,0.404,8.29M,-0.49%
2023-11-28,0.411,0.42,0.422,0.396,9.06M,-1.44%
2023-11-27,0.417,0.425,0.429,0.411,14.58M,-1.42%
2023-11-26,0.423,0.427,0.439,0.42,22.35M,0.48%
2023-11-23,0.421,0.412,0.438,0.402,41.47M,2.43%
2023-11-22,0.411,0.4,0.425,0.397,41.22M,4.05%
2023-11-21,0.395,0.37,0.411,0.37,73.52M,6.18%
2023-11-20,0.372,0.373,0.373,0.364,11.85M,0.54%
2023-11-19,0.37,0.371,0.376,0.369,10.34M,0.82%
2023-11-16,0.367,0.36,0.371,0.353,43.76M,3.09%
2023-11-15,0.356,0.368,0.376,0.354,12.42M,-2.73%
2023-11-14,0.366,0.38,0.382,0.365,26.58M,-3.43%
2023-11-13,0.379,0.386,0.386,0.377,8.07M,-0.26%
2023-11-12,0.38,0.377,0.388,0.374,13.56M,1.88%
2023-11-09,0.373,0.39,0.39,0.371,10.08M,-3.12%
2023-11-08,0.385,0.4,0.405,0.382,24.39M,-3.99%
2023-11-07,0.401,0.4,0.408,0.398,38.84M,0.75%
2023-11-06,0.398,0.385,0.404,0.374,55.18M,4.46%
2023-11-05,0.381,0.386,0.387,0.377,16.68M,0.53%
2023-11-02,0.379,0.367,0.38,0.365,17.63M,5.28%
2023-11-01,0.36,0.375,0.379,0.352,21.56M,-3.23%
2023-10-31,0.372,0.375,0.386,0.372,24.07M,-0.53%
2023-10-30,0.374,0.379,0.395,0.372,30.88M,-1.32%
2023-10-29,0.379,0.376,0.392,0.372,46.58M,2.43%
2023-10-26,0.37,0.397,0.4,0.368,67.49M,-6.09%
2023-10-25,0.394,0.345,0.41,0.345,78.21M,14.53%
2023-10-24,0.344,0.35,0.359,0.332,34.59M,-1.15%
2023-10-23,0.348,0.345,0.36,0.334,40.10M,7.08%
2023-10-22,0.325,0.305,0.33,0.305,15.61M,6.91%
2023-10-19,0.304,0.305,0.31,0.3,7.76M,-0.33%
2023-10-18,0.305,0.311,0.312,0.303,5.50M,-0.97%
2023-10-17,0.308,0.308,0.313,0.307,5.01M,0.33%
2023-10-16,0.307,0.314,0.317,0.305,7.14M,-1.92%
2023-10-15,0.313,0.314,0.317,0.312,5.22M,0.32%
2023-10-12,0.312,0.31,0.318,0.309,4.92M,0.97%
2023-10-11,0.309,0.312,0.314,0.308,5.41M,-0.64%
2023-10-10,0.311,0.31,0.315,0.307,3.84M,1.30%
2023-10-09,0.307,0.307,0.314,0.302,2.70M,0.00%
2023-10-08,0.307,0.32,0.32,0.29,10.86M,-3.76%
2023-10-04,0.319,0.32,0.321,0.311,5.22M,0.95%
2023-10-03,0.316,0.329,0.329,0.315,5.14M,-2.17%
2023-10-02,0.323,0.316,0.332,0.314,7.60M,2.87%
2023-10-01,0.314,0.319,0.32,0.31,4.44M,-0.63%
2023-09-27,0.316,0.323,0.323,0.31,9.30M,-2.17%
2023-09-26,0.323,0.328,0.328,0.321,5.81M,-0.31%
2023-09-25,0.324,0.328,0.331,0.323,6.70M,-1.22%
2023-09-24,0.328,0.337,0.338,0.325,9.04M,-0.91%
2023-09-21,0.331,0.33,0.339,0.329,9.71M,0.30%
2023-09-20,0.33,0.342,0.347,0.33,20.17M,-3.51%
2023-09-19,0.342,0.344,0.352,0.34,19.95M,-0.29%
2023-09-18,0.343,0.348,0.348,0.341,11.48M,0.00%
2023-09-17,0.343,0.346,0.355,0.343,37.14M,-0.29%
2023-09-14,0.344,0.329,0.347,0.329,31.12M,4.88%
2023-09-13,0.328,0.333,0.335,0.323,18.91M,-0.30%
2023-09-12,0.329,0.33,0.338,0.322,17.12M,0.30%
2023-09-11,0.328,0.341,0.342,0.325,18.86M,-3.24%
2023-09-10,0.339,0.343,0.345,0.335,22.41M,0.30%
2023-09-07,0.338,0.348,0.349,0.331,41.37M,-1.74%
2023-09-06,0.344,0.35,0.366,0.341,76.50M,3.30%
2023-09-05,0.333,0.307,0.339,0.305,66.05M,9.18%
2023-09-04,0.305,0.307,0.308,0.304,5.90M,0.33%
2023-09-03,0.304,0.309,0.31,0.303,11.08M,-0.98%
2023-08-31,0.307,0.312,0.317,0.301,11.53M,-0.97%
2023-08-30,0.31,0.31,0.324,0.3,24.05M,0.32%
2023-08-29,0.309,0.315,0.318,0.308,11.55M,-0.96%
2023-08-28,0.312,0.319,0.325,0.311,16.75M,-0.95%
2023-08-27,0.315,0.305,0.328,0.304,35.01M,4.30%
2023-08-24,0.302,0.3,0.308,0.287,28.67M,0.33%
2023-08-23,0.301,0.322,0.325,0.296,22.55M,-6.23%
2023-08-22,0.321,0.32,0.333,0.317,15.07M,0.63%
2023-08-21,0.319,0.318,0.322,0.315,9.67M,0.00%
2023-08-20,0.319,0.325,0.326,0.316,9.99M,-0.62%
2023-08-17,0.321,0.327,0.331,0.265,14.20M,-2.13%
2023-08-16,0.328,0.334,0.338,0.326,19.74M,-0.91%
2023-08-15,0.331,0.323,0.353,0.322,30.62M,0.30%
2023-08-14,0.33,0.337,0.337,0.327,25.23M,-1.20%
2023-08-13,0.334,0.34,0.342,0.333,11.69M,-0.60%
2023-08-10,0.336,0.338,0.34,0.33,24.10M,0.60%
2023-08-09,0.334,0.342,0.345,0.333,31.89M,-1.76%
