Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,0.427,0.431,0.441,0.423,35.65M,-1.16%
2023-12-10,0.432,0.44,0.456,0.431,54.56M,-1.37%
2023-12-07,0.438,0.446,0.448,0.425,44.44M,-2.67%
2023-12-06,0.45,0.465,0.469,0.45,47.92M,-2.81%
2023-12-05,0.463,0.478,0.484,0.463,52.84M,-2.73%
2023-12-04,0.476,0.47,0.485,0.462,39.67M,2.81%
2023-12-03,0.463,0.478,0.491,0.461,64.20M,-1.49%
2023-11-30,0.47,0.476,0.485,0.46,62.79M,-0.21%
2023-11-29,0.471,0.467,0.501,0.455,187.20M,3.29%
2023-11-28,0.456,0.46,0.461,0.435,69.56M,0.22%
2023-11-27,0.455,0.466,0.475,0.45,50.12M,-1.52%
2023-11-26,0.462,0.474,0.48,0.46,75.75M,-0.43%
2023-11-23,0.464,0.441,0.489,0.437,174.53M,7.16%
2023-11-22,0.433,0.45,0.455,0.426,74.47M,-2.70%
2023-11-21,0.445,0.375,0.446,0.372,178.06M,19.62%
2023-11-20,0.372,0.386,0.39,0.372,19.39M,-2.62%
2023-11-19,0.382,0.38,0.392,0.377,37.37M,1.33%
2023-11-16,0.377,0.38,0.382,0.376,9.75M,0.53%
2023-11-15,0.375,0.386,0.388,0.372,18.08M,-2.09%
2023-11-14,0.383,0.377,0.388,0.373,26.78M,2.13%
2023-11-13,0.375,0.383,0.385,0.374,35.44M,-0.53%
2023-11-12,0.377,0.357,0.38,0.357,36.12M,6.50%
2023-11-09,0.354,0.36,0.36,0.349,11.53M,-1.12%
2023-11-08,0.358,0.37,0.373,0.358,26.44M,-2.72%
2023-11-07,0.368,0.361,0.369,0.36,17.15M,1.38%
2023-11-06,0.363,0.36,0.37,0.358,34.94M,1.11%
2023-11-05,0.359,0.342,0.36,0.342,18.26M,5.28%
2023-11-02,0.341,0.336,0.345,0.334,6.67M,0.89%
2023-11-01,0.338,0.344,0.347,0.334,8.55M,-2.03%
2023-10-31,0.345,0.35,0.353,0.344,9.06M,-1.43%
2023-10-30,0.35,0.347,0.353,0.347,16.98M,0.86%
2023-10-29,0.347,0.346,0.355,0.345,9.86M,0.29%
2023-10-26,0.346,0.346,0.352,0.344,15.25M,1.76%
2023-10-25,0.34,0.339,0.35,0.336,33.08M,1.49%
2023-10-24,0.335,0.33,0.347,0.326,33.19M,4.04%
2023-10-23,0.322,0.33,0.334,0.32,15.31M,-2.13%
2023-10-22,0.329,0.318,0.331,0.318,9.74M,3.46%
2023-10-19,0.318,0.323,0.325,0.317,7.88M,-0.31%
2023-10-18,0.319,0.326,0.326,0.317,9.02M,-0.93%
2023-10-17,0.322,0.316,0.325,0.316,10.32M,1.58%
2023-10-16,0.317,0.32,0.32,0.313,3.77M,0.00%
2023-10-15,0.317,0.316,0.32,0.315,6.08M,0.32%
2023-10-12,0.316,0.322,0.325,0.313,9.39M,-2.17%
2023-10-11,0.323,0.326,0.333,0.322,6.31M,-0.31%
2023-10-10,0.324,0.32,0.33,0.32,6.76M,2.53%
2023-10-09,0.316,0.31,0.32,0.307,8.65M,0.96%
2023-10-08,0.313,0.327,0.327,0.295,11.53M,-3.69%
2023-10-04,0.325,0.324,0.329,0.324,4.37M,0.00%
2023-10-03,0.325,0.327,0.329,0.324,6.21M,0.62%
2023-10-02,0.323,0.337,0.337,0.322,8.13M,-2.71%
2023-10-01,0.332,0.335,0.342,0.331,4.68M,-0.90%
2023-09-27,0.335,0.343,0.345,0.333,10.31M,-2.05%
2023-09-26,0.342,0.35,0.35,0.342,6.98M,-1.16%
2023-09-25,0.346,0.349,0.352,0.345,12.68M,-0.57%
2023-09-24,0.348,0.357,0.357,0.347,4.94M,-0.57%
2023-09-21,0.35,0.352,0.356,0.348,12.43M,-0.28%
2023-09-20,0.351,0.367,0.368,0.349,21.59M,-3.84%
2023-09-19,0.365,0.36,0.378,0.359,60.89M,1.67%
2023-09-18,0.359,0.352,0.367,0.351,34.49M,1.99%
2023-09-17,0.352,0.352,0.354,0.349,6.73M,0.86%
2023-09-14,0.349,0.346,0.35,0.346,3.27M,1.45%
2023-09-13,0.344,0.348,0.348,0.342,6.57M,0.29%
2023-09-12,0.343,0.349,0.351,0.343,7.18M,-2.00%
2023-09-11,0.35,0.354,0.357,0.348,7.60M,-0.57%
2023-09-10,0.352,0.357,0.358,0.352,6.49M,-0.28%
2023-09-07,0.353,0.358,0.358,0.35,13.06M,-0.28%
2023-09-06,0.354,0.355,0.358,0.354,5.53M,0.00%
2023-09-05,0.354,0.355,0.36,0.353,13.25M,0.57%
2023-09-04,0.352,0.36,0.363,0.35,16.99M,-1.12%
2023-09-03,0.356,0.348,0.365,0.348,30.10M,3.19%
2023-08-31,0.345,0.348,0.348,0.343,6.98M,0.00%
2023-08-30,0.345,0.341,0.351,0.34,16.10M,1.17%
2023-08-29,0.341,0.345,0.345,0.337,6.47M,0.00%
2023-08-28,0.341,0.348,0.348,0.335,4.60M,-0.29%
2023-08-27,0.342,0.342,0.346,0.336,9.65M,0.59%
2023-08-24,0.34,0.342,0.346,0.34,6.43M,-0.58%
2023-08-23,0.342,0.35,0.35,0.341,6.69M,-0.58%
2023-08-22,0.344,0.342,0.354,0.342,17.61M,0.29%
2023-08-21,0.343,0.344,0.348,0.34,7.34M,-0.29%
2023-08-20,0.344,0.344,0.349,0.343,4.82M,0.00%
2023-08-17,0.344,0.351,0.351,0.344,7.45M,-1.43%
2023-08-16,0.349,0.35,0.358,0.348,11.10M,-0.57%
2023-08-15,0.351,0.352,0.354,0.347,8.51M,0.57%
2023-08-14,0.349,0.347,0.354,0.347,9.49M,0.00%
2023-08-13,0.349,0.352,0.352,0.346,6.92M,0.87%
2023-08-10,0.346,0.353,0.357,0.346,8.64M,-2.26%
2023-08-09,0.354,0.358,0.36,0.353,7.41M,-0.56%
2023-08-08,0.356,0.35,0.363,0.349,13.73M,1.71%
2023-08-07,0.35,0.352,0.352,0.349,8.06M,0.29%
2023-08-06,0.349,0.35,0.353,0.349,6.14M,-0.29%
2023-08-03,0.35,0.349,0.353,0.347,4.33M,0.29%
2023-08-02,0.349,0.355,0.356,0.348,6.88M,-0.57%
2023-08-01,0.351,0.356,0.359,0.35,10.18M,-1.40%
2023-07-31,0.356,0.356,0.363,0.355,7.24M,-0.28%
2023-07-30,0.357,0.356,0.365,0.354,14.25M,0.85%
2023-07-27,0.354,0.348,0.358,0.348,8.78M,1.72%
2023-07-26,0.348,0.35,0.351,0.345,3.54M,0.29%
2023-07-25,0.347,0.353,0.355,0.347,4.53M,-1.42%
2023-07-24,0.352,0.354,0.358,0.352,3.65M,-0.28%
2023-07-19,0.353,0.355,0.358,0.352,4.26M,0.00%
2023-07-18,0.353,0.359,0.359,0.351,5.21M,-0.56%
2023-07-17,0.355,0.364,0.364,0.354,16.04M,-0.84%
2023-07-16,0.358,0.362,0.367,0.357,13.11M,0.28%
2023-07-13,0.357,0.343,0.363,0.343,18.92M,4.08%
