Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,0.073,0.07,0.07,0.07,55.06K,4.29%
2023-12-10,0.07,0.07,0.07,0.07,1.02K,-4.11%
2023-12-05,0.073,0.071,0.071,0.07,1.90K,0.00%
2023-12-04,0.073,0.073,0.073,0.073,2.90K,0.00%
2023-12-03,0.073,0.071,0.071,0.071,0.70K,0.00%
2023-11-30,0.073,0.071,0.071,0.07,2.79K,0.00%
2023-11-29,0.073,0.071,0.071,0.07,35.50K,0.00%
2023-11-28,0.073,0.07,0.074,0.07,139.09K,1.39%
2023-11-23,0.072,0.07,0.07,0.07,15.00K,0.00%
2023-11-22,0.072,0.071,0.072,0.071,19.72K,0.00%
2023-11-21,0.072,0.07,0.07,0.07,0.50K,0.00%
2023-11-20,0.072,0.07,0.07,0.07,26.58K,0.00%
2023-11-16,0.072,0.071,0.071,0.07,35.37K,0.00%
2023-11-14,0.072,0.072,0.073,0.072,6.90K,0.00%
2023-11-13,0.072,0.072,0.072,0.072,1.41K,0.00%
2023-11-12,0.072,0.072,0.072,0.072,4.31K,0.00%
2023-11-09,0.072,0.073,0.073,0.071,1.00K,0.00%
2023-11-07,0.072,0.071,0.074,0.071,22.88K,0.00%
2023-11-06,0.072,0.073,0.074,0.071,125.08K,0.00%
2023-11-05,0.072,0.071,0.074,0.071,94.71K,0.00%
2023-11-01,0.072,0.073,0.073,0.073,3.00K,0.00%
2023-10-31,0.072,0.073,0.073,0.072,12.49K,0.00%
2023-10-30,0.072,0.073,0.073,0.073,10.22K,0.00%
2023-10-26,0.072,0.071,0.072,0.071,33.10K,0.00%
2023-10-25,0.072,0.07,0.07,0.07,11.88K,0.00%
2023-10-23,0.072,0.07,0.07,0.07,0.00K,0.00%
2023-10-22,0.072,0.072,0.072,0.07,21.53K,0.00%
2023-10-19,0.072,0.072,0.072,0.07,31.54K,0.00%
2023-10-18,0.072,0.071,0.071,0.07,5.74K,0.00%
2023-10-17,0.072,0.071,0.071,0.07,34.33K,0.00%
2023-10-16,0.072,0.071,0.071,0.071,4.54K,0.00%
2023-10-12,0.072,0.071,0.071,0.071,54.41K,0.00%
2023-10-11,0.072,0.071,0.071,0.071,0.28K,0.00%
2023-10-10,0.072,0.071,0.071,0.07,55.70K,0.00%
2023-10-09,0.072,0.072,0.072,0.071,27.20K,0.00%
2023-10-08,0.072,0.071,0.071,0.071,33.49K,0.00%
2023-10-04,0.072,0.071,0.071,0.07,58.01K,0.00%
2023-10-03,0.072,0.072,0.072,0.071,78.45K,0.00%
2023-10-02,0.072,0.072,0.072,0.071,30.70K,0.00%
2023-10-01,0.072,0.072,0.072,0.072,1.20K,0.00%
2023-09-27,0.072,0.072,0.072,0.072,40.00K,0.00%
2023-09-26,0.072,0.072,0.072,0.071,100.10K,0.00%
2023-09-25,0.072,0.072,0.072,0.072,11.40K,0.00%
2023-09-24,0.072,0.071,0.072,0.07,1.16M,2.86%
2023-09-21,0.07,0.071,0.071,0.07,50.00K,0.00%
2023-09-20,0.07,0.071,0.072,0.07,72.89K,0.00%
2023-09-19,0.07,0.072,0.072,0.071,30.38K,0.00%
2023-09-18,0.07,0.071,0.071,0.071,2.66K,0.00%
