Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,37.0,35.0,37.5,34.0,407.79K,5.99%
2023-12-10,34.91,38.3,38.3,34.1,304.78K,-6.93%
2023-12-07,37.51,38.99,38.99,36.9,388.30K,-3.82%
2023-12-06,39.0,37.97,39.24,36.8,1.19M,4.14%
2023-12-05,37.45,34.07,39.6,34.07,797.48K,9.92%
2023-12-04,34.07,34.5,34.5,33.35,123.88K,-0.41%
2023-12-03,34.21,34.97,36.5,33.7,325.24K,-0.84%
2023-11-30,34.5,32.58,34.7,32.05,464.43K,8.12%
2023-11-29,31.91,31.98,32.6,31.65,296.42K,0.13%
2023-11-28,31.87,31.9,32.48,31.11,408.18K,-0.06%
2023-11-27,31.89,32.11,33.3,31.0,543.90K,0.25%
2023-11-26,31.81,30.7,32.4,30.55,684.69K,4.50%
2023-11-23,30.44,31.57,31.73,30.0,319.04K,-2.69%
2023-11-22,31.28,28.53,31.4,28.43,912.55K,10.02%
2023-11-21,28.43,29.64,29.7,28.37,621.22K,-3.86%
2023-11-20,29.57,29.98,31.49,29.51,976.42K,-0.77%
2023-11-19,29.8,30.0,31.3,29.4,424.93K,0.71%
2023-11-16,29.59,27.23,32.4,27.23,1.41M,9.59%
2023-11-15,27.0,26.6,27.0,25.5,556.83K,4.49%
2023-11-14,25.84,26.9,27.5,25.52,486.77K,-2.20%
2023-11-13,26.42,26.69,27.9,25.76,755.22K,-0.90%
2023-11-12,26.66,24.4,27.36,24.4,912.18K,10.17%
2023-11-09,24.2,24.0,25.7,23.7,909.33K,1.04%
2023-11-08,23.95,23.1,24.29,23.1,429.47K,3.68%
2023-11-07,23.1,23.6,23.97,23.0,327.06K,-0.99%
2023-11-06,23.33,24.42,24.68,23.25,424.77K,-3.28%
2023-11-05,24.12,21.68,24.9,21.5,1.30M,12.24%
2023-11-02,21.49,21.0,21.68,21.0,144.09K,-0.51%
2023-11-01,21.6,21.95,22.0,20.82,195.10K,-1.73%
2023-10-31,21.98,20.8,22.22,20.61,429.16K,4.62%
2023-10-30,21.01,21.31,21.6,20.75,180.19K,-1.04%
2023-10-29,21.23,21.42,21.9,21.09,239.65K,0.28%
2023-10-26,21.17,20.78,21.39,20.61,547.70K,3.27%
2023-10-25,20.5,19.8,20.9,19.71,458.35K,4.11%
2023-10-24,19.69,19.75,20.19,19.65,224.18K,0.41%
2023-10-23,19.61,19.65,20.16,19.53,214.72K,0.56%
2023-10-22,19.5,19.36,19.69,19.32,107.36K,0.72%
2023-10-19,19.36,19.04,19.94,19.04,279.15K,1.73%
2023-10-18,19.03,19.29,19.37,19.0,98.93K,-0.31%
2023-10-17,19.09,18.8,19.19,18.7,113.06K,1.81%
2023-10-16,18.75,18.73,18.88,18.5,131.38K,0.11%
2023-10-15,18.73,18.8,19.0,18.71,109.86K,-0.05%
2023-10-12,18.74,19.1,19.1,18.68,55.81K,-1.63%
2023-10-11,19.05,18.35,19.24,18.35,323.29K,3.93%
2023-10-10,18.33,18.07,18.35,18.07,44.78K,1.10%
2023-10-09,18.13,17.99,18.4,17.99,55.25K,1.40%
2023-10-08,17.88,19.1,19.15,17.65,136.97K,-6.34%
2023-10-04,19.09,19.02,19.28,18.5,95.44K,0.32%
2023-10-03,19.03,19.5,19.5,18.95,86.33K,-0.83%
2023-10-02,19.19,19.68,19.68,19.01,85.85K,-0.98%
2023-10-01,19.38,19.56,19.75,19.28,102.49K,-0.67%
2023-09-27,19.51,19.95,20.1,19.5,140.79K,-1.81%
2023-09-26,19.87,20.3,20.45,19.81,103.06K,-1.58%
2023-09-25,20.19,20.22,20.58,20.17,81.21K,-0.10%
2023-09-24,20.21,20.3,20.73,20.18,155.36K,-0.49%
2023-09-21,20.31,20.51,20.85,20.17,128.95K,-0.78%
2023-09-20,20.47,20.99,21.16,20.35,138.84K,-2.20%
2023-09-19,20.93,21.47,21.5,20.87,138.96K,-1.09%
2023-09-18,21.16,21.34,21.6,21.13,170.61K,-0.47%
2023-09-17,21.26,21.55,21.55,21.05,126.80K,0.28%
2023-09-14,21.2,21.67,21.81,21.16,258.13K,-1.62%
2023-09-13,21.55,20.8,21.95,20.8,745.61K,4.76%
2023-09-12,20.57,20.45,20.78,20.21,118.33K,0.83%
2023-09-11,20.4,20.99,20.99,20.36,98.79K,-1.83%
2023-09-10,20.78,20.82,20.88,20.52,123.83K,1.81%
2023-09-07,20.41,20.7,20.9,20.3,152.39K,-1.26%
2023-09-06,20.67,21.2,21.34,20.61,181.13K,-2.36%
2023-09-05,21.17,21.4,21.75,21.16,292.06K,-0.70%
2023-09-04,21.32,21.64,21.99,21.3,284.12K,-1.48%
2023-09-03,21.64,21.41,22.73,21.41,496.60K,0.98%
2023-08-31,21.43,21.51,21.8,21.25,151.35K,-0.19%
2023-08-30,21.47,21.49,22.3,21.25,527.15K,1.18%
2023-08-29,21.22,21.38,21.49,21.0,205.10K,1.14%
2023-08-28,20.98,21.3,21.85,20.9,244.77K,-0.47%
2023-08-27,21.08,21.5,21.69,21.03,105.13K,-0.52%
2023-08-24,21.19,21.07,21.5,21.0,112.21K,-1.44%
2023-08-23,21.5,21.95,22.05,21.05,272.19K,-0.83%
2023-08-22,21.68,22.41,22.58,21.63,228.96K,-2.52%
2023-08-21,22.24,22.2,23.1,22.0,709.37K,1.65%
2023-08-20,21.88,21.47,22.3,21.25,404.28K,3.75%
2023-08-17,21.09,21.3,21.47,20.9,237.86K,0.38%
2023-08-16,21.01,21.9,22.39,21.0,400.88K,-3.05%
2023-08-15,21.67,20.57,21.75,20.57,471.39K,5.45%
2023-08-14,20.55,20.29,20.8,20.02,381.64K,2.19%
2023-08-13,20.11,19.6,20.4,19.6,404.86K,3.02%
2023-08-10,19.52,19.75,19.89,19.41,55.80K,-0.91%
2023-08-09,19.7,19.71,19.95,19.66,60.19K,0.05%
2023-08-08,19.69,19.81,20.18,19.63,125.70K,0.00%
2023-08-07,19.69,19.51,20.19,19.5,160.01K,1.65%
2023-08-06,19.37,19.06,19.54,19.06,59.67K,0.89%
2023-08-03,19.2,19.2,19.54,19.16,56.91K,-0.31%
2023-08-02,19.26,19.5,19.55,19.2,88.48K,-0.47%
2023-08-01,19.35,19.85,19.95,19.32,92.63K,-1.53%
2023-07-31,19.65,19.77,20.18,19.6,71.28K,-1.45%
2023-07-30,19.94,19.85,20.18,19.35,54.53K,0.96%
2023-07-27,19.75,19.66,19.89,19.66,68.37K,0.77%
2023-07-26,19.6,20.0,20.0,19.5,178.41K,-1.90%
2023-07-25,19.98,20.51,20.74,19.82,194.29K,-0.75%
2023-07-24,20.13,20.25,20.5,20.06,104.65K,0.20%
2023-07-19,20.09,20.0,20.44,19.83,111.95K,1.11%
2023-07-18,19.87,19.85,20.0,19.75,57.78K,0.86%
2023-07-17,19.7,20.01,20.01,19.11,76.45K,-0.91%
2023-07-16,19.88,20.0,20.27,19.81,91.18K,-0.60%
2023-07-13,20.0,20.33,20.59,19.9,149.29K,-1.19%
2023-07-12,20.24,20.3,20.68,20.16,71.93K,0.25%
2023-07-11,20.19,20.59,20.65,20.0,128.24K,-0.49%
2023-07-10,20.29,19.95,20.5,19.0,90.94K,1.35%
2023-07-09,20.02,21.57,21.57,19.95,99.45K,-6.45%
2023-07-06,21.4,22.06,22.4,21.35,175.41K,-2.82%
2023-07-05,22.02,21.71,22.75,21.71,333.75K,1.90%
2023-07-04,21.61,21.2,22.18,21.16,179.24K,2.22%
2023-06-26,21.14,21.15,21.3,20.85,46.79K,0.62%
2023-06-25,21.01,21.2,21.7,20.77,135.51K,-0.05%
2023-06-22,21.02,20.98,21.23,20.92,90.08K,0.19%
2023-06-21,20.98,21.4,21.66,20.72,146.08K,-1.22%
2023-06-20,21.24,21.48,21.48,20.93,136.93K,0.24%
2023-06-19,21.19,21.6,22.0,21.12,168.02K,-1.40%
2023-06-18,21.49,21.56,21.74,21.3,74.68K,0.14%
2023-06-15,21.46,22.3,22.5,21.37,238.83K,-3.07%
2023-06-14,22.14,20.18,22.5,19.95,779.94K,11.54%
2023-06-13,19.85,20.04,20.53,19.8,193.84K,-1.98%
2023-06-12,20.25,20.2,20.65,20.2,84.53K,-0.59%
2023-06-11,20.37,20.06,20.98,20.06,91.55K,0.69%
2023-06-08,20.23,20.64,20.88,19.88,253.12K,-2.03%
2023-06-07,20.65,21.26,21.7,20.51,229.30K,-2.87%
2023-06-06,21.26,21.06,21.87,21.0,160.94K,1.09%
2023-06-05,21.03,22.46,22.62,20.0,265.49K,-5.65%
2023-06-04,22.29,22.84,23.45,22.12,375.53K,-1.07%
2023-06-01,22.53,22.3,22.84,22.3,200.91K,1.72%
2023-05-31,22.15,22.7,23.25,22.02,279.27K,-2.77%
2023-05-30,22.78,23.5,23.6,22.47,447.55K,-3.39%
2023-05-29,23.58,23.4,24.2,23.0,1.15M,1.64%
2023-05-28,23.2,19.62,23.2,19.57,1.62M,18.85%
2023-05-25,19.52,18.8,19.88,18.8,501.54K,4.33%
2023-05-24,18.71,18.6,18.8,18.52,93.41K,0.81%
2023-05-23,18.56,17.99,19.0,17.98,208.97K,3.51%
