Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,36.91,37.0,37.0,36.2,104.48K,0.27%
2023-12-10,36.81,37.62,37.8,36.75,133.61K,-1.79%
2023-12-07,37.48,38.5,38.99,36.5,487.00K,-1.37%
2023-12-06,38.0,40.3,40.3,37.73,553.62K,-5.66%
2023-12-05,40.28,40.2,40.5,40.14,152.55K,-0.40%
2023-12-04,40.44,40.1,40.6,40.0,177.72K,1.02%
2023-12-03,40.03,40.9,41.39,39.91,156.04K,-2.13%
2023-11-30,40.9,40.5,40.9,39.75,228.05K,1.64%
2023-11-29,40.24,40.98,41.0,38.8,319.59K,-0.64%
2023-11-28,40.5,42.1,42.2,40.5,197.53K,-3.50%
2023-11-27,41.97,41.9,42.4,41.9,104.00K,0.29%
2023-11-26,41.85,41.89,42.2,41.7,129.99K,-0.12%
2023-11-23,41.9,41.84,41.98,41.36,188.45K,0.50%
2023-11-22,41.69,41.99,42.0,41.38,150.35K,0.43%
2023-11-21,41.51,41.9,42.68,41.06,451.93K,-0.95%
2023-11-20,41.91,43.42,44.0,41.0,540.17K,-2.85%
2023-11-19,43.14,41.81,43.42,41.65,517.89K,3.70%
2023-11-16,41.6,41.01,41.99,40.6,556.62K,1.51%
2023-11-15,40.98,39.12,41.5,39.0,961.99K,5.05%
2023-11-14,39.01,39.01,39.55,38.8,200.72K,0.03%
2023-11-13,39.0,38.5,39.24,38.11,242.37K,2.36%
2023-11-12,38.1,39.0,39.93,38.02,413.61K,-0.96%
2023-11-09,38.47,38.1,39.7,38.1,535.06K,1.24%
2023-11-08,38.0,36.5,38.9,36.31,596.03K,5.35%
2023-11-07,36.07,36.21,36.78,36.06,193.37K,0.06%
2023-11-06,36.05,36.84,36.89,36.0,152.96K,-1.26%
2023-11-05,36.51,36.19,36.95,36.0,152.92K,1.64%
2023-11-02,35.92,36.66,38.0,35.53,250.98K,-0.08%
2023-11-01,35.95,36.76,36.86,35.02,431.33K,-1.70%
2023-10-31,36.57,36.5,37.08,36.25,468.00K,1.58%
2023-10-30,36.0,38.0,38.4,35.52,986.19K,-4.28%
2023-10-29,37.61,39.4,39.9,37.61,447.85K,-4.08%
2023-10-26,39.21,40.0,40.7,39.03,313.14K,-0.86%
2023-10-25,39.55,40.2,41.4,39.5,649.65K,-0.30%
2023-10-24,39.67,42.0,42.5,38.86,1.09M,-3.71%
2023-10-23,41.2,38.63,41.21,38.11,1.51M,6.79%
2023-10-22,38.58,36.99,38.74,36.9,388.27K,4.44%
2023-10-19,36.94,38.02,38.49,36.05,930.21K,-2.84%
2023-10-18,38.02,40.0,40.35,37.9,697.57K,-3.08%
2023-10-17,39.23,39.0,40.97,37.21,1.20M,1.61%
2023-10-16,38.61,36.66,42.1,36.66,1.41M,5.78%
2023-10-15,36.5,37.5,37.97,35.9,1.02M,-2.67%
2023-10-12,37.5,32.87,38.33,32.36,857.92K,16.03%
2023-10-11,32.32,31.88,32.55,31.55,400.35K,1.80%
2023-10-10,31.75,31.73,32.0,31.15,254.38K,1.21%
2023-10-09,31.37,32.0,32.88,31.34,301.10K,-1.97%
2023-10-08,32.0,31.15,32.4,30.25,319.53K,2.66%
2023-10-04,31.17,32.8,32.96,29.9,88.69K,2.84%
2023-10-03,30.31,31.8,32.0,29.71,347.30K,-3.81%
2023-10-02,31.51,32.4,32.5,29.6,350.83K,-2.29%
2023-10-01,32.25,33.0,33.0,32.1,59.05K,-2.27%
2023-09-27,33.0,33.25,33.6,31.8,495.31K,-1.35%
2023-09-26,33.45,33.21,33.99,33.01,213.68K,1.00%
2023-09-25,33.12,32.05,33.6,32.0,268.52K,3.34%
2023-09-24,32.05,32.1,32.8,31.88,146.60K,-0.12%
2023-09-21,32.09,32.95,33.0,31.1,536.28K,-2.61%
2023-09-20,32.95,30.91,33.0,30.9,1.03M,6.88%
2023-09-19,30.83,29.58,31.4,29.3,651.03K,4.16%
2023-09-18,29.6,28.8,29.6,28.8,559.13K,2.32%
2023-09-17,28.93,27.12,28.97,27.12,473.71K,6.79%
2023-09-14,27.09,26.79,27.25,26.63,146.32K,1.77%
2023-09-13,26.62,26.5,26.75,26.4,31.98K,0.38%
2023-09-12,26.52,26.7,26.75,26.46,106.13K,-0.49%
2023-09-11,26.65,27.2,27.2,26.6,181.43K,-1.84%
2023-09-10,27.15,27.05,27.39,27.05,63.07K,0.37%
2023-09-07,27.05,27.37,27.6,26.97,317.93K,-1.17%
2023-09-06,27.37,27.5,27.79,27.08,197.06K,1.26%
2023-09-05,27.03,28.25,28.47,27.03,255.54K,-4.42%
2023-09-04,28.28,27.0,28.49,26.73,255.28K,5.33%
2023-09-03,26.85,27.8,28.0,26.56,190.81K,-2.72%
2023-08-31,27.6,27.91,28.3,27.55,178.68K,-0.97%
2023-08-30,27.87,28.8,29.44,27.71,388.80K,-3.26%
2023-08-29,28.81,28.95,29.33,28.7,86.62K,-0.14%
2023-08-28,28.85,29.05,29.5,28.5,271.89K,-0.69%
2023-08-27,29.05,27.17,29.15,27.17,683.57K,5.60%
2023-08-24,27.51,27.22,27.51,27.03,166.30K,0.40%
2023-08-23,27.4,27.45,27.52,27.21,351.21K,-0.36%
2023-08-22,27.5,26.8,27.5,26.5,401.49K,2.27%
