Date,Price,Open,High,Low,Vol.,Change %
2023-12-06,8.01,8.95,8.95,7.01,1.77K,-11.00%
2023-12-04,9.0,8.4,9.00,7.7,0.17K,12.50%
2023-11-27,8.0,8.0,8.00,7.98,1.60K,-4.76%
2023-11-22,8.4,7.05,8.40,7.05,0.95K,16.18%
2023-11-20,7.23,7.88,7.91,7.23,0.63K,-7.78%
2023-11-13,7.84,6.76,7.90,6.75,2.68K,15.12%
2023-11-08,6.81,6.8,8.50,6.75,4.23K,-4.08%
2023-11-06,7.1,7.1,7.10,6.75,0.12K,0.00%
2023-11-01,7.1,7.5,7.62,6.78,3.68K,-5.33%
2023-10-30,7.5,7.1,7.50,6.0,7.57K,25.00%
2023-10-25,6.0,6.2,6.26,5.7,6.27K,-12.28%
2023-10-23,6.84,6.95,7.59,6.84,2.97K,-8.43%
2023-10-18,7.47,7.47,7.47,6.81,1.09K,-2.99%
2023-10-16,7.7,6.94,7.77,6.02,2.52K,10.63%
2023-10-11,6.96,6.94,6.96,6.94,0.34K,0.29%
2023-10-09,6.94,7.19,7.60,6.94,2.25K,-5.06%
2023-10-04,7.31,7.23,8.48,7.23,1.58K,-11.39%
2023-10-02,8.25,7.02,8.50,7.02,0.51K,10.00%
2023-09-27,7.5,8.3,8.30,7.5,0.05K,-5.06%
2023-09-25,7.9,8.88,8.88,7.9,0.39K,-7.06%
2023-09-20,8.5,8.5,8.50,8.48,1.20K,21.43%
2023-09-18,7.0,7.8,7.80,6.48,2.73K,-6.67%
2023-09-13,7.5,8.46,8.90,7.0,0.31K,-16.11%
2023-09-11,8.94,7.12,9.00,7.1,7.52K,26.81%
2023-09-06,7.05,9.75,10.00,7.05,1.09K,0.00%
2023-09-04,7.05,10.0,11.00,7.01,1.68K,-29.50%
2023-08-30,10.0,6.6,10.00,6.3,3.53K,51.52%
2023-08-28,6.6,6.0,6.60,5.75,4.02K,4.76%
2023-08-23,6.3,6.69,6.69,5.7,0.14K,12.50%
2023-08-21,5.6,7.0,7.00,5.5,1.36K,-13.85%
2023-08-16,6.5,6.99,6.99,6.5,0.17K,1.56%
2023-08-14,6.4,6.5,6.50,6.3,5.01K,-14.67%
2023-08-09,7.5,7.37,7.50,7.37,0.11K,13.64%
2023-08-07,6.6,6.5,6.60,6.5,0.50K,-1.49%
2023-08-02,6.7,7.4,7.40,6.7,0.50K,0.60%
2023-07-31,6.66,8.0,8.20,0.25,2.46K,-18.78%
2023-07-26,8.2,8.26,11.00,8.2,3.28K,2.63%
2023-07-24,7.99,6.5,8.40,6.5,12.36K,22.92%
2023-07-19,6.5,5.9,6.50,5.9,1.76K,6.56%
2023-07-17,6.1,5.9,8.45,5.9,0.11K,3.39%
2023-07-12,5.9,5.9,5.90,5.9,0.53K,0.00%
2023-07-10,5.9,6.0,6.00,5.9,0.43K,-34.37%
2023-07-05,8.99,9.19,9.19,5.5,0.51K,-2.28%
2023-06-26,9.2,6.3,9.30,5.5,0.44K,31.43%
2023-06-21,7.0,7.0,7.00,7.0,0.00K,0.00%
2023-06-19,7.0,9.0,9.40,7.0,1.55K,0.00%
2023-06-14,7.0,6.31,9.40,6.31,1.14K,10.94%
2023-06-12,6.31,6.3,6.31,6.3,0.28K,-7.21%
2023-06-07,6.8,6.3,6.80,6.3,0.39K,0.00%
2023-06-05,6.8,6.9,6.90,6.3,1.20K,7.94%
2023-05-31,6.3,6.3,6.30,6.3,0.01K,0.00%
2023-05-29,6.3,6.9,6.90,6.3,1.93K,-8.70%
2023-05-24,6.9,6.9,6.90,6.9,0.36K,0.00%
2023-05-17,6.9,7.0,8.49,6.9,0.37K,-1.43%
2023-05-15,7.0,7.0,7.00,7.0,0.01K,14.75%
2023-05-10,6.1,5.8,7.00,5.8,4.10K,0.00%
2023-05-08,6.1,6.99,6.99,6.1,3.25K,-0.97%
2023-05-03,6.16,6.25,6.25,6.1,3.70K,6.21%
2023-05-01,5.8,5.8,5.80,5.8,0.09K,0.00%
2023-04-19,5.8,5.8,5.80,5.8,0.51K,-5.38%
2023-04-05,6.13,5.75,6.20,5.75,0.57K,-12.43%
2023-03-29,7.0,7.0,7.00,7.0,0.10K,-0.43%
2023-03-22,7.03,6.01,6.01,6.01,0.04K,0.00%
2023-03-15,7.03,6.15,6.15,6.15,0.01K,0.00%
2023-03-13,7.03,5.8,5.85,5.8,0.06K,0.00%
2023-03-08,7.03,7.0,7.06,7.0,0.99K,-2.50%
2023-03-06,7.21,7.4,7.40,7.0,0.21K,19.97%
2023-03-01,6.01,7.1,7.10,5.51,0.65K,-21.64%
2023-02-27,7.67,9.5,9.50,7.1,4.12K,-21.57%
2023-02-22,9.78,10.0,10.00,7.52,0.70K,7.83%
2023-02-20,9.07,8.98,11.00,7.9,0.86K,13.37%
2023-02-15,8.0,8.0,8.31,7.9,1.08K,-3.61%
2023-02-13,8.3,8.3,8.30,8.3,,7.24%
2023-02-08,7.74,7.5,9.50,7.5,0.46K,-5.26%
2023-02-06,8.17,8.15,8.35,8.15,2.52K,-4.00%
2023-02-01,8.51,8.5,8.60,8.15,0.73K,0.95%
2023-01-30,8.43,8.0,9.22,8.0,1.43K,-16.70%
2023-01-25,10.12,10.4,10.40,9.68,0.56K,5.53%
2023-01-23,9.59,13.15,13.15,8.66,4.27K,-4.00%
2023-01-18,9.99,11.0,11.00,9.5,1.10K,-14.83%
2023-01-16,11.73,8.7,14.00,8.7,7.11K,-4.87%
2023-01-11,12.33,13.5,14.45,8.52,1.15K,-18.40%
2023-01-09,15.11,15.8,15.80,13.0,1.66K,13.52%
2023-01-04,13.31,12.0,16.00,12.0,1.03K,7.34%
2023-01-02,12.4,12.5,14.99,12.12,1.24K,15.89%
2022-12-28,10.7,12.0,12.00,8.3,1.41K,-11.42%
2022-12-26,12.08,30.0,30.00,10.0,0.92K,-34.38%
2022-12-21,18.41,39.99,39.99,15.01,1.97K,121.81%
