Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,12.37,13.38,13.54,12.3,653.27K,-7.55%
2023-12-10,13.38,12.95,14.48,12.75,1.69M,4.69%
2023-12-07,12.78,13.14,13.25,12.3,912.02K,-2.74%
2023-12-06,13.14,13.25,13.77,12.28,1.36M,-0.08%
2023-12-05,13.15,13.0,14.12,13.0,2.05M,7.17%
2023-12-04,12.27,10.88,12.27,10.71,2.67M,19.94%
2023-12-03,10.23,10.06,10.24,10.05,322.27K,3.02%
2023-11-30,9.93,9.9,10.0,9.86,96.56K,-0.20%
2023-11-29,9.95,9.99,10.08,9.91,162.18K,-0.50%
2023-11-28,10.0,10.0,10.08,9.96,154.77K,-0.30%
2023-11-27,10.03,10.1,10.13,9.98,225.73K,0.10%
2023-11-26,10.02,10.14,10.14,10.0,132.62K,0.70%
2023-11-23,9.95,10.12,10.18,9.9,194.92K,-1.00%
2023-11-22,10.05,10.16,10.18,10.01,170.90K,1.21%
2023-11-21,9.93,10.19,10.2,9.9,243.35K,-1.59%
2023-11-20,10.09,10.37,10.49,10.06,803.92K,-2.23%
2023-11-19,10.32,9.79,10.35,9.79,598.25K,5.95%
2023-11-16,9.74,9.7,9.9,9.51,123.59K,1.04%
2023-11-15,9.64,9.85,10.05,9.56,180.52K,-1.93%
2023-11-14,9.83,9.74,9.98,9.74,115.24K,-0.51%
2023-11-13,9.88,10.27,10.27,9.82,251.60K,-2.47%
2023-11-12,10.13,10.4,10.48,10.01,428.97K,-0.30%
2023-11-09,10.16,9.95,10.49,9.95,1.11M,3.67%
2023-11-08,9.8,9.55,9.99,9.52,526.75K,2.83%
2023-11-07,9.53,9.69,9.77,9.51,194.99K,0.00%
2023-11-06,9.53,9.7,9.7,9.5,195.28K,0.42%
2023-11-05,9.49,9.55,9.8,9.45,140.57K,-0.42%
2023-11-02,9.53,9.5,9.8,9.45,67.74K,2.58%
2023-11-01,9.29,9.7,9.92,9.1,137.16K,-4.23%
2023-10-31,9.7,9.93,10.09,9.6,190.58K,-2.32%
2023-10-30,9.93,10.1,10.19,9.9,193.28K,-0.70%
2023-10-29,10.0,10.28,10.4,9.99,316.71K,-0.99%
2023-10-26,10.1,10.38,10.49,9.87,465.31K,-2.70%
2023-10-25,10.38,10.13,10.49,10.08,824.17K,3.90%
2023-10-24,9.99,9.84,10.3,9.81,807.16K,3.10%
2023-10-23,9.69,9.08,9.85,9.05,839.90K,6.84%
2023-10-22,9.07,8.89,9.1,8.89,73.80K,1.00%
2023-10-19,8.98,9.1,9.1,8.92,123.02K,-1.10%
2023-10-18,9.08,9.12,9.18,9.04,126.80K,-0.77%
2023-10-17,9.15,9.16,9.21,9.1,140.11K,-0.33%
2023-10-16,9.18,9.15,9.38,9.05,195.35K,0.11%
2023-10-15,9.17,9.38,9.38,9.11,82.15K,0.33%
2023-10-12,9.14,9.05,9.17,8.91,98.83K,0.66%
2023-10-11,9.08,8.91,9.29,8.91,124.76K,1.68%
2023-10-10,8.93,8.83,8.97,8.81,49.07K,0.90%
2023-10-09,8.85,8.51,8.9,8.51,94.72K,4.61%
2023-10-08,8.46,9.1,9.15,8.09,131.87K,-6.83%
2023-10-04,9.08,9.07,9.2,9.0,112.32K,-0.11%
2023-10-03,9.09,9.21,9.43,9.05,132.94K,-1.20%
2023-10-02,9.2,9.42,9.48,9.12,82.83K,-2.54%
2023-10-01,9.44,9.46,9.7,9.37,135.41K,-0.11%
2023-09-27,9.45,9.89,9.89,9.31,194.98K,-2.38%
2023-09-26,9.68,10.15,10.15,9.55,244.12K,-3.49%
2023-09-25,10.03,10.14,10.42,10.01,536.29K,0.30%
2023-09-24,10.0,9.55,10.25,9.51,500.35K,4.93%
2023-09-21,9.53,9.53,9.75,9.48,201.31K,0.53%
2023-09-20,9.48,9.84,9.89,9.45,189.71K,-3.66%
2023-09-19,9.84,9.96,10.03,9.8,244.76K,-1.11%
2023-09-18,9.95,10.15,10.2,9.9,212.11K,-1.49%
2023-09-17,10.1,10.18,10.25,10.01,306.69K,-0.10%
2023-09-14,10.11,10.23,10.27,10.06,172.33K,-0.10%
2023-09-13,10.12,10.13,10.28,10.05,197.50K,0.10%
2023-09-12,10.11,10.2,10.54,10.01,479.15K,-0.20%
2023-09-11,10.13,10.61,10.7,10.03,470.50K,-3.52%
2023-09-10,10.5,9.02,10.8,9.02,1.23M,15.38%
2023-09-07,9.1,9.05,9.19,8.8,156.74K,0.78%
2023-09-06,9.03,9.49,9.63,9.0,245.00K,-4.95%
2023-09-05,9.5,9.65,9.76,9.41,173.94K,-1.55%
2023-09-04,9.65,9.88,9.95,9.61,250.97K,-2.13%
2023-09-03,9.86,10.29,10.29,9.8,382.24K,-3.52%
2023-08-31,10.22,10.9,10.9,8.62,346.10K,-36.72%
2023-08-30,16.15,16.4,16.55,16.1,375.57K,-0.86%
2023-08-29,16.29,16.45,16.45,16.03,221.96K,0.43%
2023-08-28,16.22,16.41,16.78,16.2,249.70K,-0.49%
2023-08-27,16.3,16.25,16.66,16.0,177.23K,0.25%
2023-08-24,16.26,16.62,17.09,16.21,124.38K,-1.99%
2023-08-23,16.59,16.52,17.45,16.13,252.03K,-79.92%
2023-08-22,82.62,82.5,84.0,80.6,55.09K,0.67%
2023-08-21,82.07,83.94,84.5,81.11,41.58K,-2.23%
2023-08-20,83.94,85.99,86.3,83.15,41.19K,-1.25%
2023-08-17,85.0,85.0,87.9,80.42,78.30K,0.81%
2023-08-16,84.32,88.0,89.98,84.0,159.90K,-0.05%
2023-08-15,84.36,81.2,84.8,79.02,109.88K,6.85%
2023-08-14,78.95,73.4,82.5,73.0,159.79K,11.67%
2023-08-13,70.7,69.95,71.0,68.76,21.16K,3.27%
2023-08-10,68.46,71.0,71.0,68.0,20.01K,-3.98%
2023-08-09,71.3,71.04,71.9,70.75,13.83K,0.72%
2023-08-08,70.79,71.36,73.0,70.32,20.83K,0.03%
2023-08-07,70.77,72.45,74.0,70.0,53.69K,-1.02%
2023-08-06,71.5,71.5,73.68,70.03,34.75K,0.00%
2023-08-03,71.5,66.75,72.5,66.03,80.32K,7.18%
2023-08-02,66.71,68.0,68.98,65.68,27.09K,-0.21%
2023-08-01,66.85,65.13,67.4,64.0,31.73K,2.56%
2023-07-31,65.18,63.23,65.5,63.0,24.93K,3.67%
2023-07-30,62.87,62.07,63.83,62.02,8.82K,0.14%
2023-07-27,62.78,62.0,63.39,61.5,6.35K,1.11%
2023-07-26,62.09,62.5,62.8,61.51,3.92K,0.00%
2023-07-25,62.09,64.35,65.49,61.55,15.12K,-3.11%
2023-07-24,64.08,62.0,64.6,62.0,28.41K,5.07%
2023-07-19,60.99,61.48,62.0,60.1,7.34K,-0.02%
2023-07-18,61.0,61.0,61.78,60.05,3.60K,0.00%
2023-07-17,61.0,61.56,62.0,60.53,5.01K,-1.25%
2023-07-16,61.77,62.0,62.4,60.05,12.49K,-1.04%
2023-07-13,62.42,62.5,63.27,61.52,15.42K,0.11%
2023-07-12,62.35,59.0,64.64,57.6,45.12K,6.04%
2023-07-11,58.8,60.0,60.01,58.4,7.50K,0.14%
2023-07-10,58.72,57.5,59.66,57.2,6.81K,1.42%
2023-07-09,57.9,57.2,59.89,57.2,13.12K,0.49%
2023-07-06,57.62,58.0,58.7,55.56,22.73K,-1.12%
2023-07-05,58.27,60.02,60.02,52.02,7.45K,-2.95%
2023-07-04,60.04,60.07,60.5,60.0,2.80K,0.00%
2023-06-26,60.04,60.52,60.88,59.75,18.50K,-1.46%
2023-06-25,60.93,61.03,61.3,60.0,10.91K,-0.16%
2023-06-22,61.03,62.77,62.77,60.71,7.16K,-0.07%
2023-06-21,61.07,61.15,63.0,60.7,10.26K,-0.54%
2023-06-20,61.4,61.7,61.72,61.2,3.80K,0.00%
2023-06-19,61.4,61.32,61.95,61.2,9.13K,-0.31%
2023-06-18,61.59,61.99,62.0,61.31,7.13K,0.24%
2023-06-15,61.44,62.8,62.8,61.0,8.53K,-1.63%
2023-06-14,62.46,63.5,63.75,62.1,16.83K,-2.62%
2023-06-13,64.14,65.0,65.5,64.0,21.13K,-1.32%
2023-06-12,65.0,65.7,65.8,65.0,3.61K,0.14%
2023-06-11,64.91,64.9,65.74,63.06,8.36K,2.25%
2023-06-08,63.48,65.38,65.38,63.0,12.58K,-0.91%
2023-06-07,64.06,65.5,65.5,63.0,6.11K,-0.16%
2023-06-06,64.16,65.89,65.89,64.0,12.86K,-1.26%
2023-06-05,64.98,66.49,66.49,64.8,19.19K,-1.61%
2023-06-04,66.04,67.05,68.0,63.0,15.32K,-1.49%
2023-06-01,67.04,68.9,68.9,66.9,22.99K,-0.24%
2023-05-31,67.2,69.52,69.52,67.01,23.61K,-2.50%
2023-05-30,68.92,68.71,69.79,68.71,10.65K,1.34%
2023-05-29,68.01,68.71,69.1,68.0,18.49K,-0.83%
2023-05-28,68.58,67.33,69.5,67.33,12.13K,2.40%
2023-05-25,66.97,68.9,68.9,66.53,10.65K,-1.37%
2023-05-24,67.9,67.7,68.8,67.7,10.43K,0.04%
2023-05-23,67.87,68.1,68.62,67.11,8.01K,-0.31%
2023-05-22,68.08,68.0,69.9,67.53,14.08K,-0.09%
2023-05-21,68.14,69.98,69.98,67.1,19.94K,-0.35%
2023-05-18,68.38,70.8,70.8,67.51,33.54K,-1.23%
2023-05-17,69.23,68.5,72.46,68.5,78.96K,2.58%
2023-05-16,67.49,64.64,68.49,63.51,48.98K,4.28%
2023-05-15,64.72,65.0,65.5,63.0,23.47K,0.70%
2023-05-14,64.27,62.25,64.5,61.0,20.36K,3.34%
