Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,0.673,0.705,0.723,0.651,25.48M,-5.21%
2023-12-10,0.71,0.665,0.723,0.665,44.90M,6.77%
2023-12-07,0.665,0.62,0.674,0.525,48.44M,7.26%
2023-12-06,0.62,0.615,0.64,0.605,45.02M,0.49%
2023-12-05,0.617,0.565,0.618,0.565,33.30M,9.59%
2023-12-04,0.563,0.578,0.579,0.56,8.76M,0.00%
2023-12-03,0.563,0.56,0.58,0.544,14.33M,0.90%
2023-11-30,0.558,0.563,0.57,0.544,17.87M,0.54%
2023-11-29,0.555,0.582,0.59,0.55,22.84M,-4.48%
2023-11-28,0.581,0.598,0.604,0.565,14.53M,-1.86%
2023-11-27,0.592,0.602,0.625,0.59,27.96M,-0.50%
2023-11-26,0.595,0.631,0.633,0.587,28.43M,-5.56%
2023-11-23,0.63,0.633,0.64,0.618,24.64M,-0.32%
2023-11-22,0.632,0.59,0.647,0.583,43.79M,7.67%
2023-11-21,0.587,0.599,0.613,0.581,43.96M,-1.51%
2023-11-20,0.596,0.573,0.608,0.536,71.93M,4.38%
2023-11-19,0.571,0.53,0.571,0.53,86.02M,8.76%
2023-11-16,0.525,0.49,0.525,0.485,55.56M,7.36%
2023-11-15,0.489,0.475,0.511,0.475,52.04M,3.60%
2023-11-14,0.472,0.485,0.504,0.464,40.56M,-1.67%
2023-11-13,0.48,0.49,0.515,0.467,61.99M,-1.44%
2023-11-12,0.487,0.407,0.487,0.407,70.47M,19.95%
2023-11-09,0.406,0.416,0.417,0.404,6.00M,-1.93%
2023-11-08,0.414,0.414,0.423,0.412,9.56M,0.49%
2023-11-07,0.412,0.415,0.417,0.408,7.00M,-0.24%
2023-11-06,0.413,0.41,0.415,0.407,9.55M,1.23%
2023-11-05,0.408,0.395,0.412,0.395,13.55M,4.62%
2023-11-02,0.39,0.384,0.398,0.381,7.59M,2.63%
2023-11-01,0.38,0.396,0.396,0.377,6.49M,-2.56%
2023-10-31,0.39,0.403,0.403,0.388,5.31M,-2.74%
2023-10-30,0.401,0.402,0.408,0.4,7.10M,0.00%
2023-10-29,0.401,0.396,0.409,0.394,10.10M,2.04%
2023-10-26,0.393,0.39,0.397,0.385,10.82M,2.34%
2023-10-25,0.384,0.38,0.386,0.377,4.54M,1.05%
2023-10-24,0.38,0.381,0.386,0.376,4.90M,0.26%
2023-10-23,0.379,0.376,0.384,0.376,6.85M,1.07%
2023-10-22,0.375,0.373,0.377,0.368,3.42M,1.35%
2023-10-19,0.37,0.37,0.377,0.369,4.42M,-0.54%
2023-10-18,0.372,0.377,0.379,0.37,8.10M,-0.80%
2023-10-17,0.375,0.377,0.379,0.37,3.09M,1.35%
2023-10-16,0.37,0.378,0.379,0.368,6.60M,-0.80%
2023-10-15,0.373,0.38,0.383,0.37,4.02M,-1.06%
2023-10-12,0.377,0.38,0.387,0.372,2.07M,-0.26%
2023-10-11,0.378,0.37,0.38,0.369,4.10M,2.44%
2023-10-10,0.369,0.37,0.374,0.365,1.49M,0.27%
2023-10-09,0.368,0.375,0.375,0.363,2.99M,0.27%
2023-10-08,0.367,0.389,0.39,0.352,4.40M,-5.66%
2023-10-04,0.389,0.392,0.393,0.384,2.82M,0.00%
2023-10-03,0.389,0.385,0.398,0.38,5.39M,1.83%
2023-10-02,0.382,0.392,0.393,0.377,3.55M,-2.05%
2023-10-01,0.39,0.39,0.393,0.385,2.15M,-0.26%
2023-09-27,0.391,0.4,0.401,0.39,4.23M,-2.25%
2023-09-26,0.4,0.404,0.406,0.398,5.76M,-0.25%
2023-09-25,0.401,0.409,0.409,0.401,4.72M,-0.74%
2023-09-24,0.404,0.41,0.414,0.403,4.66M,-0.25%
2023-09-21,0.405,0.406,0.41,0.401,4.38M,-0.98%
2023-09-20,0.409,0.419,0.42,0.407,7.92M,-2.39%
2023-09-19,0.419,0.43,0.43,0.418,16.00M,-1.87%
2023-09-18,0.427,0.429,0.431,0.426,3.67M,-0.23%
2023-09-17,0.428,0.422,0.437,0.421,9.69M,1.90%
2023-09-14,0.42,0.423,0.423,0.419,6.57M,0.00%
2023-09-13,0.42,0.422,0.422,0.419,8.84M,0.00%
2023-09-12,0.42,0.425,0.427,0.419,7.08M,-1.18%
2023-09-11,0.425,0.431,0.434,0.424,5.94M,-1.16%
2023-09-10,0.43,0.429,0.439,0.429,9.17M,0.94%
2023-09-07,0.426,0.428,0.431,0.424,2.19M,-0.23%
2023-09-06,0.427,0.436,0.437,0.426,7.75M,-1.39%
2023-09-05,0.433,0.43,0.444,0.429,9.92M,0.93%
2023-09-04,0.429,0.436,0.436,0.426,4.08M,-0.69%
2023-09-03,0.432,0.434,0.445,0.431,16.58M,0.47%
2023-08-31,0.43,0.429,0.442,0.429,10.20M,0.70%
2023-08-30,0.427,0.421,0.433,0.421,12.65M,1.67%
2023-08-29,0.42,0.422,0.425,0.419,4.37M,0.00%
2023-08-28,0.42,0.426,0.426,0.42,4.47M,-0.24%
2023-08-27,0.421,0.427,0.427,0.42,9.15M,0.24%
2023-08-24,0.42,0.425,0.43,0.42,4.87M,-1.18%
2023-08-23,0.425,0.434,0.439,0.421,4.97M,-1.85%
2023-08-22,0.433,0.433,0.437,0.43,3.69M,0.00%
2023-08-21,0.433,0.444,0.445,0.43,5.45M,-2.48%
2023-08-20,0.444,0.427,0.451,0.424,14.52M,4.23%
2023-08-17,0.426,0.421,0.429,0.418,5.03M,1.67%
2023-08-16,0.419,0.418,0.426,0.417,6.50M,0.48%
2023-08-15,0.417,0.423,0.423,0.416,4.79M,-1.18%
