Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,58.8,51.35,59.64,51.35,0.23K,9.80%
2023-12-10,53.55,58.0,59.99,51.25,1.65K,-8.93%
2023-12-07,58.8,58.5,60.48,57.31,0.39K,0.00%
2023-12-06,58.8,58.8,61.97,56.13,1.07K,0.00%
2023-12-05,58.8,58.8,63.99,51.01,2.13K,0.00%
2023-12-04,58.8,59.6,59.6,58.8,7.17K,-20.00%
2023-12-03,73.5,59.69,59.69,59.6,1.82K,0.00%
2023-11-30,73.5,59.19,61.25,59.19,0.57K,0.00%
2023-11-29,73.5,61.0,63.99,59.1,0.92K,0.00%
2023-11-28,73.5,64.99,65.0,58.8,2.42K,0.00%
2023-11-27,73.5,58.8,70.0,58.8,1.78K,0.00%
2023-11-26,73.5,58.8,59.25,58.8,2.27K,0.00%
2023-11-23,73.5,58.9,58.91,58.8,1.64K,0.00%
2023-11-22,73.5,58.9,59.0,58.9,0.34K,0.00%
2023-11-21,73.5,58.8,58.9,58.8,0.65K,0.00%
2023-11-20,73.5,58.8,58.97,58.8,0.28K,0.00%
2023-11-19,73.5,58.8,58.81,58.8,0.65K,0.00%
2023-11-16,73.5,58.81,58.81,58.8,0.33K,0.00%
2023-11-15,73.5,58.8,58.81,58.8,0.60K,0.00%
2023-11-13,73.5,58.8,58.8,58.8,0.51K,0.00%
2023-11-12,73.5,58.8,58.8,58.8,0.11K,0.00%
2023-11-09,73.5,58.8,58.8,58.8,0.22K,0.00%
2023-11-08,73.5,58.8,58.8,58.8,0.07K,0.00%
2023-11-07,73.5,58.85,58.85,58.8,0.08K,0.00%
2023-11-06,73.5,58.8,60.0,58.8,1.36K,0.00%
2023-11-05,73.5,58.8,58.8,58.8,0.48K,0.00%
2023-10-31,73.5,58.8,58.8,58.8,0.72K,0.00%
2023-10-29,73.5,58.8,58.8,58.8,1.04K,0.00%
2023-10-26,73.5,58.8,58.8,58.8,0.37K,0.00%
2023-10-23,73.5,58.8,58.8,58.8,0.04K,0.00%
2023-10-22,73.5,58.8,58.8,58.8,0.54K,0.00%
