Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,1.78,1.793,1.82,1.769,1.05M,-1.11%
2023-12-10,1.8,1.813,1.84,1.794,1.36M,-0.72%
2023-12-07,1.813,1.849,1.849,1.8,1.21M,-2.47%
2023-12-06,1.859,1.91,1.924,1.851,1.63M,-1.69%
2023-12-05,1.891,1.931,1.95,1.882,2.23M,-0.42%
2023-12-04,1.899,1.85,1.95,1.85,3.22M,2.82%
2023-12-03,1.847,1.851,1.869,1.84,1.61M,-0.38%
2023-11-30,1.854,1.86,1.883,1.846,762.93K,0.22%
2023-11-29,1.85,1.88,1.895,1.85,1.60M,-0.86%
2023-11-28,1.866,1.883,1.91,1.86,2.30M,0.38%
2023-11-27,1.859,1.841,1.9,1.841,1.91M,0.98%
2023-11-26,1.841,1.87,1.87,1.835,1.21M,0.60%
2023-11-23,1.83,1.89,1.89,1.826,3.99M,-2.19%
2023-11-22,1.871,1.85,1.898,1.843,2.47M,1.30%
2023-11-21,1.847,1.76,1.924,1.76,9.12M,4.11%
2023-11-20,1.774,1.819,1.819,1.741,1.20M,-1.22%
2023-11-19,1.796,1.802,1.838,1.79,1.02M,0.17%
2023-11-16,1.793,1.801,1.846,1.79,2.65M,-0.17%
2023-11-15,1.796,1.799,1.84,1.77,2.26M,1.87%
2023-11-14,1.763,1.792,1.861,1.752,5.76M,-1.23%
2023-11-13,1.785,1.66,1.81,1.641,5.79M,8.78%
2023-11-12,1.641,1.65,1.677,1.621,236.76K,-0.55%
2023-11-09,1.65,1.699,1.7,1.64,646.76K,-0.78%
2023-11-08,1.663,1.7,1.718,1.651,675.56K,-1.83%
2023-11-07,1.694,1.67,1.72,1.65,2.02M,2.29%
2023-11-06,1.656,1.62,1.675,1.612,799.92K,2.67%
2023-11-05,1.613,1.61,1.62,1.586,683.49K,1.70%
2023-11-02,1.586,1.6,1.61,1.572,292.23K,0.70%
2023-11-01,1.575,1.581,1.64,1.57,308.89K,-2.48%
2023-10-31,1.615,1.655,1.66,1.6,535.55K,-1.76%
2023-10-30,1.644,1.62,1.688,1.613,918.68K,2.37%
2023-10-29,1.606,1.57,1.629,1.57,960.12K,0.31%
2023-10-26,1.601,1.63,1.63,1.567,1.06M,-0.99%
2023-10-25,1.617,1.6,1.63,1.555,602.87K,1.13%
2023-10-24,1.599,1.61,1.63,1.579,806.21K,0.88%
2023-10-23,1.585,1.556,1.63,1.556,1.41M,1.86%
2023-10-22,1.556,1.555,1.57,1.543,447.00K,1.90%
2023-10-19,1.527,1.53,1.55,1.52,490.99K,-0.52%
2023-10-18,1.535,1.54,1.547,1.529,270.41K,-0.26%
2023-10-17,1.539,1.532,1.548,1.521,358.45K,0.59%
2023-10-16,1.53,1.53,1.54,1.5,261.09K,0.07%
2023-10-15,1.529,1.52,1.549,1.52,933.13K,2.21%
2023-10-12,1.496,1.55,1.557,1.524,191.60K,0.00%
2023-10-11,1.496,1.544,1.544,1.518,120.27K,0.00%
2023-10-10,1.496,1.5,1.547,1.5,123.03K,0.00%
2023-10-09,1.496,1.465,1.534,1.465,280.23K,1.56%
2023-10-08,1.473,1.574,1.574,1.45,411.51K,-5.88%
2023-10-04,1.565,1.57,1.587,1.56,256.60K,-0.76%
2023-10-03,1.577,1.624,1.624,1.57,820.36K,-1.68%
2023-10-02,1.604,1.639,1.639,1.586,199.19K,-1.11%
2023-10-01,1.622,1.583,1.63,1.57,767.25K,2.46%
2023-09-27,1.583,1.612,1.63,1.571,709.10K,-1.92%
2023-09-26,1.614,1.643,1.654,1.61,841.25K,-2.06%
2023-09-25,1.648,1.655,1.66,1.64,889.15K,-1.02%
2023-09-24,1.665,1.695,1.695,1.654,522.99K,-1.07%
2023-09-21,1.683,1.689,1.695,1.662,376.10K,0.18%
2023-09-20,1.68,1.701,1.71,1.671,495.09K,-1.00%
2023-09-19,1.697,1.735,1.74,1.69,722.31K,-1.39%
2023-09-18,1.721,1.738,1.739,1.712,343.16K,0.06%
2023-09-17,1.72,1.7,1.75,1.7,1.09M,1.18%
2023-09-14,1.7,1.692,1.715,1.692,387.20K,0.29%
2023-09-13,1.695,1.695,1.714,1.695,97.50K,0.00%
2023-09-12,1.695,1.69,1.718,1.69,169.47K,0.00%
2023-09-11,1.695,1.73,1.734,1.69,399.82K,-1.97%
2023-09-10,1.729,1.69,1.74,1.685,1.17M,2.61%
2023-09-07,1.685,1.712,1.72,1.67,1.08M,-0.77%
2023-09-06,1.698,1.707,1.733,1.69,666.21K,-1.28%
2023-09-05,1.72,1.713,1.739,1.701,511.95K,0.12%
2023-09-04,1.718,1.74,1.74,1.711,572.97K,-1.32%
2023-09-03,1.741,1.741,1.754,1.725,545.59K,-0.57%
2023-08-31,1.751,1.765,1.79,1.742,953.38K,-0.79%
2023-08-30,1.765,1.77,1.796,1.76,1.12M,0.40%
2023-08-29,1.758,1.78,1.78,1.75,929.66K,-0.11%
2023-08-28,1.76,1.825,1.827,1.752,2.54M,-2.28%
2023-08-27,1.801,1.733,1.833,1.733,3.23M,4.41%
2023-08-24,1.725,1.732,1.74,1.692,564.97K,-0.46%
2023-08-23,1.733,1.71,1.765,1.71,1.49M,1.17%
2023-08-22,1.713,1.719,1.726,1.702,332.93K,0.06%
2023-08-21,1.712,1.655,1.73,1.655,993.07K,3.19%
2023-08-20,1.659,1.682,1.69,1.652,660.03K,-1.25%
2023-08-17,1.68,1.704,1.704,1.663,452.57K,-1.35%
2023-08-16,1.703,1.748,1.75,1.7,790.01K,-1.22%
2023-08-15,1.724,1.709,1.77,1.69,1.89M,1.41%
2023-08-14,1.7,1.68,1.717,1.68,785.83K,0.89%
2023-08-13,1.685,1.685,1.7,1.663,443.32K,1.08%
2023-08-10,1.667,1.69,1.719,1.662,350.04K,-2.00%
2023-08-09,1.701,1.683,1.724,1.682,590.79K,1.07%
2023-08-08,1.683,1.714,1.738,1.68,1.16M,-2.26%
2023-08-07,1.722,1.755,1.756,1.713,950.02K,-0.63%
2023-08-06,1.733,1.69,1.77,1.681,2.86M,2.85%
2023-08-03,1.685,1.667,1.721,1.655,1.81M,2.00%
2023-08-02,1.652,1.625,1.697,1.61,2.64M,2.29%
2023-08-01,1.615,1.62,1.634,1.608,490.07K,-0.43%
2023-07-31,1.622,1.632,1.66,1.619,583.64K,-1.52%
2023-07-30,1.647,1.65,1.67,1.62,1.13M,1.60%
2023-07-27,1.621,1.607,1.678,1.582,1.02M,0.87%
2023-07-26,1.607,1.6,1.627,1.575,888.80K,0.56%
2023-07-25,1.598,1.61,1.629,1.58,395.63K,-0.68%
2023-07-24,1.609,1.601,1.649,1.601,591.01K,-0.25%
2023-07-19,1.613,1.605,1.625,1.605,325.60K,0.69%
2023-07-18,1.602,1.61,1.616,1.602,111.80K,0.00%
2023-07-17,1.602,1.611,1.611,1.593,473.36K,-0.50%
2023-07-16,1.61,1.612,1.627,1.607,283.26K,-0.31%
2023-07-13,1.615,1.622,1.63,1.604,528.32K,0.00%
2023-07-12,1.615,1.646,1.657,1.605,240.19K,-2.00%
2023-07-11,1.648,1.633,1.658,1.6,492.79K,0.92%
2023-07-10,1.633,1.563,1.64,1.55,1.16M,3.35%
2023-07-09,1.58,1.702,1.702,1.557,800.32K,-7.17%
2023-07-06,1.702,1.75,1.752,1.701,581.74K,-1.96%
2023-07-05,1.736,1.75,1.76,1.71,268.91K,-0.80%
2023-07-04,1.75,1.732,1.768,1.732,369.99K,1.39%
2023-06-26,1.726,1.73,1.733,1.7,270.32K,0.94%
2023-06-25,1.71,1.77,1.77,1.708,681.29K,-1.33%
2023-06-22,1.733,1.75,1.75,1.73,301.17K,-0.97%
2023-06-21,1.75,1.78,1.793,1.733,559.78K,-1.74%
2023-06-20,1.781,1.801,1.82,1.774,1.48M,-0.39%
2023-06-19,1.788,1.839,1.849,1.779,1.98M,-2.45%
2023-06-18,1.833,1.812,1.846,1.811,746.99K,1.16%
2023-06-15,1.812,1.83,1.84,1.807,587.02K,-0.93%
2023-06-14,1.829,1.836,1.859,1.817,965.60K,1.05%
2023-06-13,1.81,1.835,1.846,1.806,834.15K,-0.55%
2023-06-12,1.82,1.848,1.85,1.82,561.38K,-0.87%
2023-06-11,1.836,1.86,1.874,1.825,1.22M,-1.13%
2023-06-08,1.857,1.881,1.892,1.853,895.42K,-0.27%
2023-06-07,1.862,1.9,1.95,1.852,2.31M,-1.95%
2023-06-06,1.899,1.93,1.95,1.89,1.08M,-0.05%
2023-06-05,1.9,1.859,1.959,1.857,3.63M,2.48%
