Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,9.6,9.9,9.9,9.57,3.36M,-3.32%
2023-12-10,9.93,10.28,10.28,9.9,2.90M,-2.84%
2023-12-07,10.22,10.22,10.22,9.91,4.59M,0.00%
2023-12-06,10.22,10.61,10.67,10.2,5.05M,-3.40%
2023-12-05,10.58,10.8,10.83,10.56,5.34M,-1.58%
2023-12-04,10.75,10.9,10.98,10.74,5.75M,-1.10%
2023-12-03,10.87,10.81,10.95,10.63,8.57M,2.26%
2023-11-30,10.63,10.39,10.75,10.32,20.12M,3.71%
2023-11-29,10.25,9.95,10.25,9.94,7.97M,3.43%
2023-11-28,9.91,9.98,10.05,9.87,4.16M,-0.40%
2023-11-27,9.95,10.06,10.14,9.9,5.05M,-1.00%
2023-11-26,10.05,10.16,10.21,10.04,4.08M,-0.59%
2023-11-23,10.11,10.1,10.17,10.06,4.79M,0.50%
2023-11-22,10.06,10.03,10.12,9.99,4.96M,0.60%
2023-11-21,10.0,10.14,10.18,9.96,10.93M,-1.09%
2023-11-20,10.11,10.36,10.48,10.06,11.58M,-1.08%
2023-11-19,10.22,9.94,10.22,9.89,11.85M,3.44%
2023-11-16,9.88,9.97,9.98,9.85,5.11M,0.00%
2023-11-15,9.88,10.21,10.21,9.81,5.59M,-1.40%
2023-11-14,10.02,9.77,10.24,9.72,7.53M,3.09%
2023-11-13,9.72,9.8,9.82,9.67,3.30M,-0.51%
2023-11-12,9.77,10.07,10.13,9.65,5.87M,-1.81%
2023-11-09,9.95,10.2,10.26,9.93,8.02M,-2.07%
2023-11-08,10.16,10.25,10.4,10.05,8.12M,-0.20%
2023-11-07,10.18,10.29,10.4,9.93,7.22M,-0.88%
2023-11-06,10.27,10.74,10.93,10.2,8.65M,-8.30%
2023-11-05,11.2,11.44,11.6,10.85,7.74M,-0.71%
2023-11-02,11.28,11.59,11.7,11.28,4.19M,-2.00%
2023-11-01,11.51,11.21,11.7,11.15,3.90M,2.31%
2023-10-31,11.25,11.9,12.2,11.17,6.05M,-5.46%
2023-10-30,11.9,11.39,12.0,11.3,7.25M,5.12%
2023-10-29,11.32,11.7,11.81,11.14,6.38M,-3.17%
2023-10-26,11.69,12.22,12.28,11.51,6.86M,-3.23%
2023-10-25,12.08,12.29,12.51,11.93,9.83M,-0.66%
2023-10-24,12.16,11.65,12.36,11.64,18.57M,5.83%
2023-10-23,11.49,10.81,11.65,10.71,24.76M,8.29%
2023-10-22,10.61,10.61,10.95,10.53,5.70M,0.95%
2023-10-19,10.51,10.3,11.1,10.26,21.07M,2.44%
2023-10-18,10.26,10.0,10.59,9.85,23.08M,4.16%
2023-10-17,9.85,9.45,9.85,9.14,8.28M,5.12%
2023-10-16,9.37,9.12,9.6,9.11,6.84M,3.42%
2023-10-15,9.06,8.9,9.45,8.9,5.36M,5.35%
2023-10-12,8.6,8.69,8.8,8.46,2.39M,-0.46%
2023-10-11,8.64,9.0,9.05,8.6,2.12M,-3.68%
2023-10-10,8.97,8.75,9.04,8.67,1.91M,2.05%
2023-10-09,8.79,8.84,8.85,8.57,1.52M,-0.68%
2023-10-08,8.85,9.0,9.01,8.1,2.79M,-2.32%
2023-10-04,9.06,8.61,9.09,8.56,1.97M,5.84%
2023-10-03,8.56,9.25,9.3,8.56,3.77M,-7.86%
2023-10-02,9.29,9.62,9.7,8.92,3.62M,-3.23%
2023-10-01,9.6,9.64,9.77,9.55,2.91M,0.00%
2023-09-27,9.6,9.35,9.7,9.3,6.10M,3.11%
2023-09-26,9.31,9.56,9.71,9.22,3.68M,-2.31%
2023-09-25,9.53,9.56,9.85,9.46,3.51M,0.00%
2023-09-24,9.53,9.68,9.91,9.46,7.23M,-0.63%
2023-09-21,9.59,9.36,9.61,9.15,7.86M,2.57%
2023-09-20,9.35,8.88,9.73,8.88,13.71M,5.06%
2023-09-19,8.9,8.85,8.91,8.8,1.75M,0.34%
2023-09-18,8.87,8.86,8.91,8.84,1.27M,0.45%
2023-09-17,8.83,8.81,8.95,8.78,1.94M,0.46%
2023-09-14,8.79,8.91,8.95,8.76,1.19M,-1.24%
2023-09-13,8.9,8.86,8.97,8.85,3.75M,0.45%
2023-09-12,8.86,8.75,8.89,8.67,2.91M,0.80%
2023-09-11,8.79,8.81,8.89,8.68,4.24M,0.00%
2023-09-10,8.79,8.58,8.82,8.57,6.28M,2.93%
2023-09-07,8.54,8.39,8.55,8.38,2.98M,1.91%
2023-09-06,8.38,8.31,8.43,8.27,2.47M,1.33%
2023-09-05,8.27,8.35,8.39,8.27,1.15M,-0.48%
2023-09-04,8.31,8.36,8.43,8.3,1.79M,-0.36%
2023-09-03,8.34,8.29,8.46,8.26,4.61M,0.85%
2023-08-31,8.27,8.27,8.3,8.22,979.24K,0.36%
2023-08-30,8.24,8.27,8.32,8.21,1.98M,-0.24%
2023-08-29,8.26,8.27,8.37,8.25,1.92M,-0.12%
2023-08-28,8.27,8.3,8.44,8.27,2.26M,-0.24%
2023-08-27,8.29,8.21,8.32,8.2,2.12M,1.47%
2023-08-24,8.17,8.2,8.26,8.15,1.06M,-0.24%
2023-08-23,8.19,8.17,8.36,8.17,3.13M,0.61%
2023-08-22,8.14,8.14,8.22,8.11,1.60M,0.49%
2023-08-21,8.1,8.14,8.18,8.08,817.44K,-0.25%
2023-08-20,8.12,8.19,8.2,8.12,636.22K,0.00%
2023-08-17,8.12,8.18,8.21,8.07,713.12K,-0.37%
2023-08-16,8.15,8.2,8.25,8.12,1.17M,-0.37%
2023-08-15,8.18,8.25,8.29,8.16,1.46M,-0.37%
2023-08-14,8.21,8.25,8.34,8.2,2.20M,-0.12%
2023-08-13,8.22,8.17,8.29,8.13,1.61M,1.48%
2023-08-10,8.1,8.15,8.22,8.08,1.81M,0.00%
2023-08-09,8.1,8.19,8.24,8.1,2.25M,-1.10%
2023-08-08,8.19,8.25,8.35,8.17,2.16M,-0.24%
2023-08-07,8.21,8.21,8.28,8.17,2.13M,0.37%
2023-08-06,8.18,8.12,8.19,8.07,2.19M,1.24%
2023-08-03,8.08,8.05,8.15,8.02,2.37M,0.12%
2023-08-02,8.07,8.42,8.42,8.03,8.10M,-3.93%
2023-08-01,8.4,8.87,8.9,8.33,16.79M,-5.30%
2023-07-31,8.87,8.97,8.97,8.73,2.32M,-0.22%
2023-07-30,8.89,8.56,9.0,8.54,9.33M,4.10%
2023-07-27,8.54,8.42,8.54,8.42,1.91M,0.71%
2023-07-26,8.48,8.45,8.49,8.37,1.33M,0.47%
2023-07-25,8.44,8.43,8.58,8.39,1.56M,0.48%
2023-07-24,8.4,8.51,8.54,8.34,734.87K,-1.18%
2023-07-19,8.5,8.59,8.6,8.43,1.53M,-0.82%
2023-07-18,8.57,8.5,8.64,8.46,2.56M,1.06%
2023-07-17,8.48,8.47,8.56,8.4,2.04M,0.12%
2023-07-16,8.47,8.73,8.77,8.45,4.93M,-2.42%
2023-07-13,8.68,8.12,8.75,8.1,14.53M,7.69%
2023-07-12,8.06,8.18,8.22,8.06,2.28M,-0.98%
2023-07-11,8.14,7.94,8.23,7.83,4.26M,3.30%
2023-07-10,7.88,7.66,7.95,7.6,1.25M,2.87%
2023-07-09,7.66,8.0,8.02,7.6,2.56M,-4.25%
2023-07-06,8.0,8.15,8.16,8.0,2.12M,-0.99%
2023-07-05,8.08,8.14,8.22,8.05,3.15M,0.00%
2023-07-04,8.08,8.16,8.25,8.05,2.49M,-0.49%
2023-06-26,8.12,8.08,8.13,8.06,2.51M,0.62%
2023-06-25,8.07,8.19,8.26,8.06,2.72M,-0.98%
2023-06-22,8.15,8.17,8.2,8.05,3.31M,0.00%
2023-06-21,8.15,8.33,8.35,8.15,2.44M,-1.81%
2023-06-20,8.3,8.33,8.38,8.29,3.01M,-0.12%
2023-06-19,8.31,8.43,8.44,8.28,3.42M,-1.07%
2023-06-18,8.4,8.37,8.4,8.29,2.79M,1.20%
2023-06-15,8.3,8.45,8.46,8.3,2.59M,-1.54%
2023-06-14,8.43,8.57,8.62,8.4,3.73M,-1.29%
2023-06-13,8.54,8.53,8.71,8.51,5.83M,0.23%
2023-06-12,8.52,8.53,8.64,8.46,2.45M,0.47%
2023-06-11,8.48,8.35,8.55,8.35,6.08M,2.17%
2023-06-08,8.3,8.2,8.32,8.15,3.17M,1.84%
2023-06-07,8.15,8.33,8.35,8.15,4.07M,-1.33%
2023-06-06,8.26,8.17,8.37,8.14,9.21M,1.10%
2023-06-05,8.17,8.39,8.41,8.1,3.53M,-2.27%
2023-06-04,8.36,8.41,8.5,8.25,3.25M,-0.12%
2023-06-01,8.37,8.4,8.47,8.35,1.95M,0.12%
2023-05-31,8.36,8.51,8.64,8.33,5.76M,-1.65%
2023-05-30,8.5,8.3,8.57,8.3,7.40M,3.16%
2023-05-29,8.24,8.31,8.34,8.13,5.45M,-0.12%
2023-05-28,8.25,8.39,8.42,8.2,4.21M,-1.08%
2023-05-25,8.34,8.54,8.6,8.31,4.76M,-1.88%
2023-05-24,8.5,8.28,8.5,8.21,3.97M,3.66%
2023-05-23,8.2,8.16,8.25,8.0,4.39M,0.61%
2023-05-22,8.15,8.32,8.43,8.15,5.10M,-1.33%
2023-05-21,8.26,8.4,8.49,8.24,4.38M,-0.96%
2023-05-18,8.34,8.37,8.44,8.05,5.03M,0.00%
2023-05-17,8.34,8.71,8.81,8.25,5.40M,-4.14%
2023-05-16,8.7,8.9,8.9,8.52,10.06M,-2.58%
2023-05-15,8.93,9.2,9.32,8.89,7.48M,-2.83%
2023-05-14,9.19,9.43,9.45,9.01,8.12M,-1.39%
2023-05-11,9.32,9.69,9.69,9.32,6.60M,-2.92%
2023-05-10,9.6,9.41,9.61,9.27,5.72M,2.02%
2023-05-09,9.41,9.8,9.97,9.41,8.16M,-3.49%
2023-05-08,9.75,9.16,9.76,9.15,10.54M,7.26%
2023-05-07,9.09,9.32,9.32,9.0,8.72M,-2.36%
2023-05-03,9.31,9.48,9.62,9.08,9.50M,-1.17%
2023-05-02,9.42,9.48,9.64,9.35,9.16M,0.32%
2023-05-01,9.39,10.53,10.6,9.39,15.33M,-10.74%
2023-04-30,10.52,10.8,11.08,10.48,4.87M,-2.05%
2023-04-27,10.74,10.25,10.79,10.2,7.17M,5.50%
2023-04-26,10.18,10.15,10.28,9.94,2.89M,0.49%
2023-04-19,10.13,10.1,10.23,9.9,4.85M,1.40%
2023-04-18,9.99,9.59,10.09,9.58,6.34M,4.06%
2023-04-13,9.6,9.43,9.65,9.32,5.43M,2.24%
2023-04-12,9.39,9.51,9.6,9.3,3.37M,-1.26%
2023-04-11,9.51,9.28,9.61,9.23,3.46M,3.82%
2023-04-10,9.16,9.15,9.34,9.08,2.35M,0.99%
2023-04-09,9.07,9.18,9.27,8.92,1.13M,-1.31%
2023-04-06,9.19,9.15,9.36,9.1,2.23M,0.00%
2023-04-05,9.19,9.4,9.44,9.13,2.43M,-2.03%
2023-04-04,9.38,9.69,9.7,9.33,2.03M,-2.49%
2023-04-03,9.62,9.49,10.0,9.48,6.58M,3.00%
2023-04-02,9.34,9.06,9.45,9.06,3.03M,3.20%
2023-03-30,9.05,9.48,9.74,8.91,9.49M,-3.52%
2023-03-29,9.38,8.87,9.85,8.75,7.65M,7.32%
2023-03-28,8.74,8.4,8.88,8.16,5.94M,4.55%
2023-03-27,8.36,8.2,8.7,8.07,5.86M,3.21%
