Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,1.208,1.182,1.199,1.17,101.80K,0.83%
2023-12-10,1.198,1.21,1.23,1.16,93.61K,-0.83%
2023-12-07,1.208,1.25,1.266,1.15,236.37K,-4.66%
2023-12-06,1.267,1.348,1.348,1.22,244.11K,-5.73%
2023-12-05,1.344,1.22,1.348,1.204,688.49K,9.62%
2023-12-04,1.226,1.16,1.249,1.156,497.80K,5.78%
2023-12-03,1.159,1.172,1.179,1.151,124.48K,0.00%
2023-11-30,1.159,1.187,1.187,1.146,68.96K,0.00%
2023-11-29,1.159,1.189,1.197,1.147,281.83K,-1.28%
2023-11-28,1.174,1.18,1.2,1.156,282.40K,-0.76%
2023-11-27,1.183,1.17,1.19,1.16,68.56K,0.00%
2023-11-26,1.183,1.189,1.189,1.155,66.63K,0.00%
2023-11-23,1.183,1.182,1.183,1.154,74.25K,0.00%
2023-11-22,1.183,1.18,1.194,1.112,74.33K,0.00%
2023-11-21,1.183,1.17,1.197,1.17,52.33K,0.00%
2023-11-20,1.183,1.2,1.204,1.17,143.64K,-0.34%
2023-11-19,1.187,1.185,1.21,1.182,130.27K,-0.84%
2023-11-16,1.197,1.23,1.23,1.186,294.50K,-3.08%
2023-11-15,1.235,1.196,1.278,1.167,419.46K,2.92%
2023-11-14,1.2,1.13,1.202,1.125,395.90K,9.79%
2023-11-13,1.093,1.1,1.136,1.099,62.78K,0.00%
2023-11-12,1.093,1.119,1.139,1.036,249.83K,-3.45%
2023-11-09,1.132,1.159,1.159,1.114,83.64K,0.00%
2023-11-08,1.132,1.168,1.168,1.113,169.60K,-3.82%
2023-11-07,1.177,1.161,1.169,1.114,98.27K,0.00%
2023-11-06,1.177,1.199,1.199,1.15,109.86K,0.00%
2023-11-05,1.177,1.169,1.2,1.151,138.55K,2.53%
2023-11-02,1.148,1.213,1.213,1.107,205.92K,-4.81%
2023-11-01,1.206,1.19,1.219,1.163,103.88K,0.00%
2023-10-31,1.206,1.202,1.228,1.19,100.54K,0.00%
2023-10-30,1.206,1.25,1.25,1.19,756.53K,-1.63%
2023-10-29,1.226,1.31,1.32,1.196,532.06K,-3.39%
