Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,8.96,8.5,8.8,8.5,1.34K,9.80%
2023-12-10,8.16,8.6,8.7,8.16,1.54K,-8.93%
2023-12-07,8.96,8.2,8.9,8.0,0.28K,0.00%
2023-12-06,8.96,8.15,9.0,8.0,4.82K,0.00%
2023-12-05,8.96,8.4,8.4,8.15,0.20K,0.00%
2023-12-04,8.96,8.13,8.8,8.09,1.58K,0.00%
2023-12-03,8.96,8.04,8.04,8.04,0.02K,0.00%
2023-11-30,8.96,8.18,8.96,8.0,1.32K,0.00%
2023-11-29,8.96,8.17,8.85,8.17,0.38K,0.00%
2023-11-28,8.96,8.1,9.0,8.1,2.89K,0.00%
2023-11-27,8.96,8.3,8.55,8.03,5.88K,0.00%
2023-11-26,8.96,8.03,8.55,8.03,1.00K,0.00%
2023-11-23,8.96,7.61,8.4,7.61,4.50K,0.00%
2023-11-22,8.96,8.0,8.4,7.46,1.61K,0.00%
2023-11-21,8.96,8.0,8.48,8.0,0.92K,0.00%
2023-11-20,8.96,8.16,8.49,7.39,5.62K,0.00%
2023-11-19,8.96,8.02,8.5,8.02,1.85K,0.00%
2023-11-16,8.96,8.01,8.6,8.01,2.31K,0.00%
2023-11-15,8.96,8.02,8.61,8.0,6.11K,0.00%
2023-11-14,8.96,8.01,8.63,8.01,0.54K,0.00%
2023-11-13,8.96,8.1,8.5,8.0,0.75K,0.00%
2023-11-12,8.96,8.9,8.9,8.0,3.60K,0.00%
2023-11-09,8.96,8.55,8.9,8.55,0.21K,0.00%
2023-11-08,8.96,8.3,8.94,8.25,0.11K,0.00%
2023-11-07,8.96,8.89,8.89,8.89,0.20K,0.00%
2023-11-06,8.96,8.2,8.96,8.2,0.06K,0.00%
2023-11-05,8.96,8.5,8.5,8.0,2.40K,0.00%
2023-11-02,8.96,8.0,8.96,7.7,2.53K,0.00%
2023-11-01,8.96,7.77,9.0,7.77,0.51K,0.00%
2023-10-31,8.96,8.5,9.15,8.5,4.44K,0.00%
2023-10-30,8.96,9.0,9.2,9.0,5.72K,0.00%
2023-10-29,8.96,7.81,8.96,7.35,13.96K,0.00%
2023-10-26,8.96,7.3,8.22,7.3,0.23K,0.00%
2023-10-25,8.96,7.2,8.18,7.2,13.25K,0.00%
2023-10-24,8.96,7.17,7.96,7.17,10.46K,0.00%
