Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,0.92,0.98,0.98,0.92,34.28K,-1.08%
2023-12-06,0.93,1.04,1.04,0.93,47.34K,-7.92%
2023-12-04,1.01,1.01,1.08,0.88,65.16K,2.02%
2023-11-29,0.99,1.01,1.01,0.96,14.76K,-1.98%
2023-11-27,1.01,0.94,1.01,0.94,105.50K,7.45%
2023-11-22,0.94,0.99,0.99,0.9,28.14K,-3.09%
2023-11-20,0.97,0.9,0.98,0.82,119.54K,7.78%
2023-11-15,0.9,0.93,0.95,0.86,32.48K,-1.10%
2023-11-13,0.91,0.93,0.96,0.7,155.30K,0.00%
2023-11-08,0.91,0.95,0.95,0.88,61.73K,1.11%
2023-11-06,0.9,0.83,0.92,0.83,55.59K,7.14%
2023-11-01,0.84,0.92,0.92,0.83,10.80K,-2.33%
2023-10-30,0.86,0.77,0.92,0.77,23.09K,4.88%
2023-10-25,0.82,0.81,0.95,0.77,11.32K,0.00%
2023-10-23,0.82,0.75,0.93,0.75,67.73K,9.33%
2023-10-18,0.75,0.85,0.85,0.75,31.97K,-1.32%
2023-10-16,0.76,0.85,0.85,0.76,38.54K,-9.52%
2023-10-11,0.84,0.83,0.9,0.74,35.39K,1.20%
2023-10-09,0.83,0.9,0.9,0.83,21.66K,-3.49%
2023-10-04,0.86,0.86,0.93,0.86,22.03K,0.00%
2023-10-02,0.86,0.95,0.95,0.86,15.36K,-3.37%
2023-09-27,0.89,0.95,0.95,0.86,8.54K,1.14%
2023-09-25,0.88,0.95,0.95,0.86,17.23K,-2.22%
2023-09-20,0.9,0.97,0.97,0.9,1.89K,-7.22%
2023-09-18,0.97,1.0,1.0,0.91,21.12K,6.59%
2023-09-13,0.91,1.0,1.0,0.9,30.62K,0.00%
2023-09-11,0.91,1.02,1.02,0.91,9.38K,-1.09%
2023-09-06,0.92,1.02,1.03,0.91,23.96K,2.22%
2023-09-04,0.9,1.02,1.07,0.89,69.56K,-9.09%
2023-08-30,0.99,0.95,1.03,0.92,9.80K,4.21%
2023-08-28,0.95,0.9,1.03,0.9,5.26K,-5.00%
2023-08-23,1.0,1.02,1.03,0.93,6.56K,0.00%
2023-08-21,1.0,0.88,1.02,0.87,31.28K,-0.99%
2023-08-16,1.01,0.96,1.03,0.88,48.54K,13.48%
2023-08-14,0.89,0.96,0.96,0.89,11.56K,-6.32%
2023-08-09,0.95,0.91,0.96,0.85,51.56K,14.46%
2023-08-07,0.83,0.9,0.9,0.83,11.15K,0.00%
2023-08-02,0.83,0.9,0.9,0.8,4.01K,-7.78%
2023-07-31,0.9,0.76,0.9,0.76,7.47K,5.88%
2023-07-26,0.85,1.04,1.04,0.85,1.81K,-9.57%
2023-07-24,0.94,0.95,0.95,0.93,10.42K,0.00%
2023-07-19,0.94,1.05,1.05,0.76,42.01K,8.05%
2023-07-17,0.87,0.75,1.06,0.75,8.41K,-3.33%
2023-07-12,0.9,0.95,0.95,0.9,4.45K,-10.00%
2023-07-10,1.0,1.0,1.09,0.85,6.19K,3.09%
2023-06-26,0.97,0.85,1.09,0.85,4.89K,7.78%
2023-06-21,0.9,1.1,1.1,0.85,5.59K,-4.26%
2023-06-19,0.94,1.0,1.1,0.92,88.61K,-12.96%
2023-06-14,1.08,1.11,1.11,1.01,38.21K,-1.82%
2023-06-12,1.1,1.19,1.19,1.0,58.66K,7.84%
2023-06-07,1.02,1.19,1.19,1.0,17.58K,2.00%
2023-06-05,1.0,1.0,1.23,1.0,39.14K,-8.26%
2023-05-31,1.09,0.99,1.24,0.83,81.32K,10.10%
2023-05-29,0.99,0.85,0.99,0.83,137.33K,19.28%
2023-05-24,0.83,0.8,0.83,0.8,20.73K,10.67%
2023-05-22,0.75,0.8,0.8,0.75,3.00K,-7.41%
2023-05-17,0.81,0.84,0.84,0.78,4.02K,1.25%
2023-05-15,0.8,0.73,0.84,0.71,89.96K,11.11%
2023-05-10,0.72,0.75,0.76,0.72,9.55K,-1.37%
2023-05-03,0.73,0.74,0.74,0.71,9.67K,-1.35%
2023-05-01,0.74,0.75,0.84,0.72,21.58K,-5.13%
2023-04-26,0.78,0.76,0.76,0.76,0.07K,0.00%
2023-04-19,0.78,0.85,0.85,0.75,44.52K,2.63%
2023-04-12,0.76,0.76,0.76,0.76,0.14K,-10.59%
2023-04-10,0.85,0.72,0.85,0.72,5.01K,-1.16%
2023-04-05,0.86,0.68,0.9,0.68,3.29K,19.44%
2023-04-03,0.72,0.7,0.76,0.68,60.00K,-15.29%
2023-03-27,0.85,0.85,0.85,0.85,0.20K,8.97%
2023-03-22,0.78,0.78,0.78,0.78,3.84K,-3.70%
2023-03-20,0.81,0.89,0.89,0.8,14.97K,-4.71%
2023-03-15,0.85,0.81,0.85,0.81,2.11K,6.25%
2023-03-13,0.8,0.8,0.8,0.8,0.60K,-11.11%
2023-03-08,0.9,0.9,0.9,0.9,30.65K,4.65%
2023-03-06,0.86,0.81,0.89,0.81,61.70K,7.50%
2023-03-01,0.8,0.8,0.8,0.8,1.00K,0.00%
2023-02-27,0.8,0.73,0.81,0.73,14.69K,-1.23%
2023-02-22,0.81,0.81,0.84,0.8,10.10K,-2.41%
2023-02-20,0.83,0.95,0.95,0.8,19.73K,-2.35%
2023-02-15,0.85,0.84,0.86,0.84,6.57K,-5.56%
2023-02-13,0.9,0.98,0.98,0.9,16.20K,-4.26%
2023-02-08,0.94,0.84,0.98,0.84,28.18K,-1.05%
2023-02-06,0.95,1.06,1.06,0.9,9.12K,-3.06%
2023-02-01,0.98,0.84,1.0,0.84,35.48K,12.64%
2023-01-30,0.87,1.04,1.04,0.84,4.98K,-1.14%
2023-01-25,0.88,1.07,1.07,0.86,10.06K,-8.33%
2023-01-23,0.96,1.06,1.06,0.86,28.16K,-4.00%
2023-01-18,1.0,1.02,1.02,0.91,21.06K,2.04%
2023-01-16,0.98,1.05,1.05,0.85,121.38K,-2.00%
2023-01-11,1.0,1.0,1.02,1.0,28.89K,-1.96%
2023-01-09,1.02,1.07,1.07,0.9,62.58K,2.00%
2023-01-04,1.0,1.09,1.09,0.99,39.33K,0.00%
2023-01-02,1.0,1.1,1.1,0.99,30.21K,2.04%
2022-12-28,0.98,0.99,0.99,0.8,117.42K,2.08%
2022-12-26,0.96,0.87,0.99,0.87,108.01K,10.34%
2022-12-21,0.87,0.84,0.93,0.84,29.10K,2.35%
2022-12-19,0.85,0.95,0.95,0.84,14.11K,0.00%
2022-12-14,0.85,0.99,0.99,0.8,99.97K,0.00%
2022-12-12,0.85,0.85,0.88,0.85,59.71K,-2.30%
2022-12-07,0.87,0.89,0.9,0.8,29.11K,-3.33%
2022-12-05,0.9,1.19,1.19,0.89,61.80K,-2.17%
2022-11-30,0.92,0.95,0.95,0.76,12.07K,3.37%
2022-11-28,0.89,0.89,0.89,0.89,3.50K,0.00%
2022-11-23,0.89,0.95,0.95,0.86,8.75K,-1.11%
2022-11-21,0.9,0.9,0.9,0.9,29.00K,13.92%
2022-11-16,0.79,0.8,0.8,0.76,8.03K,2.60%
2022-11-14,0.77,0.78,0.78,0.77,2.22K,0.00%
2022-11-09,0.77,0.76,0.87,0.76,14.22K,-3.75%
2022-11-07,0.8,0.8,0.8,0.8,18.50K,5.26%
2022-11-02,0.76,0.75,0.76,0.75,1.72K,2.70%
2022-10-31,0.74,0.7,0.74,0.7,10.17K,0.00%
2022-10-26,0.74,0.71,0.77,0.71,5.38K,-3.90%
2022-10-24,0.77,0.7,0.77,0.7,15.10K,4.05%
2022-10-19,0.74,0.74,0.75,0.74,21.75K,-1.33%
2022-10-17,0.75,0.76,0.76,0.75,18.00K,0.00%
2022-10-12,0.75,0.75,0.75,0.75,3.00K,0.00%
2022-10-10,0.75,0.75,0.75,0.75,1.20K,0.00%
2022-10-05,0.75,0.8,0.8,0.75,5.00K,-7.41%
2022-10-03,0.81,0.84,0.84,0.74,46.07K,-6.90%
2022-09-28,0.87,0.86,0.9,0.86,11.22K,0.00%
2022-09-26,0.87,0.87,0.87,0.87,5.00K,-3.33%
2022-09-21,0.9,0.9,0.9,0.9,5.70K,3.45%
2022-09-19,0.87,0.87,0.87,0.86,9.40K,-3.33%
2022-09-14,0.9,0.88,0.91,0.88,22.35K,0.00%
2022-09-12,0.9,0.89,0.9,0.89,8.05K,3.45%
2022-09-07,0.87,0.88,0.88,0.87,17.78K,-2.25%
2022-09-05,0.89,0.9,0.9,0.86,2.07K,1.14%
2022-08-31,0.88,0.91,0.91,0.86,59.57K,-2.22%
2022-08-29,0.9,0.9,0.9,0.9,3.00K,-3.23%
2022-08-24,0.93,0.9,0.95,0.9,10.20K,4.49%
2022-08-22,0.89,0.9,0.92,0.86,63.50K,-2.20%
2022-08-17,0.91,0.93,0.93,0.9,34.86K,0.00%
2022-08-15,0.91,0.91,0.96,0.9,19.60K,1.11%
2022-08-10,0.9,0.9,0.9,0.9,10.00K,1.12%
2022-08-08,0.89,0.93,0.98,0.85,54.00K,-1.11%
2022-08-03,0.9,0.9,0.9,0.9,1.00K,7.14%
2022-08-01,0.84,0.84,0.84,0.84,3.90K,-2.33%
2022-07-27,0.86,0.86,0.9,0.83,21.00K,-1.15%
2022-07-25,0.87,0.93,0.93,0.8,7.00K,-1.14%
2022-07-20,0.88,0.82,0.91,0.82,16.60K,3.53%
2022-07-18,0.85,0.8,0.92,0.8,7.26K,4.94%
2022-07-04,0.81,0.8,0.81,0.78,14.15K,-1.22%
2022-06-29,0.82,0.88,0.88,0.81,8.59K,-2.38%
2022-06-27,0.84,0.83,0.85,0.81,24.93K,2.44%
2022-06-22,0.82,0.82,0.82,0.81,10.00K,-4.65%
2022-06-20,0.86,0.84,0.92,0.84,14.95K,-3.37%
2022-06-15,0.89,0.83,0.98,0.83,62.47K,-1.11%
2022-06-13,0.9,0.99,1.0,0.8,38.00K,-5.26%
2022-06-08,0.95,0.93,0.99,0.93,11.00K,23.38%
2022-06-06,0.77,0.75,0.95,0.75,2.97K,-13.48%
2022-05-30,0.89,0.98,0.99,0.84,34.33K,-9.18%
2022-05-25,0.98,0.95,1.0,0.78,7.30K,-1.01%
2022-05-23,0.99,0.99,0.99,0.99,5.00K,-1.00%
2022-05-16,1.0,1.0,1.0,1.0,6.50K,0.00%
2022-05-11,1.0,1.0,1.0,1.0,9.00K,6.38%
2022-04-18,0.94,0.81,1.02,0.81,14.96K,3.30%
2022-04-11,0.91,0.81,0.93,0.81,8.52K,-6.19%
2022-04-06,0.97,1.04,1.04,0.89,44.98K,-4.90%
2022-04-04,1.02,1.02,1.02,1.0,3.26K,-0.97%
2022-03-30,1.03,1.05,1.05,1.03,3.58K,-1.90%
2022-03-28,1.05,1.07,1.16,1.05,15.83K,-10.26%
2022-03-23,1.17,0.98,1.2,0.98,32.66K,11.43%
2022-03-21,1.05,1.02,1.15,1.02,23.27K,5.00%
2022-03-16,1.0,1.02,1.02,0.98,17.36K,-0.99%
2022-03-14,1.01,1.03,1.03,1.01,2.65K,-0.98%
2022-03-09,1.02,0.98,1.05,0.98,7.53K,2.00%
2022-03-07,1.0,1.0,1.05,1.0,31.87K,-3.85%
2022-03-02,1.04,1.12,1.13,1.0,33.33K,-7.14%
2022-02-28,1.12,1.12,1.12,1.12,2.00K,-4.27%
2022-02-23,1.17,1.24,1.27,1.15,7.41K,-1.68%
2022-02-16,1.19,1.2,1.2,1.1,5.96K,0.00%
2022-02-14,1.19,1.22,1.22,1.18,43.45K,-4.03%
2022-02-09,1.24,1.23,1.24,1.23,84.92K,0.81%
2022-02-07,1.23,1.32,1.32,1.21,56.15K,-1.60%
2022-02-02,1.25,1.23,1.3,1.11,172.06K,4.17%
2022-01-31,1.2,1.18,1.2,1.18,109.89K,-1.64%
2022-01-24,1.22,1.23,1.29,1.21,101.53K,-2.40%
2022-01-19,1.25,1.25,1.26,1.19,93.35K,5.93%
2022-01-17,1.18,1.2,1.2,1.16,15.25K,-5.60%
2022-01-12,1.25,1.31,1.35,1.2,55.50K,-0.79%
2022-01-10,1.26,1.27,1.31,1.25,14.25K,0.00%
2022-01-05,1.26,1.25,1.34,1.24,8.00K,0.80%
2022-01-03,1.25,1.25,1.3,1.22,41.87K,2.46%
2021-12-29,1.22,1.29,1.29,1.2,25.76K,-3.17%
2021-12-27,1.26,1.27,1.39,1.2,61.06K,0.80%
2021-12-22,1.25,1.3,1.3,1.14,13.51K,4.17%
2021-12-20,1.2,1.2,1.2,1.2,1.00K,-0.83%
