Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,4.95,4.98,5.03,4.9,130.79K,-1.00%
2023-12-10,5.0,5.05,5.08,4.97,112.23K,1.63%
2023-12-07,4.92,5.0,5.02,4.9,149.35K,-1.99%
2023-12-06,5.02,5.1,5.1,4.95,239.50K,-1.18%
2023-12-05,5.08,5.05,5.11,5.03,85.77K,0.59%
2023-12-04,5.05,5.03,5.09,5.03,160.98K,0.20%
2023-12-03,5.04,5.07,5.13,5.02,243.24K,-0.79%
2023-11-30,5.08,5.15,5.25,5.05,327.29K,-0.39%
2023-11-29,5.1,5.17,5.19,5.07,277.16K,0.00%
2023-11-28,5.1,5.18,5.2,5.09,383.62K,0.00%
2023-11-27,5.1,5.14,5.2,5.09,273.76K,0.39%
2023-11-26,5.08,5.29,5.29,5.05,288.94K,-3.97%
2023-11-23,5.29,5.09,5.32,5.04,408.85K,4.34%
2023-11-22,5.07,5.1,5.11,5.0,299.82K,0.80%
2023-11-21,5.03,5.12,5.15,4.93,94.42K,-1.76%
2023-11-20,5.12,5.0,5.16,4.98,195.18K,1.99%
2023-11-19,5.02,5.04,5.15,4.91,270.48K,-0.20%
2023-11-16,5.03,5.08,5.1,5.0,145.50K,-0.20%
2023-11-15,5.04,5.1,5.24,4.9,201.56K,-1.95%
2023-11-14,5.14,5.24,5.24,5.1,192.17K,-0.96%
2023-11-13,5.19,5.07,5.3,4.91,171.94K,2.37%
2023-11-12,5.07,5.26,5.26,5.07,457.31K,-4.88%
2023-11-09,5.33,5.55,5.55,5.32,499.20K,-4.82%
2023-11-08,5.6,5.64,5.77,5.4,377.07K,-0.71%
2023-11-07,5.64,5.64,5.64,5.51,739.33K,4.83%
2023-11-06,5.38,5.38,5.38,5.38,231.21K,4.87%
2023-11-05,5.13,5.12,5.32,5.07,439.12K,1.18%
2023-11-02,5.07,4.69,5.07,4.63,441.26K,4.97%
2023-11-01,4.83,5.07,5.1,4.83,236.59K,-4.92%
2023-10-31,5.08,5.28,5.39,5.07,277.32K,-4.69%
2023-10-30,5.33,5.0,5.37,4.95,427.20K,4.10%
2023-10-29,5.12,5.15,5.2,5.09,491.25K,-4.30%
2023-10-26,5.35,5.64,5.8,5.35,475.88K,-4.97%
2023-10-25,5.63,5.11,5.63,5.11,992.69K,4.84%
2023-10-24,5.37,5.37,5.37,5.37,108.38K,-4.96%
2023-10-23,5.65,5.37,5.37,5.37,37.67K,0.00%
2023-10-22,5.65,5.65,5.65,5.65,113.90K,-4.88%
2023-10-19,5.94,5.94,5.94,5.94,63.75K,-4.96%
2023-10-18,6.25,6.8,6.8,6.16,406.63K,-3.55%
2023-10-17,6.48,6.48,6.48,6.48,183.28K,4.85%
2023-10-16,6.18,6.18,6.18,6.18,221.56K,4.92%
2023-10-15,5.89,5.89,5.89,5.89,102.73K,4.99%
2023-10-12,5.61,5.89,5.89,5.89,58.76K,0.00%
2023-10-11,5.61,5.89,5.89,5.89,81.38K,0.00%
2023-10-10,5.61,5.89,5.89,5.89,142.43K,0.00%
2023-10-09,5.61,5.61,5.61,5.35,419.36K,4.86%
2023-10-08,5.35,5.35,5.35,4.86,961.56K,4.90%
2023-10-04,5.1,5.1,5.1,5.09,343.75K,4.94%
2023-10-03,4.86,5.1,5.1,5.1,164.85K,0.00%
2023-10-02,4.86,5.1,5.1,5.1,81.13K,0.00%
2023-10-01,4.86,4.86,4.86,4.86,156.34K,4.97%
2023-09-27,4.63,4.86,4.86,4.86,130.83K,0.00%
2023-09-26,4.63,4.86,4.86,4.86,94.16K,0.00%
2023-09-25,4.63,4.63,4.63,4.5,297.11K,4.99%
2023-09-24,4.41,4.41,4.41,4.41,125.07K,5.00%
2023-09-21,4.2,4.19,4.2,4.08,274.90K,5.00%
2023-09-20,4.0,3.81,4.0,3.8,528.12K,4.99%
2023-09-19,3.81,3.68,3.89,3.57,499.12K,2.70%
2023-09-18,3.71,3.57,3.72,3.49,252.97K,4.51%
2023-09-17,3.55,3.36,3.57,3.36,132.95K,4.41%
2023-09-14,3.4,3.42,3.49,3.32,170.34K,-0.58%
2023-09-13,3.42,3.43,3.5,3.31,79.80K,0.00%
2023-09-12,3.42,3.49,3.55,3.39,142.71K,-1.72%
2023-09-11,3.48,3.5,3.53,3.45,81.44K,0.00%
2023-09-10,3.48,3.5,3.61,3.42,97.86K,0.00%
2023-09-07,3.48,3.4,3.5,3.4,31.10K,0.00%
2023-09-06,3.48,3.57,3.68,3.47,155.67K,-4.66%
2023-09-05,3.65,3.51,3.76,3.51,30.14K,0.00%
2023-09-04,3.65,3.73,3.75,3.65,119.20K,-4.95%
2023-09-03,3.84,3.8,3.97,3.71,239.47K,1.32%
2023-08-31,3.79,3.79,3.79,3.79,326.83K,4.99%
2023-08-30,3.61,3.36,3.61,3.36,298.91K,4.94%
2023-08-29,3.44,3.32,3.44,3.32,30.23K,0.00%
2023-08-28,3.44,3.31,3.37,3.31,71.99K,0.00%
2023-08-27,3.44,3.29,3.37,3.29,18.96K,0.00%
2023-08-24,3.44,3.3,3.35,3.27,49.80K,0.00%
2023-08-23,3.44,3.34,3.34,3.31,19.19K,0.00%
2023-08-22,3.44,3.39,3.4,3.31,42.04K,0.00%
2023-08-21,3.44,3.32,3.42,3.28,49.21K,0.00%
2023-08-20,3.44,3.42,3.46,3.3,82.90K,0.00%
2023-08-17,3.44,3.44,3.5,3.39,34.36K,0.00%
2023-08-16,3.44,3.38,3.5,3.38,96.50K,1.47%
2023-08-15,3.39,3.4,3.41,3.33,61.57K,0.00%
2023-08-14,3.39,3.4,3.42,3.33,68.99K,0.00%
2023-08-13,3.39,3.45,3.52,3.4,74.24K,0.00%
2023-08-10,3.39,3.36,3.41,3.32,97.87K,2.11%
2023-08-09,3.32,3.32,3.35,3.29,7.77K,0.00%
2023-08-08,3.32,3.32,3.45,3.28,73.27K,0.00%
2023-08-07,3.32,3.22,3.31,3.22,9.96K,0.00%
2023-08-06,3.32,3.3,3.32,3.21,3.49K,0.00%
2023-08-03,3.32,3.17,3.36,3.17,20.19K,0.00%
2023-08-02,3.32,3.17,3.27,3.16,44.12K,0.00%
2023-08-01,3.32,3.2,3.33,3.19,6.06K,0.00%
2023-07-31,3.32,3.24,3.25,3.18,22.32K,0.00%
2023-07-30,3.32,3.3,3.31,3.21,25.97K,0.00%
2023-07-27,3.32,3.32,3.35,3.23,21.80K,0.00%
2023-07-26,3.32,3.2,3.32,3.2,27.13K,0.00%
2023-07-25,3.32,3.24,3.27,3.19,16.90K,0.00%
2023-07-24,3.32,3.22,3.37,3.22,7.78K,0.00%
2023-07-19,3.32,3.18,3.34,3.18,30.93K,0.00%
2023-07-18,3.32,3.35,3.35,3.35,1.06K,0.00%
2023-07-17,3.32,3.37,3.37,3.26,5.29K,0.00%
2023-07-16,3.32,3.39,3.39,3.21,5.78K,0.00%
