Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,1.05,1.0,1.05,0.965,7.97M,5.00%
2023-12-10,1.0,1.01,1.029,0.99,4.11M,0.00%
2023-12-07,1.0,1.027,1.027,0.985,6.21M,-0.30%
2023-12-06,1.003,1.07,1.07,1.0,15.96M,-4.93%
2023-12-05,1.055,1.018,1.07,1.011,10.47M,4.46%
2023-12-04,1.01,0.979,1.034,0.961,14.47M,4.88%
2023-12-03,0.963,0.99,0.99,0.96,4.30M,-2.92%
2023-11-30,0.992,0.98,0.999,0.96,5.95M,1.33%
2023-11-29,0.979,1.003,1.01,0.954,6.88M,-2.20%
2023-11-28,1.001,1.006,1.021,0.99,7.97M,-0.30%
2023-11-27,1.004,1.024,1.025,1.0,4.05M,0.40%
2023-11-26,1.0,1.028,1.06,0.99,12.80M,-2.63%
2023-11-23,1.027,1.029,1.03,1.0,8.63M,1.99%
2023-11-22,1.007,1.0,1.033,1.0,9.73M,1.72%
2023-11-21,0.99,1.015,1.026,0.982,11.76M,-2.27%
2023-11-20,1.013,1.066,1.082,1.011,11.70M,-5.24%
2023-11-19,1.069,1.093,1.1,1.066,11.25M,-1.11%
2023-11-16,1.081,1.1,1.1,1.08,5.26M,-1.73%
2023-11-15,1.1,1.075,1.1,1.062,13.72M,3.77%
2023-11-14,1.06,1.1,1.108,1.058,11.12M,-2.84%
2023-11-13,1.091,1.05,1.1,1.05,33.36M,3.90%
2023-11-12,1.05,1.03,1.068,1.006,25.08M,1.94%
2023-11-09,1.03,1.02,1.043,0.99,12.68M,2.28%
2023-11-08,1.007,1.06,1.07,0.975,18.28M,-5.18%
2023-11-07,1.062,0.98,1.07,0.96,31.69M,8.70%
2023-11-06,0.977,0.998,0.998,0.971,10.16M,-1.41%
2023-11-05,0.991,1.03,1.03,0.981,13.98M,-3.03%
2023-11-02,1.022,0.968,1.03,0.959,26.17M,6.46%
2023-11-01,0.96,0.889,0.96,0.871,43.18M,7.99%
2023-10-31,0.889,0.86,0.89,0.831,16.26M,3.37%
2023-10-30,0.86,0.86,0.89,0.843,10.64M,0.82%
2023-10-29,0.853,0.79,0.86,0.79,26.68M,10.21%
2023-10-26,0.774,0.8,0.805,0.764,9.21M,-3.01%
2023-10-25,0.798,0.765,0.819,0.765,18.24M,4.72%
2023-10-24,0.762,0.78,0.795,0.743,19.03M,-2.43%
2023-10-23,0.781,0.762,0.79,0.741,18.45M,2.76%
2023-10-22,0.76,0.67,0.79,0.67,50.85M,13.43%
2023-10-19,0.67,0.654,0.678,0.654,13.08M,1.98%
2023-10-18,0.657,0.67,0.67,0.652,16.32M,-1.20%
2023-10-17,0.665,0.673,0.684,0.66,16.90M,-0.75%
2023-10-16,0.67,0.699,0.702,0.669,19.35M,-4.29%
2023-10-15,0.7,0.682,0.714,0.678,16.25M,2.64%
2023-10-12,0.682,0.7,0.705,0.679,23.05M,-2.71%
2023-10-11,0.701,0.655,0.705,0.655,74.70M,7.19%
2023-10-10,0.654,0.645,0.663,0.645,11.34M,1.40%
2023-10-09,0.645,0.628,0.655,0.62,15.95M,2.71%
2023-10-08,0.628,0.64,0.64,0.607,23.80M,-0.79%
2023-10-04,0.633,0.638,0.644,0.632,8.36M,-1.09%
2023-10-03,0.64,0.65,0.66,0.636,14.10M,-2.14%
2023-10-02,0.654,0.611,0.655,0.596,50.71M,6.86%
2023-10-01,0.612,0.612,0.625,0.61,7.09M,0.16%
2023-09-27,0.611,0.608,0.612,0.601,8.84M,0.66%
2023-09-26,0.607,0.601,0.61,0.6,10.50M,0.83%
2023-09-25,0.602,0.602,0.606,0.597,11.62M,0.50%
2023-09-24,0.599,0.62,0.62,0.597,7.63M,-2.12%
2023-09-21,0.612,0.615,0.615,0.606,3.51M,0.33%
2023-09-20,0.61,0.634,0.636,0.608,10.52M,-3.79%
2023-09-19,0.634,0.645,0.647,0.63,14.26M,-1.71%
2023-09-18,0.645,0.62,0.647,0.618,58.27M,4.03%
2023-09-17,0.62,0.602,0.62,0.602,15.89M,3.16%
2023-09-14,0.601,0.598,0.605,0.593,8.57M,0.33%
2023-09-13,0.599,0.596,0.6,0.594,2.18M,0.50%
2023-09-12,0.596,0.605,0.607,0.594,5.25M,-1.49%
2023-09-11,0.605,0.605,0.611,0.603,6.10M,0.00%
2023-09-10,0.605,0.606,0.61,0.604,8.91M,0.00%
2023-09-07,0.605,0.602,0.607,0.6,5.68M,0.67%
2023-09-06,0.601,0.607,0.609,0.6,8.78M,-0.33%
2023-09-05,0.603,0.609,0.615,0.603,7.39M,-0.50%
2023-09-04,0.606,0.606,0.611,0.602,10.61M,0.17%
2023-09-03,0.605,0.62,0.62,0.604,13.32M,-1.31%
2023-08-31,0.613,0.627,0.631,0.613,29.86M,-1.92%
2023-08-30,0.625,0.605,0.636,0.605,64.29M,3.31%
2023-08-29,0.605,0.605,0.608,0.6,9.32M,0.00%
2023-08-28,0.605,0.601,0.607,0.594,14.55M,0.00%
2023-08-27,0.605,0.6,0.61,0.598,21.08M,1.00%
2023-08-24,0.599,0.605,0.605,0.595,17.97M,0.00%
2023-08-23,0.599,0.615,0.618,0.593,51.93M,-2.12%
2023-08-22,0.612,0.606,0.613,0.6,14.44M,1.16%
2023-08-21,0.605,0.616,0.623,0.6,35.62M,-1.47%
2023-08-20,0.614,0.59,0.615,0.586,31.98M,4.07%
2023-08-17,0.59,0.594,0.6,0.588,13.26M,0.17%
2023-08-16,0.589,0.601,0.61,0.587,29.90M,-1.51%
2023-08-15,0.598,0.6,0.605,0.585,23.79M,-0.33%
2023-08-14,0.6,0.602,0.611,0.596,19.62M,0.00%
2023-08-13,0.6,0.608,0.61,0.599,11.70M,-1.64%
2023-08-10,0.61,0.61,0.616,0.607,9.92M,-0.33%
2023-08-09,0.612,0.611,0.621,0.6,24.41M,-8.66%
2023-08-08,0.67,0.661,0.673,0.66,21.61M,1.67%
2023-08-07,0.659,0.669,0.675,0.657,14.35M,-1.20%
2023-08-06,0.667,0.654,0.67,0.65,9.52M,1.99%
2023-08-03,0.654,0.663,0.663,0.653,5.28M,-0.91%
2023-08-02,0.66,0.67,0.672,0.654,13.81M,-1.64%
2023-08-01,0.671,0.668,0.678,0.658,17.43M,1.67%
2023-07-31,0.66,0.67,0.67,0.658,10.57M,-1.20%
2023-07-30,0.668,0.68,0.685,0.663,7.21M,-1.62%
2023-07-27,0.679,0.67,0.689,0.67,22.97M,1.95%
2023-07-26,0.666,0.65,0.675,0.649,16.78M,2.46%
2023-07-25,0.65,0.64,0.658,0.64,16.52M,1.56%
2023-07-24,0.64,0.649,0.65,0.638,4.17M,-0.16%
2023-07-19,0.641,0.646,0.658,0.637,16.27M,-0.31%
2023-07-18,0.643,0.647,0.648,0.633,7.23M,0.63%
2023-07-17,0.639,0.65,0.65,0.632,8.58M,-0.93%
2023-07-16,0.645,0.637,0.654,0.635,7.36M,1.26%
2023-07-13,0.637,0.645,0.654,0.636,9.10M,-0.62%
2023-07-12,0.641,0.637,0.644,0.619,10.33M,1.91%
2023-07-11,0.629,0.633,0.634,0.612,6.38M,1.94%
2023-07-10,0.617,0.619,0.62,0.595,8.69M,-0.64%
2023-07-09,0.621,0.64,0.64,0.603,14.40M,-2.36%
2023-07-06,0.636,0.66,0.66,0.633,12.41M,-1.85%
2023-07-05,0.648,0.67,0.677,0.644,9.17M,-2.99%
2023-07-04,0.668,0.673,0.687,0.667,6.98M,-0.74%
2023-06-26,0.673,0.683,0.69,0.67,6.79M,-1.03%
2023-06-25,0.68,0.665,0.701,0.665,65.49M,2.56%
2023-06-22,0.663,0.637,0.665,0.631,15.94M,4.08%
2023-06-21,0.637,0.644,0.652,0.63,7.55M,-2.30%
2023-06-20,0.652,0.647,0.657,0.64,9.59M,0.77%
2023-06-19,0.647,0.66,0.669,0.64,11.16M,-1.97%
2023-06-18,0.66,0.666,0.677,0.66,15.72M,-0.90%
2023-06-15,0.666,0.664,0.686,0.66,17.70M,0.60%
2023-06-14,0.662,0.662,0.674,0.655,13.49M,-0.45%
2023-06-13,0.665,0.689,0.703,0.663,28.95M,-3.34%
2023-06-12,0.688,0.69,0.702,0.683,21.97M,-0.86%
