Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,9.69,9.75,9.77,9.61,39.68K,-0.51%
2023-12-10,9.74,9.63,10.0,9.63,103.41K,1.67%
2023-12-07,9.58,9.77,9.77,9.25,48.58K,-2.54%
2023-12-06,9.83,9.85,10.0,9.75,49.32K,0.20%
2023-12-05,9.81,9.89,9.97,9.75,99.08K,-0.81%
2023-12-04,9.89,9.7,9.95,9.7,42.03K,1.85%
2023-12-03,9.71,9.67,9.84,9.59,66.67K,0.31%
2023-11-30,9.68,9.6,9.85,9.48,77.34K,0.94%
2023-11-29,9.59,9.79,9.85,9.55,74.78K,-1.03%
2023-11-28,9.69,9.85,9.96,9.61,113.29K,-1.82%
2023-11-27,9.87,9.81,10.0,9.81,99.19K,0.51%
2023-11-26,9.82,10.0,10.15,9.77,101.54K,-1.21%
2023-11-23,9.94,10.1,10.28,9.87,141.89K,0.10%
2023-11-22,9.93,9.85,10.6,9.75,371.29K,2.80%
2023-11-21,9.66,9.95,10.0,9.62,150.20K,-2.23%
2023-11-20,9.88,10.2,10.33,9.8,100.91K,-2.56%
2023-11-19,10.14,10.0,10.4,9.85,242.27K,2.53%
2023-11-16,9.89,9.63,10.14,9.63,109.18K,2.91%
2023-11-15,9.61,9.6,9.79,9.54,44.49K,0.00%
2023-11-14,9.61,9.81,9.81,9.55,11.05K,0.00%
2023-11-13,9.61,9.62,9.85,9.57,104.83K,-0.72%
2023-11-12,9.68,9.75,9.87,9.55,31.15K,-0.62%
2023-11-09,9.74,9.79,9.99,9.62,57.60K,-0.10%
2023-11-08,9.75,10.0,10.19,9.69,101.89K,-1.61%
2023-11-07,9.91,9.77,10.38,9.51,549.02K,4.54%
2023-11-06,9.48,9.25,9.85,9.25,267.12K,2.71%
2023-11-05,9.23,9.19,9.44,9.06,72.57K,0.54%
2023-11-02,9.18,9.34,9.34,9.07,38.53K,0.00%
2023-11-01,9.18,9.36,9.36,9.05,90.12K,1.77%
2023-10-31,9.02,9.37,9.37,8.92,144.58K,-1.42%
2023-10-30,9.15,9.68,9.68,9.1,186.80K,-3.99%
