Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,1.241,1.24,1.32,1.211,7.75M,-2.13%
2023-12-10,1.268,1.254,1.268,1.24,13.78M,4.97%
2023-12-07,1.208,1.162,1.208,1.1,12.09M,4.95%
2023-12-06,1.151,1.151,1.151,1.1,12.39M,4.92%
2023-12-05,1.097,1.053,1.097,1.053,5.96M,4.98%
2023-12-04,1.045,1.002,1.053,0.982,8.11M,4.19%
2023-12-03,1.003,0.956,1.003,0.927,9.87M,4.92%
2023-11-30,0.956,0.951,0.98,0.932,6.49M,-1.85%
2023-11-29,0.974,0.94,0.976,0.884,21.03M,4.73%
2023-11-28,0.93,0.889,0.93,0.88,7.61M,4.97%
2023-11-27,0.886,0.885,0.894,0.875,2.69M,1.49%
2023-11-26,0.873,0.883,0.895,0.867,3.46M,-0.80%
2023-11-23,0.88,0.884,0.888,0.867,3.01M,-0.79%
2023-11-22,0.887,0.849,0.887,0.83,5.87M,4.97%
2023-11-21,0.845,0.824,0.856,0.815,3.07M,3.55%
2023-11-20,0.816,0.84,0.84,0.812,4.33M,-1.69%
2023-11-19,0.83,0.844,0.858,0.828,5.43M,0.00%
2023-11-16,0.83,0.843,0.857,0.83,8.76M,-1.07%
2023-11-15,0.839,0.85,0.86,0.83,2.98M,-1.29%
2023-11-14,0.85,0.852,0.864,0.844,1.72M,0.00%
2023-11-13,0.85,0.862,0.879,0.85,4.53M,-1.39%
2023-11-12,0.862,0.86,0.878,0.86,4.28M,0.35%
2023-11-09,0.859,0.853,0.875,0.853,925.14K,0.82%
2023-11-08,0.852,0.855,0.867,0.849,1.26M,-0.70%
2023-11-07,0.858,0.866,0.877,0.85,935.21K,-0.58%
2023-11-06,0.863,0.877,0.887,0.858,1.83M,-0.58%
2023-11-05,0.868,0.878,0.889,0.834,3.14M,0.12%
2023-11-02,0.867,0.877,0.878,0.85,2.25M,-1.14%
2023-11-01,0.877,0.9,0.926,0.867,4.41M,-3.84%
2023-10-31,0.912,1.005,1.005,0.911,14.36M,-4.80%
2023-10-30,0.958,0.958,0.958,0.958,1.68M,4.93%
2023-10-29,0.913,0.913,0.913,0.892,9.14M,4.94%
2023-10-26,0.87,0.835,0.87,0.812,8.52M,4.95%
2023-10-25,0.829,0.79,0.829,0.79,3.88M,4.94%
2023-10-24,0.79,0.79,0.801,0.78,1.64M,-0.13%
2023-10-23,0.791,0.807,0.81,0.777,2.78M,0.13%
2023-10-22,0.79,0.81,0.81,0.79,2.23M,-1.13%
2023-10-19,0.799,0.784,0.82,0.783,1.84M,-0.37%
2023-10-18,0.802,0.808,0.819,0.773,3.53M,2.82%
2023-10-17,0.78,0.745,0.78,0.727,5.05M,4.98%
2023-10-16,0.743,0.755,0.755,0.723,2.47M,-2.37%
2023-10-15,0.761,0.775,0.775,0.752,1.35M,-0.78%
2023-10-12,0.767,0.776,0.779,0.76,622.40K,-0.78%
2023-10-11,0.773,0.767,0.785,0.757,509.01K,1.05%
2023-10-10,0.765,0.753,0.776,0.753,399.48K,0.13%
2023-10-09,0.764,0.77,0.774,0.734,317.42K,0.00%
2023-10-08,0.764,0.798,0.809,0.759,2.06M,-4.26%
2023-10-04,0.798,0.8,0.819,0.793,843.18K,-2.80%
2023-10-03,0.821,0.776,0.841,0.775,1.45M,1.23%
