Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,0.847,0.763,0.847,0.763,3.27K,0.00%
2023-12-10,0.847,0.763,0.847,0.763,70.03K,0.00%
2023-12-07,0.847,0.763,0.847,0.763,144.71K,0.00%
2023-12-06,0.847,0.8,0.847,0.763,141.15K,0.00%
2023-12-05,0.847,0.806,0.859,0.794,1.55M,-3.97%
2023-12-04,0.882,0.802,0.882,0.8,111.94K,0.00%
2023-12-03,0.882,0.763,0.9,0.752,1.48M,5.63%
2023-11-30,0.835,0.849,0.849,0.752,45.35K,0.00%
2023-11-29,0.835,0.83,0.85,0.78,61.15K,0.00%
2023-11-28,0.835,0.788,0.86,0.774,351.10K,-0.36%
2023-11-27,0.838,0.85,0.85,0.79,447.51K,-1.76%
2023-11-26,0.853,0.78,0.866,0.76,262.59K,6.49%
2023-11-23,0.801,0.798,0.82,0.741,423.97K,0.25%
2023-11-22,0.799,0.731,0.809,0.73,973.10K,6.39%
2023-11-21,0.751,0.673,0.76,0.673,570.39K,8.68%
2023-11-20,0.691,0.645,0.695,0.615,745.59K,8.31%
2023-11-19,0.638,0.535,0.645,0.535,830.19K,8.32%
2023-11-16,0.589,0.6,0.6,0.52,479.05K,7.68%
2023-11-15,0.547,0.517,0.548,0.5,681.28K,9.62%
2023-11-14,0.499,0.5,0.516,0.5,53.88K,0.00%
2023-11-13,0.499,0.46,0.515,0.454,27.70K,0.00%
2023-11-12,0.499,0.5,0.5,0.5,10.30K,0.00%
2023-11-09,0.499,0.465,0.509,0.465,3.13K,0.00%
2023-11-08,0.499,0.513,0.513,0.45,10.33K,0.00%
2023-11-07,0.499,0.5,0.517,0.45,69.20K,0.00%
2023-11-06,0.499,0.465,0.521,0.463,15.00K,0.00%
2023-11-05,0.499,0.539,0.539,0.477,519.49K,-5.85%
2023-11-02,0.53,0.545,0.545,0.48,115.50K,0.00%
2023-11-01,0.53,0.477,0.559,0.477,28.64K,0.00%
2023-10-31,0.53,0.502,0.56,0.477,94.34K,0.00%
2023-10-30,0.53,0.58,0.58,0.484,131.60K,0.00%
2023-10-29,0.53,0.57,0.61,0.514,428.78K,-7.18%
2023-10-26,0.571,0.562,0.59,0.526,196.43K,0.00%
2023-10-25,0.571,0.501,0.595,0.5,485.25K,5.35%
2023-10-24,0.542,0.455,0.549,0.45,798.99K,8.40%
2023-10-23,0.5,0.45,0.5,0.45,258.57K,0.00%
2023-10-22,0.5,0.45,0.5,0.45,147.53K,0.00%
2023-10-19,0.5,0.45,0.45,0.45,1.43K,0.00%
2023-10-17,0.5,0.45,0.45,0.45,9.59K,0.00%
2023-10-16,0.5,0.45,0.45,0.45,0.77K,0.00%
2023-10-15,0.5,0.45,0.45,0.45,16.92K,0.00%
2023-10-12,0.5,0.46,0.46,0.45,4.68K,0.00%
2023-10-11,0.5,0.45,0.46,0.45,36.53K,0.00%
2023-10-10,0.5,0.45,0.45,0.45,156.81K,0.00%
2023-10-09,0.5,0.46,0.46,0.45,9.00K,0.00%
2023-10-08,0.5,0.45,0.45,0.45,0.00K,0.00%
2023-10-04,0.5,0.45,0.45,0.45,88.00K,0.00%
2023-10-03,0.5,0.45,0.45,0.45,10.85K,0.00%
2023-10-02,0.5,0.45,0.45,0.45,106.60K,0.00%
2023-10-01,0.5,0.45,0.45,0.45,4.60K,0.00%
2023-09-27,0.5,0.45,0.45,0.45,10.00K,0.00%
2023-09-26,0.5,0.45,0.46,0.45,40.43K,0.00%
2023-09-25,0.5,0.453,0.46,0.45,11.63K,0.00%
2023-09-24,0.5,0.452,0.465,0.45,233.51K,0.00%
2023-09-21,0.5,0.469,0.469,0.469,1.80K,0.00%
2023-09-20,0.5,0.469,0.469,0.454,33.41K,0.00%
2023-09-19,0.5,0.46,0.469,0.453,37.86K,0.00%
2023-09-18,0.5,0.473,0.473,0.454,35.27K,0.00%
2023-09-17,0.5,0.471,0.471,0.45,0.15K,0.00%
2023-09-14,0.5,0.482,0.482,0.47,9.63K,0.00%
2023-09-13,0.5,0.461,0.487,0.454,235.07K,0.00%
2023-09-12,0.5,0.47,0.491,0.45,155.58K,0.00%
2023-09-11,0.5,0.475,0.475,0.47,93.60K,0.00%
2023-09-10,0.5,0.484,0.484,0.47,25.01K,0.00%
2023-09-07,0.5,0.485,0.485,0.48,6.67K,0.00%
2023-09-06,0.5,0.474,0.493,0.474,4.10K,0.00%
2023-09-05,0.5,0.475,0.491,0.474,144.49K,0.00%
2023-09-04,0.5,0.473,0.474,0.473,34.30K,0.00%
2023-09-03,0.5,0.473,0.48,0.463,31.16K,0.00%
2023-08-31,0.5,0.49,0.49,0.48,50.11K,0.00%
2023-08-30,0.5,0.48,0.499,0.47,146.92K,0.00%
2023-08-29,0.5,0.468,0.5,0.468,21.78K,0.00%
2023-08-28,0.5,0.462,0.499,0.461,48.79K,0.00%
2023-08-27,0.5,0.452,0.5,0.452,30.35K,0.00%
2023-08-24,0.5,0.5,0.5,0.453,13.11K,0.00%
2023-08-15,0.5,0.51,0.51,0.472,0.11K,0.00%
2023-08-14,0.5,0.498,0.512,0.45,89.65K,0.00%
2023-08-13,0.5,0.515,0.515,0.514,2.89K,0.00%
2023-08-10,0.5,0.494,0.516,0.494,14.40K,0.00%
2023-08-09,0.5,0.5,0.518,0.492,131.87K,0.00%
2023-08-08,0.5,0.496,0.52,0.496,414.18K,-0.40%
2023-08-07,0.502,0.515,0.517,0.5,652.48K,-4.20%
2023-08-06,0.524,0.518,0.524,0.497,165.21K,0.00%
2023-08-03,0.524,0.5,0.519,0.5,4.53K,0.00%
2023-08-02,0.524,0.502,0.518,0.496,176.17K,0.00%
2023-08-01,0.524,0.498,0.501,0.496,217.22K,0.00%
2023-07-31,0.524,0.496,0.52,0.496,284.22K,0.00%
2023-07-30,0.524,0.489,0.528,0.489,9.33K,0.00%
2023-07-27,0.524,0.512,0.524,0.477,291.19K,0.00%
2023-07-26,0.524,0.503,0.538,0.503,204.80K,0.00%
2023-07-25,0.524,0.511,0.512,0.501,29.24K,0.00%
2023-07-24,0.524,0.49,0.539,0.49,359.43K,3.76%
2023-07-19,0.505,0.49,0.5,0.486,114.95K,0.00%
2023-07-18,0.505,0.505,0.534,0.484,173.81K,0.00%
2023-07-17,0.505,0.52,0.529,0.505,660.99K,-9.98%
2023-07-16,0.561,0.509,0.54,0.505,168.27K,0.00%
2023-07-13,0.561,0.522,0.561,0.517,232.30K,0.00%
2023-07-12,0.561,0.575,0.575,0.52,222.78K,0.00%
2023-07-11,0.561,0.579,0.579,0.51,688.21K,4.08%
2023-07-10,0.539,0.519,0.54,0.45,839.83K,9.78%
2023-07-09,0.491,0.542,0.555,0.491,923.50K,-9.91%
2023-07-06,0.545,0.602,0.602,0.542,946.60K,-9.47%
2023-07-05,0.602,0.601,0.646,0.587,1.02M,-2.90%
2023-07-04,0.62,0.639,0.65,0.585,659.76K,3.33%
2023-06-26,0.6,0.665,0.665,0.593,1.44M,-6.54%
2023-06-25,0.642,0.65,0.677,0.621,2.24M,3.55%
2023-06-22,0.62,0.59,0.62,0.56,4.77M,9.93%
2023-06-21,0.564,0.491,0.564,0.478,3.32M,9.94%
2023-06-20,0.513,0.49,0.511,0.49,27.09K,0.00%
