Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,1.905,1.95,1.979,1.901,1.30M,-2.51%
2023-12-10,1.954,1.999,2.04,1.95,2.92M,-0.31%
2023-12-07,1.96,1.99,2.02,1.94,2.14M,-2.00%
2023-12-06,2.0,2.03,2.07,1.96,2.84M,-1.48%
2023-12-05,2.03,2.07,2.09,2.02,2.31M,-0.98%
2023-12-04,2.05,2.12,2.12,2.03,2.78M,0.00%
2023-12-03,2.05,2.07,2.19,2.03,4.60M,-0.10%
2023-11-30,2.052,2.179,2.179,1.99,7.31M,-3.57%
2023-11-29,2.128,2.2,2.29,2.113,4.56M,-2.83%
2023-11-28,2.19,1.959,2.305,1.959,14.14M,14.00%
2023-11-27,1.921,1.838,1.925,1.811,5.43M,6.13%
2023-11-26,1.81,1.75,1.838,1.74,4.99M,4.56%
2023-11-23,1.731,1.72,1.76,1.72,1.55M,0.00%
2023-11-22,1.731,1.685,1.747,1.685,939.88K,3.04%
2023-11-21,1.68,1.683,1.694,1.651,1.11M,-0.18%
2023-11-20,1.683,1.768,1.768,1.67,2.29M,-3.66%
2023-11-19,1.747,1.775,1.825,1.74,1.54M,-1.74%
2023-11-16,1.778,1.71,1.85,1.71,1.82M,4.16%
2023-11-15,1.707,1.759,1.759,1.701,1.27M,-1.73%
2023-11-14,1.737,1.773,1.85,1.726,4.46M,1.11%
2023-11-13,1.718,1.648,1.73,1.642,3.22M,5.40%
2023-11-12,1.63,1.68,1.68,1.626,2.25M,-1.33%
2023-11-09,1.652,1.71,1.715,1.64,1.74M,-2.07%
2023-11-08,1.687,1.779,1.795,1.68,3.39M,-4.15%
2023-11-07,1.76,1.67,1.82,1.66,8.39M,7.38%
2023-11-06,1.639,1.62,1.675,1.594,3.28M,2.12%
2023-11-05,1.605,1.591,1.62,1.59,554.81K,0.69%
2023-11-02,1.594,1.591,1.63,1.584,547.10K,0.19%
2023-11-01,1.591,1.618,1.634,1.58,1.81M,-0.31%
2023-10-31,1.596,1.62,1.637,1.58,1.64M,-1.05%
2023-10-30,1.613,1.645,1.7,1.6,2.55M,-1.41%
2023-10-29,1.636,1.61,1.666,1.605,1.76M,2.06%
2023-10-26,1.603,1.57,1.647,1.561,2.59M,3.49%
2023-10-25,1.549,1.54,1.575,1.535,1.95M,1.97%
