Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,45.05,51.48,51.49,45.05,3.40M,-12.51%
2023-12-10,51.49,59.0,59.96,51.03,2.90M,-10.06%
2023-12-07,57.25,55.95,58.9,51.52,4.59M,3.13%
2023-12-06,55.51,54.9,62.29,52.0,4.67M,4.87%
2023-12-05,52.93,44.52,52.93,44.3,4.16M,20.00%
2023-12-04,44.11,46.35,47.5,43.5,2.74M,-4.83%
2023-12-03,46.35,56.5,56.5,43.0,4.64M,-11.88%
2023-11-30,52.6,47.49,52.6,47.0,3.82M,19.98%
2023-11-29,43.84,38.5,43.84,38.0,3.40M,19.98%
2023-11-28,36.54,32.5,36.54,31.8,3.52M,20.00%
2023-11-26,30.45,29.4,30.95,28.81,3.77M,8.13%
2023-11-23,28.16,26.17,28.2,26.17,2.78M,8.18%
2023-11-22,26.03,26.0,26.9,25.83,985.98K,0.81%
2023-11-21,25.82,25.7,26.45,25.5,574.24K,0.19%
2023-11-20,25.77,26.3,26.9,25.56,874.81K,-1.34%
2023-11-19,26.12,26.79,27.3,26.07,927.98K,-0.68%
2023-11-16,26.3,25.25,27.15,25.0,1.88M,4.66%
2023-11-15,25.13,26.0,26.34,24.9,993.87K,-3.72%
2023-11-14,26.1,25.95,26.95,25.53,1.50M,1.87%
2023-11-13,25.62,27.78,27.78,24.55,1.94M,-6.50%
2023-11-12,27.4,27.65,28.49,27.14,2.27M,3.79%
2023-11-09,26.4,26.27,26.89,25.53,2.61M,3.33%
2023-11-08,25.55,22.7,26.29,22.6,4.59M,13.91%
2023-11-07,22.43,23.3,23.9,22.3,1.48M,-1.62%
2023-11-06,22.8,24.45,24.49,22.77,2.14M,-4.60%
2023-11-05,23.9,23.65,24.88,22.99,4.08M,4.82%
2023-11-02,22.8,19.68,22.8,19.49,3.73M,20.00%
2023-11-01,19.0,18.4,19.0,17.8,1.21M,6.62%
2023-10-31,17.82,20.1,20.18,17.71,1.59M,-9.54%
2023-10-30,19.7,19.29,20.77,18.5,2.54M,4.56%
2023-10-29,18.84,18.2,20.5,17.65,3.52M,8.53%
2023-10-26,17.36,14.7,17.36,14.55,3.15M,19.97%
2023-10-25,14.47,14.4,14.8,14.16,970.09K,3.36%
2023-10-24,14.0,14.8,14.8,13.89,757.33K,-3.98%
2023-10-23,14.58,15.0,15.28,14.52,1.39M,0.76%
2023-10-22,14.47,13.79,14.47,13.52,852.68K,6.79%
2023-10-19,13.55,13.71,14.08,13.53,743.65K,-0.51%
2023-10-18,13.62,13.17,13.9,13.1,1.12M,3.65%
2023-10-17,13.14,12.83,13.28,12.7,499.76K,4.04%
2023-10-16,12.63,12.2,12.89,12.08,578.89K,4.12%
2023-10-15,12.13,12.18,12.36,12.07,145.94K,0.50%
2023-10-12,12.07,12.19,12.19,11.9,78.32K,1.17%
2023-10-11,11.93,12.19,12.35,11.9,128.70K,-1.32%
2023-10-10,12.09,12.0,12.18,11.86,74.82K,2.46%
2023-10-09,11.8,11.5,11.97,11.5,108.02K,2.79%
2023-10-08,11.48,12.44,12.44,11.04,203.34K,-6.59%
2023-10-04,12.29,12.34,12.64,12.15,159.33K,-0.41%
2023-10-03,12.34,12.86,13.0,12.22,214.79K,-4.04%
2023-10-02,12.86,13.14,13.27,12.77,279.39K,-1.91%
2023-10-01,13.11,13.12,13.3,13.07,298.04K,0.77%
2023-09-27,13.01,13.27,13.54,13.0,789.59K,0.00%
2023-09-26,13.01,13.26,13.26,12.89,260.01K,-0.54%
2023-09-25,13.08,13.36,13.59,13.0,537.85K,-1.13%
2023-09-24,13.23,13.0,13.53,12.98,757.32K,1.93%
2023-09-21,12.98,12.88,13.06,12.65,289.94K,1.80%
2023-09-20,12.75,12.71,13.18,12.71,431.11K,-0.23%
2023-09-19,12.78,12.99,13.09,12.72,207.93K,-1.62%
2023-09-18,12.99,12.97,13.09,12.9,129.48K,0.46%
2023-09-17,12.93,13.05,13.21,12.92,439.26K,0.08%
2023-09-14,12.92,12.81,13.13,12.65,733.96K,1.73%
2023-09-13,12.7,12.84,12.84,12.58,149.00K,0.32%
2023-09-12,12.66,12.71,12.86,12.62,279.59K,-0.16%
2023-09-11,12.68,12.88,12.97,12.67,217.02K,-1.17%
2023-09-10,12.83,12.8,12.94,12.74,289.88K,0.86%
2023-09-07,12.72,12.6,12.84,12.6,227.53K,1.19%
2023-09-06,12.57,12.89,13.14,12.52,393.10K,-2.41%
2023-09-05,12.88,13.11,13.36,12.84,750.57K,-2.28%
2023-09-04,13.18,13.39,13.4,13.1,434.24K,-0.38%
2023-09-03,13.23,13.8,14.18,13.18,1.45M,-3.43%
2023-08-31,13.7,13.0,14.11,12.78,2.84M,6.37%
2023-08-30,12.88,13.4,13.51,12.84,711.97K,-2.94%
2023-08-29,13.27,12.85,13.5,12.71,1.53M,3.35%
2023-08-28,12.84,12.19,12.84,11.9,922.72K,7.00%
2023-08-27,12.0,12.19,12.27,12.0,257.88K,0.67%
2023-08-24,11.92,12.0,12.06,11.8,185.02K,-0.08%
2023-08-23,11.93,12.14,12.42,11.88,322.06K,-1.89%
2023-08-22,12.16,12.16,12.29,12.0,228.24K,1.00%
2023-08-21,12.04,12.17,12.3,11.88,482.18K,-0.99%
2023-08-20,12.16,12.31,12.38,12.14,272.08K,-0.33%
2023-08-17,12.2,12.25,12.44,12.12,566.03K,0.00%
2023-08-16,12.2,11.64,12.64,11.64,1.39M,4.81%
2023-08-15,11.64,11.68,11.79,11.6,124.51K,-0.51%
2023-08-14,11.7,11.79,11.89,11.65,126.93K,-0.68%
2023-08-13,11.78,11.7,11.84,11.56,180.97K,1.46%
2023-08-10,11.61,11.75,11.79,11.6,89.24K,-1.78%
