Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,0.33,0.327,0.33,0.311,6.57M,3.13%
2023-12-10,0.32,0.324,0.33,0.318,5.16M,-1.23%
2023-12-07,0.324,0.323,0.327,0.314,4.97M,-1.22%
2023-12-06,0.328,0.329,0.332,0.325,4.67M,-0.61%
2023-12-05,0.33,0.332,0.334,0.328,4.53M,0.00%
2023-12-04,0.33,0.326,0.335,0.325,7.46M,1.85%
2023-12-03,0.324,0.333,0.339,0.324,7.19M,-2.41%
2023-11-30,0.332,0.345,0.345,0.33,5.62M,-1.19%
2023-11-29,0.336,0.338,0.358,0.33,12.89M,0.30%
2023-11-28,0.335,0.335,0.358,0.324,9.64M,0.30%
2023-11-27,0.334,0.333,0.338,0.327,9.38M,0.91%
2023-11-26,0.331,0.335,0.335,0.324,8.54M,0.61%
2023-11-23,0.329,0.335,0.339,0.327,9.26M,-0.60%
2023-11-22,0.331,0.32,0.337,0.317,24.65M,3.12%
2023-11-21,0.321,0.303,0.321,0.3,9.19M,6.64%
2023-11-20,0.301,0.311,0.315,0.299,3.46M,-2.27%
2023-11-19,0.308,0.318,0.322,0.307,5.06M,0.33%
2023-11-16,0.307,0.314,0.315,0.305,3.94M,0.99%
2023-11-15,0.304,0.308,0.316,0.302,5.16M,-0.98%
2023-11-14,0.307,0.322,0.324,0.305,8.87M,-2.85%
2023-11-13,0.316,0.306,0.327,0.303,19.61M,4.29%
2023-11-12,0.303,0.298,0.306,0.298,9.39M,3.77%
2023-11-09,0.292,0.29,0.297,0.283,8.42M,2.82%
2023-11-08,0.284,0.297,0.297,0.282,3.22M,-2.74%
2023-11-07,0.292,0.286,0.295,0.286,2.78M,1.39%
2023-11-06,0.288,0.291,0.296,0.287,764.66K,0.00%
2023-11-05,0.288,0.285,0.294,0.285,2.15M,0.35%
2023-11-02,0.287,0.28,0.29,0.272,3.97M,3.61%
2023-11-01,0.277,0.285,0.285,0.271,2.91M,-3.82%
2023-10-31,0.288,0.294,0.295,0.282,2.17M,-0.35%
2023-10-30,0.289,0.285,0.292,0.282,3.67M,1.40%
2023-10-29,0.285,0.281,0.289,0.281,1.47M,1.42%
2023-10-26,0.281,0.289,0.289,0.278,2.16M,-0.35%
2023-10-25,0.282,0.275,0.285,0.273,3.38M,3.68%
2023-10-24,0.272,0.277,0.278,0.271,5.60M,-0.37%
2023-10-23,0.273,0.275,0.277,0.271,7.41M,-0.36%
2023-10-22,0.274,0.279,0.279,0.27,3.74M,1.48%
2023-10-19,0.27,0.27,0.275,0.269,2.72M,-0.37%
2023-10-18,0.271,0.276,0.28,0.262,5.81M,-1.09%
2023-10-17,0.274,0.269,0.277,0.268,8.52M,2.24%
2023-10-16,0.268,0.27,0.27,0.265,3.43M,-0.37%
2023-10-15,0.269,0.272,0.275,0.266,2.42M,-0.74%
2023-10-12,0.271,0.267,0.276,0.266,2.45M,1.50%
2023-10-11,0.267,0.273,0.273,0.263,915.55K,0.00%
2023-10-10,0.267,0.261,0.273,0.26,2.03M,2.30%
2023-10-09,0.261,0.263,0.267,0.26,1.27M,-0.76%
2023-10-08,0.263,0.275,0.275,0.251,2.50M,-4.71%
2023-10-04,0.276,0.274,0.28,0.272,2.11M,0.73%
2023-10-03,0.274,0.273,0.28,0.273,928.25K,0.00%
2023-10-02,0.274,0.283,0.283,0.273,1.89M,-2.14%
2023-10-01,0.28,0.28,0.283,0.278,2.77M,1.08%
2023-09-27,0.277,0.28,0.287,0.273,2.59M,-1.77%
2023-09-26,0.282,0.292,0.292,0.28,1.51M,-0.70%
2023-09-25,0.284,0.293,0.302,0.281,8.04M,-1.05%
2023-09-24,0.287,0.298,0.298,0.283,1.55M,-0.69%
2023-09-21,0.289,0.295,0.296,0.281,6.00M,0.00%
2023-09-20,0.289,0.302,0.302,0.287,3.30M,-4.30%
2023-09-19,0.302,0.31,0.31,0.3,2.83M,-1.63%
2023-09-18,0.307,0.3,0.315,0.3,1.60M,0.66%
2023-09-17,0.305,0.32,0.32,0.303,8.24M,-2.24%
2023-09-14,0.312,0.316,0.32,0.31,8.53M,0.00%
2023-09-13,0.312,0.319,0.328,0.31,4.83M,-1.58%
2023-09-12,0.317,0.325,0.325,0.315,1.25M,-0.94%
2023-09-11,0.32,0.331,0.334,0.316,5.93M,-2.74%
2023-09-10,0.329,0.339,0.339,0.327,2.22M,-0.60%
2023-09-07,0.331,0.337,0.34,0.33,4.29M,-1.78%
2023-09-06,0.337,0.335,0.343,0.328,17.48M,1.20%
2023-09-05,0.333,0.32,0.344,0.315,24.33M,6.39%
2023-09-04,0.313,0.32,0.323,0.31,5.58M,-1.26%
2023-09-03,0.317,0.325,0.337,0.311,23.30M,-0.63%
2023-08-31,0.319,0.301,0.32,0.301,19.30M,5.98%
2023-08-30,0.301,0.277,0.304,0.272,20.08M,9.85%
2023-08-29,0.274,0.272,0.275,0.27,5.09M,1.48%
2023-08-28,0.27,0.278,0.278,0.27,3.25M,-0.37%
2023-08-27,0.271,0.283,0.286,0.27,5.89M,-2.17%
2023-08-24,0.277,0.29,0.291,0.275,5.13M,-2.81%
2023-08-23,0.285,0.276,0.304,0.272,22.88M,4.78%
2023-08-22,0.272,0.278,0.279,0.27,4.65M,0.00%
2023-08-21,0.272,0.276,0.28,0.273,516.60K,0.00%
2023-08-20,0.272,0.272,0.279,0.27,795.81K,0.00%
2023-08-17,0.272,0.278,0.278,0.27,2.36M,-2.16%
2023-08-16,0.278,0.277,0.28,0.276,2.05M,0.00%
2023-08-15,0.278,0.277,0.288,0.276,6.51M,0.00%
2023-08-14,0.278,0.28,0.28,0.276,1.68M,0.72%
2023-08-13,0.276,0.282,0.282,0.273,2.49M,-1.08%
2023-08-10,0.279,0.289,0.289,0.277,1.71M,-1.41%
2023-08-09,0.283,0.286,0.286,0.281,1.95M,0.35%
2023-08-08,0.282,0.282,0.291,0.281,4.74M,0.00%
2023-08-07,0.282,0.285,0.288,0.281,5.48M,-1.40%
2023-08-06,0.286,0.275,0.288,0.275,4.29M,3.25%
2023-08-03,0.277,0.272,0.282,0.272,5.56M,1.84%
2023-08-02,0.272,0.274,0.275,0.27,2.67M,-0.37%
2023-08-01,0.273,0.274,0.277,0.271,1.60M,-0.36%
2023-07-31,0.274,0.278,0.278,0.273,2.20M,-0.36%
2023-07-30,0.275,0.284,0.286,0.271,7.53M,-3.17%
2023-07-27,0.284,0.287,0.287,0.277,4.44M,0.00%
2023-07-26,0.284,0.272,0.285,0.27,10.18M,4.80%
2023-07-25,0.271,0.277,0.28,0.27,4.66M,-2.17%
2023-07-24,0.277,0.284,0.29,0.276,11.50M,-2.81%
2023-07-19,0.285,0.272,0.29,0.272,10.75M,5.17%
2023-07-18,0.271,0.272,0.274,0.27,2.03M,0.74%
2023-07-17,0.269,0.27,0.275,0.266,3.56M,-0.37%
2023-07-16,0.27,0.279,0.279,0.268,9.79M,-0.74%
2023-07-13,0.272,0.273,0.279,0.269,2.55M,0.74%
2023-07-12,0.27,0.275,0.275,0.261,9.78M,-1.10%
