Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,4.88,4.9,5.05,4.85,1.12M,0.41%
2023-12-10,4.86,5.04,5.17,4.85,1.78M,-2.99%
2023-12-07,5.01,5.07,5.15,4.94,1.16M,-1.18%
2023-12-06,5.07,5.4,5.45,5.0,1.27M,-6.11%
2023-12-05,5.4,5.5,5.75,5.35,759.03K,-1.64%
2023-12-04,5.49,5.7,5.75,5.45,463.83K,-1.44%
2023-12-03,5.57,5.92,5.98,5.55,1.14M,-5.59%
2023-11-30,5.9,5.4,5.92,5.4,1.49M,9.26%
2023-11-29,5.4,5.65,5.68,5.36,1.32M,-5.10%
2023-11-28,5.69,5.42,5.7,5.2,1.01M,4.40%
2023-11-27,5.45,5.11,5.66,5.07,2.68M,6.65%
2023-11-26,5.11,5.15,5.28,5.04,1.21M,-2.67%
2023-11-23,5.25,5.11,5.33,5.03,533.43K,0.38%
2023-11-22,5.23,5.23,5.4,4.9,1.55M,4.18%
2023-11-21,5.02,5.09,5.34,4.85,2.99M,0.20%
2023-11-20,5.01,4.78,5.2,4.65,3.25M,6.14%
2023-11-19,4.72,4.96,4.96,4.6,1.46M,-3.67%
2023-11-16,4.9,4.6,4.98,4.47,4.81M,6.75%
2023-11-15,4.59,4.4,4.63,4.35,5.11M,5.76%
2023-11-14,4.34,3.99,4.41,3.99,6.18M,8.77%
2023-11-13,3.99,3.96,4.06,3.95,825.51K,1.79%
2023-11-12,3.92,4.1,4.1,3.89,1.94M,-2.73%
2023-11-09,4.03,4.08,4.17,4.03,680.77K,-1.23%
2023-11-08,4.08,4.1,4.19,4.05,1.79M,-0.73%
2023-11-07,4.11,4.07,4.18,4.03,736.16K,1.48%
2023-11-06,4.05,4.1,4.1,4.03,271.00K,-0.49%
2023-11-05,4.07,4.02,4.1,4.01,348.52K,1.50%
2023-11-02,4.01,4.0,4.06,3.95,102.10K,1.01%
2023-11-01,3.97,4.05,4.09,3.94,160.18K,-3.17%
2023-10-31,4.1,4.12,4.12,4.0,611.38K,-0.24%
2023-10-30,4.11,4.11,4.16,4.05,823.91K,1.48%
2023-10-29,4.05,3.99,4.14,3.99,304.48K,0.75%
2023-10-26,4.02,4.05,4.1,3.98,245.60K,-1.47%
2023-10-25,4.08,3.95,4.1,3.95,537.36K,2.26%
2023-10-24,3.99,3.98,4.05,3.95,125.49K,0.00%
2023-10-23,3.99,3.96,4.08,3.91,910.37K,2.05%
2023-10-22,3.91,3.87,3.96,3.87,253.79K,0.77%
2023-10-19,3.88,3.87,3.91,3.87,132.40K,0.00%
2023-10-18,3.88,3.91,3.97,3.87,376.71K,0.00%
2023-10-17,3.88,3.91,3.91,3.84,311.46K,-0.26%
2023-10-16,3.89,3.82,3.91,3.81,172.79K,1.57%
2023-10-15,3.83,3.89,3.92,3.8,186.69K,0.26%
2023-10-12,3.82,3.85,3.9,3.8,217.53K,0.53%
2023-10-11,3.8,3.84,3.9,3.76,108.46K,-1.30%
2023-10-10,3.85,3.75,3.89,3.75,230.12K,2.67%
2023-10-09,3.75,3.79,3.83,3.7,169.73K,0.81%
2023-10-08,3.72,3.91,3.95,3.65,537.90K,-4.86%
2023-10-04,3.91,3.88,3.95,3.88,94.50K,-0.76%
2023-10-03,3.94,3.95,3.97,3.89,69.34K,0.00%
2023-10-02,3.94,3.91,4.02,3.9,585.88K,1.29%
2023-10-01,3.89,3.86,3.91,3.86,201.75K,0.52%
2023-09-27,3.87,3.85,3.9,3.82,347.55K,-0.51%
2023-09-26,3.89,3.94,3.94,3.87,336.70K,-0.26%
2023-09-25,3.9,3.88,3.92,3.88,399.21K,0.00%
2023-09-24,3.9,3.93,3.97,3.89,289.98K,-0.76%
2023-09-21,3.93,3.95,3.97,3.91,137.62K,-0.25%
2023-09-20,3.94,3.95,4.04,3.92,848.07K,-0.76%
2023-09-19,3.97,3.99,4.04,3.96,348.48K,0.00%
2023-09-18,3.97,3.94,4.0,3.92,339.79K,1.28%
2023-09-17,3.92,3.93,3.95,3.91,167.21K,-0.25%
2023-09-14,3.93,3.9,3.95,3.9,251.52K,0.51%
2023-09-13,3.91,3.9,3.95,3.89,157.47K,0.51%
2023-09-12,3.89,3.9,3.93,3.87,132.94K,0.00%
2023-09-11,3.89,3.92,3.97,3.88,340.99K,-0.51%
2023-09-10,3.91,3.92,3.98,3.89,490.06K,0.26%
2023-09-07,3.9,3.91,3.95,3.87,346.49K,-0.26%
2023-09-06,3.91,3.99,3.99,3.9,379.23K,-0.76%
2023-09-05,3.94,4.0,4.04,3.91,573.07K,-1.01%
2023-09-04,3.98,4.0,4.07,3.95,622.75K,0.76%
2023-09-03,3.95,4.04,4.08,3.93,1.18M,-1.25%
2023-08-31,4.0,4.08,4.1,4.0,823.75K,-1.48%
2023-08-30,4.06,4.09,4.18,4.03,2.06M,1.00%
2023-08-29,4.02,4.04,4.11,3.98,1.76M,1.01%
2023-08-28,3.98,4.07,4.08,3.96,1.07M,-1.24%
2023-08-27,4.03,4.13,4.17,4.02,2.13M,-1.47%
2023-08-24,4.09,4.0,4.13,3.95,1.13M,2.25%
2023-08-23,4.0,4.0,4.2,3.97,1.91M,1.27%
2023-08-22,3.95,4.08,4.08,3.92,488.15K,-1.50%
2023-08-21,4.01,3.91,4.14,3.89,1.49M,4.16%
2023-08-20,3.85,3.92,3.93,3.86,40.65K,0.00%
2023-08-17,3.85,3.87,3.94,3.85,243.56K,-1.28%
2023-08-16,3.9,4.0,4.0,3.89,382.97K,-1.27%
2023-08-15,3.95,3.89,3.99,3.8,1.11M,1.28%
2023-08-14,3.9,3.95,4.0,3.88,565.63K,-1.02%
2023-08-13,3.94,3.98,4.03,3.93,293.42K,-1.01%
2023-08-10,3.98,4.06,4.08,3.96,140.08K,-1.49%
2023-08-09,4.04,3.95,4.11,3.95,897.38K,2.02%
2023-08-08,3.96,4.03,4.1,3.94,670.58K,-1.00%
2023-08-07,4.0,4.2,4.23,3.97,2.78M,-4.99%
2023-08-06,4.21,4.03,4.29,3.94,3.20M,4.21%
2023-08-03,4.04,3.72,4.05,3.7,2.29M,8.60%
2023-08-02,3.72,3.72,3.76,3.7,167.69K,-0.27%
2023-08-01,3.73,3.79,3.79,3.71,90.56K,-0.27%
2023-07-31,3.74,3.76,3.78,3.72,42.56K,0.00%
2023-07-30,3.74,3.73,3.76,3.72,129.53K,1.08%
2023-07-27,3.7,3.68,3.73,3.68,214.84K,0.27%
2023-07-26,3.69,3.68,3.74,3.68,78.89K,0.00%
2023-07-25,3.69,3.73,3.73,3.68,159.34K,-0.27%
2023-07-24,3.7,3.71,3.76,3.69,128.79K,-0.80%
2023-07-19,3.73,3.74,3.76,3.71,195.85K,0.27%
2023-07-18,3.72,3.7,3.74,3.69,194.69K,0.54%
2023-07-17,3.7,3.71,3.76,3.67,300.03K,-0.54%
2023-07-16,3.72,3.75,3.79,3.7,156.80K,0.00%
2023-07-13,3.72,3.72,3.76,3.71,41.75K,0.00%
2023-07-12,3.72,3.77,3.79,3.7,158.68K,0.00%
2023-07-11,3.72,3.75,3.83,3.7,313.60K,1.64%
2023-07-10,3.66,3.7,3.75,3.65,67.28K,0.00%
2023-07-09,3.66,3.76,3.8,3.6,334.91K,-3.94%
2023-07-06,3.81,3.86,3.93,3.77,258.51K,-2.06%
2023-07-05,3.89,3.84,3.9,3.84,117.21K,1.04%
2023-07-04,3.85,3.93,3.96,3.83,294.89K,-0.77%
2023-06-26,3.88,3.89,3.97,3.85,156.16K,-0.77%
2023-06-25,3.91,3.94,3.98,3.88,118.19K,-0.76%
2023-06-22,3.94,4.0,4.01,3.92,183.43K,-1.50%
2023-06-21,4.0,3.87,4.08,3.85,2.50M,3.90%
2023-06-20,3.85,3.83,3.88,3.82,98.31K,0.26%
2023-06-19,3.84,3.9,3.9,3.83,250.33K,-1.54%
2023-06-18,3.9,3.87,3.93,3.82,175.79K,1.56%
2023-06-15,3.84,3.85,3.89,3.83,143.43K,-0.26%
2023-06-14,3.85,3.86,3.9,3.84,217.33K,0.00%
2023-06-13,3.85,3.87,3.9,3.85,248.82K,-0.52%
2023-06-12,3.87,3.88,3.9,3.87,18.91K,-0.26%
2023-06-11,3.88,3.9,3.95,3.83,193.22K,0.78%
2023-06-08,3.85,3.93,3.95,3.82,208.51K,-1.28%
2023-06-07,3.9,3.96,3.99,3.89,482.99K,-1.02%
2023-06-06,3.94,3.95,3.98,3.92,601.58K,0.51%
2023-06-05,3.92,3.99,3.99,3.91,379.62K,-0.25%
2023-06-04,3.93,3.95,3.96,3.89,653.53K,0.77%
2023-06-01,3.9,3.98,4.02,3.9,980.35K,-1.27%
2023-05-31,3.95,4.04,4.14,3.94,775.07K,-2.47%
2023-05-30,4.05,4.1,4.18,4.0,2.66M,-1.46%
2023-05-29,4.11,3.9,4.15,3.9,5.95M,6.75%
2023-05-28,3.85,3.77,3.9,3.75,2.74M,2.67%
2023-05-25,3.75,3.82,3.83,3.74,454.10K,-1.57%
2023-05-24,3.81,3.79,3.83,3.75,427.13K,1.60%
2023-05-23,3.75,3.78,3.81,3.74,953.03K,-1.06%
2023-05-22,3.79,3.8,3.85,3.77,280.35K,-0.26%
2023-05-21,3.8,3.73,3.82,3.73,276.92K,2.70%
2023-05-18,3.7,3.72,3.8,3.68,900.22K,-1.33%
2023-05-17,3.75,3.88,3.89,3.75,473.13K,-2.60%
2023-05-16,3.85,3.9,3.9,3.78,766.95K,-1.28%
2023-05-15,3.9,3.95,3.97,3.9,626.95K,-0.51%
2023-05-14,3.92,3.82,3.95,3.75,1.21M,3.43%
2023-05-11,3.79,3.75,3.81,3.75,584.83K,1.61%
2023-05-10,3.73,3.78,3.82,3.66,642.96K,-2.36%
2023-05-09,3.82,3.85,3.87,3.78,319.76K,0.53%
2023-05-08,3.8,3.7,3.82,3.69,297.38K,3.54%
2023-05-07,3.67,3.7,3.75,3.63,473.16K,-0.81%
2023-05-03,3.7,3.71,3.83,3.69,450.25K,-0.27%
2023-05-02,3.71,3.8,3.85,3.69,497.59K,-2.37%
2023-05-01,3.8,3.91,3.91,3.79,581.18K,-2.06%
2023-04-30,3.88,3.93,3.98,3.86,416.30K,-1.52%
2023-04-27,3.94,3.94,3.96,3.89,373.59K,1.29%
2023-04-26,3.89,3.89,3.94,3.85,495.44K,1.04%
2023-04-19,3.85,3.85,3.88,3.83,347.32K,0.52%
2023-04-18,3.83,3.92,3.93,3.79,750.03K,-2.05%
2023-04-13,3.91,3.97,4.01,3.88,395.09K,-1.76%
2023-04-12,3.98,3.92,4.09,3.92,755.79K,-9.95%
2023-04-11,4.42,4.37,4.44,4.37,1.09M,1.84%
2023-04-10,4.34,4.36,4.38,4.31,339.94K,-0.46%
2023-04-09,4.36,4.3,4.38,4.29,308.88K,1.40%
2023-04-06,4.3,4.32,4.37,4.3,384.28K,-0.92%
2023-04-05,4.34,4.3,4.39,4.25,373.74K,1.88%
2023-04-04,4.26,4.28,4.31,4.21,332.03K,0.71%
2023-04-03,4.23,4.21,4.3,4.19,582.20K,1.20%
2023-04-02,4.18,4.1,4.2,4.0,301.44K,3.21%
2023-03-30,4.05,4.02,4.1,3.95,60.28K,0.00%
2023-03-29,4.05,4.08,4.08,4.0,111.87K,1.00%
2023-03-28,4.01,4.02,4.09,3.9,142.73K,-0.50%
2023-03-27,4.03,4.07,4.14,4.02,78.79K,-0.49%
2023-03-26,4.05,4.07,4.14,4.02,182.86K,1.00%
2023-03-23,4.01,4.04,4.07,3.98,60.29K,0.00%
2023-03-22,4.01,4.08,4.1,4.0,229.33K,-0.74%
2023-03-21,4.04,3.96,4.08,3.93,344.25K,2.54%
2023-03-20,3.94,3.75,3.98,3.72,568.62K,5.91%
2023-03-19,3.72,3.7,3.8,3.4,265.41K,1.36%
2023-03-16,3.67,3.53,3.76,3.32,172.77K,3.97%
2023-03-15,3.53,4.0,4.08,3.2,597.29K,-9.49%
2023-03-14,3.9,3.95,3.95,3.72,250.88K,3.45%
2023-03-13,3.77,4.11,4.23,3.73,1.05M,-8.27%
2023-03-12,4.11,4.35,4.39,4.1,738.88K,-5.73%
2023-03-09,4.36,4.2,4.4,4.2,1.10M,3.81%
2023-03-08,4.2,4.18,4.24,4.05,626.35K,1.69%
2023-03-07,4.13,4.25,4.32,4.1,789.29K,-3.05%
2023-03-06,4.26,4.28,4.46,4.2,2.05M,0.00%
2023-03-05,4.26,4.29,4.37,4.17,964.20K,-0.47%
2023-03-02,4.28,4.05,4.31,4.05,1.78M,5.16%
2023-03-01,4.07,4.0,4.1,3.93,859.81K,2.78%
2023-02-28,3.96,3.87,4.0,3.87,892.07K,1.54%
2023-02-27,3.9,3.85,4.0,3.81,1.02M,0.52%
2023-02-26,3.88,3.7,3.92,3.61,607.94K,6.30%
2023-02-23,3.65,3.63,3.69,3.58,257.74K,0.55%
2023-02-22,3.63,3.75,3.77,3.61,296.98K,-2.16%
2023-02-21,3.71,3.67,3.73,3.62,195.93K,1.09%
2023-02-20,3.67,3.75,3.75,3.65,170.36K,-1.61%
2023-02-19,3.73,3.8,3.83,3.71,560.58K,-1.84%
2023-02-16,3.8,3.95,3.99,3.79,912.51K,-3.06%
2023-02-15,3.92,3.9,4.03,3.87,561.77K,0.26%
2023-02-14,3.91,3.85,3.98,3.8,538.35K,1.30%
