Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,2.08,2.17,2.19,2.04,7.39M,-4.15%
2023-12-10,2.17,2.24,2.29,2.16,2.95M,-3.12%
2023-12-07,2.24,2.28,2.3,2.13,5.91M,-2.61%
2023-12-06,2.3,2.37,2.38,2.25,6.16M,-1.29%
2023-12-05,2.33,2.3,2.39,2.29,9.48M,2.19%
2023-12-04,2.28,2.28,2.31,2.25,6.54M,1.33%
2023-12-03,2.25,2.18,2.31,2.16,13.00M,4.17%
2023-11-30,2.16,2.13,2.17,2.11,3.53M,1.89%
2023-11-29,2.12,2.17,2.17,2.11,3.59M,-1.40%
2023-11-28,2.15,2.24,2.25,2.1,11.05M,-2.71%
2023-11-27,2.21,2.23,2.24,2.18,4.14M,-0.45%
2023-11-26,2.22,2.26,2.3,2.22,8.28M,-0.89%
2023-11-23,2.24,2.25,2.3,2.2,6.32M,0.45%
2023-11-22,2.23,2.25,2.32,2.23,7.56M,0.00%
2023-11-21,2.23,2.21,2.29,2.18,9.14M,1.36%
2023-11-20,2.2,2.32,2.33,2.19,12.77M,-3.93%
2023-11-19,2.29,2.2,2.34,2.2,19.31M,6.02%
2023-11-16,2.16,2.09,2.22,2.08,13.32M,4.35%
2023-11-15,2.07,2.1,2.12,2.02,2.91M,-0.48%
2023-11-14,2.08,2.13,2.16,2.06,6.25M,-0.95%
2023-11-13,2.1,2.04,2.14,1.96,10.12M,3.45%
2023-11-12,2.03,2.05,2.06,1.97,5.78M,0.00%
2023-11-09,2.03,2.08,2.1,1.89,6.21M,-2.40%
2023-11-08,2.08,2.16,2.16,2.05,5.42M,-1.89%
2023-11-07,2.12,2.12,2.17,2.1,9.42M,0.95%
2023-11-06,2.1,2.22,2.22,2.09,13.86M,-4.11%
2023-11-05,2.19,2.14,2.23,2.14,22.17M,5.24%
2023-11-02,2.081,2.167,2.214,2.06,29.81M,-1.37%
2023-11-01,2.11,2.039,2.24,2.035,38.92M,3.48%
2023-10-31,2.039,1.95,2.147,1.925,33.13M,6.98%
2023-10-30,1.906,1.793,1.965,1.793,15.95M,5.65%
2023-10-29,1.804,1.82,1.827,1.79,3.49M,-0.11%
2023-10-26,1.806,1.83,1.84,1.8,3.36M,0.84%
