Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,178.1,176.01,181.0,176.01,0.36K,-0.22%
2023-12-10,178.5,178.12,185.0,176.17,0.55K,0.22%
2023-12-07,178.1,181.0,189.9,177.02,3.58K,-0.48%
2023-12-06,178.96,177.03,183.0,177.03,0.78K,0.00%
2023-12-05,178.96,183.0,183.0,178.25,1.79K,1.40%
2023-12-04,176.49,184.0,184.8,175.11,2.72K,-3.89%
2023-12-03,183.63,182.31,184.9,178.0,1.26K,0.00%
2023-11-30,183.63,180.1,185.5,180.1,0.77K,0.00%
2023-11-29,183.63,178.1,186.75,178.1,1.92K,0.86%
2023-11-28,182.06,175.01,181.99,175.01,0.88K,0.00%
2023-11-27,182.06,164.0,187.0,162.54,12.19K,11.32%
2023-11-26,163.55,160.0,167.0,158.0,2.46K,4.64%
2023-11-23,156.3,157.51,162.75,157.51,1.60K,0.00%
2023-11-22,156.3,155.25,159.0,154.0,3.31K,3.99%
2023-11-21,150.3,151.5,155.0,150.3,1.95K,0.00%
2023-11-20,150.3,150.5,152.0,150.02,1.39K,0.00%
2023-11-19,150.3,150.0,152.1,150.0,1.28K,0.00%
2023-11-16,150.3,150.94,152.0,149.2,1.88K,0.00%
2023-11-15,150.3,150.3,150.85,148.16,1.50K,0.00%
2023-11-14,150.3,150.0,152.0,148.01,4.03K,0.72%
2023-11-13,149.22,154.98,154.98,145.05,5.78K,-9.70%
2023-11-12,165.25,166.99,166.99,160.5,9.30K,2.29%
2023-11-09,161.55,168.9,168.9,160.0,3.93K,-4.19%
2023-11-08,168.61,160.0,169.39,158.01,8.44K,5.17%
2023-11-07,160.32,159.6,161.83,158.0,2.45K,1.05%
2023-11-06,158.66,155.1,159.6,155.1,2.41K,2.90%
2023-11-05,154.19,152.5,155.0,151.1,2.52K,2.50%
2023-11-02,150.43,150.0,152.99,150.0,0.49K,0.00%
2023-11-01,150.43,150.0,151.75,149.12,1.20K,0.00%
2023-10-31,150.43,151.9,151.9,150.0,0.85K,0.00%
2023-10-30,150.43,149.25,151.99,149.0,1.13K,0.00%
2023-10-29,150.43,151.7,153.0,149.0,2.30K,0.25%
2023-10-26,150.05,152.75,152.75,149.2,4.00K,0.62%
2023-10-25,149.13,150.0,153.0,148.0,1.90K,0.00%
2023-10-24,149.13,150.0,150.5,148.0,2.49K,0.01%
2023-10-23,149.11,150.0,153.5,147.13,3.34K,-3.83%
2023-10-22,155.05,143.01,169.4,143.01,4.79K,8.94%
2023-10-19,142.32,140.02,144.4,140.02,5.44K,2.35%
2023-10-18,139.05,138.0,139.89,137.9,31.69K,0.73%
2023-10-17,138.04,139.0,140.0,137.71,6.00K,-1.16%
2023-10-16,139.66,138.12,140.0,138.12,5.15K,0.45%
2023-10-15,139.04,136.01,140.0,136.0,10.33K,1.50%
2023-10-12,136.99,139.99,140.0,136.0,2.46K,0.27%
2023-10-11,136.62,137.11,141.0,136.25,6.40K,-0.28%
2023-10-10,137.0,144.98,144.98,137.0,8.08K,-1.16%
2023-10-09,138.61,141.0,143.9,120.0,4.13K,-2.78%
2023-10-08,142.58,143.3,147.0,140.0,3.76K,-0.33%
2023-10-04,143.05,145.0,146.9,143.21,1.04K,0.00%
2023-10-03,143.05,146.9,146.9,142.0,2.72K,-0.88%
2023-10-02,144.32,147.0,147.0,144.23,0.09K,0.00%
2023-10-01,144.32,143.8,147.0,143.8,2.46K,-0.21%
2023-09-27,144.62,146.0,146.0,143.0,2.55K,-1.18%
2023-09-26,146.34,145.8,146.9,145.0,0.52K,0.00%
2023-09-25,146.34,146.0,146.9,145.6,1.45K,0.00%
2023-09-24,146.34,145.6,147.0,145.6,2.85K,-0.35%
2023-09-21,146.86,145.8,147.0,145.6,2.07K,0.33%
2023-09-20,146.38,146.0,147.0,145.8,2.32K,0.20%
2023-09-19,146.09,146.25,148.0,146.0,2.12K,-0.49%
2023-09-18,146.81,148.1,148.1,146.0,1.54K,0.00%
2023-09-17,146.81,148.25,148.25,146.57,3.53K,0.15%
2023-09-14,146.59,147.0,147.9,146.0,3.48K,-0.45%
2023-09-13,147.26,147.51,148.0,146.03,3.36K,-4.38%
2023-09-12,154.01,147.25,149.5,147.25,0.16K,0.00%
2023-09-11,154.01,147.5,150.0,147.2,1.77K,0.00%
2023-09-10,154.01,151.0,151.0,146.81,0.87K,0.00%
2023-09-07,154.01,148.6,151.0,146.8,1.89K,0.00%
2023-09-06,154.01,149.99,151.91,147.01,0.18K,0.00%
2023-09-05,154.01,150.0,150.0,148.5,0.20K,0.00%
2023-09-04,154.01,149.5,151.95,145.56,0.88K,0.00%
2023-09-03,154.01,152.79,152.79,149.12,0.33K,0.00%
2023-08-31,154.01,149.5,153.4,149.5,0.35K,0.00%
2023-08-30,154.01,149.02,153.99,149.02,1.25K,0.00%
2023-08-29,154.01,152.99,154.0,148.54,0.50K,0.00%
2023-08-28,154.01,150.0,152.99,148.06,0.67K,0.00%
2023-08-27,154.01,150.0,152.84,148.04,0.44K,0.00%
2023-08-24,154.01,150.0,150.01,147.62,0.65K,0.00%
2023-08-23,154.01,147.02,152.99,147.02,0.06K,0.00%
2023-08-22,154.01,148.04,151.0,147.0,1.80K,0.00%
2023-08-21,154.01,150.0,153.99,148.03,1.41K,0.00%
2023-08-20,154.01,146.1,154.99,146.1,0.24K,0.00%
2023-08-17,154.01,150.0,156.98,150.0,0.45K,0.00%
2023-08-16,154.01,141.5,159.97,141.5,3.56K,5.96%
2023-08-15,145.35,144.0,144.79,141.5,0.62K,0.00%
2023-08-14,145.35,140.31,144.9,140.3,0.39K,0.00%
2023-08-13,145.35,141.86,145.0,140.0,1.23K,0.00%
2023-08-10,145.35,145.0,145.0,141.4,0.21K,0.00%
2023-08-09,145.35,142.0,149.0,141.31,2.06K,0.00%
2023-08-08,145.35,141.01,151.0,140.5,4.63K,2.37%
