Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,1.34,1.42,1.45,1.41,7.75K,-3.38%
2023-12-10,1.39,1.33,1.45,1.33,48.58K,3.50%
2023-12-07,1.34,1.35,1.44,1.33,32.54K,0.00%
2023-12-06,1.34,1.4,1.45,1.39,27.07K,0.00%
2023-12-05,1.34,1.35,1.36,1.35,25.46K,0.00%
2023-12-04,1.34,1.35,1.35,1.27,119.03K,9.36%
2023-12-03,1.23,1.33,1.35,1.27,12.98K,0.00%
2023-11-30,1.23,1.35,1.35,1.2,25.11K,0.00%
2023-11-29,1.23,1.35,1.35,1.23,9.45K,0.00%
2023-11-28,1.23,1.23,1.23,1.2,4.75K,0.00%
2023-11-27,1.23,1.23,1.23,1.23,150.06K,9.94%
2023-11-26,1.12,1.23,1.23,1.23,32.50K,0.00%
2023-11-23,1.12,1.22,1.23,1.22,120.09K,0.00%
2023-11-22,1.12,1.22,1.23,1.12,93.11K,0.00%
2023-11-21,1.12,1.2,1.2,1.08,70.97K,0.00%
2023-11-20,1.12,1.21,1.21,1.2,8.13K,0.00%
2023-11-19,1.12,1.15,1.18,1.1,198.75K,1.09%
2023-11-16,1.11,1.15,1.15,1.05,11.96K,0.00%
2023-11-15,1.11,1.01,1.18,1.01,10.29K,0.00%
2023-11-14,1.11,1.17,1.18,1.1,147.60K,3.08%
2023-11-13,1.07,1.01,1.14,1.01,0.04K,0.00%
2023-11-12,1.07,1.1,1.18,1.01,72.60K,0.00%
2023-11-09,1.07,1.04,1.15,1.03,10.01K,0.00%
2023-11-08,1.07,1.01,1.01,1.01,1.10K,0.00%
2023-11-07,1.07,1.03,1.1,1.02,260.00K,-2.37%
2023-11-05,1.1,1.09,1.12,1.05,223.01K,-2.14%
2023-11-02,1.12,1.03,1.04,1.03,12.02K,0.00%
2023-11-01,1.12,1.04,1.12,1.03,25.04K,0.00%
2023-10-31,1.12,1.03,1.23,1.03,34.17K,0.00%
2023-10-30,1.12,1.01,1.19,1.01,10.13K,0.00%
2023-10-29,1.12,1.17,1.2,1.1,20.39K,0.00%
2023-10-26,1.12,1.19,1.19,1.1,45.70K,0.00%
2023-10-25,1.12,1.21,1.21,1.21,2.50K,0.00%
2023-10-24,1.12,1.03,1.03,1.03,0.10K,0.00%
2023-10-23,1.12,1.14,1.26,1.12,204.00K,-5.00%
2023-10-22,1.18,1.14,1.14,1.14,0.10K,0.00%
2023-10-19,1.18,1.21,1.22,1.12,32.79K,0.00%
2023-10-18,1.18,1.12,1.24,1.12,12.69K,0.00%
2023-10-17,1.18,1.11,1.25,1.11,5.00K,0.00%
2023-10-15,1.18,1.1,1.11,1.1,1.50K,0.00%
2023-10-12,1.18,1.08,1.28,1.08,85.10K,0.00%
2023-10-11,1.18,1.21,1.21,1.11,24.55K,0.00%
2023-10-10,1.18,1.21,1.21,1.12,152.95K,7.07%
2023-10-08,1.1,1.0,1.0,1.0,1.25K,0.00%
2023-10-04,1.1,1.21,1.21,1.21,3.00K,0.00%
2023-10-03,1.1,1.13,1.21,1.13,64.19K,0.00%
2023-10-02,1.1,1.13,1.21,1.13,21.20K,0.00%
2023-10-01,1.1,1.12,1.13,1.1,603.73K,7.50%
2023-09-27,1.03,1.1,1.1,1.03,18.30K,0.00%
2023-09-26,1.03,1.12,1.13,1.01,18.38K,0.00%
2023-09-25,1.03,1.13,1.13,1.12,77.00K,0.00%
2023-09-24,1.03,1.03,1.11,1.03,49.56K,0.00%
2023-09-20,1.03,1.02,1.08,1.0,152.12K,0.00%
2023-09-19,1.02,1.05,1.05,1.0,125.07K,0.00%
2023-09-18,1.02,1.0,1.03,1.0,128.17K,0.00%
2023-09-13,1.02,1.0,1.0,1.0,1.50K,0.00%
2023-09-12,1.02,0.96,0.96,0.96,0.06K,0.00%
2023-09-10,1.02,1.08,1.08,0.96,7.70K,0.00%
2023-09-07,1.02,0.99,1.01,0.99,1.68K,0.00%
2023-09-05,1.02,1.05,1.05,1.05,20.00K,0.00%
2023-09-04,1.02,1.0,1.0,1.0,16.00K,0.00%
2023-09-03,1.02,1.0,1.02,1.0,5.61K,0.00%
2023-08-30,1.02,0.95,1.03,0.95,26.58K,0.00%
2023-08-29,1.02,0.95,0.95,0.95,0.37K,0.00%
2023-08-27,1.02,1.1,1.12,1.1,29.60K,0.00%
2023-08-24,1.02,1.1,1.12,1.06,49.01K,0.00%
2023-08-23,1.02,0.93,1.12,0.93,1.50K,0.00%
2023-08-22,1.02,1.0,1.01,1.0,0.55K,0.00%
2023-08-20,1.02,0.95,1.12,0.95,1.09K,0.00%
2023-08-16,1.02,1.02,1.13,1.02,40.18K,0.00%
2023-08-15,1.02,1.13,1.13,1.13,61.41K,0.00%
2023-08-14,1.02,1.13,1.13,1.12,87.03K,0.00%
2023-08-13,1.02,1.13,1.13,1.07,44.23K,0.00%
2023-08-10,1.02,0.99,1.06,0.99,174.94K,5.79%
2023-08-09,0.97,0.97,0.97,0.97,165.40K,10.00%
2023-08-08,0.88,0.97,0.97,0.9,6.92K,0.00%
2023-08-07,0.88,0.9,0.97,0.88,15.76K,0.00%
2023-08-06,0.88,0.96,0.97,0.91,68.64K,0.00%
2023-08-03,0.88,0.95,0.95,0.89,1.18K,0.00%
2023-08-02,0.88,0.96,0.97,0.9,87.01K,0.00%
2023-08-01,0.88,0.8,0.96,0.8,5.26K,0.00%
2023-07-31,0.88,0.9,0.96,0.87,25.51K,0.00%
2023-07-30,0.88,0.9,0.9,0.88,10.10K,0.00%
2023-07-26,0.88,0.9,0.9,0.88,57.00K,0.00%
2023-07-24,0.88,0.88,0.88,0.88,105.00K,0.00%
2023-07-19,0.88,0.89,0.89,0.88,9.80K,0.00%
2023-07-18,0.88,0.92,0.92,0.92,3.00K,0.00%
2023-07-13,0.88,0.88,0.88,0.88,18.00K,0.00%
2023-07-12,0.88,0.9,0.9,0.9,13.05K,0.00%
2023-07-11,0.88,0.88,0.88,0.88,15.10K,0.00%
2023-07-09,0.88,0.9,0.9,0.82,90.15K,0.00%
2023-07-05,0.88,0.9,0.9,0.9,4.79K,0.00%
2023-06-26,0.88,0.9,0.9,0.9,15.00K,0.00%
2023-06-25,0.88,0.94,0.94,0.88,42.88K,0.00%
2023-06-22,0.88,0.9,0.9,0.9,27.55K,0.00%
2023-06-20,0.88,0.9,0.9,0.9,15.00K,0.00%
2023-06-19,0.88,0.88,0.88,0.88,25.00K,0.00%
2023-06-18,0.88,0.94,0.94,0.89,12.10K,0.00%
2023-06-15,0.88,0.88,0.94,0.88,32.51K,0.00%
2023-06-13,0.88,0.88,0.88,0.88,72.50K,-3.30%
2023-06-12,0.91,0.91,0.91,0.91,,3.41%
2023-06-11,0.88,0.88,0.9,0.88,1.72K,0.00%
2023-06-08,0.88,0.9,0.9,0.88,38.85K,0.00%
2023-06-07,0.88,0.89,0.96,0.88,66.57K,0.00%
2023-06-06,0.88,0.97,0.97,0.88,4.66K,0.00%
2023-06-05,0.88,0.88,0.88,0.88,180.96K,10.00%
2023-06-04,0.8,0.88,0.88,0.88,0.75K,0.00%
2023-06-01,0.8,0.88,0.88,0.88,0.05K,0.00%
2023-05-31,0.8,0.88,0.88,0.88,124.50K,0.00%
2023-05-30,0.8,0.81,0.88,0.81,123.93K,0.00%
2023-05-29,0.8,0.8,0.8,0.8,88.00K,0.00%
2023-05-28,0.8,0.8,0.8,0.8,195.00K,0.00%
2023-05-25,0.8,0.8,0.8,0.8,101.12K,0.00%
2023-05-23,0.8,0.8,0.81,0.8,44.50K,0.00%
2023-05-22,0.8,0.81,0.81,0.81,10.00K,0.00%
2023-05-21,0.8,0.81,0.81,0.81,0.02K,0.00%
2023-05-18,0.8,0.8,0.8,0.8,1.00K,0.00%
2023-05-17,0.8,0.8,0.8,0.8,60.00K,0.00%
2023-05-16,0.8,0.8,0.8,0.8,13.50K,0.00%
2023-05-15,0.8,0.8,0.81,0.8,158.98K,0.00%
2023-05-14,0.8,0.8,0.83,0.8,192.13K,0.00%
2023-05-10,0.8,0.81,0.83,0.81,20.12K,0.00%
2023-05-09,0.8,0.8,0.8,0.8,50.00K,0.00%
2023-05-08,0.8,0.8,0.81,0.8,27.03K,0.00%
2023-05-07,0.8,0.8,0.82,0.8,663.75K,0.00%
2023-05-03,0.8,0.8,0.8,0.8,50.50K,0.00%
2023-05-02,0.8,0.77,0.8,0.75,19.77K,0.00%
2023-05-01,0.8,0.8,0.8,0.8,4.61K,0.00%
2023-04-30,0.8,0.71,0.8,0.67,193.36K,9.88%
2023-04-27,0.73,0.75,0.8,0.75,135.66K,0.00%
2023-04-26,0.73,0.7,0.8,0.7,61.52K,0.00%
2023-04-19,0.73,0.7,0.75,0.7,30.01K,0.00%
2023-04-18,0.73,0.74,0.75,0.74,14.47K,0.00%
2023-04-13,0.73,0.79,0.79,0.7,17.80K,0.00%
2023-04-12,0.73,0.72,0.72,0.72,26.01K,0.00%
2023-04-11,0.73,0.72,0.72,0.7,38.00K,0.00%
2023-04-10,0.73,0.74,0.78,0.72,29.82K,0.00%
2023-04-09,0.73,0.72,0.73,0.72,279.28K,9.95%
2023-04-06,0.66,0.72,0.73,0.72,17.00K,0.00%
2023-04-05,0.66,0.72,0.73,0.67,110.39K,0.00%
2023-04-04,0.66,0.7,0.72,0.7,16.10K,0.00%
2023-04-03,0.66,0.7,0.7,0.7,27.86K,0.00%
2023-04-02,0.66,0.69,0.7,0.69,63.00K,0.00%
2023-03-30,0.66,0.7,0.72,0.69,60.94K,0.00%
2023-03-29,0.66,0.7,0.7,0.66,86.17K,0.00%
2023-03-27,0.66,0.69,0.7,0.69,5.95K,0.00%
2023-03-22,0.66,0.67,0.69,0.67,45.00K,0.00%
2023-03-21,0.66,0.67,0.69,0.67,97.15K,0.00%
2023-03-20,0.66,0.66,0.7,0.66,10.15K,0.00%
2023-03-19,0.66,0.67,0.67,0.66,302.50K,-2.50%
2023-03-16,0.68,0.67,0.69,0.67,78.28K,0.00%
2023-03-15,0.68,0.69,0.7,0.66,116.06K,0.00%
2023-03-14,0.68,0.66,0.68,0.66,23.30K,0.00%
2023-03-13,0.68,0.69,0.7,0.66,565.94K,-2.86%
2023-03-12,0.7,0.68,0.71,0.68,67.10K,0.00%
