Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,19.9,20.41,20.59,19.71,1.77M,-2.45%
2023-12-10,20.4,21.06,21.88,20.4,2.85M,-2.67%
2023-12-07,20.96,20.44,20.99,19.41,2.78M,3.25%
2023-12-06,20.3,20.3,21.2,20.12,2.35M,1.25%
2023-12-05,20.05,20.82,21.39,20.0,2.33M,-2.81%
2023-12-04,20.63,19.51,21.7,19.5,10.80M,10.91%
2023-12-03,18.6,18.3,18.6,18.2,903.20K,2.20%
2023-11-30,18.2,18.2,18.34,18.1,613.47K,0.11%
2023-11-29,18.18,18.4,18.5,17.95,1.18M,-1.09%
2023-11-28,18.38,18.85,18.98,18.36,900.12K,-2.49%
2023-11-27,18.85,18.9,19.15,18.69,2.14M,1.07%
2023-11-26,18.65,18.55,18.85,18.3,2.58M,1.52%
2023-11-23,18.37,18.05,18.41,18.0,2.81M,2.34%
2023-11-22,17.95,18.24,18.4,17.93,2.29M,-0.11%
2023-11-21,17.97,18.45,18.45,17.9,2.19M,-2.50%
2023-11-20,18.43,18.94,19.1,18.25,1.10M,-2.18%
2023-11-19,18.84,18.6,19.15,18.6,1.63M,2.50%
2023-11-16,18.38,18.5,18.66,18.18,1.52M,1.27%
2023-11-15,18.15,17.5,18.49,17.45,1.94M,4.07%
2023-11-14,17.44,17.4,17.51,17.33,373.28K,0.11%
2023-11-13,17.42,17.3,17.54,17.1,458.13K,0.75%
2023-11-12,17.29,17.45,17.49,17.25,324.90K,-0.17%
2023-11-09,17.32,17.49,17.59,17.24,529.82K,-0.46%
2023-11-08,17.4,17.52,17.64,17.38,464.81K,0.00%
2023-11-07,17.4,17.54,17.77,17.39,529.33K,0.06%
2023-11-06,17.39,17.24,17.8,17.24,1.19M,1.16%
2023-11-05,17.19,16.95,17.25,16.92,629.55K,2.57%
2023-11-02,16.76,16.21,16.88,16.21,409.71K,3.65%
2023-11-01,16.17,16.67,16.83,16.0,479.80K,-3.17%
2023-10-31,16.7,17.1,17.14,16.66,515.13K,-1.65%
2023-10-30,16.98,16.83,17.22,16.83,947.80K,1.80%
2023-10-29,16.68,16.5,16.88,16.44,520.90K,1.28%
2023-10-26,16.47,16.58,16.7,16.3,636.48K,0.12%
2023-10-25,16.45,16.36,16.75,16.25,1.02M,1.54%
2023-10-24,16.2,15.8,16.5,15.8,1.28M,2.86%
2023-10-23,15.75,15.73,15.8,15.55,661.02K,0.19%
2023-10-22,15.72,15.5,15.79,15.2,365.64K,1.42%
2023-10-19,15.5,15.6,15.67,14.92,527.15K,-0.70%
2023-10-18,15.61,15.75,15.79,15.59,522.12K,-0.76%
2023-10-17,15.73,15.81,15.84,15.5,444.53K,-0.06%
2023-10-16,15.74,15.51,15.89,15.5,407.79K,0.90%
2023-10-15,15.6,15.5,15.97,15.47,350.90K,1.17%
2023-10-12,15.42,15.7,15.75,15.35,303.78K,-1.66%
2023-10-11,15.68,14.59,15.8,14.54,1.41M,7.99%
2023-10-10,14.52,14.64,14.66,14.35,260.05K,0.07%
2023-10-09,14.51,14.55,14.7,14.25,210.07K,0.14%
2023-10-08,14.49,15.2,15.2,13.5,493.41K,-4.67%
2023-10-04,15.2,15.12,15.35,15.01,277.29K,0.93%
2023-10-03,15.06,15.44,15.44,15.01,318.91K,-2.46%
2023-10-02,15.44,15.85,15.85,15.11,383.69K,-2.28%
2023-10-01,15.8,16.18,16.18,15.8,401.03K,-1.62%
2023-09-27,16.06,16.3,16.3,16.0,384.03K,-1.11%
2023-09-26,16.24,16.66,16.88,16.16,665.86K,-2.17%
2023-09-25,16.6,16.39,16.97,16.09,1.10M,1.84%
2023-09-24,16.3,16.7,16.7,16.29,397.61K,-1.69%
2023-09-21,16.58,16.68,16.84,16.3,426.87K,-0.48%
2023-09-20,16.66,17.19,17.2,16.61,796.24K,-2.57%
2023-09-19,17.1,17.2,17.29,17.09,533.80K,-0.47%
2023-09-18,17.18,17.35,17.36,17.14,694.68K,-0.64%
2023-09-17,17.29,17.31,17.36,17.28,803.47K,0.00%
2023-09-14,17.29,17.32,17.39,17.26,482.01K,-0.06%
2023-09-13,17.3,17.4,17.47,17.28,529.81K,-0.23%
2023-09-12,17.34,17.35,17.44,17.33,304.36K,0.00%
2023-09-11,17.34,17.46,17.5,17.31,357.52K,-0.46%
2023-09-10,17.42,17.35,17.55,17.3,445.83K,0.58%
2023-09-07,17.32,17.35,17.4,17.29,343.23K,0.06%
2023-09-06,17.31,17.45,17.6,17.3,902.37K,-0.69%
2023-09-05,17.43,17.36,17.57,17.25,727.61K,0.46%
2023-09-04,17.35,17.77,17.77,17.3,542.16K,-1.81%
2023-09-03,17.67,17.85,18.15,17.65,439.27K,-0.56%
2023-08-31,17.77,17.44,17.99,17.35,677.01K,2.13%
2023-08-30,17.4,17.45,17.48,17.32,379.54K,0.06%
2023-08-29,17.39,17.49,17.6,17.3,417.41K,-0.23%
2023-08-28,17.43,17.68,17.9,17.4,640.16K,-1.36%
2023-08-27,17.67,17.5,17.67,17.45,343.01K,1.26%
2023-08-24,17.45,17.74,17.74,17.38,371.88K,-1.13%
2023-08-23,17.65,18.03,18.03,17.64,683.76K,-1.78%
2023-08-22,17.97,18.22,18.22,17.94,602.74K,-0.88%
2023-08-21,18.13,18.6,18.6,18.04,1.14M,-6.40%
2023-08-20,19.37,19.67,19.83,19.3,1.53M,-1.17%
2023-08-17,19.6,19.65,19.86,19.51,677.80K,0.82%
2023-08-16,19.44,19.32,19.69,19.32,506.94K,0.99%
2023-08-15,19.25,19.4,19.49,19.25,391.15K,-0.41%
2023-08-14,19.33,19.35,19.57,19.3,545.35K,0.42%
2023-08-13,19.25,19.4,19.6,19.0,1.01M,-0.16%
2023-08-10,19.28,19.61,19.71,19.22,678.85K,-1.63%
