Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,35.75,37.4,37.4,35.05,61.12K,-4.34%
2023-12-10,37.37,38.09,39.5,37.0,83.81K,-1.37%
2023-12-07,37.89,38.0,38.01,36.0,123.92K,-1.79%
2023-12-06,38.58,39.5,39.82,38.53,93.90K,-0.39%
2023-12-05,38.73,39.7,40.7,38.52,232.74K,-0.46%
2023-12-04,38.91,36.67,39.49,36.67,192.57K,6.78%
2023-12-03,36.44,37.5,37.91,36.0,107.57K,-1.27%
2023-11-30,36.91,35.03,38.4,35.01,180.73K,4.15%
2023-11-29,35.44,35.2,36.8,35.01,144.85K,2.28%
2023-11-28,34.65,34.12,35.1,34.12,53.34K,0.96%
2023-11-27,34.32,32.11,34.78,32.11,95.50K,0.67%
2023-11-26,34.09,34.35,35.4,34.06,111.86K,-0.15%
2023-11-23,34.14,34.16,34.79,34.05,56.55K,0.38%
2023-11-22,34.01,34.97,35.45,33.7,122.47K,-0.85%
2023-11-21,34.3,35.25,37.0,34.11,303.28K,-2.14%
2023-11-20,35.05,32.3,35.99,31.91,303.06K,9.46%
2023-11-19,32.02,32.5,32.94,31.83,44.77K,-1.78%
2023-11-16,32.6,32.75,33.0,32.41,43.75K,0.52%
2023-11-15,32.43,32.1,33.9,32.1,177.39K,1.22%
2023-11-14,32.04,32.1,32.3,31.78,12.86K,0.19%
2023-11-13,31.98,32.0,32.45,31.75,25.52K,0.38%
2023-11-12,31.86,32.44,32.46,31.7,27.35K,-0.06%
2023-11-09,31.88,32.09,32.49,31.63,19.25K,-0.65%
2023-11-08,32.09,32.0,32.88,32.0,41.85K,-0.31%
2023-11-07,32.19,32.0,32.96,31.57,80.88K,1.61%
2023-11-06,31.68,32.06,32.85,31.51,46.24K,-1.68%
2023-11-05,32.22,32.62,32.62,31.83,27.72K,1.26%
2023-11-02,31.82,31.25,32.89,31.25,70.17K,1.66%
2023-11-01,31.3,32.7,32.7,31.12,34.43K,-2.52%
2023-10-31,32.11,32.1,33.45,32.0,93.64K,-1.11%
2023-10-30,32.47,33.0,33.19,32.21,57.18K,0.74%
2023-10-29,32.23,32.12,33.5,32.02,56.12K,-1.38%
2023-10-26,32.68,33.01,33.37,31.9,50.52K,-1.12%
2023-10-25,33.05,31.15,33.6,31.15,142.74K,6.27%
2023-10-24,31.1,32.1,33.0,31.03,52.36K,-4.69%
2023-10-23,32.63,32.46,33.48,32.46,92.38K,0.52%
2023-10-22,32.46,30.51,32.74,30.51,67.61K,6.64%
2023-10-19,30.44,30.49,30.84,30.16,22.80K,1.06%
2023-10-18,30.12,30.66,31.2,30.0,39.74K,-1.60%
