Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,3.28,3.38,3.4,3.22,78.28M,-2.96%
2023-12-10,3.38,3.57,3.6,3.36,53.72M,-4.25%
2023-12-07,3.53,3.5,3.54,3.37,48.37M,1.44%
2023-12-06,3.48,3.62,3.65,3.46,55.60M,-2.79%
2023-12-05,3.58,3.61,3.8,3.57,147.98M,0.00%
2023-12-04,3.58,3.42,3.61,3.41,106.44M,5.60%
2023-12-03,3.39,3.43,3.44,3.36,43.33M,0.00%
2023-11-30,3.39,3.37,3.66,3.3,107.97M,1.19%
2023-11-29,3.35,3.55,3.57,3.33,132.98M,-5.10%
2023-11-28,3.53,3.68,3.71,3.52,93.43M,-3.29%
2023-11-27,3.65,3.76,3.77,3.65,107.86M,-1.88%
2023-11-26,3.72,3.8,3.86,3.71,114.53M,-1.59%
2023-11-23,3.78,3.77,3.84,3.74,127.64M,1.61%
2023-11-22,3.72,3.66,3.72,3.65,64.98M,2.20%
2023-11-21,3.64,3.71,3.76,3.64,76.83M,-1.89%
2023-11-20,3.71,3.82,3.85,3.71,87.25M,-2.37%
2023-11-19,3.8,3.88,3.9,3.79,108.92M,-0.78%
2023-11-16,3.83,3.78,3.88,3.78,114.15M,2.41%
2023-11-15,3.74,3.76,3.8,3.71,74.81M,0.27%
2023-11-14,3.73,3.72,3.82,3.69,147.95M,1.36%
2023-11-13,3.68,3.69,3.76,3.64,74.95M,0.27%
2023-11-12,3.67,3.78,3.83,3.65,99.28M,-1.87%
2023-11-09,3.74,3.78,3.88,3.65,122.24M,-0.27%
2023-11-08,3.75,3.79,3.87,3.71,95.79M,-0.53%
2023-11-07,3.77,3.79,3.95,3.77,152.62M,0.27%
2023-11-06,3.76,3.88,3.9,3.75,139.15M,-2.34%
2023-11-05,3.85,3.59,3.85,3.58,211.74M,8.76%
2023-11-02,3.54,3.54,3.62,3.53,73.89M,0.57%
2023-11-01,3.52,3.53,3.63,3.43,118.99M,-0.28%
2023-10-31,3.53,3.58,3.68,3.47,224.07M,-0.56%
2023-10-30,3.55,3.62,3.71,3.54,222.61M,0.85%
2023-10-29,3.52,3.07,3.57,3.06,353.63M,15.79%
2023-10-26,3.04,3.05,3.1,3.02,102.83M,0.33%
2023-10-25,3.03,3.0,3.06,2.98,94.30M,1.68%
2023-10-24,2.98,3.08,3.1,2.96,79.56M,-2.93%
2023-10-23,3.07,3.13,3.15,3.07,77.44M,0.00%
2023-10-22,3.07,3.03,3.11,3.0,63.59M,1.66%
2023-10-19,3.02,3.08,3.13,3.0,107.82M,-0.98%
2023-10-18,3.05,3.02,3.09,2.94,103.89M,2.35%
2023-10-17,2.98,2.99,3.05,2.94,91.76M,0.68%
2023-10-16,2.96,2.9,3.07,2.89,139.01M,2.42%
2023-10-15,2.89,2.79,2.89,2.78,62.49M,3.96%
2023-10-12,2.78,2.79,2.83,2.76,35.46M,0.00%
2023-10-11,2.78,2.87,2.9,2.77,47.51M,-3.14%
2023-10-10,2.87,2.78,2.88,2.76,60.60M,3.99%
2023-10-09,2.76,2.75,2.82,2.7,65.14M,0.36%
2023-10-08,2.75,2.88,2.94,2.61,89.51M,-5.82%
2023-10-04,2.92,2.81,2.93,2.78,54.35M,4.66%
2023-10-03,2.79,2.89,2.9,2.77,35.33M,-3.13%
2023-10-02,2.88,2.92,2.96,2.82,64.66M,-1.37%
2023-10-01,2.92,3.06,3.07,2.92,41.17M,-3.63%
2023-09-27,3.03,3.09,3.12,3.02,38.71M,-1.30%
2023-09-26,3.07,3.1,3.17,3.07,64.92M,-0.32%
2023-09-25,3.08,3.11,3.16,3.07,43.88M,-0.32%
2023-09-24,3.09,3.03,3.18,3.01,77.14M,1.98%
2023-09-21,3.03,3.06,3.11,3.02,61.26M,-0.66%
2023-09-20,3.05,3.15,3.16,3.02,52.20M,-2.87%
2023-09-19,3.14,3.22,3.24,3.12,86.68M,-1.87%
2023-09-18,3.2,3.26,3.3,3.2,105.70M,-1.23%
2023-09-17,3.24,3.08,3.26,3.07,103.02M,5.54%
2023-09-14,3.07,3.13,3.16,3.07,42.08M,-1.29%
2023-09-13,3.11,3.08,3.13,3.07,35.95M,1.30%
2023-09-12,3.07,3.13,3.16,3.05,50.25M,-1.60%
2023-09-11,3.12,3.21,3.21,3.11,46.77M,-2.50%
2023-09-10,3.2,3.21,3.26,3.19,70.14M,-0.31%
2023-09-07,3.21,3.15,3.21,3.12,38.93M,2.23%
2023-09-06,3.14,3.17,3.21,3.12,44.63M,-0.95%
2023-09-05,3.17,3.26,3.31,3.17,76.30M,-2.16%
2023-09-04,3.24,3.16,3.27,3.16,72.52M,3.18%
2023-09-03,3.14,3.19,3.23,3.11,49.74M,-1.57%
2023-08-31,3.19,3.26,3.29,3.17,46.88M,-2.15%
2023-08-30,3.26,3.36,3.38,3.26,44.92M,-2.40%
2023-08-29,3.34,3.38,3.43,3.32,98.62M,0.00%
2023-08-28,3.34,3.24,3.39,3.22,161.13M,3.73%
2023-08-27,3.22,3.25,3.28,3.18,46.61M,0.62%
2023-08-24,3.2,3.3,3.33,3.12,115.23M,-2.44%
2023-08-23,3.28,3.43,3.48,3.27,134.53M,-4.09%
2023-08-22,3.42,3.39,3.49,3.33,84.03M,1.48%
2023-08-21,3.37,3.54,3.56,3.36,99.59M,-4.26%
2023-08-20,3.52,3.48,3.55,3.46,100.63M,2.33%
2023-08-17,3.44,3.43,3.5,3.37,105.04M,0.88%
2023-08-16,3.41,3.65,3.66,3.41,141.38M,-6.32%
2023-08-15,3.64,3.72,3.75,3.63,127.69M,-1.62%
2023-08-14,3.7,3.82,3.9,3.7,151.35M,-2.12%
2023-08-13,3.78,3.67,3.81,3.62,135.24M,3.85%
2023-08-10,3.64,3.67,3.72,3.59,139.71M,-0.82%
2023-08-09,3.67,3.87,3.9,3.65,174.70M,-4.68%
2023-08-08,3.85,3.95,4.04,3.82,275.12M,-2.53%
2023-08-07,3.95,3.79,3.95,3.78,233.70M,5.90%
2023-08-06,3.73,3.64,3.75,3.63,196.71M,4.48%
2023-08-03,3.57,3.48,3.66,3.46,241.66M,2.00%
2023-08-02,3.5,3.49,3.74,3.43,393.24M,2.04%
2023-08-01,3.43,3.14,3.43,3.13,233.94M,9.94%
2023-07-31,3.12,3.04,3.12,2.99,141.65M,3.65%
2023-07-30,3.01,3.2,3.28,2.95,234.68M,-4.14%
2023-07-27,3.14,2.62,3.35,2.38,454.89M,5.72%
2023-07-26,2.97,3.4,3.46,2.96,24.39M,-19.51%
2023-07-25,3.69,3.9,4.03,3.57,35.87M,-5.38%
2023-07-24,3.9,4.28,4.3,3.9,36.26M,-9.30%
2023-07-19,4.3,4.1,4.61,4.08,71.67M,5.65%
2023-07-18,4.07,4.18,4.2,4.04,22.96M,-2.40%
2023-07-17,4.17,3.97,4.19,3.81,26.42M,4.51%
2023-07-16,3.99,4.11,4.14,3.9,13.95M,-2.68%
2023-07-13,4.1,4.1,4.17,4.05,17.82M,0.49%
2023-07-12,4.08,4.14,4.3,4.05,23.05M,0.99%
2023-07-11,4.04,4.05,4.24,3.99,31.25M,1.51%
2023-07-10,3.98,3.32,3.98,3.21,22.89M,18.81%
2023-07-09,3.35,4.21,4.21,3.35,23.45M,-19.86%
2023-07-06,4.18,4.6,4.65,4.15,36.10M,-7.52%
2023-07-05,4.52,4.14,4.54,4.07,35.40M,10.24%
2023-07-04,4.1,4.36,4.4,4.07,23.89M,-2.84%
2023-06-26,4.22,4.1,4.26,3.98,28.95M,4.98%
2023-06-25,4.02,4.19,4.26,3.97,17.35M,-2.66%
2023-06-22,4.13,4.4,4.52,3.95,34.75M,-5.06%
2023-06-21,4.35,4.6,4.9,4.34,39.59M,-4.61%
2023-06-20,4.56,4.06,4.7,3.98,42.68M,12.32%
2023-06-19,4.06,4.09,4.23,3.92,29.39M,1.75%
2023-06-18,3.99,3.6,3.99,3.53,24.77M,11.76%
2023-06-15,3.57,3.85,3.86,3.48,24.72M,-6.54%
2023-06-14,3.82,4.14,4.25,3.67,26.44M,-4.50%
2023-06-13,4.0,4.08,4.32,3.67,25.71M,-2.91%
2023-06-12,4.12,4.7,4.7,4.12,9.39M,-10.63%
2023-06-11,4.61,4.94,5.16,4.51,24.26M,-4.36%
2023-06-08,4.82,5.19,5.5,4.3,35.73M,1.26%
2023-06-07,4.76,4.1,4.76,3.98,38.79M,19.90%
2023-06-06,3.97,3.51,3.97,3.28,38.43M,19.94%
2023-06-05,3.31,3.0,3.31,3.0,13.06M,19.93%
2023-06-04,2.76,2.76,2.76,2.76,3.90M,-50.09%
2023-06-01,5.53,6.12,6.3,5.5,20.31M,-8.14%
2023-05-31,6.02,6.1,6.43,5.84,29.60M,0.33%
2023-05-30,6.0,5.64,6.45,5.6,32.03M,9.09%
2023-05-29,5.5,5.15,6.06,4.87,37.33M,6.80%
2023-05-28,5.15,4.8,5.32,4.72,27.24M,15.47%
2023-05-25,4.46,3.65,4.46,3.58,34.14M,19.89%
2023-05-24,3.72,3.99,4.03,3.62,17.13M,-5.82%
2023-05-23,3.95,3.89,4.12,3.87,24.29M,1.28%
2023-05-22,3.9,3.57,3.91,3.53,25.32M,12.39%
2023-05-21,3.47,3.18,3.47,3.18,11.12M,9.46%
2023-05-18,3.17,3.23,3.27,3.14,4.60M,-1.25%
2023-05-17,3.21,3.15,3.33,3.15,8.64M,2.23%
2023-05-16,3.14,3.11,3.19,3.08,2.62M,0.64%
2023-05-15,3.12,3.21,3.23,3.07,2.47M,-3.41%
2023-05-14,3.23,3.23,3.23,3.11,1.72M,0.94%
2023-05-11,3.2,3.28,3.28,3.2,3.17M,-1.23%
2023-05-10,3.24,3.21,3.27,3.15,3.46M,0.93%
2023-05-09,3.21,3.36,3.4,3.2,5.00M,-3.02%
2023-05-08,3.31,3.2,3.35,3.2,5.32M,4.09%
2023-05-07,3.18,3.17,3.22,3.14,1.86M,0.00%
2023-05-03,3.18,3.2,3.25,3.16,2.60M,-0.93%
2023-05-02,3.21,3.24,3.3,3.16,2.60M,-1.23%
2023-05-01,3.25,3.32,3.35,3.16,4.12M,-2.40%
2023-04-30,3.33,3.4,3.51,3.29,5.76M,-1.48%
2023-04-27,3.38,3.32,3.42,3.32,3.75M,2.11%
2023-04-26,3.31,3.38,3.38,3.25,1.70M,-0.60%
2023-04-19,3.33,3.37,3.44,3.28,4.85M,0.00%
2023-04-18,3.33,3.28,3.37,3.25,2.56M,1.22%
2023-04-13,3.29,3.37,3.4,3.26,3.43M,-2.37%
2023-04-12,3.37,3.45,3.57,3.34,12.14M,-0.59%
2023-04-11,3.39,3.39,3.44,3.34,5.59M,0.30%
2023-04-10,3.38,3.43,3.46,3.33,7.26M,-0.59%
2023-04-09,3.4,3.17,3.41,3.16,11.24M,7.26%
2023-04-06,3.17,3.19,3.28,3.13,8.23M,-0.63%
2023-04-05,3.19,3.35,3.35,3.17,9.32M,-4.49%
2023-04-04,3.34,3.15,3.36,3.12,11.62M,8.44%
2023-04-03,3.08,3.08,3.16,3.02,8.88M,2.67%
2023-04-02,3.0,2.99,3.05,2.93,4.82M,2.39%
2023-03-30,2.93,3.06,3.17,2.88,13.55M,-3.30%
2023-03-29,3.03,2.7,3.03,2.67,12.18M,12.64%
2023-03-28,2.69,2.7,2.76,2.61,2.50M,-2.18%
2023-03-27,2.75,2.85,2.88,2.74,3.75M,-2.48%
2023-03-26,2.82,2.8,2.85,2.77,3.22M,2.17%
2023-03-23,2.76,2.72,2.81,2.68,1.84M,0.73%
2023-03-22,2.74,2.9,2.91,2.72,10.18M,-4.86%
2023-03-21,2.88,2.62,2.88,2.61,7.94M,12.06%
2023-03-20,2.57,2.49,2.65,2.46,6.95M,3.63%
2023-03-19,2.48,2.5,2.52,2.4,6.66M,-0.80%
2023-03-16,2.5,2.44,2.53,2.31,6.22M,4.60%
2023-03-15,2.39,2.84,2.91,2.3,9.24M,-14.34%
2023-03-14,2.79,2.77,2.84,2.6,6.40M,1.09%
2023-03-13,2.76,3.06,3.13,2.7,6.48M,-9.21%
2023-03-12,3.04,3.16,3.21,3.0,5.53M,-5.00%
2023-03-09,3.2,3.11,3.2,3.09,5.72M,2.89%
2023-03-08,3.11,3.14,3.2,3.05,8.20M,-1.27%
2023-03-07,3.15,3.3,3.34,3.1,6.64M,-3.37%
2023-03-06,3.26,3.24,3.36,3.2,6.93M,0.93%
2023-03-05,3.23,3.35,3.35,3.2,5.89M,-2.71%
2023-03-02,3.32,3.52,3.53,3.3,12.63M,-4.87%
2023-03-01,3.49,3.4,3.63,3.4,20.87M,3.25%
2023-02-28,3.38,3.34,3.39,3.27,10.60M,3.05%
2023-02-27,3.28,3.22,3.35,3.18,11.87M,3.14%
2023-02-26,3.18,3.24,3.27,3.16,6.48M,-0.62%
2023-02-23,3.2,3.23,3.28,3.15,14.65M,0.00%
2023-02-22,3.2,3.44,3.48,3.19,8.23M,-6.43%
2023-02-21,3.42,3.48,3.49,3.35,9.94M,0.29%
2023-02-20,3.41,3.33,3.53,3.3,19.77M,3.96%
2023-02-19,3.28,3.33,3.41,3.23,10.11M,-1.50%
2023-02-16,3.33,3.47,3.52,3.31,17.98M,-4.03%
2023-02-15,3.47,3.62,3.65,3.46,11.49M,-3.88%
2023-02-14,3.61,3.51,3.65,3.44,24.39M,4.03%
2023-02-13,3.47,3.35,3.59,3.23,45.82M,5.15%
2023-02-12,3.3,2.88,3.32,2.83,24.96M,14.58%
2023-02-09,2.88,2.85,2.92,2.81,5.45M,2.49%
2023-02-08,2.81,2.78,2.98,2.68,14.86M,2.93%
2023-02-07,2.73,2.75,2.85,2.72,3.94M,-0.36%
2023-02-06,2.74,2.74,2.87,2.72,7.30M,0.74%
2023-02-05,2.72,2.95,2.97,2.68,8.33M,-6.21%
2023-02-02,2.9,2.78,3.05,2.75,23.85M,7.01%
2023-02-01,2.71,2.53,2.72,2.47,2.71M,6.69%
2023-01-31,2.54,2.63,2.65,2.52,1.33M,-1.93%
2023-01-30,2.59,2.7,2.72,2.56,2.16M,-3.36%
2023-01-29,2.68,2.73,2.75,2.67,1.43M,-0.74%
2023-01-25,2.7,2.69,2.75,2.68,2.14M,0.75%
2023-01-24,2.68,2.7,2.7,2.64,967.98K,-0.37%
2023-01-23,2.69,2.75,2.77,2.66,1.80M,-1.10%
2023-01-22,2.72,2.66,2.82,2.66,4.21M,2.26%
2023-01-19,2.66,2.71,2.72,2.64,1.90M,-0.75%
2023-01-18,2.68,2.7,2.72,2.66,2.34M,0.37%
2023-01-17,2.67,2.7,2.72,2.65,1.64M,0.00%
2023-01-16,2.67,2.7,2.77,2.65,2.91M,-0.37%
2023-01-15,2.68,2.54,2.75,2.54,4.03M,6.77%
2023-01-12,2.51,2.46,2.63,2.46,1.57M,-2.71%
2023-01-11,2.58,2.61,2.73,2.5,2.69M,-2.64%
2023-01-10,2.65,2.75,2.75,2.61,1.98M,-2.21%
2023-01-09,2.71,2.84,2.85,2.67,3.90M,-2.17%
2023-01-05,2.77,2.89,2.9,2.73,6.96M,-2.81%
2023-01-04,2.85,2.91,2.92,2.7,6.13M,-2.06%
2023-01-03,2.91,2.92,2.99,2.89,4.87M,0.34%
2023-01-02,2.9,2.89,2.95,2.85,3.20M,1.05%
