Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,15.58,16.0,16.99,16.0,0.14K,0.06%
2023-12-10,15.57,15.57,15.57,15.57,0.02K,-0.06%
2023-12-07,15.58,15.5,15.5,15.5,0.00K,0.00%
2023-12-06,15.58,15.59,16.98,15.58,2.45K,0.00%
2023-12-05,15.58,16.59,16.59,15.95,0.07K,0.00%
2023-12-04,15.58,16.59,16.59,15.9,0.09K,0.00%
2023-12-03,15.58,16.59,16.59,15.5,0.05K,0.00%
2023-11-30,15.58,15.5,15.6,15.5,0.01K,0.00%
2023-11-29,15.58,15.5,16.66,15.5,0.06K,0.00%
2023-11-28,15.58,16.49,16.73,15.51,2.10K,0.00%
2023-11-26,15.58,16.0,16.0,15.6,1.01K,0.00%
2023-11-23,15.58,16.0,16.8,16.0,0.71K,0.00%
2023-11-22,15.58,16.0,16.0,16.0,0.54K,0.00%
2023-11-21,15.58,15.99,15.99,15.99,0.00K,0.00%
2023-11-20,15.58,15.5,15.99,15.5,2.21K,0.00%
2023-11-19,15.58,15.0,15.4,14.06,0.18K,0.00%
2023-11-16,15.58,14.55,15.4,14.55,0.11K,0.00%
2023-11-15,15.58,14.98,15.45,14.06,0.21K,0.00%
2023-11-12,15.58,14.98,14.98,14.98,0.49K,0.00%
2023-11-05,15.58,14.01,15.19,14.01,0.12K,0.00%
2023-11-02,15.58,14.2,15.24,14.11,0.31K,0.00%
2023-11-01,15.58,14.95,14.95,14.1,0.25K,0.00%
2023-10-31,15.58,15.0,15.0,15.0,0.29K,0.00%
2023-10-30,15.58,14.95,15.1,14.95,1.15K,0.00%
2023-10-29,15.58,14.6,14.95,14.51,0.67K,0.00%
2023-10-25,15.58,14.51,14.98,14.51,0.03K,0.00%
2023-10-24,15.58,15.0,15.0,14.51,1.21K,0.00%
2023-10-23,15.58,14.7,15.0,14.7,0.50K,0.00%
2023-10-19,15.58,14.3,14.3,14.2,1.13K,0.00%
2023-10-09,15.58,14.0,14.0,14.0,0.01K,0.00%
2023-10-08,15.58,14.69,14.69,14.15,1.50K,0.00%
2023-10-03,15.58,14.21,14.21,14.21,0.08K,0.00%
2023-10-01,15.58,14.0,14.16,14.0,0.44K,0.00%
2023-09-25,15.58,13.48,13.48,13.48,0.06K,0.00%
2023-09-18,15.58,13.5,14.69,13.4,0.55K,0.00%
2023-09-17,15.58,14.39,14.64,13.36,3.27K,0.00%
