"Date","Price","Open","High","Low","Vol.","Change %"
"02/22/2023","10.45","10.57","10.60","10.41","36.45K","-1.60%"
"02/21/2023","10.62","10.41","10.60","10.41","10.64K","0.00%"
"02/20/2023","10.62","10.79","10.79","10.45","24.33K","0.00%"
"02/19/2023","10.62","10.81","10.93","10.49","53.72K","-0.53%"
"02/16/2023","10.67","10.61","10.87","10.61","56.03K","-0.75%"
"02/15/2023","10.75","10.73","10.83","10.49","76.89K","1.06%"
"02/14/2023","10.64","10.95","10.95","10.51","76.73K","-0.68%"
"02/13/2023","10.71","11.08","11.21","10.51","54.65K","-2.35%"
"02/12/2023","10.97","10.19","11.13","10.08","209.92K","13.24%"
"02/09/2023","9.69","9.92","10.20","9.92","17.03K","0.00%"
"02/08/2023","9.69","10.08","10.24","9.92","8.32K","0.00%"
"02/07/2023","9.69","9.69","10.16","9.61","15.88K","0.00%"
"02/06/2023","9.69","9.53","10.08","9.53","21.82K","0.00%"
"02/05/2023","9.69","9.54","9.81","9.52","25.31K","0.00%"
"02/02/2023","9.69","10.08","10.08","9.62","54.12K","-1.07%"
"02/01/2023","9.79","9.91","10.08","9.73","92.87K","-2.18%"
"01/31/2023","10.01","10.76","10.76","9.89","141.04K","-3.05%"
"01/30/2023","10.33","10.75","11.20","10.24","197.19K","-3.03%"
"01/29/2023","10.65","9.69","10.80","9.68","329.02K","12.34%"
"01/25/2023","9.48","9.00","9.52","9.00","128.32K","2.35%"
"01/24/2023","9.26","9.20","9.32","9.00","53.34K","2.04%"
"01/23/2023","9.08","8.96","9.20","8.88","88.08K","2.65%"
"01/22/2023","8.84","8.87","9.00","8.68","51.03K","-0.90%"
"01/19/2023","8.92","8.54","9.00","8.54","69.95K","3.95%"
"01/18/2023","8.58","8.75","8.87","8.54","55.35K","-3.88%"
"01/17/2023","8.93","8.63","9.00","8.40","43.66K","4.34%"
"01/16/2023","8.56","8.51","8.66","8.35","20.94K","0.00%"
"01/15/2023","8.56","8.54","8.71","8.33","14.39K","0.00%"
"01/12/2023","8.56","8.47","8.54","8.47","13.09K","0.00%"
"01/11/2023","8.56","8.80","9.00","8.51","50.30K","-4.93%"
"01/10/2023","9.00","8.64","8.78","8.56","27.64K","0.00%"
"01/09/2023","9.00","8.95","9.22","8.56","52.74K","2.67%"
"01/05/2023","8.77","8.87","9.00","8.47","59.39K","-3.29%"
"01/04/2023","9.07","8.19","9.10","8.08","143.48K","7.87%"
"01/03/2023","8.41","8.39","8.39","8.17","5.80K","0.00%"
"01/02/2023","8.41","8.16","8.45","8.16","7.84K","0.00%"
"12/29/2022","8.41","8.15","8.29","8.15","2.31K","0.00%"
"12/28/2022","8.41","8.16","8.51","7.91","54.98K","3.07%"
"12/27/2022","8.16","8.15","8.23","8.09","5.47K","0.00%"
"12/26/2022","8.16","7.97","8.23","7.97","6.10K","0.00%"
"12/25/2022","8.16","8.07","8.15","7.88","3.71K","0.00%"
"12/22/2022","8.16","7.88","8.31","7.88","25.50K","0.00%"
"12/21/2022","8.16","7.95","8.30","7.95","6.82K","0.00%"
"12/20/2022","8.16","7.97","8.35","7.97","33.58K","0.00%"
"12/19/2022","8.16","7.83","8.18","7.83","3.40K","0.00%"
"12/18/2022","8.16","8.19","8.39","7.99","31.46K","0.00%"
"12/15/2022","8.16","8.16","8.47","8.08","75.48K","-1.08%"
"12/14/2022","8.25","8.27","8.35","8.16","14.93K","0.00%"
"12/13/2022","8.25","8.17","8.43","8.12","91.64K","1.59%"
"12/12/2022","8.12","8.16","8.17","8.03","38.44K","0.00%"
"12/11/2022","8.12","8.37","8.37","8.15","11.15K","0.00%"
"12/08/2022","8.12","8.31","8.31","8.12","9.37K","0.00%"
"12/07/2022","8.12","8.15","8.39","8.11","30.51K","0.00%"
"12/06/2022","8.12","8.38","8.42","8.15","32.72K","0.00%"
"12/05/2022","8.12","8.15","8.42","8.07","51.85K","-1.85%"
"12/04/2022","8.27","7.99","8.47","7.96","29.73K","0.00%"
"12/01/2022","8.27","7.95","8.26","7.95","24.53K","0.00%"
"11/30/2022","8.27","8.27","8.27","7.92","32.76K","0.00%"
"11/29/2022","8.27","7.85","8.58","7.85","182.63K","5.34%"
"11/28/2022","7.85","7.99","8.07","7.74","42.18K","-0.82%"
"11/27/2022","7.91","8.23","8.23","7.83","57.28K","-2.39%"
"11/24/2022","8.11","7.91","8.23","7.59","67.19K","-0.10%"
"11/23/2022","8.12","8.08","8.22","7.91","47.33K","0.00%"
"11/22/2022","8.12","7.99","8.39","7.74","64.29K","0.60%"
"11/21/2022","8.07","7.26","8.15","7.26","224.75K","11.11%"
"11/20/2022","7.26","7.06","7.46","7.06","65.65K","-0.44%"
"11/17/2022","7.29","6.62","7.36","6.47","295.80K","10.24%"
