Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,2.79,2.85,2.86,2.78,44.49M,-2.11%
2023-12-10,2.85,2.97,2.98,2.84,52.12M,-3.72%
2023-12-07,2.96,3.01,3.03,2.88,77.84M,-1.66%
2023-12-06,3.01,3.15,3.17,3.01,81.69M,-3.83%
2023-12-05,3.13,3.15,3.23,3.09,134.16M,1.95%
2023-12-04,3.07,2.97,3.08,2.91,69.63M,4.07%
2023-12-03,2.95,2.86,3.03,2.84,80.25M,5.73%
2023-11-30,2.79,2.74,2.85,2.7,36.53M,3.33%
2023-11-29,2.7,2.8,2.8,2.7,29.55M,-3.57%
2023-11-28,2.8,2.86,2.86,2.75,43.79M,-1.75%
2023-11-27,2.85,2.74,2.89,2.7,94.79M,5.17%
2023-11-26,2.71,2.69,2.77,2.68,81.76M,2.65%
2023-11-23,2.64,2.61,2.67,2.59,48.47M,3.13%
2023-11-22,2.56,2.54,2.57,2.53,21.53M,1.59%
2023-11-21,2.52,2.5,2.52,2.47,9.55M,1.20%
2023-11-20,2.49,2.58,2.59,2.48,22.07M,-3.11%
2023-11-19,2.57,2.54,2.61,2.54,49.13M,1.98%
2023-11-16,2.52,2.43,2.52,2.43,34.58M,5.00%
2023-11-15,2.4,2.39,2.42,2.35,17.42M,0.84%
2023-11-14,2.38,2.42,2.45,2.35,18.64M,-0.42%
2023-11-13,2.39,2.39,2.42,2.36,16.11M,0.42%
2023-11-12,2.38,2.45,2.46,2.35,15.59M,-2.86%
2023-11-09,2.45,2.51,2.52,2.39,20.66M,-1.61%
2023-11-08,2.49,2.58,2.61,2.48,38.55M,-2.35%
2023-11-07,2.55,2.47,2.57,2.43,45.24M,3.66%
2023-11-06,2.46,2.55,2.58,2.46,25.40M,-3.15%
2023-11-05,2.54,2.53,2.57,2.49,40.40M,4.96%
2023-11-02,2.42,2.28,2.46,2.28,42.08M,7.56%
2023-11-01,2.25,2.25,2.31,2.21,15.10M,0.00%
2023-10-31,2.25,2.44,2.44,2.25,23.13M,-7.02%
2023-10-30,2.42,2.4,2.5,2.4,41.16M,1.26%
2023-10-29,2.39,2.37,2.49,2.35,40.96M,1.70%
2023-10-26,2.35,2.33,2.46,2.29,43.70M,3.52%
2023-10-25,2.27,2.19,2.27,2.18,25.97M,4.61%
2023-10-24,2.17,2.21,2.24,2.16,14.25M,-1.81%
2023-10-23,2.21,2.25,2.27,2.19,21.20M,-0.90%
2023-10-22,2.23,2.22,2.24,2.2,11.50M,0.90%
2023-10-19,2.21,2.19,2.3,2.19,28.05M,0.45%
2023-10-18,2.2,2.25,2.26,2.14,24.92M,-0.45%
2023-10-17,2.21,2.18,2.26,2.18,20.68M,1.84%
2023-10-16,2.17,2.09,2.18,2.08,27.82M,4.83%
2023-10-15,2.07,2.02,2.09,2.0,16.92M,3.50%
2023-10-12,2.0,2.02,2.04,1.97,11.91M,-0.50%
2023-10-11,2.01,2.04,2.07,2.0,10.65M,-0.99%
2023-10-10,2.03,2.0,2.04,1.99,9.31M,2.01%
2023-10-09,1.99,1.99,2.01,1.93,6.09M,0.00%
2023-10-08,1.99,2.08,2.09,1.86,22.61M,-5.69%
2023-10-04,2.11,2.07,2.11,2.06,5.77M,1.93%
2023-10-03,2.07,2.11,2.13,2.03,9.70M,-1.43%
2023-10-02,2.1,2.13,2.15,2.03,11.34M,-0.47%
2023-10-01,2.11,2.14,2.23,2.11,16.01M,-0.94%
2023-09-27,2.13,2.2,2.21,2.1,22.43M,-2.74%
2023-09-26,2.19,2.26,2.28,2.19,14.93M,-2.67%
2023-09-25,2.25,2.16,2.29,2.16,21.00M,4.17%
2023-09-24,2.16,2.19,2.2,2.15,9.57M,-0.46%
2023-09-21,2.17,2.22,2.23,2.16,21.87M,-1.81%
2023-09-20,2.21,2.33,2.38,2.19,26.07M,-4.74%
2023-09-19,2.32,2.37,2.39,2.32,12.75M,-1.69%
2023-09-18,2.36,2.41,2.42,2.35,17.15M,-2.07%
2023-09-17,2.41,2.45,2.47,2.4,12.33M,-0.82%
2023-09-14,2.43,2.45,2.47,2.43,6.09M,-0.41%
2023-09-13,2.44,2.44,2.47,2.39,15.05M,0.41%
2023-09-12,2.43,2.43,2.45,2.39,17.65M,1.25%
2023-09-11,2.4,2.51,2.52,2.4,9.67M,-4.00%
