Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,18.18,17.29,18.0,17.28,9.88K,4.78%
2023-12-10,17.35,17.3,18.0,17.3,9.47K,-4.57%
2023-12-07,18.18,18.16,19.2,18.03,33.94K,-4.16%
2023-12-06,18.97,18.9,19.0,18.14,55.96K,4.81%
2023-12-05,18.1,18.07,18.1,17.76,32.94K,4.99%
2023-12-04,17.24,17.0,17.69,16.8,22.13K,2.13%
2023-12-03,16.88,16.51,17.0,16.51,6.61K,0.00%
2023-11-30,16.88,17.32,17.32,16.37,6.53K,0.00%
2023-11-29,16.88,17.45,17.45,16.68,30.46K,-3.82%
2023-11-28,17.55,17.5,17.5,16.7,12.44K,0.00%
2023-11-27,17.55,17.05,17.95,16.82,10.99K,0.00%
2023-11-26,17.55,17.7,18.32,17.0,17.16K,-0.85%
2023-11-23,17.7,17.8,19.0,17.34,41.03K,-3.01%
2023-11-22,18.25,18.7,18.7,17.83,71.15K,2.47%
2023-11-21,17.81,17.5,17.81,17.1,45.83K,4.95%
2023-11-20,16.97,16.97,16.97,16.97,33.94K,4.95%
2023-11-19,16.17,15.64,15.64,15.37,2.11K,0.00%
2023-11-16,16.17,15.37,15.7,15.37,4.54K,0.00%
2023-11-15,16.17,15.37,15.37,15.37,8.39K,0.00%
2023-11-14,16.17,15.37,15.37,15.37,5.49K,0.00%
2023-11-13,16.17,15.37,15.37,15.37,3.00K,0.00%
2023-11-12,16.17,15.37,15.67,15.37,14.02K,0.00%
2023-11-09,16.17,15.37,15.38,15.37,8.07K,0.00%
2023-11-08,16.17,15.4,15.75,15.37,4.36K,0.00%
2023-11-07,16.17,15.37,15.75,15.37,7.92K,0.00%
2023-11-06,16.17,15.79,15.79,15.37,5.64K,0.00%
2023-11-05,16.17,15.41,15.42,15.37,8.93K,0.00%
2023-11-02,16.17,15.37,15.79,15.37,8.51K,0.00%
2023-11-01,16.17,15.38,15.38,15.37,8.47K,0.00%
2023-10-31,16.17,15.9,15.9,15.37,15.78K,0.00%
2023-10-30,16.17,16.4,16.74,15.57,21.86K,0.81%
