Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,44.21,45.64,45.65,44.13,0.35K,-1.34%
2023-12-10,44.81,45.69,45.69,44.8,0.92K,1.36%
2023-12-07,44.21,45.9,45.9,44.3,1.48K,0.00%
2023-12-06,44.21,45.85,46.0,44.0,3.19K,0.00%
2023-12-05,44.21,45.85,45.9,44.21,0.69K,0.00%
2023-12-04,44.21,44.04,45.96,44.03,1.98K,0.00%
2023-12-03,44.21,46.2,46.2,44.0,2.14K,0.00%
2023-11-30,44.21,46.49,46.49,44.07,1.98K,0.00%
2023-11-29,44.21,45.5,46.0,44.6,1.12K,0.00%
2023-11-28,44.21,44.61,45.99,44.2,2.20K,0.00%
2023-11-27,44.21,44.05,46.89,44.05,2.32K,0.00%
2023-11-26,44.21,44.6,47.5,44.0,7.38K,0.66%
2023-11-23,43.92,45.6,47.0,43.92,2.93K,0.00%
2023-11-22,43.92,46.0,46.0,44.35,0.55K,0.00%
2023-11-21,43.92,45.62,46.0,44.5,2.52K,0.00%
2023-11-20,43.92,44.0,45.63,44.0,0.44K,0.00%
2023-11-19,43.92,44.01,44.4,43.72,1.83K,0.00%
2023-11-16,43.92,43.95,44.48,43.4,3.00K,0.00%
2023-11-15,43.92,44.3,44.3,43.11,0.66K,0.00%
2023-11-14,43.92,43.95,45.4,43.03,0.90K,0.00%
2023-11-13,43.92,43.0,43.95,43.0,1.11K,0.00%
2023-11-12,43.92,43.45,44.39,43.0,2.70K,0.00%
2023-11-09,43.92,43.27,44.51,43.27,2.09K,0.00%
2023-11-08,43.92,44.0,44.55,43.25,1.26K,0.00%
2023-11-07,43.92,44.0,44.56,44.0,3.09K,0.00%
2023-11-06,43.92,43.15,44.8,43.15,7.79K,-1.30%
2023-11-05,44.5,42.6,45.39,42.6,2.02K,0.00%
2023-11-02,44.5,43.7,44.94,38.08,5.44K,0.00%
2023-11-01,44.5,45.99,46.97,43.7,9.60K,-4.42%
2023-10-31,46.56,50.0,50.0,44.06,8.24K,-14.00%
2023-10-30,54.14,51.0,54.99,51.0,20.65K,6.24%
2023-10-29,50.96,50.98,51.0,50.11,17.11K,0.65%
2023-10-26,50.63,50.66,51.49,49.57,7.17K,1.83%
2023-10-25,49.72,48.98,50.3,48.0,12.31K,2.79%
2023-10-24,48.37,48.35,48.98,47.04,5.29K,0.00%
2023-10-23,48.37,48.5,48.98,46.55,1.50K,0.00%
2023-10-22,48.37,48.9,48.98,48.25,1.35K,0.00%
2023-10-19,48.37,48.95,48.95,44.5,8.34K,1.60%
2023-10-18,47.61,47.98,49.0,47.31,4.10K,0.00%
2023-10-17,47.61,48.96,48.96,46.8,3.22K,0.00%
2023-10-16,47.61,47.3,47.98,46.81,12.77K,14.50%
2023-10-15,41.58,46.5,46.98,46.0,4.65K,0.00%
2023-10-12,41.58,45.1,46.25,45.0,1.69K,0.00%
2023-10-11,41.58,46.3,46.3,45.0,1.50K,0.00%
2023-10-09,41.58,46.99,47.37,44.0,1.59K,0.00%
2023-10-08,41.58,43.5,46.99,43.5,1.18K,0.00%
2023-10-04,41.58,47.42,47.42,43.8,6.00K,0.00%
2023-10-03,41.58,41.6,47.44,41.6,1.08K,0.00%
2023-10-02,41.58,47.45,47.45,44.65,0.55K,0.00%
2023-10-01,41.58,47.49,47.49,44.21,0.78K,0.00%
2023-09-27,41.58,47.1,47.59,46.7,0.77K,0.00%
2023-09-26,41.58,47.1,47.6,47.1,0.39K,0.00%
2023-09-25,41.58,46.99,47.4,46.6,5.96K,0.00%
2023-09-24,41.58,47.45,47.45,46.8,0.56K,0.00%
2023-09-21,41.58,47.49,47.49,46.79,0.35K,0.00%
2023-09-20,41.58,47.49,47.49,46.3,0.24K,0.00%
2023-09-19,41.58,47.7,47.7,45.61,0.64K,0.00%
2023-09-18,41.58,46.0,47.86,46.0,0.68K,0.00%
2023-09-17,41.58,48.47,48.47,47.79,0.42K,0.00%
2023-09-14,41.58,48.0,48.0,46.5,0.78K,0.00%
2023-09-13,41.58,47.89,47.95,46.3,0.45K,0.00%
2023-09-12,41.58,47.5,47.5,46.5,0.85K,0.00%
2023-09-11,41.58,46.5,48.0,46.0,1.19K,0.00%
2023-09-10,41.58,46.5,48.48,46.5,1.07K,0.00%
2023-09-07,41.58,47.1,47.1,46.86,1.49K,0.00%
2023-09-06,41.58,46.86,48.8,46.86,0.76K,0.00%
2023-09-05,41.58,46.24,48.85,46.24,0.63K,0.00%
2023-09-04,41.58,46.0,48.98,45.72,0.32K,0.00%
2023-09-03,41.58,49.0,49.5,45.75,1.56K,0.00%
2023-08-31,41.58,47.94,47.95,45.6,0.64K,0.00%
2023-08-30,41.58,46.99,48.0,45.5,0.84K,0.00%
2023-08-29,41.58,45.45,47.99,45.45,1.30K,0.00%
2023-08-28,41.58,44.01,45.45,44.01,0.22K,0.00%
2023-08-27,41.58,44.26,45.65,43.91,0.35K,0.00%
2023-08-24,41.58,44.01,46.4,44.01,0.38K,0.00%
2023-08-23,41.58,44.12,44.12,43.81,1.64K,0.00%
2023-08-22,41.58,44.02,46.0,43.76,1.78K,0.00%
2023-08-21,41.58,45.79,45.79,44.01,1.06K,0.00%
2023-08-20,41.58,45.66,45.66,44.0,0.79K,0.00%
2023-08-17,41.58,43.6,45.66,43.6,1.97K,0.00%
2023-08-16,41.58,44.5,44.5,43.05,0.31K,0.00%
2023-08-15,41.58,46.4,46.4,44.0,0.12K,0.00%
2023-08-14,41.58,46.48,46.48,42.0,1.80K,0.00%
2023-08-13,41.58,42.81,47.0,42.81,0.50K,0.00%
2023-08-10,41.58,42.63,43.98,42.63,0.48K,0.00%
2023-08-09,41.58,47.0,47.95,43.1,2.92K,0.00%
2023-08-08,41.58,47.5,48.6,45.0,3.64K,0.00%
2023-08-07,41.58,41.99,49.0,41.58,12.96K,0.00%
2023-08-06,41.58,40.8,42.0,40.8,0.02K,0.00%
2023-08-03,41.58,40.81,42.0,40.8,6.10K,0.00%
2023-08-02,41.58,41.7,41.7,41.7,0.61K,0.00%
2023-08-01,41.58,41.5,41.75,41.22,1.27K,0.00%
2023-07-31,41.58,42.0,42.0,41.2,0.28K,0.00%
2023-07-30,41.58,42.38,42.38,40.36,1.09K,0.00%
2023-07-27,41.58,41.5,41.7,41.5,2.74K,0.00%
2023-07-26,41.58,41.5,41.5,41.3,1.26K,0.00%
2023-07-25,41.58,41.28,41.28,41.28,0.24K,0.00%
2023-07-24,41.58,41.27,41.27,41.27,0.23K,0.00%
2023-07-19,41.58,40.33,41.0,40.33,0.18K,0.00%
2023-07-18,41.58,41.9,41.9,41.7,0.12K,0.00%
2023-07-16,41.58,40.2,41.74,39.3,1.25K,0.00%
2023-07-13,41.58,41.7,41.7,40.15,0.11K,0.00%
2023-07-12,41.58,41.7,41.7,41.7,0.20K,0.00%
2023-07-11,41.58,41.92,42.0,41.92,0.48K,0.00%
2023-07-10,41.58,40.55,41.95,38.51,2.11K,0.00%
2023-07-06,41.58,40.72,40.72,40.72,0.02K,0.00%
2023-07-05,41.58,42.25,42.25,40.68,0.12K,0.00%
2023-06-26,41.58,41.99,42.0,40.4,0.20K,0.00%
2023-06-25,41.58,42.0,42.0,40.13,0.17K,0.00%
2023-06-22,41.58,42.0,42.0,42.0,0.05K,0.00%
2023-06-21,41.58,41.0,41.12,41.0,1.62K,0.00%
2023-06-20,41.58,41.99,42.0,41.99,0.54K,0.00%
2023-06-19,41.58,41.58,41.58,40.08,0.64K,0.00%
2023-06-15,41.58,41.6,41.6,40.04,0.50K,0.00%
2023-06-14,41.58,42.45,42.45,41.0,0.32K,0.00%
2023-06-13,41.58,42.1,42.45,42.1,3.68K,-1.21%
2023-06-12,42.09,42.1,42.1,42.09,0.01K,1.23%
2023-06-11,41.58,41.98,42.1,40.1,0.34K,0.00%
2023-06-08,41.58,42.0,42.0,41.0,0.54K,0.00%
2023-06-07,41.58,41.58,41.58,41.5,0.30K,0.00%
2023-06-06,41.58,41.59,41.59,41.59,0.02K,0.00%
2023-06-05,41.58,42.0,42.44,41.59,1.00K,0.00%
