Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,0.832,0.865,0.865,0.83,4.35M,-3.37%
2023-12-10,0.861,0.874,0.885,0.857,3.71M,-1.03%
2023-12-07,0.87,0.89,0.9,0.85,8.45M,-3.01%
2023-12-06,0.897,0.924,0.948,0.895,6.06M,-2.61%
2023-12-05,0.921,0.939,0.939,0.91,7.13M,-0.86%
2023-12-04,0.929,0.947,0.958,0.925,8.90M,-1.38%
2023-12-03,0.942,0.91,0.967,0.91,14.95M,4.09%
2023-11-30,0.905,0.872,0.92,0.871,16.38M,3.43%
2023-11-29,0.875,0.876,0.891,0.871,5.42M,-0.23%
2023-11-28,0.877,0.881,0.893,0.874,6.33M,-0.34%
2023-11-27,0.88,0.89,0.9,0.877,7.69M,-0.23%
2023-11-26,0.882,0.883,0.914,0.86,8.83M,0.92%
2023-11-23,0.874,0.88,0.897,0.87,6.32M,0.69%
2023-11-22,0.868,0.87,0.884,0.866,6.17M,0.35%
2023-11-21,0.865,0.874,0.885,0.854,9.08M,-1.03%
2023-11-20,0.874,0.87,0.918,0.87,23.32M,0.46%
2023-11-19,0.87,0.849,0.884,0.842,15.45M,3.57%
2023-11-16,0.84,0.845,0.85,0.838,5.17M,0.12%
2023-11-15,0.839,0.855,0.865,0.837,8.00M,-0.71%
2023-11-14,0.845,0.865,0.88,0.832,17.12M,-1.74%
2023-11-13,0.86,0.791,0.863,0.791,39.03M,10.26%
2023-11-12,0.78,0.778,0.797,0.776,7.35M,1.69%
2023-11-09,0.767,0.77,0.808,0.76,19.01M,0.66%
2023-11-08,0.762,0.779,0.787,0.757,7.14M,-1.04%
2023-11-07,0.77,0.77,0.78,0.76,4.53M,0.26%
2023-11-06,0.768,0.79,0.804,0.761,11.30M,-2.66%
2023-11-05,0.789,0.752,0.8,0.746,19.20M,6.48%
2023-11-02,0.741,0.735,0.759,0.73,5.48M,0.54%
2023-11-01,0.737,0.755,0.76,0.73,2.57M,-2.12%
2023-10-31,0.753,0.772,0.779,0.751,3.95M,-2.08%
2023-10-30,0.769,0.789,0.789,0.767,4.95M,0.39%
2023-10-29,0.766,0.765,0.79,0.757,6.40M,1.19%
2023-10-26,0.757,0.765,0.769,0.75,6.01M,0.40%
2023-10-25,0.754,0.759,0.785,0.74,11.49M,0.40%
2023-10-24,0.751,0.78,0.797,0.742,8.03M,-3.22%
2023-10-23,0.776,0.808,0.809,0.765,15.63M,-2.02%
2023-10-22,0.792,0.75,0.81,0.75,17.06M,7.46%
2023-10-19,0.737,0.729,0.77,0.729,11.35M,2.79%
2023-10-18,0.717,0.75,0.751,0.714,4.46M,-3.24%
2023-10-17,0.741,0.73,0.756,0.71,12.52M,2.35%
2023-10-16,0.724,0.722,0.729,0.707,3.58M,1.83%
2023-10-15,0.711,0.72,0.732,0.709,3.44M,0.57%
2023-10-12,0.707,0.714,0.737,0.705,3.80M,-2.08%
2023-10-11,0.722,0.685,0.731,0.68,8.92M,4.94%
2023-10-10,0.688,0.683,0.7,0.68,2.34M,0.73%
2023-10-09,0.683,0.691,0.705,0.661,1.33M,-1.16%
2023-10-08,0.691,0.721,0.721,0.64,4.82M,-4.16%
2023-10-04,0.721,0.72,0.729,0.705,3.32M,1.26%
2023-10-03,0.712,0.727,0.727,0.7,3.15M,1.14%
2023-10-02,0.704,0.73,0.73,0.68,3.06M,-1.54%
2023-10-01,0.715,0.728,0.736,0.707,1.14M,-0.28%
2023-09-27,0.717,0.73,0.738,0.715,3.63M,-1.78%
2023-09-26,0.73,0.751,0.767,0.723,3.87M,-3.57%
2023-09-25,0.757,0.778,0.779,0.752,2.38M,-1.17%
2023-09-24,0.766,0.789,0.795,0.761,1.99M,-1.42%
2023-09-21,0.777,0.791,0.796,0.775,2.15M,-1.40%
2023-09-20,0.788,0.818,0.825,0.787,3.50M,-3.55%
2023-09-19,0.817,0.827,0.842,0.81,9.18M,-0.12%
2023-09-18,0.818,0.795,0.825,0.792,8.32M,3.28%
2023-09-17,0.792,0.788,0.816,0.788,3.60M,0.64%
2023-09-14,0.787,0.786,0.804,0.784,2.31M,0.77%
2023-09-13,0.781,0.782,0.793,0.773,2.17M,-0.13%
2023-09-12,0.782,0.799,0.805,0.777,2.37M,-0.89%
2023-09-11,0.789,0.809,0.813,0.787,2.46M,-1.38%
2023-09-10,0.8,0.8,0.824,0.792,9.25M,1.01%
2023-09-07,0.792,0.771,0.798,0.767,2.97M,2.72%
2023-09-06,0.771,0.793,0.81,0.767,6.73M,-2.77%
2023-09-05,0.793,0.81,0.82,0.791,4.94M,-1.00%
2023-09-04,0.801,0.808,0.82,0.8,4.46M,-0.87%
2023-09-03,0.808,0.832,0.843,0.802,6.81M,-2.88%
2023-08-31,0.832,0.852,0.86,0.828,10.96M,-1.77%
2023-08-30,0.847,0.819,0.89,0.797,36.21M,4.83%
2023-08-29,0.808,0.799,0.829,0.793,16.30M,1.89%
2023-08-28,0.793,0.82,0.83,0.784,7.68M,-3.29%
2023-08-27,0.82,0.833,0.845,0.809,15.91M,-0.49%
2023-08-24,0.824,0.79,0.847,0.761,19.83M,6.05%
2023-08-23,0.777,0.82,0.821,0.772,8.90M,-4.90%
2023-08-22,0.817,0.839,0.858,0.802,30.14M,-2.39%
2023-08-21,0.837,0.74,0.838,0.74,44.17M,14.19%
2023-08-20,0.733,0.723,0.744,0.72,7.27M,3.24%
