Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,5.31,5.45,5.59,5.26,1.20M,-2.57%
2023-12-10,5.45,5.4,5.79,5.38,3.19M,2.44%
2023-12-07,5.32,5.5,5.5,5.16,1.81M,-3.62%
2023-12-06,5.52,5.74,5.77,5.5,1.90M,-2.82%
2023-12-05,5.68,5.54,5.94,5.54,6.09M,5.19%
2023-12-04,5.4,5.18,5.58,5.18,2.83M,4.45%
2023-12-03,5.17,5.3,5.32,5.15,555.93K,-0.58%
2023-11-30,5.2,5.28,5.39,5.18,1.20M,-0.57%
2023-11-29,5.23,5.2,5.4,5.18,1.59M,0.77%
2023-11-28,5.19,5.14,5.25,5.1,1.60M,2.17%
2023-11-27,5.08,5.1,5.13,5.0,1.12M,-0.59%
2023-11-26,5.11,5.1,5.22,5.06,1.95M,0.99%
2023-11-23,5.06,4.97,5.08,4.97,1.14M,2.85%
2023-11-22,4.92,4.95,5.01,4.9,367.17K,1.44%
2023-11-21,4.85,4.85,5.05,4.81,491.80K,0.21%
2023-11-20,4.84,4.93,5.03,4.82,996.77K,-1.22%
2023-11-19,4.9,4.89,5.1,4.89,1.02M,1.24%
2023-11-16,4.84,4.75,4.9,4.73,218.75K,0.62%
2023-11-15,4.81,4.76,4.87,4.76,73.08K,1.26%
2023-11-14,4.75,4.85,4.85,4.72,78.49K,0.21%
2023-11-13,4.74,4.75,4.86,4.72,145.27K,-0.42%
2023-11-12,4.76,4.74,4.89,4.74,207.11K,0.00%
2023-11-09,4.76,4.9,4.9,4.73,273.32K,-1.24%
2023-11-08,4.82,4.93,4.94,4.8,348.50K,-0.21%
2023-11-07,4.83,4.9,4.9,4.8,326.69K,0.42%
2023-11-06,4.81,4.9,4.92,4.8,142.32K,-1.23%
2023-11-05,4.87,4.88,4.95,4.71,199.74K,1.46%
2023-11-02,4.8,4.72,4.89,4.72,219.97K,1.48%
2023-11-01,4.73,4.61,4.84,4.61,299.32K,-0.42%
2023-10-31,4.75,5.0,5.0,4.7,459.03K,-4.23%
2023-10-30,4.96,4.96,5.09,4.88,883.49K,0.00%
2023-10-29,4.96,4.8,5.05,4.78,467.40K,2.06%
2023-10-26,4.86,4.77,4.92,4.71,1.04M,3.18%
2023-10-25,4.71,4.69,4.77,4.63,365.55K,1.73%
2023-10-24,4.63,4.62,4.7,4.6,754.76K,-1.49%
2023-10-23,4.7,4.6,4.7,4.56,471.66K,2.84%
2023-10-22,4.57,4.5,4.65,4.45,281.74K,1.56%
2023-10-19,4.5,4.45,4.59,4.44,940.99K,0.00%
2023-10-18,4.5,4.57,4.6,4.42,404.87K,-0.44%
2023-10-17,4.52,4.42,4.58,4.4,557.97K,2.73%
2023-10-16,4.4,4.27,4.43,4.27,1.28M,3.04%
2023-10-15,4.27,4.21,4.3,4.21,595.23K,-0.70%
2023-10-12,4.3,4.3,4.41,4.24,904.77K,1.18%
2023-10-11,4.25,4.35,4.35,4.2,608.22K,-0.23%
2023-10-10,4.26,4.23,4.35,4.23,755.72K,0.71%
2023-10-09,4.23,4.2,4.36,4.19,138.65K,1.44%
2023-10-08,4.17,4.5,4.5,4.03,242.31K,-6.08%
2023-10-04,4.44,4.53,4.55,4.44,52.76K,0.00%
2023-10-03,4.44,4.68,4.68,4.4,513.84K,-3.69%
2023-10-02,4.61,4.74,4.84,4.46,751.01K,-0.86%
2023-10-01,4.65,4.7,4.75,4.61,251.23K,-1.06%
2023-09-27,4.7,4.7,4.8,4.67,121.21K,-2.08%
2023-09-26,4.8,4.85,4.86,4.74,219.88K,0.21%
2023-09-25,4.79,4.8,4.89,4.77,210.17K,0.63%
2023-09-24,4.76,4.8,4.9,4.71,525.01K,0.21%
2023-09-21,4.75,4.69,4.78,4.61,441.42K,2.59%
2023-09-20,4.63,5.0,5.04,4.6,1.44M,-6.84%
2023-09-19,4.97,5.05,5.15,4.96,635.80K,-1.58%
2023-09-18,5.05,4.98,5.15,4.93,1.38M,3.06%
2023-09-17,4.9,4.85,5.04,4.85,1.13M,0.20%
2023-09-14,4.89,4.9,4.99,4.84,119.32K,-0.20%
2023-09-13,4.9,4.97,4.97,4.86,118.59K,1.24%
2023-09-12,4.84,5.0,5.0,4.8,332.77K,-2.62%
2023-09-11,4.97,5.07,5.1,4.95,785.68K,-1.97%
2023-09-10,5.07,5.1,5.18,5.06,2.98M,-0.59%
2023-09-07,5.1,5.12,5.2,5.09,200.53K,0.00%
2023-09-06,5.1,5.17,5.29,5.07,564.80K,-1.35%
2023-09-05,5.17,5.15,5.25,5.15,68.20K,0.78%
2023-09-04,5.13,5.22,5.33,5.12,383.52K,0.00%
2023-09-03,5.13,5.15,5.27,5.1,367.05K,-1.72%
2023-08-31,5.22,5.13,5.29,5.13,272.00K,1.16%
2023-08-30,5.16,5.15,5.23,5.1,256.50K,-0.19%
2023-08-29,5.17,5.15,5.23,5.1,204.74K,0.98%
2023-08-28,5.12,5.13,5.17,5.09,170.16K,-0.19%
