Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,20.1,20.4,20.4,19.86,1.17M,-1.47%
2023-12-10,20.4,20.73,20.75,20.26,81.82K,-1.59%
2023-12-07,20.73,20.43,20.73,19.91,355.40K,1.17%
2023-12-06,20.49,20.52,20.83,20.3,296.93K,-0.05%
2023-12-05,20.5,21.01,21.25,20.35,341.99K,-2.33%
2023-12-04,20.99,20.99,21.17,20.55,596.84K,0.00%
2023-12-03,20.99,21.0,21.74,20.6,314.20K,0.00%
2023-11-30,20.99,21.03,21.03,20.51,193.95K,1.45%
2023-11-29,20.69,21.12,21.12,20.34,529.37K,-0.19%
2023-11-28,20.73,22.45,22.45,20.7,370.12K,-5.77%
2023-11-27,22.0,22.03,22.99,21.9,931.24K,-0.14%
2023-11-26,22.03,21.71,22.1,21.42,354.24K,1.29%
2023-11-23,21.75,20.7,21.99,20.42,629.75K,6.20%
2023-11-22,20.48,20.49,20.51,20.19,245.25K,0.39%
2023-11-21,20.4,20.6,20.69,20.08,351.89K,0.00%
2023-11-20,20.4,20.75,21.24,20.32,262.44K,-2.16%
2023-11-19,20.85,20.5,20.9,20.32,241.23K,1.71%
2023-11-16,20.5,20.38,21.0,20.21,810.50K,1.38%
2023-11-15,20.22,19.98,20.25,19.98,492.86K,1.51%
2023-11-14,19.92,21.35,21.46,19.82,535.56K,-5.28%
2023-11-13,21.03,21.49,21.49,20.9,98.07K,-0.61%
2023-11-12,21.16,21.0,21.5,20.75,248.85K,3.22%
2023-11-09,20.5,20.98,21.81,19.85,2.51M,-2.66%
2023-11-08,21.06,19.55,21.4,19.37,336.40K,7.12%
2023-11-07,19.66,18.51,20.22,18.4,324.97K,6.50%
2023-11-06,18.46,18.49,18.7,18.37,237.48K,0.05%
2023-11-05,18.45,18.54,18.66,18.3,89.39K,0.76%
2023-11-02,18.31,18.26,18.68,18.21,95.95K,-0.97%
2023-11-01,18.49,18.65,18.69,18.21,732.89K,0.82%
2023-10-31,18.34,18.6,18.74,18.2,1.06M,-0.60%
2023-10-30,18.45,18.83,19.01,18.41,419.34K,-2.95%
2023-10-29,19.01,19.28,19.28,18.0,273.63K,1.12%
2023-10-26,18.8,19.5,19.97,17.85,1.78M,-0.79%
2023-10-25,18.95,17.7,19.01,17.56,792.45K,6.82%
2023-10-24,17.74,17.63,18.25,17.51,260.67K,0.62%
2023-10-23,17.63,17.49,17.85,17.06,481.19K,3.40%
2023-10-22,17.05,16.81,17.75,16.78,212.09K,1.19%
2023-10-19,16.85,17.25,17.4,16.72,1.40M,-3.38%
2023-10-18,17.44,17.89,18.19,17.2,1.01M,-2.57%
2023-10-17,17.9,16.81,17.99,16.6,1.14M,6.80%
