Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,13.87,13.84,14.0,13.3,842.53K,-0.07%
2023-12-10,13.88,13.4,14.0,13.35,710.40K,2.81%
2023-12-07,13.5,13.34,13.98,13.33,1.32M,1.89%
2023-12-06,13.25,13.2,13.39,13.11,540.12K,0.84%
2023-12-05,13.14,13.32,13.39,13.1,32.44K,-0.83%
2023-12-04,13.25,13.15,13.32,12.83,222.01K,1.22%
2023-12-03,13.09,13.1,13.24,12.9,232.42K,-0.08%
2023-11-30,13.1,13.1,13.15,13.07,1.68M,0.00%
2023-11-29,13.1,13.1,13.27,13.01,971.19K,0.69%
2023-11-28,13.01,13.13,13.4,12.92,347.48K,-0.54%
2023-11-27,13.08,13.0,13.15,12.88,426.15K,1.55%
2023-11-26,12.88,13.49,14.0,12.65,224.19K,-3.09%
2023-11-23,13.29,12.9,13.7,12.71,351.11K,3.75%
2023-11-22,12.81,12.8,13.0,12.3,936.93K,0.87%
2023-11-21,12.7,12.5,12.8,12.1,488.09K,-0.16%
2023-11-20,12.72,12.61,12.92,11.6,428.43K,-0.62%
2023-11-19,12.8,11.63,12.94,11.6,2.07M,11.11%
2023-11-16,11.52,12.1,12.1,11.46,749.65K,-2.70%
2023-11-15,11.84,11.36,11.9,11.08,485.70K,4.87%
2023-11-14,11.29,10.86,11.4,10.8,664.12K,2.17%
2023-11-13,11.05,11.4,11.4,11.0,60.63K,0.45%
2023-11-12,11.0,11.06,11.6,11.0,785.21K,-0.27%
2023-11-09,11.03,10.84,11.4,10.73,597.80K,1.38%
2023-11-08,10.88,11.11,11.39,10.67,896.64K,-2.07%
2023-11-07,11.11,10.4,11.49,10.3,2.48M,6.32%
2023-11-06,10.45,10.55,10.55,10.39,85.39K,0.00%
2023-11-05,10.45,10.36,10.58,10.36,389.14K,0.19%
2023-11-02,10.43,10.1,10.5,10.0,436.23K,3.78%
2023-11-01,10.05,10.15,10.15,10.0,73.60K,-0.69%
2023-10-31,10.12,10.15,10.23,10.06,149.94K,-0.10%
2023-10-30,10.13,10.35,10.39,10.01,174.48K,-0.30%
2023-10-29,10.16,10.3,10.47,10.1,244.63K,-1.07%
2023-10-26,10.27,9.81,10.39,9.81,587.48K,4.80%
2023-10-25,9.8,9.78,9.83,9.73,221.35K,0.51%
2023-10-24,9.75,9.8,9.8,9.7,351.89K,-0.31%
2023-10-23,9.78,9.8,9.92,9.75,309.40K,0.41%
2023-10-22,9.74,9.7,9.87,9.7,97.08K,0.41%
2023-10-19,9.7,9.96,9.96,9.7,665.17K,-1.12%
2023-10-18,9.81,10.1,10.2,9.8,1.45M,-2.00%
2023-10-17,10.01,10.0,10.39,9.95,2.01M,1.11%
2023-10-16,9.9,9.9,10.17,9.75,1.15M,0.92%
2023-10-15,9.81,10.0,10.0,9.8,111.95K,-1.90%
2023-10-12,10.0,10.0,10.25,9.9,114.34K,0.00%
2023-10-11,10.0,10.13,10.28,10.0,263.71K,-0.20%
2023-10-10,10.02,9.86,10.14,9.85,50.36K,1.73%
2023-10-09,9.85,9.9,10.0,9.7,38.29K,1.76%
2023-10-08,9.68,10.2,10.29,9.51,163.20K,-5.10%
2023-10-04,10.2,10.2,10.35,10.18,51.38K,-0.10%
2023-10-03,10.21,10.39,10.39,10.2,35.44K,-0.20%
2023-10-02,10.23,10.39,10.43,10.2,31.35K,0.10%
2023-10-01,10.22,10.35,10.4,10.2,47.90K,-0.20%
2023-09-27,10.24,10.5,10.54,10.2,81.40K,-2.48%
2023-09-26,10.5,10.55,10.57,10.5,60.52K,-0.19%
2023-09-25,10.52,10.57,10.57,10.5,49.34K,0.19%
2023-09-24,10.5,10.55,10.59,10.47,49.58K,0.00%
2023-09-21,10.5,10.48,10.6,10.34,59.23K,0.00%
2023-09-20,10.5,10.54,10.6,10.48,477.33K,-0.38%
2023-09-19,10.54,10.5,10.58,10.44,95.47K,0.67%
2023-09-18,10.47,10.35,10.55,10.35,404.68K,1.16%
2023-09-17,10.35,10.43,10.43,10.32,291.15K,0.00%
2023-09-14,10.35,10.4,10.45,10.32,193.70K,0.39%
2023-09-13,10.31,10.3,10.54,10.3,30.57K,0.00%
2023-09-12,10.31,10.45,10.5,10.3,54.74K,-1.43%
2023-09-11,10.46,10.56,10.69,10.36,68.24K,-1.23%
2023-09-10,10.59,10.7,10.85,10.56,999.38K,-0.56%
2023-09-07,10.65,10.65,10.74,10.6,547.90K,0.19%
2023-09-06,10.63,10.48,10.75,10.48,1.46M,1.53%
2023-09-05,10.47,10.5,10.5,10.36,188.99K,-0.29%
2023-09-04,10.5,10.38,10.58,10.25,120.82K,1.45%
2023-09-03,10.35,10.33,10.5,10.2,131.20K,1.97%
2023-08-31,10.15,10.4,10.4,10.15,253.03K,-1.46%
2023-08-30,10.3,10.4,10.45,10.25,199.44K,-1.90%
2023-08-29,10.5,10.49,10.54,10.32,278.18K,1.84%
2023-08-28,10.31,10.59,10.6,10.3,88.36K,-1.90%
2023-08-27,10.51,10.29,10.55,10.2,2.36M,1.06%
2023-08-24,10.4,10.2,10.5,10.11,1.04M,2.06%
2023-08-23,10.19,10.12,10.24,10.12,121.49K,-0.20%
2023-08-22,10.21,10.18,10.25,10.11,63.89K,1.09%
2023-08-21,10.1,10.23,10.28,10.08,234.19K,-1.27%
2023-08-20,10.23,10.39,10.39,10.18,37.88K,0.49%
2023-08-17,10.18,10.5,10.5,9.0,226.30K,-2.86%
2023-08-16,10.48,10.45,10.53,10.4,257.25K,-0.19%
2023-08-15,10.5,10.46,10.58,10.32,131.51K,0.00%
2023-08-14,10.5,10.6,10.6,10.45,194.35K,-0.38%
2023-08-13,10.54,10.61,10.7,10.51,136.70K,-0.09%
2023-08-10,10.55,10.5,10.6,10.42,327.51K,0.57%
2023-08-09,10.49,10.33,10.53,10.32,6.32M,1.25%
2023-08-08,10.36,10.4,10.5,10.35,454.65K,0.48%
2023-08-07,10.31,10.2,10.35,10.16,178.93K,1.48%
2023-08-06,10.16,10.11,10.27,10.1,159.62K,0.49%
2023-08-03,10.11,10.2,10.21,10.06,481.92K,0.30%
2023-08-02,10.08,10.2,10.2,10.05,332.61K,-0.40%
2023-08-01,10.12,10.15,10.3,10.01,761.96K,0.50%
2023-07-31,10.07,10.02,10.15,10.0,411.89K,0.70%
2023-07-30,10.0,10.05,10.19,9.99,248.50K,0.10%
2023-07-27,9.99,10.38,10.38,9.97,920.67K,-0.99%
2023-07-26,10.09,10.24,10.35,10.05,180.58K,-1.46%
2023-07-25,10.24,10.48,10.5,10.15,484.25K,-2.20%
2023-07-24,10.47,10.4,10.48,10.3,308.06K,0.87%
2023-07-19,10.38,10.48,10.5,10.34,660.83K,-0.38%
2023-07-18,10.42,10.4,10.47,10.25,5.21M,1.07%
2023-07-17,10.31,10.38,10.41,10.25,249.46K,0.19%
2023-07-16,10.29,10.2,10.5,10.15,1.14M,0.88%
2023-07-13,10.2,10.12,10.23,10.0,913.86K,0.99%
2023-07-12,10.1,10.05,10.33,10.0,1.51M,0.50%
2023-07-11,10.05,10.01,10.1,9.9,1.38M,0.50%
2023-07-10,10.0,9.85,10.12,9.82,126.20K,1.01%
2023-07-09,9.9,10.3,10.3,9.85,207.27K,-3.51%
2023-07-06,10.26,10.25,10.44,10.23,165.70K,0.00%
2023-07-05,10.26,10.3,10.37,10.19,168.36K,0.69%
2023-07-04,10.19,10.4,10.6,10.15,348.54K,-2.67%
2023-06-26,10.47,10.42,10.55,10.32,90.84K,1.75%
2023-06-25,10.29,10.49,10.54,10.26,189.04K,-0.68%
2023-06-22,10.36,10.36,10.4,10.2,519.35K,0.00%
2023-06-21,10.36,10.6,10.64,10.31,271.35K,-2.17%
2023-06-20,10.59,10.63,10.68,10.5,343.86K,-0.38%
2023-06-19,10.63,10.71,10.8,10.56,215.52K,-0.75%
2023-06-18,10.71,10.76,10.89,10.7,387.52K,0.66%
2023-06-15,10.64,10.67,10.79,10.57,488.28K,0.38%
2023-06-14,10.6,10.71,10.85,10.58,771.00K,-1.03%
2023-06-13,10.71,10.87,10.9,10.7,583.82K,-1.56%
2023-06-12,10.88,10.94,10.95,10.75,409.37K,0.46%
2023-06-11,10.83,11.0,11.1,10.75,1.37M,-1.55%
2023-06-08,11.0,11.07,11.07,10.75,665.98K,-0.81%
2023-06-07,11.09,10.88,11.09,10.61,2.03M,4.33%
2023-06-06,10.63,10.82,10.99,10.6,640.91K,-1.67%
2023-06-05,10.81,10.98,11.0,10.77,304.20K,-0.55%
2023-06-04,10.87,11.01,11.11,10.8,846.95K,-1.27%
2023-06-01,11.01,11.1,11.25,11.0,234.49K,-2.57%
2023-05-31,11.3,11.16,11.35,10.9,905.64K,1.07%
2023-05-30,11.18,11.2,11.39,11.04,1.06M,0.54%
2023-05-29,11.12,11.24,11.57,11.04,1.12M,-0.71%
2023-05-28,11.2,11.07,11.39,11.05,1.18M,1.82%
2023-05-25,11.0,11.25,11.3,10.94,1.08M,-1.08%
2023-05-24,11.12,10.7,11.4,10.63,3.56M,4.02%
2023-05-23,10.69,10.8,10.87,10.64,422.06K,-1.02%
2023-05-22,10.8,11.2,11.2,10.65,1.55M,-2.88%
2023-05-21,11.12,11.0,11.28,10.91,2.74M,2.30%
2023-05-18,10.87,10.8,10.93,10.66,1.18M,1.78%
2023-05-17,10.68,10.64,11.11,10.64,1.77M,0.66%
2023-05-16,10.61,10.61,10.69,10.36,2.00M,0.09%
2023-05-15,10.6,10.93,11.19,10.6,1.46M,-2.75%
2023-05-14,10.9,10.3,10.95,10.23,2.79M,7.71%
2023-05-11,10.12,10.08,10.35,10.02,1.73M,0.40%
2023-05-10,10.08,9.91,10.1,9.83,694.98K,1.10%
2023-05-09,9.97,10.14,10.23,9.94,3.89M,-0.80%
2023-05-08,10.05,9.7,10.5,9.66,2.68M,4.25%
2023-05-07,9.64,9.67,9.7,9.52,132.50K,0.31%
2023-05-03,9.61,9.69,9.75,9.6,3.08M,-0.72%
2023-05-02,9.68,9.63,9.72,9.5,429.71K,0.83%
2023-05-01,9.6,9.8,9.8,9.6,274.84K,-1.13%
2023-04-30,9.71,9.74,9.83,9.63,250.03K,1.25%
2023-04-27,9.59,9.9,10.04,9.52,1.11M,-3.03%
2023-04-26,9.89,10.2,10.2,9.86,398.74K,-2.75%
2023-04-19,10.17,10.14,10.24,10.03,498.69K,0.30%
2023-04-18,10.14,10.11,10.19,10.02,86.12K,1.20%
2023-04-13,10.02,10.2,10.22,10.0,512.30K,-1.28%
2023-04-12,10.15,10.15,10.24,10.12,111.37K,-0.20%
2023-04-11,10.17,10.2,10.27,10.11,391.78K,-0.29%
2023-04-10,10.2,10.24,10.3,10.09,1.26M,0.20%
2023-04-09,10.18,10.19,10.37,10.06,114.52K,-0.10%
2023-04-06,10.19,10.4,10.46,10.02,362.79K,-0.97%
2023-04-05,10.29,10.59,10.59,10.23,492.06K,-0.87%
2023-04-04,10.38,10.49,10.6,10.31,806.70K,0.19%
