Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,5.26,5.25,5.33,5.15,5.25M,0.38%
2023-12-10,5.24,5.5,5.66,5.21,1.18M,-4.55%
2023-12-07,5.49,5.29,5.49,5.21,4.47M,3.98%
2023-12-06,5.28,5.5,5.56,5.15,2.18M,-3.30%
2023-12-05,5.46,5.62,5.75,5.4,7.50M,-4.71%
2023-12-04,5.73,5.48,5.78,5.4,9.90M,6.11%
2023-12-03,5.4,5.28,5.58,5.17,10.71M,5.88%
2023-11-30,5.1,4.86,5.12,4.8,7.66M,5.15%
2023-11-29,4.85,4.8,4.94,4.8,2.47M,0.83%
2023-11-28,4.81,4.75,4.95,4.72,3.85M,2.12%
2023-11-27,4.71,4.7,4.77,4.65,2.17M,2.39%
2023-11-26,4.6,4.5,4.6,4.5,2.07M,2.68%
2023-11-23,4.48,4.45,4.5,4.39,1.13M,1.13%
2023-11-22,4.43,4.43,4.47,4.42,877.52K,0.68%
2023-11-21,4.4,4.3,4.42,4.29,824.33K,2.33%
2023-11-20,4.3,4.42,4.44,4.3,2.11M,-2.27%
2023-11-19,4.4,4.4,4.45,4.37,859.48K,0.23%
2023-11-16,4.39,4.32,4.47,4.32,1.14M,2.09%
2023-11-15,4.3,4.28,4.35,4.27,882.66K,1.18%
2023-11-14,4.25,4.24,4.34,4.19,1.63M,0.71%
2023-11-13,4.22,4.22,4.25,4.19,564.36K,0.48%
2023-11-12,4.2,4.2,4.3,4.2,464.08K,0.00%
2023-11-09,4.2,4.34,4.34,4.18,435.83K,-2.55%
2023-11-08,4.31,4.28,4.35,4.28,267.44K,0.70%
2023-11-07,4.28,4.26,4.44,4.26,642.49K,0.23%
2023-11-06,4.27,4.32,4.35,4.25,359.04K,-0.47%
2023-11-05,4.29,4.26,4.33,4.26,238.47K,0.94%
2023-11-02,4.25,4.24,4.3,4.2,398.33K,0.47%
2023-11-01,4.23,4.2,4.3,4.19,532.62K,0.00%
2023-10-31,4.23,4.44,4.44,4.21,719.38K,-4.08%
2023-10-30,4.41,4.5,4.52,4.4,514.91K,-1.78%
2023-10-29,4.49,4.6,4.61,4.46,642.17K,-2.39%
2023-10-26,4.6,4.56,4.6,4.44,2.33M,1.10%
2023-10-25,4.55,4.39,4.58,4.35,5.51M,3.64%
2023-10-24,4.39,4.55,4.55,4.22,1.66M,-3.09%
2023-10-23,4.53,4.38,4.67,4.31,11.37M,2.95%
2023-10-22,4.4,4.43,4.44,4.32,3.88M,0.00%
2023-10-19,4.4,4.1,4.4,4.07,13.70M,7.58%
2023-10-18,4.09,3.84,4.1,3.84,10.48M,7.07%
2023-10-17,3.82,3.8,3.9,3.79,2.14M,0.79%
2023-10-16,3.79,3.78,3.85,3.77,1.53M,0.00%
2023-10-15,3.79,3.8,3.82,3.77,8.32M,0.00%
2023-10-12,3.79,3.8,3.8,3.76,1.24M,0.53%
2023-10-11,3.77,3.8,3.9,3.76,1.83M,-0.26%
2023-10-10,3.78,3.8,3.8,3.77,277.44K,0.00%
2023-10-09,3.78,3.8,3.82,3.73,466.12K,0.53%
2023-10-08,3.76,3.88,3.88,3.7,1.32M,-2.59%
2023-10-04,3.86,3.81,3.89,3.8,359.04K,1.31%
2023-10-03,3.81,3.81,3.84,3.8,375.22K,0.00%
2023-10-02,3.81,3.88,3.9,3.79,1.64M,-1.55%
2023-10-01,3.87,3.88,3.91,3.85,2.38M,-0.26%
2023-09-27,3.88,3.95,3.95,3.85,2.53M,-1.77%
2023-09-26,3.95,3.95,3.96,3.9,1.01M,-0.25%
2023-09-25,3.96,3.86,3.97,3.86,2.87M,3.13%
2023-09-24,3.84,4.0,4.0,3.83,1.55M,-2.29%
2023-09-21,3.93,3.93,3.96,3.92,878.37K,0.26%
2023-09-20,3.92,4.04,4.05,3.91,1.48M,-2.49%
2023-09-19,4.02,4.06,4.09,4.01,1.44M,-1.23%
2023-09-18,4.07,4.1,4.12,4.04,999.01K,-0.73%
2023-09-17,4.1,4.1,4.12,4.07,1.84M,0.49%
2023-09-14,4.08,3.93,4.13,3.93,6.98M,3.82%
