Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,3.8,3.8,4.0,3.6,952.73K,-5.00%
2023-12-10,4.0,4.1,4.1,4.0,54.90K,0.00%
2023-12-07,4.0,4.0,4.0,3.99,3.64K,0.00%
2023-12-06,4.0,4.0,4.0,4.0,30.00K,0.00%
2023-12-05,4.0,4.05,4.05,4.0,22.25K,0.00%
2023-12-04,4.0,4.0,4.02,4.0,10.61K,0.00%
2023-12-03,4.0,4.03,4.03,3.98,154.15K,-1.48%
2023-11-30,4.06,4.3,4.3,3.9,126.56K,-5.14%
2023-11-29,4.28,4.68,4.68,4.0,87.02K,-1.83%
2023-11-28,4.36,3.71,4.5,3.71,393.29K,8.46%
2023-11-27,4.02,4.0,4.15,3.8,517.05K,5.51%
2023-11-26,3.81,3.45,4.15,3.45,777.49K,10.12%
2023-11-23,3.46,3.6,3.6,3.46,92.73K,0.00%
2023-11-22,3.46,3.59,3.6,3.51,15.78K,0.00%
2023-11-21,3.46,3.57,3.57,3.45,90.00K,-3.08%
2023-11-20,3.57,3.5,3.5,3.45,18.04K,0.00%
2023-11-19,3.57,3.6,3.6,3.45,119.20K,3.48%
2023-11-14,3.45,3.6,3.73,3.45,5.08K,0.00%
2023-11-13,3.45,3.72,3.72,3.55,0.27K,0.00%
2023-11-12,3.45,3.72,3.72,3.46,2.25K,0.00%
2023-11-09,3.45,3.45,3.74,3.45,124.12K,-9.45%
2023-11-08,3.81,3.5,3.5,3.4,1.20K,0.00%
2023-11-07,3.81,3.52,3.86,3.5,29.82K,0.00%
2023-11-06,3.81,3.87,3.87,3.5,50.76K,0.00%
2023-11-05,3.81,3.45,3.9,3.45,98.21K,10.43%
2023-11-02,3.45,3.63,3.63,3.45,137.05K,-1.43%
2023-11-01,3.5,3.45,3.45,3.45,0.00K,0.00%
2023-10-31,3.5,3.63,3.63,3.45,0.51K,0.00%
2023-10-30,3.5,3.45,3.63,3.45,1.54K,0.00%
2023-10-29,3.5,3.62,3.63,3.45,124.65K,1.45%
2023-10-26,3.45,3.62,3.62,3.45,132.22K,0.00%
2023-10-25,3.45,3.45,3.45,3.36,150.21K,6.15%
2023-10-24,3.25,3.31,3.4,3.31,10.41K,0.00%
2023-10-23,3.25,3.3,3.3,3.3,0.93K,0.00%
2023-10-22,3.25,3.26,3.3,3.25,41.89K,0.00%
2023-10-18,3.25,3.27,3.6,3.27,52.75K,0.00%
2023-10-17,3.25,3.24,3.46,3.24,204.88K,-6.07%
2023-10-16,3.46,3.23,3.23,3.23,0.15K,0.00%
2023-10-15,3.46,3.25,3.25,3.25,1.00K,0.00%
2023-10-12,3.46,3.5,3.5,3.45,14.25K,0.00%
2023-10-10,3.46,3.6,3.6,3.21,0.26K,0.00%
2023-10-09,3.46,3.15,3.6,3.15,1.28K,0.00%
2023-10-04,3.46,3.42,3.46,3.15,1.52K,0.00%
2023-10-03,3.46,3.3,3.42,3.3,0.69K,0.00%
2023-10-02,3.46,3.22,3.45,3.22,47.58K,0.00%
2023-10-01,3.46,3.5,3.5,3.2,10.22K,0.00%
2023-09-27,3.46,3.35,3.35,3.35,0.00K,0.00%
2023-09-26,3.46,3.2,3.45,3.2,2.00K,0.00%
2023-09-25,3.46,3.4,3.4,3.31,27.12K,0.00%
2023-09-21,3.46,3.45,3.46,3.45,2.73K,0.00%
2023-09-20,3.46,3.45,3.49,3.4,114.20K,0.29%
2023-09-19,3.45,3.49,3.49,3.16,52.83K,0.00%
2023-09-18,3.45,3.59,3.59,3.4,2.27K,0.00%
2023-09-17,3.45,3.5,3.5,3.5,3.08K,0.00%
2023-09-13,3.45,3.43,3.45,3.43,761.00K,0.00%
2023-09-12,3.45,3.47,3.6,3.31,17.97K,0.00%
2023-09-11,3.45,3.31,3.56,3.31,287.90K,6.15%
2023-09-10,3.25,3.49,3.49,3.0,92.68K,0.00%
2023-09-07,3.25,3.4,3.5,3.35,23.22K,0.00%
2023-09-06,3.25,3.3,3.4,3.3,0.29K,0.00%
2023-09-05,3.25,3.7,3.7,3.1,141.55K,-10.96%
2023-09-04,3.65,3.57,3.65,3.57,140.02K,0.27%
2023-09-03,3.64,3.65,3.68,3.65,42.54K,0.00%
2023-08-31,3.64,3.8,3.8,3.55,0.25K,0.00%
2023-08-30,3.64,3.61,3.8,3.61,10.38K,0.00%
2023-08-29,3.64,3.65,3.65,3.6,108.21K,-0.27%
2023-08-28,3.65,3.8,3.8,3.52,64.79K,0.00%
2023-08-27,3.65,3.75,3.75,3.65,0.01K,0.00%
2023-08-23,3.65,3.7,3.7,3.6,11.40K,0.00%
2023-08-22,3.65,3.96,3.96,3.6,0.20K,0.00%
2023-08-21,3.65,3.65,3.65,3.65,0.02K,0.00%
2023-08-20,3.65,3.6,3.97,3.6,2.35M,-1.35%
2023-08-16,3.7,3.99,3.99,3.65,10.23K,0.00%
2023-08-15,3.7,3.99,3.99,3.51,3.64K,0.00%
2023-08-13,3.7,3.65,3.7,3.65,18.01K,0.00%
2023-08-08,3.7,3.6,3.99,3.6,0.12K,0.00%
2023-08-07,3.7,3.7,3.99,3.7,100.04K,-9.09%
2023-08-06,4.07,3.6,3.61,3.6,0.08K,0.00%
2023-08-03,4.07,3.99,3.99,3.99,0.02K,0.00%
2023-08-02,4.07,3.99,3.99,3.99,0.18K,0.00%
2023-08-01,4.07,4.0,4.0,4.0,0.01K,0.00%
2023-07-31,4.07,3.51,4.5,3.51,123.26K,1.75%
2023-07-30,4.0,3.75,3.75,3.75,0.43K,0.00%
2023-07-27,4.0,3.55,3.75,3.51,2.19K,0.00%
2023-07-26,4.0,3.51,3.51,3.51,0.59K,0.00%
2023-07-24,4.0,3.65,3.75,3.65,13.12K,0.00%
2023-07-19,4.0,3.5,3.98,3.5,1.03K,0.00%
2023-07-17,4.0,3.55,3.99,3.55,0.28K,0.00%
2023-07-16,4.0,3.5,4.0,3.5,228.35K,5.54%
2023-07-13,3.79,3.5,3.9,3.5,203.55K,9.86%
2023-07-12,3.45,3.6,3.6,3.45,512.66K,0.00%
2023-07-11,3.45,3.4,3.6,3.3,66.72K,0.00%
2023-07-10,3.45,3.25,3.6,3.25,0.16K,0.00%
2023-07-09,3.45,3.7,3.7,3.2,10.45K,0.00%
2023-07-06,3.45,3.02,3.7,3.02,0.26K,0.00%
2023-07-05,3.45,3.2,3.7,3.2,0.44K,0.00%
2023-07-04,3.45,3.45,3.45,3.45,300.00K,-1.43%
2023-06-26,3.5,3.65,3.7,3.0,1.07K,0.00%
2023-06-25,3.5,3.65,3.65,3.63,0.23K,0.00%
2023-06-22,3.5,3.43,3.43,3.43,0.07K,0.00%
2023-06-21,3.5,3.43,3.43,3.43,0.02K,0.00%
2023-06-20,3.5,3.55,3.7,3.43,70.01K,0.00%
2023-06-19,3.5,3.69,3.69,3.61,12.50K,0.00%
2023-06-18,3.5,3.7,3.7,3.65,3.76K,0.00%
2023-06-15,3.5,3.7,3.7,3.7,0.00K,0.00%
2023-06-14,3.5,3.7,3.7,3.7,0.50K,0.00%
2023-06-13,3.5,3.65,3.65,3.65,1.00K,-5.41%
2023-06-12,3.7,3.4,3.7,3.31,5.77K,5.71%
2023-06-11,3.5,3.5,3.84,3.5,14.36K,0.00%
2023-06-08,3.5,3.36,3.5,3.36,0.06K,0.00%
2023-06-06,3.5,3.5,3.5,3.33,0.23K,0.00%
