Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,76.89,75.15,77.2,74.3,8.27M,2.49%
2023-12-10,75.02,77.0,77.0,75.02,1.82M,-2.32%
2023-12-07,76.8,76.55,76.85,75.3,5.58M,0.33%
2023-12-06,76.55,77.35,78.7,76.52,11.44M,-1.03%
2023-12-05,77.35,78.0,78.0,75.11,9.84M,-0.46%
2023-12-04,77.71,76.0,78.78,75.21,7.41M,2.76%
2023-12-03,75.62,77.21,77.49,75.4,1.14M,-2.05%
2023-11-30,77.2,78.9,78.9,75.04,8.75M,-1.03%
2023-11-29,78.0,80.0,80.7,76.5,11.88M,-2.50%
2023-11-28,80.0,84.06,84.06,80.0,11.42M,-4.83%
2023-11-27,84.06,78.01,84.06,78.0,7.27M,8.14%
2023-11-26,77.73,79.5,80.5,77.5,1.77M,-1.98%
2023-11-23,79.3,75.5,79.6,75.5,8.56M,5.10%
2023-11-22,75.45,74.5,75.99,74.5,7.59M,1.29%
2023-11-21,74.49,75.01,75.19,73.53,10.64M,-1.14%
2023-11-20,75.35,75.09,77.6,74.93,10.39M,0.79%
2023-11-19,74.76,72.0,75.25,72.0,2.95M,3.83%
2023-11-16,72.0,71.36,72.19,71.03,2.74M,1.12%
2023-11-15,71.2,70.0,71.25,69.4,3.37M,2.45%
2023-11-14,69.5,71.0,71.1,69.5,7.74M,-1.84%
2023-11-13,70.8,71.5,71.6,69.9,7.36M,-0.51%
2023-11-12,71.16,73.0,73.0,71.01,1.56M,-2.52%
2023-11-09,73.0,70.1,73.2,68.76,4.74M,4.14%
2023-11-08,70.1,65.94,71.0,65.62,7.02M,6.86%
2023-11-07,65.6,63.4,65.68,63.27,10.55M,3.47%
2023-11-06,63.4,62.99,63.66,62.5,17.89M,0.65%
2023-11-05,62.99,62.6,63.2,62.31,2.02M,2.11%
2023-11-02,61.69,61.1,62.0,61.1,3.38M,0.97%
2023-11-01,61.1,60.35,61.7,60.35,7.28M,1.24%
2023-10-31,60.35,60.9,61.2,60.1,4.81M,-0.90%
2023-10-30,60.9,60.0,61.6,59.97,11.34M,1.91%
2023-10-29,59.76,59.8,60.37,59.5,3.04M,0.61%
2023-10-26,59.4,58.2,60.2,57.12,9.09M,2.38%
2023-10-25,58.02,57.81,58.83,57.76,3.65M,0.55%
2023-10-24,57.7,58.05,58.2,56.72,6.96M,-0.60%
2023-10-23,58.05,59.37,59.37,57.55,11.42M,-1.61%
2023-10-22,59.0,59.27,60.0,58.98,2.34M,0.00%
2023-10-19,59.0,59.8,60.5,59.0,3.18M,-1.29%
2023-10-18,59.77,59.96,60.5,59.1,5.45M,0.12%
2023-10-17,59.7,59.28,60.0,58.27,13.66M,1.17%
2023-10-16,59.01,59.51,60.99,59.01,9.57M,-0.84%
2023-10-15,59.51,59.85,60.0,59.5,1.84M,-0.65%
2023-10-12,59.9,59.65,60.29,59.5,1.10M,0.49%
2023-10-11,59.61,60.6,61.15,59.61,4.76M,-1.68%
2023-10-10,60.63,60.95,61.2,59.1,13.91M,-0.62%
2023-10-09,61.01,60.0,61.4,59.5,2.82M,1.68%
2023-10-08,60.0,61.0,61.0,56.9,2.68M,-2.69%
2023-10-04,61.66,61.02,62.05,61.02,2.14M,0.24%
2023-10-03,61.51,61.0,61.55,60.55,3.62M,0.75%
2023-10-02,61.05,60.4,61.34,60.0,20.60M,0.93%
2023-10-01,60.49,60.0,60.6,59.62,4.40M,0.82%
