Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,0.32,0.34,0.34,0.32,11.63M,-3.63%
2023-12-10,0.33,0.34,0.34,0.33,7.93M,-1.78%
2023-12-07,0.34,0.35,0.35,0.32,17.77M,-4.26%
2023-12-06,0.35,0.35,0.35,0.35,7.07M,0.00%
2023-12-05,0.35,0.36,0.36,0.35,14.68M,-2.25%
2023-12-04,0.36,0.35,0.36,0.35,4.91M,1.71%
2023-12-03,0.35,0.36,0.36,0.35,8.51M,-2.23%
2023-11-30,0.36,0.35,0.36,0.35,12.08M,2.87%
2023-11-29,0.35,0.35,0.35,0.34,8.80M,0.00%
2023-11-28,0.35,0.36,0.36,0.35,10.43M,-2.51%
2023-11-27,0.36,0.36,0.36,0.36,5.41M,0.00%
2023-11-26,0.36,0.37,0.37,0.36,8.56M,0.00%
2023-11-23,0.36,0.37,0.37,0.36,10.21M,0.00%
2023-11-22,0.36,0.36,0.37,0.35,22.18M,0.00%
2023-11-21,0.36,0.32,0.37,0.31,28.50M,11.46%
2023-11-20,0.32,0.33,0.33,0.32,8.48M,0.00%
2023-11-19,0.33,0.32,0.33,0.31,11.85M,4.14%
2023-11-16,0.31,0.31,0.32,0.31,3.65M,0.00%
2023-11-15,0.31,0.31,0.32,0.31,5.55M,0.00%
2023-11-14,0.31,0.31,0.32,0.31,5.53M,0.00%
2023-11-13,0.31,0.31,0.32,0.31,7.56M,0.00%
2023-11-12,0.31,0.32,0.32,0.31,4.26M,-2.80%
2023-11-09,0.32,0.33,0.33,0.32,4.88M,-3.02%
2023-11-08,0.33,0.3,0.34,0.3,13.39M,4.42%
2023-11-07,0.32,0.32,0.32,0.31,3.15M,0.00%
2023-11-06,0.32,0.33,0.33,0.32,6.06M,-1.85%
2023-11-05,0.32,0.31,0.33,0.31,8.79M,4.85%
2023-11-02,0.31,0.31,0.31,0.31,3.62M,0.00%
2023-11-01,0.31,0.32,0.32,0.31,4.20M,-2.52%
2023-10-31,0.32,0.32,0.32,0.32,4.30M,0.00%
2023-10-30,0.32,0.32,0.33,0.32,8.29M,0.00%
2023-10-29,0.32,0.33,0.33,0.32,7.80M,0.00%
2023-10-26,0.33,0.34,0.34,0.32,8.32M,-1.80%
2023-10-25,0.33,0.33,0.34,0.33,6.69M,0.00%
2023-10-24,0.33,0.35,0.35,0.32,16.02M,-3.21%
2023-10-23,0.34,0.32,0.36,0.31,18.95M,8.20%
2023-10-22,0.32,0.32,0.33,0.31,8.19M,0.00%
2023-10-19,0.32,0.33,0.33,0.31,6.37M,-3.03%
2023-10-18,0.33,0.34,0.34,0.33,8.35M,-2.94%
2023-10-17,0.34,0.35,0.35,0.34,6.23M,-1.73%
2023-10-16,0.35,0.35,0.36,0.34,6.76M,-1.98%
2023-10-15,0.35,0.35,0.36,0.35,5.17M,0.00%
