Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,0.24,0.246,0.246,0.239,37.29M,-2.04%
2023-12-10,0.245,0.244,0.256,0.239,46.77M,0.82%
2023-12-07,0.243,0.249,0.249,0.238,34.53M,-2.02%
2023-12-06,0.248,0.256,0.256,0.247,20.56M,-1.98%
2023-12-05,0.253,0.258,0.258,0.251,25.63M,-0.78%
2023-12-04,0.255,0.258,0.262,0.251,37.06M,-0.78%
2023-12-03,0.257,0.268,0.269,0.257,58.76M,-2.28%
2023-11-30,0.263,0.25,0.27,0.25,144.88M,9.58%
2023-11-29,0.24,0.246,0.247,0.24,30.06M,-2.44%
2023-11-28,0.246,0.251,0.252,0.243,38.85M,-1.20%
2023-11-27,0.249,0.249,0.256,0.246,55.01M,1.22%
2023-11-26,0.246,0.25,0.252,0.244,21.07M,0.41%
2023-11-23,0.245,0.245,0.254,0.244,35.48M,0.41%
2023-11-22,0.244,0.246,0.252,0.242,26.22M,-0.41%
2023-11-21,0.245,0.237,0.248,0.234,37.55M,3.81%
2023-11-20,0.236,0.241,0.243,0.236,21.92M,-2.07%
2023-11-19,0.241,0.24,0.248,0.239,31.51M,0.84%
2023-11-16,0.239,0.243,0.243,0.235,19.57M,1.27%
2023-11-15,0.236,0.244,0.245,0.235,29.56M,-2.48%
2023-11-14,0.242,0.252,0.254,0.242,32.00M,-3.97%
2023-11-13,0.252,0.245,0.259,0.243,73.87M,5.00%
2023-11-12,0.24,0.231,0.24,0.225,24.71M,4.80%
2023-11-09,0.229,0.227,0.235,0.226,37.73M,1.78%
2023-11-08,0.225,0.229,0.23,0.224,15.24M,-0.88%
2023-11-07,0.227,0.231,0.231,0.224,17.76M,-0.44%
2023-11-06,0.228,0.224,0.24,0.224,46.88M,2.24%
2023-11-05,0.223,0.22,0.224,0.218,16.33M,2.76%
2023-11-02,0.217,0.218,0.22,0.215,13.35M,0.00%
2023-11-01,0.217,0.224,0.225,0.213,17.45M,-3.13%
2023-10-31,0.224,0.23,0.232,0.224,16.29M,-2.18%
2023-10-30,0.229,0.228,0.236,0.224,34.79M,2.69%
2023-10-29,0.223,0.226,0.228,0.222,18.55M,0.45%
2023-10-26,0.222,0.225,0.225,0.217,33.74M,0.91%
2023-10-25,0.22,0.228,0.228,0.217,38.57M,-0.90%
2023-10-24,0.222,0.24,0.241,0.206,56.87M,-3.48%
2023-10-23,0.23,0.193,0.23,0.192,91.73M,19.79%
2023-10-22,0.192,0.191,0.192,0.188,11.02M,1.05%
2023-10-19,0.19,0.191,0.192,0.189,16.45M,-0.52%
2023-10-18,0.191,0.194,0.196,0.19,21.67M,-1.04%
2023-10-17,0.193,0.195,0.196,0.19,17.38M,-1.03%
2023-10-16,0.195,0.198,0.198,0.194,12.41M,-1.52%
2023-10-15,0.198,0.2,0.2,0.197,12.84M,-0.50%
2023-10-12,0.199,0.2,0.2,0.197,14.22M,1.02%
2023-10-11,0.197,0.2,0.204,0.197,13.63M,-1.50%
2023-10-10,0.2,0.2,0.204,0.198,18.06M,0.50%
2023-10-09,0.199,0.201,0.201,0.194,12.12M,1.02%
2023-10-08,0.197,0.21,0.215,0.182,24.77M,-5.74%
2023-10-04,0.209,0.211,0.214,0.207,15.39M,-0.95%
2023-10-03,0.211,0.215,0.217,0.21,10.24M,-1.86%
2023-10-02,0.215,0.218,0.222,0.208,11.26M,-1.38%
2023-10-01,0.218,0.218,0.225,0.213,16.68M,0.46%
2023-09-27,0.217,0.218,0.22,0.206,30.70M,-1.36%
2023-09-26,0.22,0.226,0.229,0.218,21.22M,-2.65%
2023-09-25,0.226,0.231,0.232,0.225,20.05M,-1.74%
2023-09-24,0.23,0.235,0.236,0.23,16.07M,-1.29%
2023-09-21,0.233,0.237,0.237,0.231,20.06M,-1.27%
2023-09-20,0.236,0.242,0.242,0.234,18.55M,-1.67%
2023-09-19,0.24,0.243,0.246,0.24,33.15M,-0.83%
2023-09-18,0.242,0.243,0.245,0.242,28.38M,0.41%
