Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,57.62,57.0,58.0,55.06,4.72K,0.21%
2023-12-10,57.5,60.0,60.0,55.06,9.80K,-2.48%
2023-12-07,58.96,60.05,60.05,58.0,10.35K,-2.08%
2023-12-06,60.21,63.0,63.0,58.1,21.81K,-11.08%
2023-12-05,67.71,67.0,68.0,66.12,28.08K,1.24%
2023-12-04,66.88,66.94,67.48,66.0,21.75K,0.77%
2023-12-03,66.37,67.5,67.5,66.1,11.05K,0.03%
2023-11-30,66.35,66.0,67.49,65.0,7.91K,0.09%
2023-11-29,66.29,67.0,68.0,66.0,15.89K,-0.79%
2023-11-28,66.82,64.97,67.87,64.97,11.55K,4.24%
2023-11-27,64.1,64.41,64.98,63.53,16.54K,0.36%
2023-11-26,63.87,62.26,64.64,62.26,24.09K,6.40%
2023-11-23,60.03,59.62,60.98,59.0,16.00K,2.28%
2023-11-22,58.69,58.0,59.89,58.0,14.68K,1.70%
2023-11-21,57.71,57.0,58.0,56.0,14.33K,2.43%
2023-11-20,56.34,56.74,57.8,55.0,11.79K,-0.76%
2023-11-19,56.77,55.85,57.55,55.0,6.79K,1.85%
2023-11-16,55.74,55.28,56.89,55.15,24.05K,0.96%
2023-11-15,55.21,53.22,55.96,52.07,40.11K,6.79%
2023-11-14,51.7,51.8,53.3,50.0,20.69K,0.37%
2023-11-13,51.51,50.85,53.0,49.01,24.47K,4.17%
2023-11-12,49.45,44.55,50.95,44.55,39.67K,10.82%
2023-11-09,44.62,44.5,45.3,44.0,6.56K,0.00%
2023-11-08,44.62,44.1,44.61,44.0,3.89K,0.00%
2023-11-07,44.62,43.9,44.61,43.89,1.46K,0.00%
2023-11-06,44.62,43.93,44.4,43.89,2.42K,0.00%
2023-11-05,44.62,43.63,45.0,43.63,0.98K,0.00%
2023-11-02,44.62,43.83,45.23,43.61,5.22K,0.00%
2023-11-01,44.62,45.52,45.52,43.8,1.72K,0.00%
2023-10-31,44.62,46.0,46.0,44.05,13.48K,0.77%
2023-10-30,44.28,45.0,46.0,43.2,10.08K,-2.60%
2023-10-29,45.46,43.02,48.9,43.02,41.00K,6.34%
2023-10-26,42.75,41.82,43.8,41.82,12.83K,3.41%
2023-10-25,41.34,41.99,42.7,40.45,19.79K,0.39%
2023-10-24,41.18,41.0,42.0,40.75,10.15K,1.13%
2023-10-23,40.72,40.5,41.7,40.5,3.99K,0.00%
2023-10-22,40.72,40.1,41.12,40.1,1.73K,0.00%
2023-10-19,40.72,41.0,41.0,40.1,0.78K,0.00%
2023-10-18,40.72,40.51,41.0,40.01,3.97K,0.00%
2023-10-17,40.72,39.7,40.51,39.7,4.05K,0.00%
2023-10-16,40.72,41.5,42.5,39.18,10.74K,-1.88%
2023-10-15,41.5,37.7,42.7,37.7,12.26K,10.64%
2023-10-12,37.51,37.5,38.99,37.5,2.92K,0.00%
2023-10-11,37.51,37.52,37.52,37.35,0.47K,0.00%
2023-10-10,37.51,37.5,38.48,37.5,9.46K,-4.38%
2023-10-09,39.23,37.5,38.49,37.25,6.20K,0.00%
2023-10-08,39.23,39.5,39.5,37.15,3.77K,0.00%
2023-10-04,39.23,38.2,39.99,38.2,1.84K,0.00%
2023-10-03,39.23,39.55,39.55,38.2,3.95K,0.00%
2023-10-02,39.23,39.9,39.9,38.21,0.21K,0.00%
2023-10-01,39.23,40.3,40.3,38.01,5.98K,0.00%
2023-09-27,39.23,40.3,40.3,39.0,11.24K,-2.63%
2023-09-26,40.29,39.99,40.29,39.53,3.17K,0.00%
2023-09-25,40.29,39.5,40.0,39.5,4.40K,0.00%
2023-09-24,40.29,40.0,40.0,39.75,1.40K,0.00%
2023-09-21,40.29,39.52,40.0,39.51,0.14K,0.00%
2023-09-20,40.29,40.01,40.01,39.5,2.76K,0.00%
2023-09-19,40.29,39.64,40.2,39.63,2.61K,0.00%
2023-09-18,40.29,39.62,40.85,39.62,1.75K,0.00%
2023-09-17,40.29,40.0,40.0,39.6,6.76K,0.00%
2023-09-14,40.29,40.0,41.5,39.61,5.66K,0.00%
2023-09-13,40.29,40.4,40.4,40.0,0.62K,0.00%
2023-09-12,40.29,40.49,40.49,39.61,0.11K,0.00%
2023-09-11,40.29,39.82,40.5,39.45,2.52K,0.00%
2023-09-10,40.29,39.82,40.7,39.82,1.39K,0.00%
2023-09-07,40.29,40.25,40.7,39.81,3.64K,0.00%
2023-09-06,40.29,40.0,40.25,39.81,0.23K,0.00%
2023-09-05,40.29,40.06,40.06,40.0,4.07K,0.00%
2023-09-04,40.29,39.81,41.1,39.81,0.25K,0.00%
2023-09-03,40.29,40.1,41.1,40.0,5.20K,0.00%
2023-08-31,40.29,40.06,40.29,40.05,0.92K,0.00%
2023-08-30,40.29,40.88,40.88,40.0,4.39K,0.00%
2023-08-29,40.29,40.05,40.98,40.05,2.26K,0.00%
2023-08-28,40.29,40.6,41.5,40.0,4.27K,0.00%
2023-08-27,40.29,41.76,41.76,40.9,0.92K,0.00%
2023-08-24,40.29,41.95,41.95,40.3,1.05K,0.00%
2023-08-23,40.29,41.52,41.56,40.5,2.04K,0.00%
2023-08-22,40.29,40.55,41.14,40.55,0.86K,0.00%
2023-08-21,40.29,42.28,42.28,40.0,21.83K,-10.51%
2023-08-20,45.02,41.06,42.78,40.8,4.85K,0.00%
2023-08-17,45.02,41.75,42.97,40.9,6.53K,0.00%
2023-08-16,45.02,42.2,42.5,41.72,1.87K,0.00%
