Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,32.21,33.0,33.0,31.61,108.03K,-3.10%
2023-12-10,33.24,34.0,34.0,33.0,29.21K,0.48%
2023-12-07,33.08,33.5,33.88,33.0,88.78K,-1.58%
2023-12-06,33.61,34.6,34.63,33.5,46.98K,-1.18%
2023-12-05,34.01,34.4,34.91,33.91,95.27K,0.06%
2023-12-04,33.99,34.58,35.39,33.86,91.54K,0.03%
2023-12-03,33.98,34.02,34.8,33.72,100.68K,0.35%
2023-11-30,33.86,35.0,35.47,33.8,101.19K,-1.63%
2023-11-29,34.42,34.2,35.48,33.7,111.39K,-0.23%
2023-11-28,34.5,34.29,34.87,33.0,225.22K,0.85%
2023-11-27,34.21,34.6,35.0,33.75,378.94K,0.68%
2023-11-26,33.98,32.85,33.98,32.3,292.62K,5.23%
2023-11-23,32.29,34.0,34.25,29.0,800.21K,-4.01%
2023-11-22,33.64,33.55,34.25,33.34,103.56K,1.29%
2023-11-21,33.21,33.5,33.98,33.0,60.21K,-0.81%
2023-11-20,33.48,35.0,35.4,33.02,127.28K,-3.21%
2023-11-19,34.59,34.65,36.4,34.4,140.37K,0.26%
2023-11-16,34.5,34.5,34.59,33.48,91.90K,0.12%
2023-11-15,34.46,35.11,36.0,34.09,88.72K,-2.98%
2023-11-14,35.52,36.38,36.38,34.5,175.63K,-1.14%
2023-11-13,35.93,36.94,37.49,34.61,184.07K,-1.13%
2023-11-12,36.34,33.13,36.65,32.61,240.21K,10.05%
2023-11-09,33.02,32.89,33.5,32.63,136.26K,0.46%
2023-11-08,32.87,33.0,33.8,32.6,147.54K,-0.72%
2023-11-07,33.11,32.1,33.74,32.0,450.78K,5.18%
2023-11-06,31.48,31.74,32.3,31.32,125.68K,1.09%
2023-11-05,31.14,30.05,32.48,29.77,183.18K,5.42%
2023-11-02,29.54,29.8,29.89,29.06,21.05K,1.20%
2023-11-01,29.19,30.48,30.48,28.8,112.48K,-2.80%
2023-10-31,30.03,30.51,31.1,29.9,90.42K,-1.89%
2023-10-30,30.61,29.63,31.98,29.1,528.85K,4.15%
2023-10-29,29.39,29.0,30.0,29.0,55.03K,1.27%
2023-10-26,29.02,30.63,30.63,28.51,49.02K,-1.96%
2023-10-25,29.6,29.0,31.49,29.0,120.46K,2.60%
2023-10-24,28.85,28.46,28.99,27.11,70.74K,3.44%
2023-10-23,27.89,26.4,28.48,26.4,78.03K,7.23%
2023-10-22,26.01,26.0,26.45,26.0,40.18K,0.04%
2023-10-19,26.0,26.39,26.4,25.86,68.17K,-0.19%
2023-10-18,26.05,26.4,26.5,26.0,24.01K,0.19%
2023-10-17,26.0,26.0,26.1,25.9,58.29K,-0.04%
2023-10-16,26.01,26.0,26.24,25.72,20.96K,0.04%
2023-10-15,26.0,26.3,26.64,25.77,24.66K,-0.12%
2023-10-12,26.03,26.38,26.38,25.88,12.81K,0.00%
2023-10-11,26.03,25.42,26.49,25.42,98.88K,0.15%
2023-10-10,25.99,26.0,26.81,25.82,17.62K,-0.04%
2023-10-09,26.0,26.79,27.5,25.13,25.99K,0.08%
2023-10-08,25.98,28.76,28.76,24.33,50.49K,-10.41%
2023-10-04,29.0,28.16,29.77,28.16,7.14K,0.00%
2023-10-03,29.0,29.48,29.48,28.6,34.29K,0.66%
2023-10-02,28.81,29.48,29.92,28.28,4.75K,0.00%
2023-10-01,28.81,29.48,30.4,28.66,24.01K,-2.14%
2023-09-27,29.44,29.2,29.99,29.03,12.49K,-0.24%
2023-09-26,29.51,29.65,29.95,29.2,127.15K,0.00%
2023-09-25,29.51,29.5,30.0,29.1,9.59K,0.00%
2023-09-24,29.51,29.4,30.48,29.0,28.75K,0.31%
2023-09-21,29.42,29.5,29.79,29.25,6.93K,0.00%
2023-09-20,29.42,29.89,29.89,29.0,15.43K,-0.34%
2023-09-19,29.52,29.61,29.85,29.12,25.29K,-0.77%
2023-09-18,29.75,30.0,30.25,29.67,29.13K,-0.87%
2023-09-17,30.01,29.64,30.73,29.64,13.48K,-0.73%
2023-09-14,30.23,29.81,30.2,29.57,7.72K,0.00%
2023-09-13,30.23,30.01,30.01,29.81,6.21K,0.00%
2023-09-12,30.23,30.25,30.49,29.5,3.49K,0.00%
