Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,27.0,37.0,37.0,21.0,10.45K,-27.03%
2023-12-06,37.0,26.0,40.0,20.01,34.63K,42.31%
2023-12-04,26.0,26.99,30.0,26.0,11.87K,12.80%
2023-11-30,23.05,23.11,23.11,21.01,18.35K,4.73%
2023-11-29,22.01,20.98,22.03,20.96,23.61K,4.86%
2023-11-28,20.99,20.73,21.01,20.01,29.69K,4.90%
2023-11-27,20.01,19.2,20.76,18.8,26.98K,1.16%
2023-11-26,19.78,18.16,19.81,18.16,38.76K,4.82%
2023-11-23,18.87,18.18,18.5,18.13,2.77K,0.00%
2023-11-22,18.87,18.5,18.61,18.1,3.17K,0.00%
2023-11-21,18.87,18.05,18.91,18.0,4.38K,0.00%
2023-11-20,18.87,18.53,18.73,18.0,5.25K,0.00%
2023-11-19,18.87,17.39,19.21,17.39,1.39M,3.11%
2023-11-16,18.3,18.3,18.45,18.15,2.77K,0.00%
2023-11-15,18.3,18.3,18.5,18.25,5.00M,0.00%
2023-11-14,18.3,18.3,18.3,18.25,0.74K,0.00%
2023-11-13,18.3,18.12,18.18,18.01,1.75K,0.00%
2023-11-12,18.3,18.2,18.2,18.11,0.53K,0.00%
2023-11-09,18.3,18.34,18.35,18.34,0.21K,0.00%
2023-11-08,18.3,18.2,18.35,18.06,1.05K,0.00%
2023-11-07,18.3,18.25,18.25,18.01,0.81K,0.00%
2023-11-06,18.3,18.12,18.35,18.12,0.28K,0.00%
2023-11-05,18.3,18.35,18.35,18.1,0.26K,0.00%
2023-11-02,18.3,18.01,18.35,18.01,0.75K,0.00%
2023-11-01,18.3,18.2,18.2,18.12,1.68K,0.00%
2023-10-31,18.3,18.4,18.4,18.2,3.86K,0.00%
2023-10-30,18.3,18.22,18.4,18.22,1.36K,0.00%
2023-10-29,18.3,18.17,18.4,18.14,5.70K,0.00%
2023-10-26,18.3,18.2,18.34,18.1,7.54K,0.00%
2023-10-25,18.3,18.17,18.4,18.17,0.51K,0.00%
2023-10-24,18.3,18.21,18.4,18.16,0.75K,0.00%
2023-10-23,18.3,18.16,18.46,18.16,4.93K,0.00%
2023-10-22,18.3,18.02,18.41,18.02,9.98K,0.00%
2023-10-19,18.3,18.06,18.43,18.06,29.17K,-1.08%
2023-10-18,18.5,18.01,18.2,18.01,5.97K,0.00%
2023-10-17,18.5,18.02,18.3,17.65,7.60K,0.00%
2023-10-16,18.5,18.02,18.2,18.02,2.78K,0.00%
2023-10-15,18.5,18.0,18.32,18.0,2.43K,0.00%
2023-10-12,18.5,18.06,18.32,18.0,2.11K,0.00%
2023-10-11,18.5,18.05,18.33,18.03,1.82K,0.00%
2023-10-10,18.5,18.1,18.33,18.03,2.54K,0.00%
2023-10-09,18.5,17.89,18.4,17.89,0.23K,0.00%
2023-10-08,18.5,18.2,18.2,17.65,1.39K,0.00%
2023-10-04,18.5,18.1,18.5,18.02,14.61K,0.00%
2023-10-03,18.5,18.0,18.05,18.0,3.31K,0.00%
2023-10-02,18.5,18.01,18.1,18.01,1.77K,0.00%
2023-10-01,18.5,18.2,18.2,18.01,2.33K,0.00%
2023-09-27,18.5,18.25,18.25,18.0,7.04K,0.00%
2023-09-26,18.5,18.08,18.28,18.0,6.19K,0.00%
2023-09-25,18.5,18.13,18.36,18.02,4.50K,0.00%
2023-09-24,18.5,18.26,18.5,18.0,4.41K,0.00%
2023-09-21,18.5,18.6,18.6,18.25,4.75K,0.00%
2023-09-20,18.5,18.69,18.69,18.12,4.33K,0.00%
2023-09-19,18.5,18.35,18.6,18.08,33.31K,1.26%
2023-09-18,18.27,18.3,18.3,18.13,37.32K,-0.16%
2023-09-17,18.3,18.3,18.3,18.0,7.12K,0.00%
2023-09-14,18.3,18.05,18.3,18.01,71.75K,0.55%
2023-09-13,18.2,18.19,18.2,18.0,5.68K,0.00%
2023-09-12,18.2,17.97,18.2,17.95,35.03K,0.00%
2023-09-11,18.2,18.13,18.25,17.92,34.38K,0.61%
2023-09-10,18.09,18.0,18.19,17.91,28.37K,0.17%
2023-09-07,18.06,17.95,17.99,17.9,4.02K,0.00%
2023-09-06,18.06,17.91,18.16,17.9,20.11K,0.00%
2023-09-05,18.06,18.0,18.13,17.91,9.79K,0.00%
2023-09-04,18.06,18.02,18.14,17.9,6.14K,0.00%
2023-09-03,18.06,18.15,18.17,18.02,12.25K,0.00%
2023-08-31,18.06,18.17,18.17,18.01,8.16K,0.00%
2023-08-30,18.06,18.01,18.19,17.99,22.98K,0.06%
2023-08-29,18.05,18.0,18.14,17.91,36.23K,0.33%
2023-08-28,17.99,17.95,18.1,17.94,47.50K,0.11%
2023-08-27,17.97,18.09,18.22,17.9,53.39K,-0.50%
2023-08-24,18.06,18.8,18.81,18.0,100.21K,-3.99%
2023-08-23,18.81,18.74,19.11,18.52,46.12K,1.29%
2023-08-22,18.57,18.6,18.77,18.4,28.22K,0.32%
2023-08-21,18.51,19.0,19.0,18.42,30.52K,-2.58%
2023-08-20,19.0,19.04,19.04,18.05,94.49K,0.05%
2023-08-17,18.99,19.3,19.61,18.52,25.48K,-2.11%
2023-08-16,19.4,19.9,19.9,19.16,30.72K,-3.19%
2023-08-15,20.04,20.2,20.7,19.52,44.53K,-0.35%
2023-08-14,20.11,19.61,20.13,19.03,61.15K,4.85%
2023-08-13,19.18,19.89,19.89,18.31,52.39K,-13.88%
2023-08-10,22.27,23.01,23.01,21.99,127.98K,-3.76%
2023-08-09,23.14,23.12,24.0,23.0,59.57K,0.13%
2023-08-08,23.11,23.7,23.99,23.0,60.80K,-3.67%
2023-08-07,23.99,23.5,24.39,23.44,101.35K,2.35%
2023-08-06,23.44,21.85,23.64,21.3,140.41K,8.02%
2023-08-03,21.7,21.38,21.98,21.01,53.89K,2.21%
2023-08-02,21.23,20.61,21.35,20.41,89.38K,4.02%
2023-08-01,20.41,20.8,20.99,20.2,80.17K,-2.39%
2023-07-31,20.91,18.67,20.98,18.67,153.33K,14.83%
2023-07-30,18.21,17.91,18.44,17.91,21.49K,1.17%
2023-07-27,18.0,17.85,18.24,17.85,36.24K,0.28%
2023-07-26,17.95,17.96,18.1,17.9,41.99K,-0.22%
2023-07-25,17.99,18.0,18.2,17.9,13.73K,0.00%
