Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,14.23,17.03,17.07,17.0,1.57K,0.00%
2023-12-10,14.23,17.07,17.07,17.07,0.88K,0.00%
2023-12-07,14.23,17.07,17.07,17.07,0.03K,0.00%
2023-12-06,14.23,17.07,17.07,17.07,0.00K,0.00%
2023-12-04,14.23,17.07,17.07,17.07,0.03K,0.00%
2023-12-03,14.23,17.07,17.07,17.07,0.10K,0.00%
2023-11-30,14.23,17.07,17.07,17.07,0.67K,0.00%
2023-11-29,14.23,17.07,17.07,17.07,0.22K,0.00%
2023-11-27,14.23,17.07,17.07,17.07,0.21K,0.00%
2023-11-26,14.23,16.4,17.07,16.4,3.50K,0.00%
2023-11-23,14.23,17.07,17.07,16.01,0.83K,0.00%
2023-11-20,14.23,17.07,17.07,17.07,0.10K,0.00%
2023-11-19,14.23,17.07,17.07,17.07,0.25K,0.00%
2023-11-14,14.23,17.07,17.07,17.07,0.51K,0.00%
2023-11-12,14.23,17.07,17.07,17.07,0.76K,0.00%
2023-11-09,14.23,17.07,17.07,17.07,0.10K,0.00%
2023-11-08,14.23,17.07,17.07,16.01,1.29K,0.00%
2023-11-06,14.23,17.07,17.07,15.02,0.74K,0.00%
2023-11-02,14.23,17.07,17.07,17.07,0.00K,0.00%
2023-11-01,14.23,17.07,17.07,17.07,0.05K,0.00%
2023-10-31,14.23,17.0,17.07,17.0,0.01K,0.00%
2023-10-30,14.23,17.07,17.07,17.07,0.02K,0.00%
2023-10-29,14.23,17.07,17.07,17.07,0.04K,0.00%
2023-10-26,14.23,17.06,17.07,17.06,1.81K,0.00%
2023-10-25,14.23,17.07,17.07,16.0,1.01K,0.00%
2023-10-24,14.23,17.0,17.0,14.57,0.03K,0.00%
2023-10-23,14.23,17.07,17.07,17.07,0.38K,0.00%
2023-10-22,14.23,17.07,17.07,17.07,0.20K,0.00%
2023-10-17,14.23,17.02,17.02,17.0,0.00K,0.00%
2023-10-15,14.23,17.0,17.0,17.0,0.02K,0.00%
2023-10-12,14.23,17.0,17.0,14.6,0.44K,0.00%
2023-10-11,14.23,17.0,17.0,17.0,0.01K,0.00%
2023-10-10,14.23,16.8,16.8,16.8,0.00K,0.00%
2023-10-09,14.23,17.07,17.07,16.8,0.04K,0.00%
2023-10-08,14.23,17.07,17.07,16.61,0.10K,0.00%
2023-10-04,14.23,17.07,17.07,16.63,0.11K,0.00%
2023-10-03,14.23,17.07,17.07,16.6,0.17K,0.00%
2023-10-02,14.23,17.07,17.07,16.25,0.14K,0.00%
2023-10-01,14.23,16.46,16.46,16.46,0.07K,0.00%
2023-09-27,14.23,17.07,17.07,16.01,2.28K,0.00%
2023-09-26,14.23,17.07,17.07,16.44,0.33K,0.00%
2023-09-25,14.23,17.07,17.07,17.06,0.18K,0.00%
2023-09-24,14.23,17.07,17.07,16.5,0.39K,0.00%
2023-09-21,14.23,17.05,17.07,16.5,0.45K,0.00%
2023-09-20,14.23,16.49,16.49,16.48,0.45K,0.00%
2023-09-19,14.23,17.06,17.07,17.0,0.37K,0.00%
