Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,11.8,12.58,13.14,11.6,525.72K,-1.26%
2023-12-10,11.95,11.2,11.95,10.87,127.06K,9.94%
2023-12-07,10.87,10.15,10.92,10.06,130.17K,9.47%
2023-12-06,9.93,9.81,10.07,9.6,38.43K,0.51%
2023-12-05,9.88,10.0,10.22,9.56,32.29K,1.75%
2023-12-04,9.71,9.97,9.97,9.5,21.37K,0.31%
2023-12-03,9.68,10.0,10.3,9.5,49.96K,-6.83%
2023-11-30,10.39,10.3,10.7,9.45,89.62K,-0.95%
2023-11-29,10.49,11.1,11.18,10.25,30.05K,-2.51%
2023-11-28,10.76,10.8,11.1,10.02,76.05K,2.28%
2023-11-27,10.52,10.5,10.95,10.0,66.41K,-0.57%
2023-11-26,10.58,11.09,11.2,10.5,86.79K,-0.56%
2023-11-23,10.64,10.78,11.3,10.0,98.85K,2.21%
2023-11-22,10.41,9.4,10.41,9.0,83.12K,9.93%
2023-11-21,9.47,9.0,9.7,8.55,49.16K,3.61%
2023-11-20,9.14,9.01,9.64,8.5,53.10K,3.51%
2023-11-19,8.83,8.09,8.84,7.8,597.18K,9.83%
2023-11-16,8.04,7.33,8.09,7.33,635.20K,9.24%
2023-11-15,7.36,7.41,8.0,7.3,82.76K,-9.25%
2023-11-14,8.11,7.89,8.29,6.99,125.34K,6.85%
2023-11-13,7.59,7.5,7.59,7.01,110.71K,10.00%
2023-11-12,6.9,6.9,6.9,6.9,112.01K,9.87%
2023-11-09,6.28,5.75,6.28,5.71,201.54K,9.98%
2023-11-08,5.71,5.67,6.19,5.67,578.51K,-9.37%
2023-11-07,6.3,5.67,5.67,5.67,0.60K,0.00%
2023-11-06,6.3,5.67,5.67,5.67,0.17K,0.00%
2023-11-05,6.3,5.67,5.67,5.67,12.18K,0.00%
2023-11-02,6.3,5.67,5.67,5.67,1.12K,0.00%
2023-11-01,6.3,5.67,5.67,5.67,0.99K,0.00%
2023-10-31,6.3,5.67,5.67,5.67,10.34K,0.00%
2023-10-30,6.3,5.67,5.67,5.67,2.03K,0.00%
2023-10-29,6.3,5.67,5.67,5.67,1.07K,0.00%
2023-10-26,6.3,5.67,5.67,5.67,1.23K,0.00%
2023-10-25,6.3,5.67,5.67,5.67,7.62K,0.00%
2023-10-24,6.3,5.67,5.67,5.67,13.17K,0.00%
2023-10-23,6.3,6.8,6.96,6.3,62.47K,-9.87%
2023-10-22,6.99,5.5,10.0,5.09,757.92K,64.08%
2023-10-19,4.26,4.26,4.26,4.26,,0.00%
2023-10-18,4.26,4.26,4.26,4.26,,0.00%
2023-10-17,4.26,4.26,4.26,4.26,,326.00%
2023-10-16,1.0,1.0,1.0,1.0,,0.00%
2023-10-15,1.0,1.0,1.0,1.0,,0.00%
2023-10-12,1.0,1.0,1.0,1.0,,0.00%
2023-10-11,1.0,1.0,1.0,1.0,,0.00%
2023-10-10,1.0,1.0,1.0,1.0,,0.00%
2023-10-09,1.0,1.0,1.0,1.0,,0.00%
2023-10-08,1.0,1.0,1.0,1.0,,0.00%
2023-10-04,1.0,1.0,1.0,1.0,,0.00%
2023-10-03,1.0,1.0,1.0,1.0,,0.00%
2023-10-02,1.0,1.0,1.0,1.0,,0.00%
2023-10-01,1.0,1.0,1.0,1.0,,0.00%
2023-09-27,1.0,1.0,1.0,1.0,,0.00%
2023-09-26,1.0,1.0,1.0,1.0,,0.00%
2023-09-25,1.0,1.0,1.0,1.0,,0.00%
2023-09-24,1.0,1.0,1.0,1.0,,0.00%
2023-09-21,1.0,1.0,1.0,1.0,,0.00%
2023-09-20,1.0,1.0,1.0,1.0,,0.00%
2023-09-19,1.0,1.0,1.0,1.0,,0.00%
2023-09-18,1.0,1.0,1.0,1.0,,0.00%
2023-09-17,1.0,1.0,1.0,1.0,,0.00%
2023-09-14,1.0,1.0,1.0,1.0,,0.00%
2023-09-13,1.0,1.0,1.0,1.0,,0.00%
2023-09-12,1.0,1.0,1.0,1.0,,0.00%
2023-09-11,1.0,1.0,1.0,1.0,,0.00%
2023-09-10,1.0,1.0,1.0,1.0,,0.00%
2023-09-07,1.0,1.0,1.0,1.0,,0.00%
2023-09-06,1.0,1.0,1.0,1.0,,0.00%
2023-09-05,1.0,1.0,1.0,1.0,,0.00%
2023-09-04,1.0,1.0,1.0,1.0,,0.00%
2023-09-03,1.0,1.0,1.0,1.0,,0.00%
2023-08-31,1.0,1.0,1.0,1.0,,0.00%
2023-08-30,1.0,1.0,1.0,1.0,,0.00%
2023-08-29,1.0,1.0,1.0,1.0,,0.00%
2023-08-28,1.0,1.0,1.0,1.0,,0.00%
2023-08-27,1.0,1.0,1.0,1.0,,0.00%
2023-08-24,1.0,1.0,1.0,1.0,,0.00%
2023-08-23,1.0,1.0,1.0,1.0,,0.00%
2023-08-22,1.0,1.0,1.0,1.0,,0.00%
2023-08-21,1.0,1.0,1.0,1.0,,0.00%
2023-08-20,1.0,1.0,1.0,1.0,,0.00%
2023-08-17,1.0,1.0,1.0,1.0,,0.00%
2023-08-16,1.0,1.0,1.0,1.0,,0.00%
2023-08-15,1.0,1.0,1.0,1.0,,0.00%
2023-08-14,1.0,1.0,1.0,1.0,,0.00%
2023-08-13,1.0,1.0,1.0,1.0,,0.00%
2023-08-10,1.0,1.0,1.0,1.0,,0.00%
2023-08-09,1.0,1.0,1.0,1.0,,0.00%
2023-08-08,1.0,1.0,1.0,1.0,,0.00%
2023-08-07,1.0,1.0,1.0,1.0,,0.00%
2023-08-06,1.0,1.0,1.0,1.0,,0.00%
2023-08-03,1.0,1.0,1.0,1.0,,0.00%
2023-08-02,1.0,1.0,1.0,1.0,,0.00%
2023-08-01,1.0,1.0,1.0,1.0,,0.00%
2023-07-31,1.0,1.0,1.0,1.0,,0.00%
2023-07-30,1.0,1.0,1.0,1.0,,0.00%
2023-07-27,1.0,1.0,1.0,1.0,,0.00%
2023-07-26,1.0,1.0,1.0,1.0,,0.00%
2023-07-25,1.0,1.0,1.0,1.0,,0.00%
2023-07-24,1.0,1.0,1.0,1.0,,0.00%
2023-07-19,1.0,1.0,1.0,1.0,,0.00%
2023-07-18,1.0,1.0,1.0,1.0,,0.00%
2023-07-17,1.0,1.0,1.0,1.0,,0.00%
2023-07-16,1.0,1.0,1.0,1.0,,0.00%
2023-07-13,1.0,1.0,1.0,1.0,,0.00%
2023-07-12,1.0,1.0,1.0,1.0,,0.00%
2023-07-11,1.0,1.0,1.0,1.0,,0.00%
2023-07-10,1.0,1.0,1.0,1.0,,0.00%
2023-07-09,1.0,1.0,1.0,1.0,,0.00%
2023-07-06,1.0,1.0,1.0,1.0,,0.00%
2023-07-05,1.0,1.0,1.0,1.0,,0.00%
2023-07-04,1.0,1.0,1.0,1.0,,0.00%
2023-06-26,1.0,1.0,1.0,1.0,,0.00%
2023-06-25,1.0,1.0,1.0,1.0,,0.00%
2023-06-22,1.0,1.0,1.0,1.0,,0.00%
2023-06-21,1.0,1.0,1.0,1.0,,0.00%
2023-06-20,1.0,1.0,1.0,1.0,,0.00%
2023-06-19,1.0,1.0,1.0,1.0,,0.00%
2023-06-18,1.0,1.0,1.0,1.0,,0.00%
2023-06-15,1.0,1.0,1.0,1.0,,0.00%
2023-06-14,1.0,1.0,1.0,1.0,,0.00%
2023-06-13,1.0,1.0,1.0,1.0,,0.00%
2023-06-12,1.0,1.0,1.0,1.0,,0.00%
2023-06-11,1.0,1.0,1.0,1.0,,0.00%
2023-06-08,1.0,1.0,1.0,1.0,,0.00%
2023-06-07,1.0,1.0,1.0,1.0,,0.00%
2023-06-06,1.0,1.0,1.0,1.0,,0.00%
2023-06-05,1.0,1.0,1.0,1.0,,0.00%
2023-06-04,1.0,1.0,1.0,1.0,,0.00%
2023-06-01,1.0,1.0,1.0,1.0,,0.00%
2023-05-31,1.0,1.0,1.0,1.0,,0.00%
2023-05-30,1.0,1.0,1.0,1.0,,0.00%
2023-05-29,1.0,1.0,1.0,1.0,,0.00%
2023-05-28,1.0,1.0,1.0,1.0,,0.00%
2023-05-25,1.0,1.0,1.0,1.0,,0.00%
2023-05-24,1.0,1.0,1.0,1.0,,0.00%
2023-05-23,1.0,1.0,1.0,1.0,,0.00%
2023-05-22,1.0,1.0,1.0,1.0,,0.00%
2023-05-21,1.0,1.0,1.0,1.0,,0.00%
2023-05-18,1.0,1.0,1.0,1.0,,0.00%
2023-05-17,1.0,1.0,1.0,1.0,,0.00%
2023-05-16,1.0,1.0,1.0,1.0,,0.00%
2023-05-15,1.0,1.0,1.0,1.0,,0.00%
2023-05-14,1.0,1.0,1.0,1.0,,0.00%
2023-05-11,1.0,1.0,1.0,1.0,,0.00%
2023-05-10,1.0,1.0,1.0,1.0,,0.00%
2023-05-09,1.0,1.0,1.0,1.0,,0.00%
2023-05-08,1.0,1.0,1.0,1.0,,0.00%
2023-05-07,1.0,1.0,1.0,1.0,,0.00%
2023-05-03,1.0,1.0,1.0,1.0,,0.00%
2023-05-02,1.0,1.0,1.0,1.0,,0.00%
2023-05-01,1.0,1.0,1.0,1.0,,0.00%
2023-04-30,1.0,1.0,1.0,1.0,,0.00%
2023-04-27,1.0,1.0,1.0,1.0,,0.00%
2023-04-26,1.0,1.0,1.0,1.0,,0.00%
2023-04-19,1.0,1.0,1.0,1.0,,0.00%
2023-04-18,1.0,1.0,1.0,1.0,,0.00%
2023-04-13,1.0,1.0,1.0,1.0,,0.00%
2023-04-12,1.0,1.0,1.0,1.0,,0.00%
2023-04-11,1.0,1.0,1.0,1.0,,0.00%
2023-04-10,1.0,1.0,1.0,1.0,,0.00%
2023-04-09,1.0,1.0,1.0,1.0,,0.00%
2023-04-06,1.0,1.0,1.0,1.0,,0.00%
2023-04-05,1.0,1.0,1.0,1.0,,0.00%
2023-04-04,1.0,1.0,1.0,1.0,,0.00%
2023-04-03,1.0,1.0,1.0,1.0,,0.00%
2023-04-02,1.0,1.0,1.0,1.0,,0.00%
2023-03-30,1.0,1.0,1.0,1.0,,-91.63%
