Date,Price,Open,High,Low,Vol.,Change %
2023-12-06,2.46,2.46,2.46,2.46,0.00K,0.00%
2023-12-04,2.46,2.21,2.46,2.21,0.30K,11.31%
2023-11-29,2.21,2.21,2.21,2.21,0.45K,-2.21%
2023-11-22,2.26,2.26,2.26,2.26,0.20K,0.00%
2023-11-20,2.26,2.26,2.26,2.26,0.25K,0.44%
2023-11-13,2.25,2.35,2.35,2.25,1.37K,-4.26%
2023-11-08,2.35,2.3,2.35,2.3,1.14K,2.17%
2023-11-06,2.3,2.3,2.3,2.3,0.20K,0.00%
2023-10-30,2.3,2.3,2.3,2.3,0.08K,-8.00%
2023-10-25,2.5,2.5,2.5,2.5,0.03K,0.00%
2023-10-23,2.5,2.0,2.5,2.0,0.56K,25.00%
2023-10-18,2.0,2.75,2.75,2.0,2.96K,-9.09%
2023-10-16,2.2,3.0,3.0,2.2,1.71K,-26.67%
2023-10-11,3.0,2.99,3.0,2.52,1.94K,37.61%
2023-10-09,2.18,2.18,2.99,2.18,0.26K,0.46%
2023-10-04,2.17,2.4,2.4,2.17,0.63K,-19.63%
2023-10-02,2.7,2.49,2.79,2.49,1.36K,15.38%
2023-09-27,2.34,2.34,2.34,2.34,0.01K,0.00%
2023-09-25,2.34,2.34,2.34,2.34,0.82K,7.83%
2023-09-20,2.17,2.97,4.0,2.17,2.87K,-11.43%
2023-09-18,2.45,2.01,3.0,2.01,0.55K,-18.33%
2023-09-13,3.0,2.5,3.0,2.35,0.01K,0.00%
2023-09-11,3.0,2.33,3.0,2.3,0.66K,0.00%
2023-09-06,3.0,3.39,3.39,3.0,0.01K,-11.76%
2023-09-04,3.4,2.95,3.5,2.8,0.89K,13.33%
2023-08-30,3.0,2.97,3.0,2.48,0.70K,1.01%
2023-08-28,2.97,2.0,2.97,2.0,0.06K,48.50%
2023-08-23,2.0,2.0,2.97,2.0,0.14K,-32.66%
2023-08-21,2.97,2.97,2.97,2.97,0.02K,-1.00%
2023-08-14,3.0,3.0,3.0,0.75,1.20K,0.00%
2023-08-09,3.0,2.99,3.0,0.75,1.74K,-22.88%
2023-08-07,3.89,2.0,3.89,0.7,0.10K,-0.26%
2023-08-02,3.9,3.9,3.9,3.9,0.07K,650.00%
2023-07-31,0.52,4.0,4.0,0.52,1.90K,-87.00%
2023-07-26,4.0,2.11,4.0,2.11,1.76K,2.56%
2023-07-24,3.9,3.85,3.9,3.85,0.26K,0.00%
2023-07-19,3.9,3.7,3.9,2.9,0.17K,85.71%
2023-07-17,2.1,2.1,3.85,2.1,0.03K,-47.50%
2023-07-12,4.0,3.0,4.0,2.05,1.38K,0.00%
2023-07-10,4.0,2.0,4.0,2.0,0.02K,0.00%
2023-07-05,4.0,4.0,4.0,4.0,0.12K,0.00%
2023-06-26,4.0,1.0,4.6,1.0,0.05K,-11.11%
2023-06-21,4.5,4.5,4.5,4.5,0.01K,0.00%
2023-06-19,4.5,4.6,4.6,4.5,0.23K,-2.17%
2023-06-14,4.6,3.0,4.6,3.0,0.30K,"1,383.87%"
2023-06-12,0.31,4.6,4.6,0.31,0.03K,3.33%
2023-06-07,0.3,0.3,0.3,0.3,0.00K,-93.88%
2023-05-31,4.9,4.9,4.9,4.9,0.00K,-2.00%
2023-05-22,5.0,5.0,5.0,5.0,0.01K,0.00%
2023-05-17,5.0,3.0,5.0,3.0,0.02K,-5.48%
2023-05-01,5.29,5.25,5.25,5.25,0.04K,0.00%
2023-04-26,5.29,5.5,5.5,5.23,0.25K,-3.82%
2023-04-19,5.5,0.3,5.5,0.3,0.03K,0.00%
2023-04-10,5.5,5.5,5.5,5.5,0.24K,0.00%
2023-04-05,5.5,5.5,5.5,5.5,0.07K,0.00%
2023-04-03,5.5,5.5,5.5,5.5,0.01K,0.00%
2023-03-29,5.5,5.5,5.6,5.5,0.81K,864.91%
2023-03-27,0.57,5.5,5.5,5.5,0.07K,0.00%
2023-03-20,0.57,0.16,5.5,0.16,0.13K,-71.64%
2023-02-27,2.01,1.99,1.99,1.99,0.02K,0.00%
2023-02-22,2.01,2.15,2.15,2.0,0.16K,-6.51%
2023-02-20,2.15,2.15,2.2,2.15,0.02K,0.00%
2023-02-15,2.15,2.15,2.15,2.15,0.11K,-7.73%
2023-02-13,2.33,2.33,2.33,2.33,0.01K,0.00%
2023-02-08,2.33,2.33,2.33,2.33,0.06K,0.00%
2023-02-06,2.33,2.33,2.33,2.33,0.06K,0.00%
2023-02-01,2.33,2.2,2.33,2.2,0.03K,0.00%
2023-01-23,2.33,2.33,2.34,2.33,0.09K,0.00%
2023-01-18,2.33,2.34,2.35,2.33,1.72K,128.43%
2023-01-16,1.02,1.01,2.33,1.01,0.76K,2.00%
2023-01-11,1.0,1.0,1.0,1.0,1.00K,-15.97%
2023-01-04,1.19,1.0,2.34,1.0,0.14K,-59.11%
2022-12-26,2.91,3.0,3.0,3.0,0.01K,0.00%
2022-12-21,2.91,3.0,3.0,2.0,1.13K,24.36%
2022-12-19,2.34,1.99,2.8,1.99,2.00K,17.59%
2022-12-14,1.99,1.99,1.99,1.99,0.50K,-0.50%
2022-12-07,2.0,1.99,1.99,1.99,0.02K,0.00%
2022-09-26,2.0,2.0,2.0,2.0,0.01K,0.00%
2022-09-21,2.0,2.0,2.0,2.0,0.04K,0.00%
2022-09-19,2.0,2.0,2.0,2.0,0.29K,11.73%
2022-09-14,1.79,0.01,0.01,0.01,0.01K,0.00%
2022-09-05,1.79,0.01,0.01,0.01,0.00K,0.00%
2022-08-03,1.79,1.79,1.79,1.79,0.17K,0.00%
2022-08-01,1.79,1.79,1.79,1.79,0.24K,0.56%
2022-07-27,1.78,1.79,1.79,1.78,0.14K,61.82%
2022-04-11,1.1,1.1,1.1,1.1,0.37K,10.00%
2022-04-04,1.0,1.0,1.0,1.0,0.11K,-7.41%
2022-03-16,1.08,1.08,1.08,1.08,0.10K,315.38%
2022-01-10,0.26,0.26,0.26,0.26,0.48K,-75.24%
2021-07-05,1.05,1.05,1.05,1.05,0.48K,15.38%
2021-05-31,0.91,1.05,1.05,0.9,1.05K,-13.33%
2021-02-24,1.05,1.05,1.05,1.05,1.53K,5.00%
2021-02-17,1.0,1.0,1.0,1.0,1.15K,0.00%
2020-11-23,1.0,1.0,1.0,1.0,0.53K,0.00%
2020-11-18,1.0,1.0,1.0,1.0,0.32K,0.00%
2020-10-19,1.0,1.0,1.0,1.0,307.93K,-44.13%
2020-10-14,1.79,1.79,1.79,1.79,,0.00%
2020-10-12,1.79,1.79,1.79,1.79,,0.00%
2020-10-07,1.79,1.79,1.79,1.79,,0.00%
2020-10-05,1.79,1.79,1.79,1.79,,0.00%
2020-09-30,1.79,1.79,1.79,1.79,,0.00%
2020-09-28,1.79,1.79,1.79,1.79,,0.00%
2020-09-23,1.79,1.79,1.79,1.79,,0.00%
2020-09-21,1.79,1.79,1.79,1.79,,0.00%
2020-09-16,1.79,1.79,1.79,1.79,,12.09%
2020-01-23,1.597,1.676,1.676,1.676,0.01K,0.00%
2020-01-09,1.597,1.676,1.676,1.676,13.90K,0.00%
2020-01-08,1.597,1.597,1.597,1.597,,0.00%
2020-01-06,1.597,1.597,1.597,1.597,,0.00%
2020-01-05,1.597,1.597,1.597,1.597,,0.00%
2020-01-02,1.597,1.597,1.597,1.597,,0.00%
2019-12-31,1.597,1.597,1.597,1.597,,0.00%
2019-12-30,1.597,1.597,1.597,1.597,,0.00%
2019-12-29,1.597,1.597,1.597,1.597,,0.00%
2019-12-26,1.597,1.597,1.597,1.597,,0.00%
2019-12-25,1.597,1.597,1.597,1.597,,0.00%
2019-12-24,1.597,1.597,1.597,1.597,,0.00%
2019-12-23,1.597,1.597,1.597,1.597,,0.00%
2019-12-22,1.597,1.597,1.597,1.597,,0.00%
2019-12-19,1.597,1.597,1.597,1.597,,0.00%
2019-12-18,1.597,1.597,1.597,1.597,,0.00%
2019-12-17,1.597,1.597,1.597,1.597,,0.00%
2019-12-16,1.597,1.597,1.597,1.597,,0.00%
2019-12-15,1.597,1.597,1.597,1.597,,0.00%
2019-12-12,1.597,1.597,1.597,1.597,,0.00%
2019-12-11,1.597,1.597,1.597,1.597,,0.00%
2019-12-10,1.597,1.597,1.597,1.597,,0.00%
2019-12-09,1.597,1.597,1.597,1.597,,0.00%
2019-12-08,1.597,1.597,1.597,1.597,,0.00%
2019-12-05,1.597,1.597,1.597,1.597,,0.00%
2019-12-04,1.597,1.597,1.597,1.597,,0.00%
2019-12-03,1.597,1.597,1.597,1.597,,0.00%
2019-12-02,1.597,1.597,1.597,1.597,,0.00%
2019-12-01,1.597,1.597,1.597,1.597,,0.00%
2019-11-28,1.597,1.597,1.597,1.597,,0.00%
2019-11-27,1.597,1.597,1.597,1.597,,0.00%
2019-11-26,1.597,1.597,1.597,1.597,,0.00%
2019-11-25,1.597,1.597,1.597,1.597,,0.00%
2019-11-24,1.597,1.597,1.597,1.597,,0.00%
2019-11-21,1.597,1.597,1.597,1.597,,0.00%
2019-10-29,1.597,1.676,1.676,1.676,5.00K,0.00%
2019-10-02,1.597,1.611,1.611,1.611,8.04K,0.00%
2019-09-29,1.597,1.611,1.611,1.611,0.02K,0.00%
2019-09-24,1.597,1.59,1.676,1.59,15.60K,0.00%
2019-09-22,1.597,1.6,1.6,1.53,87.70K,-0.13%
2019-09-19,1.599,1.599,1.599,1.599,41.37K,4.99%
2019-09-18,1.523,1.523,1.523,1.523,19.80K,4.96%
2019-08-29,1.451,1.379,1.379,1.379,0.10K,0.00%
2019-08-28,1.451,1.45,1.45,1.45,2.00K,0.00%
2019-08-27,1.451,1.451,1.451,1.451,30.00K,0.55%
2019-08-21,1.443,1.42,1.45,1.42,34.54K,0.56%
2019-08-20,1.435,1.435,1.435,1.435,95.00K,4.97%
2019-08-19,1.367,1.367,1.367,1.367,23.33K,4.99%
2019-08-18,1.302,1.266,1.396,1.264,68.73K,-2.11%
2019-08-15,1.33,1.332,1.332,1.33,50.24K,-4.93%
2019-08-14,1.399,1.4,1.401,1.398,46.29K,-4.89%
2019-08-08,1.471,1.473,1.473,1.463,31.86K,-4.48%
2019-07-11,1.54,1.612,1.612,1.612,5.00K,0.00%
2019-07-10,1.54,1.612,1.612,1.612,5.00K,0.00%
2019-07-08,1.54,1.55,1.55,1.55,13.50K,0.00%
2019-07-04,1.54,1.5,1.5,1.5,4.10K,0.00%
2019-06-02,1.54,1.5,1.5,1.5,11.00K,0.00%
2019-05-30,1.54,1.54,1.54,1.54,31.89K,-0.65%
