Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,10.87,10.78,11.15,10.75,88.05K,-0.37%
2023-12-10,10.91,11.02,11.29,10.72,129.78K,-1.00%
2023-12-07,11.02,11.28,11.3,10.75,110.64K,-1.96%
2023-12-06,11.24,11.64,11.8,11.15,106.32K,-2.94%
2023-12-05,11.58,11.85,11.9,11.5,230.97K,-2.11%
2023-12-04,11.83,12.29,12.29,11.7,209.96K,-1.58%
2023-12-03,12.02,12.16,12.8,11.77,352.67K,-1.15%
2023-11-30,12.16,12.74,12.74,11.9,474.74K,-4.78%
2023-11-29,12.77,12.12,13.4,11.94,1.03M,5.36%
2023-11-28,12.12,11.01,12.7,11.01,1.61M,10.08%
2023-11-27,11.01,10.8,11.25,10.8,961.58K,2.04%
2023-11-26,10.79,11.24,11.25,10.7,545.23K,-1.73%
2023-11-23,10.98,11.3,11.69,10.82,850.24K,-2.31%
2023-11-22,11.24,10.4,11.54,10.17,583.03K,8.91%
2023-11-21,10.32,9.7,11.26,9.55,1.44M,7.05%
2023-11-20,9.64,8.89,10.6,8.81,1.04M,8.93%
2023-11-19,8.85,8.87,8.98,8.81,123.45K,-0.23%
2023-11-16,8.87,8.87,9.3,8.8,289.60K,1.03%
2023-11-15,8.78,8.65,8.8,8.65,134.67K,1.74%
2023-11-14,8.63,8.62,8.73,8.5,79.49K,0.94%
2023-11-13,8.55,8.55,8.63,8.48,38.43K,0.59%
2023-11-12,8.5,8.59,8.6,8.45,64.08K,-0.35%
2023-11-09,8.53,8.7,8.7,8.45,202.48K,-0.93%
2023-11-08,8.61,8.79,8.79,8.54,99.13K,-0.81%
2023-11-07,8.68,8.85,8.85,8.65,82.48K,-0.69%
2023-11-06,8.74,9.0,9.0,8.58,164.51K,-2.13%
2023-11-05,8.93,8.95,8.99,8.78,291.03K,1.59%
2023-11-02,8.79,8.46,8.95,8.38,671.46K,4.15%
2023-11-01,8.44,8.33,8.59,8.31,126.22K,0.48%
2023-10-31,8.4,8.59,8.59,8.32,94.15K,-0.83%
2023-10-30,8.47,8.51,8.6,8.46,120.94K,-0.47%
2023-10-29,8.51,8.31,8.55,8.25,197.15K,3.15%
2023-10-26,8.25,8.4,8.4,8.14,96.15K,-0.24%
2023-10-25,8.27,8.11,8.44,8.08,138.17K,2.35%
2023-10-24,8.08,8.11,8.21,8.04,207.88K,0.37%
2023-10-23,8.05,8.09,8.1,7.95,178.84K,-0.12%
2023-10-22,8.06,8.08,8.15,8.01,40.79K,0.50%
2023-10-19,8.02,8.1,8.8,8.0,380.99K,0.12%
2023-10-18,8.01,8.09,8.15,7.98,204.16K,-0.25%
2023-10-17,8.03,8.0,8.15,8.0,193.95K,0.75%
2023-10-16,7.97,7.99,8.0,7.85,132.63K,1.66%
2023-10-15,7.84,8.0,8.1,7.8,107.54K,-1.01%
2023-10-12,7.92,8.12,8.2,7.8,159.61K,-2.22%
2023-10-11,8.1,8.3,8.3,7.97,103.68K,1.76%
2023-10-10,7.96,8.1,8.15,7.9,116.54K,0.00%
2023-10-09,7.96,8.0,8.2,7.9,90.49K,0.89%
2023-10-08,7.89,8.1,8.35,7.7,249.91K,-2.35%
2023-10-04,8.08,8.14,8.27,8.0,232.47K,-1.82%
2023-10-03,8.23,8.66,8.66,8.05,614.91K,-4.97%
2023-10-02,8.66,8.7,9.0,8.51,45.79K,-2.15%
2023-10-01,8.85,8.9,9.0,8.64,29.34K,0.00%
2023-09-27,8.85,8.72,9.0,8.63,26.48K,0.00%
2023-09-26,8.85,8.95,9.18,8.71,111.56K,-1.67%
2023-09-25,9.0,9.15,9.15,8.9,169.71K,-1.32%
2023-09-24,9.12,8.87,10.0,8.82,256.57K,2.36%
2023-09-21,8.91,8.86,8.99,8.6,73.10K,1.14%
2023-09-20,8.81,8.98,9.44,8.71,204.63K,-1.67%
2023-09-19,8.96,8.79,9.29,8.74,367.26K,0.79%
2023-09-18,8.89,9.02,9.2,8.76,351.18K,-0.22%
2023-09-17,8.91,8.07,9.24,8.03,1.12M,10.82%
2023-09-14,8.04,8.03,8.13,8.03,90.09K,-0.62%
2023-09-13,8.09,8.09,8.17,8.01,51.33K,1.13%
2023-09-12,8.0,8.1,8.2,8.0,171.43K,-0.12%
2023-09-11,8.01,8.1,8.19,8.01,134.42K,-1.11%
2023-09-10,8.1,8.1,8.21,8.03,241.10K,0.25%
2023-09-07,8.08,8.07,8.16,8.01,39.15K,-0.37%
2023-09-06,8.11,8.2,8.45,8.06,239.22K,-0.73%
2023-09-05,8.17,8.0,8.28,7.9,339.09K,3.03%
2023-09-04,7.93,7.92,8.02,7.9,76.52K,-0.50%
2023-09-03,7.97,8.0,8.01,7.91,18.66K,0.00%
2023-08-31,7.97,8.0,8.01,7.9,56.64K,0.25%
2023-08-30,7.95,8.08,8.09,7.93,93.17K,-0.75%
2023-08-29,8.01,8.0,8.06,7.9,128.37K,1.52%
2023-08-28,7.89,7.75,8.5,7.67,336.83K,2.60%
2023-08-27,7.69,7.75,7.79,7.65,126.79K,-0.13%
2023-08-24,7.7,7.74,7.78,7.65,67.78K,-0.52%
2023-08-23,7.74,7.88,7.88,7.64,176.09K,-0.77%
2023-08-22,7.8,7.95,7.95,7.79,244.60K,-1.27%
2023-08-21,7.9,7.97,8.0,7.86,144.04K,-0.88%
2023-08-20,7.97,7.94,8.15,7.85,177.29K,0.50%
2023-08-17,7.93,8.05,8.05,7.87,167.40K,0.13%
2023-08-16,7.92,8.1,8.1,7.86,704.64K,-0.75%
2023-08-15,7.98,8.1,8.18,7.9,356.93K,-0.99%
2023-08-14,8.06,8.15,8.19,7.86,643.20K,-0.49%
2023-08-13,8.1,8.3,8.3,8.05,238.52K,-1.10%
2023-08-10,8.19,8.3,8.3,8.12,143.07K,-0.24%
2023-08-09,8.21,8.3,8.36,8.2,125.20K,-0.61%
2023-08-08,8.26,8.3,8.63,8.2,841.20K,0.00%
2023-08-07,8.26,8.17,8.42,8.09,171.87K,0.49%
2023-08-06,8.22,8.15,8.34,8.0,93.22K,2.37%
2023-08-03,8.03,8.02,8.14,8.0,62.18K,-0.99%
2023-08-02,8.11,8.22,8.5,8.0,106.58K,-0.86%
2023-08-01,8.18,8.3,8.33,8.16,105.01K,-1.09%
2023-07-31,8.27,8.33,8.5,8.23,106.13K,-0.96%
2023-07-30,8.35,8.6,8.6,8.2,61.40K,-0.24%
2023-07-27,8.37,8.6,8.63,8.25,46.07K,-1.53%
2023-07-26,8.5,8.6,8.63,8.4,81.81K,0.35%
2023-07-25,8.47,8.64,8.72,8.4,113.72K,-1.40%
2023-07-24,8.59,8.19,8.8,8.16,294.38K,4.12%
2023-07-19,8.25,8.22,8.45,8.15,218.05K,0.36%
2023-07-18,8.22,8.15,8.34,8.12,62.38K,0.12%
2023-07-17,8.21,8.26,8.46,8.04,145.58K,-1.20%
2023-07-16,8.31,8.5,8.6,8.2,137.98K,-0.72%
2023-07-13,8.37,8.46,8.62,8.2,578.84K,-1.06%
2023-07-12,8.46,8.35,8.55,8.16,165.55K,0.59%
2023-07-11,8.41,8.06,8.5,7.81,442.03K,5.39%
2023-07-10,7.98,8.0,8.35,7.7,175.99K,1.01%
2023-07-09,7.9,8.59,8.59,6.88,285.17K,-8.14%
