Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,0.817,0.83,0.849,0.815,5.25M,-2.74%
2023-12-10,0.84,0.868,0.89,0.819,13.44M,0.12%
2023-12-07,0.839,0.873,0.873,0.8,12.87M,-3.89%
2023-12-06,0.873,0.917,0.917,0.87,6.76M,-3.00%
2023-12-05,0.9,0.915,0.925,0.878,16.31M,-1.10%
2023-12-04,0.91,0.93,0.935,0.908,5.45M,-2.05%
2023-12-03,0.929,0.95,0.95,0.925,2.95M,-0.64%
2023-11-30,0.935,0.96,0.97,0.92,9.07M,-1.48%
2023-11-29,0.949,0.906,0.98,0.906,18.00M,5.09%
2023-11-28,0.903,0.919,0.92,0.887,5.13M,-1.20%
2023-11-27,0.914,0.91,0.924,0.88,4.14M,0.55%
2023-11-26,0.909,0.93,0.935,0.905,7.85M,-2.26%
2023-11-23,0.93,0.92,0.95,0.911,10.81M,1.42%
2023-11-22,0.917,0.899,0.934,0.85,13.83M,3.85%
2023-11-21,0.883,0.9,0.91,0.87,7.91M,-1.67%
2023-11-20,0.898,0.932,0.951,0.89,22.23M,-3.44%
2023-11-19,0.93,0.88,0.94,0.863,25.36M,6.77%
2023-11-16,0.871,0.8,0.92,0.795,24.72M,9.70%
2023-11-15,0.794,0.792,0.8,0.787,15.81M,0.63%
2023-11-14,0.789,0.793,0.8,0.784,20.75M,0.00%
2023-11-13,0.789,0.79,0.793,0.788,77.40M,-0.13%
2023-11-12,0.79,0.791,0.795,0.786,36.96M,0.00%
2023-11-09,0.79,0.78,0.791,0.778,39.60M,1.80%
2023-11-08,0.776,0.74,0.811,0.74,105.86M,14.79%
2023-11-07,0.676,0.68,0.69,0.672,23.52M,-0.59%
2023-11-06,0.68,0.67,0.68,0.666,13.78M,1.49%
2023-11-05,0.67,0.676,0.683,0.666,45.71M,-0.30%
2023-11-02,0.672,0.644,0.679,0.642,79.28M,4.35%
2023-11-01,0.644,0.641,0.645,0.639,9.40M,0.78%
2023-10-31,0.639,0.64,0.643,0.639,12.05M,-0.16%
2023-10-30,0.64,0.642,0.642,0.638,12.99M,0.31%
2023-10-29,0.638,0.64,0.644,0.638,8.28M,-0.62%
2023-10-26,0.642,0.645,0.65,0.638,14.39M,-0.47%
2023-10-25,0.645,0.632,0.65,0.63,56.34M,1.90%
2023-10-24,0.633,0.631,0.633,0.63,15.58M,0.32%
2023-10-23,0.631,0.632,0.635,0.63,20.23M,0.00%
2023-10-22,0.631,0.633,0.634,0.63,12.57M,0.16%
2023-10-19,0.63,0.637,0.637,0.629,17.72M,-0.47%
2023-10-18,0.633,0.625,0.638,0.624,30.04M,1.44%
2023-10-17,0.624,0.63,0.634,0.624,21.69M,-0.16%
2023-10-16,0.625,0.62,0.625,0.616,21.92M,0.32%
2023-10-15,0.623,0.619,0.625,0.616,33.83M,0.81%
2023-10-12,0.618,0.62,0.622,0.615,9.31M,-0.32%
2023-10-11,0.62,0.621,0.625,0.617,9.46M,0.00%
2023-10-10,0.62,0.618,0.63,0.616,13.99M,0.00%
2023-10-09,0.62,0.618,0.623,0.612,13.30M,1.14%
2023-10-08,0.613,0.626,0.63,0.6,51.34M,-2.39%
2023-10-04,0.628,0.604,0.638,0.596,33.97M,4.67%
2023-10-03,0.6,0.61,0.613,0.6,24.27M,-1.48%
2023-10-02,0.609,0.597,0.614,0.596,39.55M,1.67%
2023-10-01,0.599,0.594,0.603,0.59,22.65M,1.01%
2023-09-27,0.593,0.589,0.6,0.586,23.95M,0.51%
2023-09-26,0.59,0.601,0.604,0.59,35.22M,-1.83%
2023-09-25,0.601,0.606,0.611,0.6,21.95M,-0.66%
2023-09-24,0.605,0.614,0.614,0.603,12.32M,-0.98%
2023-09-21,0.611,0.602,0.619,0.599,31.55M,1.66%
2023-09-20,0.601,0.618,0.624,0.597,48.51M,-1.64%
2023-09-19,0.611,0.625,0.638,0.608,69.28M,-1.29%
2023-09-18,0.619,0.611,0.627,0.605,42.80M,1.81%
2023-09-17,0.608,0.617,0.633,0.607,50.53M,-1.30%
2023-09-14,0.616,0.595,0.621,0.591,98.37M,3.88%
2023-09-13,0.593,0.569,0.594,0.566,63.77M,4.77%
2023-09-12,0.566,0.563,0.578,0.557,31.90M,1.43%
2023-09-11,0.558,0.575,0.577,0.558,26.39M,-2.28%
2023-09-10,0.571,0.56,0.576,0.557,66.96M,2.51%
2023-09-07,0.557,0.56,0.562,0.553,16.48M,0.36%
2023-09-06,0.555,0.555,0.562,0.549,44.70M,0.00%
2023-09-05,0.555,0.551,0.564,0.551,24.83M,0.73%
2023-09-04,0.551,0.555,0.556,0.549,12.48M,0.00%
2023-09-03,0.551,0.555,0.566,0.55,35.30M,-0.54%
2023-08-31,0.554,0.563,0.568,0.553,24.83M,-1.25%
2023-08-30,0.561,0.557,0.574,0.553,26.53M,1.45%
2023-08-29,0.553,0.56,0.564,0.55,21.22M,0.00%
2023-08-28,0.553,0.563,0.569,0.549,20.10M,-1.78%
2023-08-27,0.563,0.568,0.577,0.563,27.05M,0.54%
2023-08-24,0.56,0.558,0.566,0.548,24.76M,-0.18%
2023-08-23,0.561,0.585,0.585,0.56,25.30M,-3.28%
2023-08-22,0.58,0.592,0.594,0.577,21.41M,-0.51%
2023-08-21,0.583,0.579,0.606,0.575,68.94M,1.22%
2023-08-20,0.576,0.59,0.593,0.576,34.79M,-1.54%
2023-08-17,0.585,0.563,0.596,0.558,84.53M,3.72%
2023-08-16,0.564,0.564,0.585,0.558,116.27M,0.89%
2023-08-15,0.559,0.549,0.566,0.544,69.93M,2.95%
2023-08-14,0.543,0.545,0.56,0.54,60.12M,1.50%
2023-08-13,0.535,0.534,0.547,0.532,17.55M,0.94%
2023-08-10,0.53,0.531,0.539,0.53,25.57M,-1.12%
2023-08-09,0.536,0.546,0.55,0.534,48.65M,-1.65%
2023-08-08,0.545,0.519,0.557,0.517,115.80M,5.42%
2023-08-07,0.517,0.522,0.523,0.514,20.54M,-0.96%
2023-08-06,0.522,0.51,0.522,0.508,14.94M,2.35%
2023-08-03,0.51,0.51,0.514,0.505,19.60M,0.00%
2023-08-02,0.51,0.522,0.529,0.505,27.61M,-2.30%
2023-08-01,0.522,0.526,0.532,0.519,19.49M,-0.57%
2023-07-31,0.525,0.513,0.526,0.508,24.43M,2.34%
2023-07-30,0.513,0.524,0.528,0.512,39.28M,-2.10%
2023-07-27,0.524,0.523,0.526,0.52,15.97M,0.96%
2023-07-26,0.519,0.517,0.526,0.511,12.54M,-0.38%
2023-07-25,0.521,0.527,0.528,0.517,17.76M,-0.76%
2023-07-24,0.525,0.534,0.535,0.522,11.76M,-1.13%
2023-07-19,0.531,0.535,0.538,0.53,22.64M,0.00%
2023-07-18,0.531,0.535,0.535,0.527,23.25M,-0.38%
2023-07-17,0.533,0.535,0.538,0.527,21.67M,0.00%
2023-07-16,0.533,0.552,0.554,0.532,32.45M,-3.09%
2023-07-13,0.55,0.536,0.55,0.534,84.12M,2.61%
2023-07-12,0.536,0.527,0.542,0.527,74.96M,2.29%
2023-07-11,0.524,0.517,0.53,0.51,41.54M,1.75%
2023-07-10,0.515,0.512,0.516,0.503,20.79M,0.98%
2023-07-09,0.51,0.524,0.531,0.504,79.52M,-2.67%
2023-07-06,0.524,0.515,0.542,0.51,107.30M,1.95%
2023-07-05,0.514,0.514,0.516,0.505,37.24M,0.39%
2023-07-04,0.512,0.522,0.526,0.505,24.19M,-1.35%
2023-06-26,0.519,0.506,0.524,0.505,45.24M,2.17%
2023-06-25,0.508,0.52,0.525,0.501,67.35M,-0.59%
2023-06-22,0.511,0.495,0.515,0.49,26.73M,3.23%
2023-06-21,0.495,0.502,0.507,0.494,33.05M,-1.59%
2023-06-20,0.503,0.51,0.511,0.502,24.92M,-1.18%
2023-06-19,0.509,0.515,0.524,0.506,35.83M,-0.97%
2023-06-18,0.514,0.517,0.525,0.513,65.75M,0.78%
2023-06-15,0.51,0.491,0.513,0.482,74.56M,4.08%
2023-06-14,0.49,0.498,0.499,0.485,28.09M,-1.21%
2023-06-13,0.496,0.502,0.508,0.495,26.76M,-1.20%
2023-06-12,0.502,0.506,0.51,0.5,16.98M,0.20%
2023-06-11,0.501,0.509,0.516,0.499,24.66M,-0.79%
2023-06-08,0.505,0.515,0.516,0.499,33.91M,-0.98%
2023-06-07,0.51,0.503,0.531,0.496,111.55M,2.00%
2023-06-06,0.5,0.51,0.518,0.499,52.27M,-0.79%
2023-06-05,0.504,0.517,0.522,0.504,91.48M,-2.14%
2023-06-04,0.515,0.473,0.515,0.47,150.61M,9.81%
2023-06-01,0.469,0.459,0.473,0.456,38.69M,2.85%
2023-05-31,0.456,0.47,0.471,0.456,32.16M,-2.36%
2023-05-30,0.467,0.475,0.477,0.466,31.74M,-2.51%
2023-05-29,0.479,0.478,0.483,0.47,52.46M,0.63%
2023-05-28,0.476,0.463,0.479,0.46,58.29M,4.39%
2023-05-25,0.456,0.458,0.459,0.45,17.23M,0.22%
2023-05-24,0.455,0.465,0.467,0.454,35.63M,-1.73%
2023-05-23,0.463,0.446,0.466,0.435,73.86M,4.75%
2023-05-22,0.442,0.456,0.464,0.439,61.05M,-2.86%
2023-05-21,0.455,0.415,0.456,0.415,71.79M,9.11%
2023-05-18,0.417,0.39,0.419,0.39,4.74M,0.00%
2023-05-17,0.417,0.42,0.426,0.415,9.81M,-0.71%
2023-05-16,0.42,0.424,0.424,0.414,16.09M,-0.47%
2023-05-15,0.422,0.433,0.437,0.421,16.72M,-2.09%
2023-05-14,0.431,0.425,0.433,0.422,15.08M,2.13%
2023-05-11,0.422,0.423,0.425,0.42,11.43M,-0.24%
2023-05-10,0.423,0.421,0.425,0.413,25.06M,0.48%
2023-05-09,0.421,0.432,0.435,0.421,14.89M,-2.09%
2023-05-08,0.43,0.42,0.432,0.418,21.30M,3.12%
2023-05-07,0.417,0.422,0.422,0.411,13.87M,-0.95%
2023-05-03,0.421,0.42,0.424,0.417,7.24M,0.48%
2023-05-02,0.419,0.423,0.427,0.415,6.81M,-1.64%
2023-05-01,0.426,0.436,0.438,0.423,21.01M,-2.07%
2023-04-30,0.435,0.433,0.446,0.433,26.13M,1.16%
2023-04-27,0.43,0.423,0.435,0.422,12.74M,1.90%
2023-04-26,0.422,0.423,0.425,0.419,10.72M,0.00%
2023-04-19,0.422,0.42,0.425,0.419,9.07M,0.48%
2023-04-18,0.42,0.425,0.426,0.418,6.26M,-0.71%
2023-04-13,0.423,0.423,0.428,0.418,7.49M,-0.24%
2023-04-12,0.424,0.43,0.43,0.423,9.95M,-1.40%
2023-04-11,0.43,0.426,0.431,0.421,7.24M,1.18%
2023-04-10,0.425,0.423,0.433,0.421,8.93M,0.95%
2023-04-09,0.421,0.431,0.434,0.416,8.92M,-2.32%
2023-04-06,0.431,0.443,0.443,0.429,11.27M,-2.27%
2023-04-05,0.441,0.44,0.454,0.437,31.36M,0.46%
2023-04-04,0.439,0.437,0.442,0.431,9.63M,0.92%
2023-04-03,0.435,0.428,0.437,0.42,20.97M,1.87%
2023-04-02,0.427,0.428,0.43,0.42,5.62M,1.67%
2023-03-30,0.42,0.417,0.424,0.406,14.50M,0.72%
2023-03-29,0.417,0.428,0.429,0.415,21.25M,-2.11%
2023-03-28,0.426,0.423,0.43,0.413,20.18M,0.71%
2023-03-27,0.423,0.444,0.449,0.419,25.96M,-1.86%
2023-03-26,0.431,0.405,0.431,0.391,32.64M,8.84%
2023-03-23,0.396,0.392,0.4,0.381,8.59M,0.51%
2023-03-22,0.394,0.38,0.412,0.38,63.01M,4.79%
2023-03-21,0.376,0.37,0.379,0.366,11.56M,3.87%
2023-03-20,0.362,0.349,0.375,0.34,25.42M,4.62%
2023-03-19,0.346,0.35,0.35,0.333,18.27M,0.00%
2023-03-16,0.346,0.349,0.362,0.323,26.99M,0.58%
2023-03-15,0.344,0.386,0.386,0.315,45.03M,-8.75%
2023-03-14,0.377,0.38,0.388,0.363,24.34M,-1.05%
2023-03-13,0.381,0.426,0.43,0.377,31.82M,-10.77%
2023-03-12,0.427,0.449,0.449,0.425,19.17M,-5.11%
2023-03-09,0.45,0.448,0.453,0.445,12.31M,0.45%
2023-03-08,0.448,0.449,0.452,0.436,16.28M,-0.67%
2023-03-07,0.451,0.469,0.47,0.448,21.08M,-3.63%
2023-03-06,0.468,0.464,0.472,0.463,19.65M,1.74%
2023-03-05,0.46,0.469,0.471,0.457,15.68M,-1.50%
2023-03-02,0.467,0.479,0.48,0.463,35.68M,-1.68%
2023-03-01,0.475,0.464,0.478,0.462,53.99M,3.26%
2023-02-28,0.46,0.455,0.46,0.446,28.60M,2.00%
2023-02-27,0.451,0.456,0.458,0.449,22.06M,-0.66%
2023-02-26,0.454,0.454,0.455,0.445,17.61M,0.44%
2023-02-23,0.452,0.451,0.453,0.441,14.89M,0.67%
2023-02-22,0.449,0.464,0.47,0.448,34.35M,-2.60%
2023-02-21,0.461,0.46,0.465,0.455,35.73M,-0.22%
2023-02-20,0.462,0.476,0.48,0.458,27.68M,-2.74%
2023-02-19,0.475,0.475,0.484,0.473,68.45M,2.59%
2023-02-16,0.463,0.471,0.474,0.457,33.76M,-1.28%
2023-02-15,0.469,0.474,0.48,0.465,25.38M,-1.05%
2023-02-14,0.474,0.478,0.481,0.472,33.21M,0.00%
2023-02-13,0.474,0.458,0.474,0.458,53.97M,3.72%
2023-02-12,0.457,0.459,0.462,0.447,18.56M,-0.44%
2023-02-09,0.459,0.454,0.462,0.452,23.90M,1.32%
2023-02-08,0.453,0.467,0.468,0.452,27.98M,-1.74%
2023-02-07,0.461,0.455,0.47,0.45,41.99M,2.44%
2023-02-06,0.45,0.45,0.459,0.44,38.73M,0.45%
2023-02-05,0.448,0.465,0.469,0.434,53.57M,-3.66%
2023-02-02,0.465,0.481,0.489,0.46,27.08M,-2.72%
2023-02-01,0.478,0.482,0.49,0.463,26.26M,-0.83%
2023-01-31,0.482,0.501,0.504,0.48,35.11M,-3.98%
2023-01-30,0.502,0.531,0.533,0.496,48.83M,-4.92%
2023-01-29,0.528,0.53,0.532,0.523,42.90M,0.38%
2023-01-25,0.526,0.533,0.537,0.524,31.66M,-0.75%
2023-01-24,0.53,0.528,0.533,0.516,36.19M,0.76%
2023-01-23,0.526,0.536,0.541,0.523,38.87M,-1.50%
2023-01-22,0.534,0.553,0.554,0.529,63.58M,-3.09%
2023-01-19,0.551,0.562,0.579,0.546,143.19M,-1.08%
