Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,42.43,37.5,38.5,37.15,1.16K,14.21%
2023-12-10,37.15,38.0,39.46,37.15,5.47K,-12.44%
2023-12-07,42.43,38.9,39.49,38.0,2.71K,0.00%
2023-12-06,42.43,39.16,42.43,38.9,5.61K,0.00%
2023-12-05,42.43,40.03,41.29,39.0,3.28K,0.00%
2023-12-04,42.43,38.0,41.25,38.0,3.57K,0.00%
2023-12-03,42.43,39.02,40.89,37.16,1.75K,0.00%
2023-11-30,42.43,39.35,40.99,38.5,5.12K,0.00%
2023-11-29,42.43,39.02,41.4,39.02,1.94K,0.00%
2023-11-28,42.43,40.31,41.6,38.1,4.58K,0.00%
2023-11-27,42.43,39.01,42.0,39.01,4.04K,0.00%
2023-11-26,42.43,41.5,42.25,37.0,2.68K,0.00%
2023-11-23,42.43,41.51,42.43,41.5,3.00K,0.00%
2023-11-22,42.43,41.5,42.99,41.1,3.90K,0.00%
2023-11-21,42.43,41.4,42.87,41.34,3.10K,0.00%
2023-11-20,42.43,43.25,43.39,41.34,10.18K,-0.86%
2023-11-19,42.8,43.39,43.39,42.52,9.05K,-2.17%
2023-11-16,43.75,42.4,43.86,42.4,1.78K,0.00%
2023-11-15,43.75,43.75,43.86,42.33,3.15K,0.00%
2023-11-14,43.75,43.0,44.34,42.28,7.27K,-5.30%
2023-11-13,46.2,43.15,44.35,42.0,2.74K,0.00%
2023-11-12,46.2,44.4,44.6,43.02,4.44K,0.00%
2023-11-09,46.2,45.98,45.98,43.13,6.26K,0.00%
2023-11-08,46.2,44.5,46.2,43.02,6.31K,0.00%
2023-11-07,46.2,45.16,46.2,42.22,3.54K,0.00%
2023-11-06,46.2,45.0,47.49,45.0,6.31K,0.00%
2023-11-05,46.2,45.75,49.5,42.0,102.86K,10.55%
2023-11-02,41.79,46.89,46.89,39.8,100.29K,-10.74%
2023-11-01,46.82,40.0,47.38,40.0,81.65K,18.56%
2023-10-31,39.49,45.84,45.84,38.0,29.19K,-14.26%
2023-10-30,46.06,39.03,47.0,39.03,47.77K,16.93%
2023-10-29,39.39,40.0,43.0,38.2,8.21K,-6.12%
2023-10-26,41.96,36.99,42.99,34.05,57.39K,13.22%
2023-10-25,37.06,36.99,38.0,34.5,36.38K,3.00%
2023-10-24,35.98,33.1,36.9,32.7,117.86K,6.20%
2023-10-23,33.88,32.31,34.98,32.19,100.58K,5.64%
2023-10-22,32.07,34.96,34.96,32.0,67.72K,-3.35%
2023-10-19,33.18,35.4,36.88,32.5,61.28K,-4.41%
2023-10-18,34.71,33.95,36.99,32.5,79.99K,4.71%
2023-10-17,33.15,35.7,35.7,32.51,26.23K,-2.47%
2023-10-16,33.99,36.0,38.0,33.9,63.66K,-8.11%
2023-10-15,36.99,36.97,37.98,35.0,53.99K,14.80%
2023-10-12,32.22,32.7,38.66,31.02,130.41K,0.00%
2023-10-11,32.22,33.99,35.59,32.07,44.51K,-3.10%
2023-10-10,33.25,34.4,36.37,32.0,73.56K,-2.46%
2023-10-09,34.09,32.95,37.7,32.95,74.09K,3.46%
2023-10-08,32.95,27.0,32.95,26.99,150.92K,19.99%
2023-10-04,27.46,23.0,28.66,22.01,58.79K,14.46%
2023-10-03,23.99,24.87,25.75,22.14,17.80K,-0.25%
2023-10-02,24.05,27.8,27.8,23.25,48.46K,0.21%
2023-10-01,24.0,27.16,28.0,26.15,25.74K,0.00%
2023-09-27,24.0,24.6,28.79,24.2,135.22K,0.00%
2023-09-26,24.0,20.0,24.0,20.0,94.77K,20.00%
2023-09-25,20.0,20.01,20.5,20.0,13.31K,0.00%
2023-09-24,20.0,20.01,20.01,20.0,2.60K,0.00%
2023-09-21,20.0,20.0,20.65,19.72,2.34K,0.00%
2023-09-20,20.0,20.1,20.13,20.0,15.55K,-0.60%
2023-09-19,20.12,20.1,20.74,20.08,2.08K,0.00%
2023-09-17,20.12,20.55,20.99,20.0,23.74K,-2.75%
2023-09-13,20.69,21.0,21.0,20.05,0.75K,0.00%
2023-09-12,20.69,20.0,21.0,20.0,6.37K,0.00%
2023-09-11,20.69,20.5,20.5,20.0,3.92K,0.00%
2023-09-10,20.69,20.48,20.79,20.02,0.18K,0.00%
2023-09-07,20.69,20.0,20.48,20.0,4.19K,0.00%
2023-09-06,20.69,19.56,20.68,19.55,5.19K,0.00%
2023-09-05,20.69,19.5,20.96,19.5,0.11K,0.00%
2023-09-04,20.69,21.0,21.3,20.0,1.51K,0.00%
2023-09-03,20.69,21.11,21.39,20.15,4.56K,0.00%
2023-08-31,20.69,20.0,21.0,20.0,16.64K,4.23%
