Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,27.57,27.16,28.48,24.52,3.84K,-1.47%
2023-12-10,27.98,28.07,28.07,24.01,14.26K,-4.28%
2023-12-07,29.23,29.0,29.79,28.5,6.71K,0.00%
2023-12-06,29.23,30.0,30.0,29.0,15.16K,-3.79%
2023-12-05,30.38,30.0,31.0,29.5,5.79K,0.00%
2023-12-04,30.38,30.9,31.23,29.5,9.05K,0.00%
2023-12-03,30.38,31.9,31.9,29.2,9.96K,2.19%
2023-11-30,29.73,32.02,33.99,28.51,40.07K,-8.69%
2023-11-29,32.56,33.0,34.7,32.0,18.48K,-5.87%
2023-11-28,34.59,31.87,35.8,30.5,21.20K,8.20%
2023-11-27,31.97,30.52,32.0,30.52,6.53K,0.00%
2023-11-26,31.97,31.0,32.8,29.6,17.68K,2.86%
2023-11-23,31.08,30.75,31.4,29.5,8.93K,0.00%
2023-11-22,31.08,27.9,32.0,27.75,18.22K,9.51%
2023-11-21,28.38,28.06,28.9,27.75,3.33K,0.00%
2023-11-20,28.38,28.02,29.24,28.0,5.11K,0.00%
2023-11-19,28.38,29.0,29.5,27.25,12.46K,-2.67%
2023-11-16,29.16,28.97,29.5,27.26,7.22K,0.00%
2023-11-15,29.16,27.15,28.99,27.15,7.80K,0.00%
2023-11-14,29.16,29.5,30.94,28.0,9.11K,0.00%
2023-11-13,29.16,29.4,30.4,27.1,10.64K,-2.80%
2023-11-12,30.0,31.7,31.8,29.31,14.22K,-6.16%
2023-11-09,31.97,30.0,33.8,29.5,18.44K,6.57%
2023-11-08,30.0,31.55,31.55,29.5,10.62K,-0.33%
2023-11-07,30.1,32.5,32.5,29.2,12.19K,-3.56%
2023-11-06,31.21,33.7,34.8,31.0,28.49K,-10.03%
2023-11-05,34.69,32.5,36.7,30.9,29.75K,13.14%
2023-11-02,30.66,26.0,30.9,26.0,27.44K,19.07%
2023-11-01,25.75,28.0,29.7,23.77,39.89K,-13.33%
2023-10-31,29.71,32.0,32.48,28.02,17.64K,-2.81%
2023-10-30,30.57,35.75,35.75,26.81,25.42K,-8.64%
2023-10-29,33.46,42.87,42.87,32.5,40.66K,-17.03%
2023-10-26,40.33,36.5,43.0,29.0,94.86K,12.15%
2023-10-25,35.96,33.75,37.9,33.4,55.75K,9.37%
2023-10-24,32.88,28.36,33.76,27.75,49.49K,16.84%
