Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,4.58,4.22,4.58,4.22,15.15K,0.00%
2023-12-10,4.58,4.23,4.58,4.23,4.03K,0.00%
2023-12-07,4.58,4.4,4.58,4.19,20.96K,0.00%
2023-12-06,4.58,4.32,4.48,4.31,12.66K,0.00%
2023-12-05,4.58,4.22,4.6,4.22,14.58K,0.00%
2023-12-04,4.58,4.34,4.58,4.22,6.10K,0.00%
2023-12-03,4.58,4.22,4.46,4.22,30.55K,0.00%
2023-11-30,4.58,4.22,4.4,4.22,13.49K,0.00%
2023-11-29,4.58,4.34,4.58,4.18,4.62K,0.00%
2023-11-28,4.58,4.3,4.34,4.3,1.01K,0.00%
2023-11-27,4.58,4.49,4.49,4.21,0.59K,0.00%
2023-11-26,4.58,4.5,4.55,4.2,26.51K,0.00%
2023-11-23,4.58,4.25,4.58,4.15,16.79K,0.00%
2023-11-22,4.58,4.17,4.47,4.17,3.15K,0.00%
2023-11-21,4.58,4.14,4.48,4.14,5.76K,0.00%
2023-11-20,4.58,4.11,4.48,4.11,0.16K,0.00%
2023-11-19,4.58,4.02,4.89,4.0,2.28K,0.00%
2023-11-16,4.58,4.46,5.0,3.67,49.09K,0.00%
2023-11-15,4.58,4.5,4.68,4.48,116.30K,-18.21%
2023-11-14,5.6,4.77,5.6,4.48,28.16K,0.00%
2023-11-13,5.6,4.52,5.6,4.52,10.21K,0.00%
2023-11-12,5.6,4.5,5.6,4.5,11.49K,0.00%
2023-11-09,5.6,4.5,5.6,4.49,14.18K,0.00%
2023-11-08,5.6,4.48,5.6,4.48,16.38K,0.00%
2023-11-07,5.6,4.48,5.6,4.48,34.45K,0.00%
2023-11-02,5.6,4.48,5.6,4.48,7.38K,0.00%
2023-11-01,5.6,4.48,4.48,4.48,4.75K,0.00%
2023-10-31,5.6,4.48,5.6,4.48,1.20K,0.00%
2023-10-30,5.6,4.48,4.48,4.48,0.62K,0.00%
2023-10-29,5.6,4.48,4.48,4.48,2.13K,0.00%
2023-10-26,5.6,5.6,5.6,5.6,0.01K,0.00%
2023-10-22,5.6,4.48,4.48,4.48,0.42K,0.00%
2023-10-19,5.6,4.48,4.48,4.48,0.91K,0.00%
2023-10-18,5.6,4.48,4.48,4.48,0.62K,0.00%
2023-10-17,5.6,4.48,5.6,4.48,62.34K,0.00%
2023-10-16,5.6,5.6,5.6,5.6,0.01K,0.00%
2023-10-15,5.6,4.48,4.48,4.48,3.08K,0.00%
2023-10-09,5.6,4.48,4.48,4.48,0.31K,0.00%
2023-10-08,5.6,4.48,4.48,4.48,0.07K,0.00%
2023-10-04,5.6,4.48,4.48,4.48,5.30K,0.00%
2023-10-02,5.6,4.48,4.48,4.48,0.37K,0.00%
2023-10-01,5.6,4.48,4.48,4.48,0.05K,0.00%
2023-09-27,5.6,4.48,4.48,4.48,0.30K,0.00%
2023-09-26,5.6,4.48,4.48,4.48,2.00K,0.00%
2023-09-25,5.6,4.48,4.48,4.48,2.18K,0.00%
2023-09-24,5.6,4.48,4.48,4.48,0.46K,0.00%
2023-09-21,5.6,4.48,4.48,4.48,0.00K,0.00%
2023-09-19,5.6,4.48,4.48,4.48,0.37K,0.00%
2023-09-14,5.6,4.48,4.48,4.48,2.12K,0.00%
2023-09-13,5.6,4.48,4.48,4.48,0.53K,0.00%
2023-09-12,5.6,4.48,4.48,4.48,0.45K,0.00%
2023-09-11,5.6,4.48,4.48,4.48,2.75K,0.00%
2023-09-10,5.6,4.48,4.48,4.48,0.63K,0.00%
2023-09-06,5.6,4.48,4.48,4.48,0.68K,0.00%
2023-09-05,5.6,4.48,4.48,4.48,4.46K,0.00%
2023-09-04,5.6,4.48,4.48,4.48,3.07K,0.00%
2023-09-03,5.6,4.48,4.48,4.48,2.51K,0.00%
2023-08-31,5.6,4.48,4.48,4.48,2.17K,0.00%
2023-08-30,5.6,4.48,4.48,4.48,9.12K,0.00%
2023-08-29,5.6,4.8,4.8,4.48,17.61K,0.00%
2023-08-28,5.6,4.55,4.88,4.55,1.52K,0.00%
2023-08-27,5.6,4.9,5.6,4.5,10.02K,0.00%
2023-08-24,5.6,4.48,4.9,4.48,12.05K,-9.09%
2023-08-23,6.16,4.93,4.93,4.93,7.00K,0.00%
2023-08-22,6.16,5.0,5.0,4.93,9.85K,0.00%
2023-08-21,6.16,4.93,6.16,4.93,31.26K,0.00%
2023-08-20,6.16,4.93,6.16,4.93,12.55K,0.00%
2023-08-17,6.16,4.93,6.16,4.93,2.47K,0.00%
2023-08-16,6.16,4.93,4.93,4.93,1.83K,0.00%
2023-08-15,6.16,4.93,4.93,4.93,1.54K,0.00%
2023-08-14,6.16,4.93,4.93,4.93,2.33K,0.00%
2023-08-13,6.16,4.93,4.93,4.93,1.61K,0.00%
2023-08-10,6.16,4.93,4.93,4.93,2.25K,0.00%
